Straat,Coordinaten
Achterdreef,"[51.0269095, 3.84059275]"
Achterstraat,"[51.030937219689605, 3.8509942203527494]"
Apostelhuizen,"[51.0593322, 3.9022599000000002]"
Ascopstraat,"[51.0452918, 3.8678520499999998]"
Asselstraatje,"[51.032873184164714, 3.931279943045195]"
Asselwegel,"[51.035962212726645, 3.9231872652969764]"
Asserij,"[51.04445235, 3.8234608]"
Autosnelweg E17,"[""FOUT, geen straat gevonden""]"
Balveriebos,"[51.03261572585737, 3.831489769019337]"
Beddeneedstraat,"[51.053499045430165, 3.8797805549683515]"
Beekstuk,"[51.03922355401432, 3.9224330134180727]"
Beelos,"[51.02596045, 3.858086]"
Bellestraat,"[""FOUT, geen straat gevonden""]"
Bergstraat,"[51.047051446469276, 3.862409084033618]"
Berlindestraat,"[51.0369092345576, 3.895237823968561]"
Berringstraat,"[51.04006687344432, 3.9244193633120146]"
Bieststraat,"[51.0395498, 3.91032415]"
Bleekweg,"[51.03607905, 3.9208894]"
Bochtenstraat,"[51.0323968, 3.8549917999999996]"
Bochtenwegel,"[51.034698944740825, 3.862358897291355]"
Bontinkstraat,"[51.058851995422664, 3.930547861308443]"
Boombosstraat,"[51.036457594000396, 3.921042331554834]"
Bosstraat,"[51.03972740673, 3.856477170862219]"
Bosstraatje,"[51.0450610860258, 3.918203256655508]"
Boterhoekstraat,"[51.022659158593285, 3.86317414218001]"
Brandekenswegel,"[51.04357576956412, 3.8648777438902053]"
Brandemanstraat,"[51.04877056138028, 3.855539090717156]"
Breestraat,"[51.05487567616619, 3.862248190094351]"
Broekstraat,"[51.01930565249996, 3.825179695648233]"
Brugstraat,"[51.051833572750084, 3.894123956194502]"
Bulstraat,"[51.0511506651385, 3.848719697313018]"
Bunderakker,"[51.03979119397831, 3.921696544858776]"
Callestraat,"[51.059925234248674, 3.8834678210808624]"
Centrumwijk,"[51.03841803042582, 3.913141487735708]"
Colmanstraat,"[51.0274586, 3.89054915]"
Dam,"[51.038346868644, 3.920118327407223]"
De Wallekens,"[51.04591245263534, 3.916714708518257]"
Dendermondsesteenweg,"[51.042767723975814, 3.910099925008007]"
Dienstweg,"[51.06847084482168, 3.915916378362409]"
Dorpsstraat,"[51.02914495, 3.8474745]"
Drapstraat,"[51.049599187819695, 3.9163793303793235]"
Driesstraat,"[51.035482134785624, 3.83028116328986]"
Eekhoekstraat,"[51.033258255256634, 3.8328786730831035]"
Eekronkerstraat,"[51.03091418552337, 3.8820355533777193]"
Eethoek,"[51.066615883365344, 3.903302596017699]"
Ekerstraat,"[51.028557, 3.88375335]"
Elsstraat,"[51.05194827558116, 3.844052246434326]"
Ertbuurwegel,"[51.049195193331116, 3.83986169768961]"
Gaaiakker,"[51.0270201686094, 3.8488064608663692]"
Gaverstraat,"[51.04310316515018, 3.9255507556695215]"
Gaverstraatje,"[51.04542621556823, 3.930489672271746]"
Groenemeersen,"[51.03442990353188, 3.9100964917379613]"
Groenstraat,"[51.05299708579744, 3.847231947151206]"
Groten Akker,"[51.03887435645568, 3.921453191198796]"
Haeghensgoed,"[51.02909343668468, 3.862725875100875]"
Heidestraat,"[51.048172648803046, 3.8585098458782165]"
Heirweg,"[51.056169600000004, 3.84691505]"
Hoekstraat,"[51.032590822248224, 3.8782371265787137]"
Hof Ter Eken,"[51.03170206844418, 3.836108325470787]"
Hofland,"[51.03383306209153, 3.9084097002699756]"
Hogendries,"[51.05731283482961, 3.8987254060808008]"
Holeinderede,"[51.05410854079203, 3.882623032282567]"
Holeindestraat,"[51.03899885125991, 3.8830844417281467]"
Hoogstraat,"[51.02484605, 3.8482862]"
Hooistraat,"[51.035706645572006, 3.924684436805505]"
Husseveldestraat,"[51.06850622103454, 3.9109329340489833]"
Jozef Van De Veldestraat,"[51.0394952541471, 3.913992766795104]"
Kalkendorp,"[51.03645827633695, 3.9184021960511357]"
Kapellestraat,"[51.03558831985175, 3.878438109330332]"
Kasteeldreef,"[51.0285804310973, 3.8435858392326927]"
Keistraat,"[51.02734335, 3.85382305]"
Kerkakker,"[51.037793102548626, 3.9168440693798607]"
Kerkstraat,"[51.03605869721066, 3.8543936587871785]"
Kleempstraat,"[51.03163617945558, 3.856112347172629]"
Kleine Achterstraat,"[51.03105243715654, 3.85226943070236]"
Kleine Heistraat,"[""FOUT, geen straat gevonden""]"
Kleine Molenstraat,"[51.0343678, 3.91323765]"
