Straat,Coordinaten
't Getske,"[50.92402103474172, 5.704133356176528]"
18de Linie-Weg,"[50.836698955894896, 5.637435210187811]"
2e Carabinierslaan,"[50.85974386940318, 5.636945585570305]"
A. Einsteinstraat,"[50.88906812835676, 5.669801212196025]"
A. Nobelstraat,"[50.88654747273996, 5.6700092604123755]"
A.G. Bellstraat,"[50.88637146692037, 5.6679482564431005]"
Aalmoezenier Coenegrachtlaan,"[50.91784411054704, 5.689572470934372]"
Aan De Engelse Hof,"[50.889022486733886, 5.655660654874566]"
Aan de Eekskens,"[50.86403949999941, 5.606873449953431]"
Aan de Grenswachtkazerne,"[50.882757608323985, 5.635925360278811]"
Aan de Quattel,"[50.86991639630239, 5.636575748354239]"
Aan het Heeser Water,"[50.84299180514977, 5.623871431737761]"
Acasialaan,"[50.90802561687376, 5.67461284643001]"
Achter de Brabander,"[50.859482557048004, 5.626071876186621]"
Albrecht Rodenbachstraat,"[50.891885099999996, 5.64314345]"
Alfons Jeurissenstraat,"[50.89302349509374, 5.643375421131151]"
Ambachtsweg,"[50.875767994353176, 5.652284288253234]"
Ambiorixlaan,"[50.9173881704938, 5.691343889239232]"
Andre Dumontplaats,"[50.9065182998909, 5.671497213209279]"
Anne Frankstraat,"[50.89296159461214, 5.645207999833672]"
Arkstraat,"[50.889030171170326, 5.641910268239192]"
Asbeekweg,"[50.90049438215692, 5.6460277233850436]"
August Cuppensstraat,"[50.89204755, 5.645111249999999]"
Azaleastraat,"[50.90726171648425, 5.676056617272553]"
Bampstraat,"[50.86419089835336, 5.6348487204970175]"
Bamptrap,"[50.86402375, 5.63577495]"
Batterijstraat,"[50.877013995403594, 5.627313722492688]"
Bauduinplein,"[50.8848542786325, 5.674025906211582]"
Bedrijfsweg,"[50.89197547635362, 5.674205549834103]"
Beekveldweg,"[50.87626553249118, 5.623920165130504]"
Begijnenbos,"[50.92051575, 5.6654322]"
Belvédèrepad,"[50.87312997098856, 5.639802801455049]"
Berenhofstraat,"[50.863755527796975, 5.625573557285196]"
Bergstraat,"[50.88798497233041, 5.611183007806175]"
Berkenlaan,"[50.88821243957397, 5.615210899316197]"
Bernerstraat,"[50.88778515317397, 5.663227331765113]"
Bessemerstraat,"[50.90173173579152, 5.63262528926318]"
Beukendreef,"[50.90234904828229, 5.674686635394535]"
Beverpad,"[50.90350138862914, 5.681401611405869]"
Biesenhof,"[50.92062985, 5.6900949999999995]"
Biesweg,"[50.883950603310396, 5.607368404331004]"
Bilzerbaan,"[50.860220670139654, 5.622860952598073]"
Bisschoppenstraat,"[50.89580403746275, 5.638557373287016]"
Blindevijversweg,"[50.90058407156363, 5.651802943712443]"
Bodestraat,"[50.89117940987814, 5.651920794173833]"
Boeketstraat,"[50.89750096490806, 5.6532662835102965]"
Boomgaardstraat,"[50.925053409511705, 5.699097460671365]"
Boonakkerstraat,"[50.880892012899906, 5.61500450684676]"
Bosstraat,"[50.89649310988399, 5.628725028846192]"
Bredeloweg,"[50.867521281625805, 5.604978409801364]"
Bremstraat,"[50.89416396398503, 5.625694074943758]"
Briegdenstraat,"[50.87689976138897, 5.6322099031605894]"
Broekstraat,"[50.892261802174254, 5.654451741993148]"
Brouwerij Vanaubelstraat,"[50.88664394633573, 5.647789713059903]"
Brouwershof,"[50.887700176625614, 5.6396831843654445]"
Brugstraat,"[50.88172305, 5.6758702]"
Bunzingpad,"[50.90424614468023, 5.680554563757533]"
Burchthofpad,"[50.86096545490899, 5.620489498054795]"
Burgemeester Delwaidelaan,"[50.924911399270556, 5.690879065922509]"
Burgemeester Martinstraat,"[50.896321433449494, 5.659212789580189]"
Casimir Rockplein,"[50.89491262101087, 5.649112646987671]"
Chr. Plantijnplein,"[50.88597025542788, 5.669365365868841]"
Chr. Plantijnstraat,"[50.8856796081878, 5.670927584248612]"
Colmonterveld,"[50.91984984786004, 5.6996290437127906]"
Commandant Giddelostraat,"[50.88177289674379, 5.633130838972777]"
Constant Permekeplein,"[50.89141057666529, 5.638157012562212]"
Creytenberg,"[50.86708545447548, 5.625978933867461]"
Daalbroekstraat,"[50.92759117360534, 5.687193790154725]"
Dassenpad,"[50.902655883650304, 5.679740750485441]"
David Teniersstraat,"[50.89286972347688, 5.6394336575887385]"
De Dries,"[50.886278950000005, 5.6035929]"
De Stichel,"[50.897586399999994, 5.654591549999999]"
De Uilespiegel,"[""FOUT, geen straat gevonden""]"
Delstraat,"[50.90572563697121, 5.67997219819404]"
Dennenstraat,"[50.900087071309194, 5.631008936575197]"
Diepestraat,"[50.84435177089239, 5.631714868944776]"
Dieterenbank,"[50.8628554410178, 5.627021167924681]"
Dikke Hagestraat,"[50.9064463174814, 5.68563497646904]"
Dobbelsteynstraat,"[50.91164635, 5.6725363]"
Domein Zangersheide,"[50.90703306602181, 5.662887620843511]"
Dorpsstraat,"[50.88345540835826, 5.598734971673055]"
Dr. Le Jeunestraat,"[50.8953034323805, 5.655076300698577]"
Drie Eikenstraat,"[50.89181551408362, 5.661033798096518]"
Driebunders,"[50.887971428641045, 5.5996102203191995]"
Druivenstraat,"[50.897686763336885, 5.657318680623561]"
Dukatonweg,"[50.88285961423044, 5.668361603930884]"
Eburonenlaan,"[50.91891447878522, 5.6925377378304525]"
Edelenbampt,"[50.8637422, 5.631440700000001]"
Edgard Willemsstraat,"[50.88548205794573, 5.6061925457797575]"
Edgard de Caritatstraat,"[50.89329296588504, 5.6625887127610435]"
