Straat,Coordinaten
Albert I-laan,"[50.912672787257115, 2.928065800237666]"
Bareelstraat,"[50.93607072610501, 2.9541263555658204]"
Beekstraat,"[50.92771073851433, 2.900490508010399]"
Berkenlaan,"[50.915995258444845, 2.9228371420074457]"
Bikschotestraat,"[50.92897670773573, 2.8550399853488715]"
Blaezestraat,"[50.91721779866058, 2.8492089035635875]"
Blikstraat,"[50.90830441811263, 2.9253763052384976]"
Boezingestraat,"[50.908452258186536, 2.9172685032334416]"
Boterbloemstraat,"[50.9114755872346, 2.922444542104149]"
Broekweg,"[50.931754512211455, 2.8768057313180204]"
Bruggestraat,"[50.922286613472096, 2.9675656645529416]"
Brugseweg,"[50.91417454992857, 2.9520932872674024]"
Bruine Broekstraat,"[50.8979185679072, 2.934608258079729]"
Cayennestraat,"[50.91001713058923, 2.9210737004936034]"
Clevenstraat,"[50.9065599, 2.9249524]"
Conterdreef,"[50.947801141512414, 2.9516849975201147]"
Diksmuidestraat,"[50.93503997956293, 2.8578095574119238]"
Donkerweg,"[50.90910635, 2.9084573000000002]"
Dorpssteeg,"[50.9190663088654, 2.9574250911319755]"
Duivenstraat,"[50.90763048857039, 2.926044810700897]"
Eeckhoutmolenstraat,"[50.91265065225044, 2.931895265638133]"
Eikenlaan,"[50.91698015620817, 2.920889521949913]"
Elf Novemberlaan,"[50.913107013822554, 2.92406947176136]"
Felix Nadarstraat,"[50.88350589279937, 2.934931843030212]"
Filettestraat,"[50.94295363842283, 2.976243211031944]"
Flandriastraat,"[50.909490807952146, 2.9253387593691835]"
Galgestraat,"[50.93229268731329, 2.915473910334954]"
Gistelhofstraat,"[50.937863500000006, 2.9156248]"
Grasstraat,"[50.93761549945714, 2.9362302769220494]"
Groenestraat,"[50.90553918641096, 2.8990436888157394]"
Guynemerplein,"[50.91875658053141, 2.958130954926614]"
Haezeweidestraat,"[50.885854722785965, 2.9399937936784055]"
Hanebeekstraat,"[50.88976075994882, 2.9412834592930417]"
Helftweg,"[50.93878954457494, 2.9393213778676497]"
Hooyaardstraat,"[50.92129381734091, 2.9211049887433695]"
Houthulstseweg,"[50.93299135359313, 2.944234183907573]"
Hugotstraat,"[50.915581691070116, 2.8909926981581093]"
Ieperstraat,"[50.90240627895553, 2.9101489721124745]"
Industriestraat,"[50.91720315, 2.9338478500000003]"
Kampstraat,"[50.95016322904389, 2.9664836915061557]"
Kapelmeers,"[50.92011207632971, 2.955963524772866]"
Kasteelstraat,"[50.914007127612315, 2.918112510196404]"
Kattestraat,"[50.92597465574975, 2.9753058275161024]"
Keerzelaarstraat,"[50.90129720468065, 2.9455968822042675]"
Kerkstraat,"[50.93609110568409, 2.9307957581132755]"
Kleine Merkemstraat,"[50.9299377603489, 2.9130105297294433]"
Klerkenstraat,"[50.9156387, 2.91866135]"
Koekuitstraat,"[50.9294303172708, 2.9317411500530266]"
Korenbloemstraat,"[50.91188951394384, 2.922561303977037]"
Korte Eeckhoutmolenstraat,"[50.91425224375577, 2.9277051325541876]"
Korte Ieperstraat,"[50.91194100305139, 2.919201113597899]"
Kwellestraat,"[50.91424610739415, 2.966172153300595]"
Landetbeekstraat,"[50.92357598997515, 2.9520308924423104]"
Lange Molenstraat,"[50.91736437175367, 2.978405644560723]"
Langemarkstraat,"[50.91760571296853, 2.9562714720060943]"
Langewaedestraat,"[50.93337892151841, 2.862147180502271]"
Leeuwerikstraat,"[50.9190157554081, 2.9606978050201294]"
Lekkerboterstraat,"[50.90979181640558, 2.9274429654416734]"
Lijsterstraat,"[50.91788232671194, 2.963521071038268]"
Lindenlaan,"[50.9174663483277, 2.9191514619929517]"
Mangelaarstraat,"[50.93053435469972, 2.902490874558595]"
Markt,"[50.913681600000004, 2.920038087488522]"
Meibloemweg,"[50.908569, 2.9225927499999997]"
Melkerijstraat,"[50.90995421924348, 2.900296259962386]"
Melkweg,"[50.91214332344047, 2.909492274872887]"
Merelstraat,"[50.91874996229688, 2.9645077106869895]"
Molenstraat,"[50.92238152550083, 2.860157808832185]"
Nieuwe Kalsijde,"[50.91539953299094, 2.914961186435617]"
Nieuwplaats,"[50.917905678331984, 2.9590033971892202]"
O.L.Vrouwstraat,"[""FOUT, geen straat gevonden""]"
Oude Bosweg,"[50.916043025634345, 2.950962793703088]"
Oude Langemarkstraat,"[50.92002280656824, 2.9514156136909326]"
Oudstrijderslaan,"[50.91404113210363, 2.9257229433987058]"
Papaverweg,"[50.9087756, 2.92210705]"
Peerdebeekstraat,"[50.93059474576856, 2.9593435758189357]"
Peperstraat,"[50.89161078938891, 2.9307876538419273]"
Pilkemstraat,"[50.91261985601735, 2.876100129562857]"
Poelkapellestraat,"[50.91774237770475, 2.929055601014186]"
Poeselstraat,"[50.91920330740784, 2.854963454575523]"
Poorterstraat,"[50.92688171047102, 2.955560168266028]"
Poperingestraat,"[50.93032344789903, 2.950622105803782]"
Populierenhof,"[50.91627293008275, 2.92042177237956]"
Pottestraat,"[50.94792716867579, 2.9339060888565096]"
Prinsenhofstraat,"[50.89030628514727, 2.943018992852299]"
Provincieweg,"[50.91997395, 2.8440243499999998]"
Roeselarestraat,"[50.8866840706036, 2.968841608232996]"
Sasstraat,"[50.917441469727045, 2.8691572651114368]"
Schaapbaliedreef,"[50.95086545356265, 2.9612385861110626]"
Schiethoek,"[50.91627499537689, 2.953448333259325]"
Schoolstraat,"[50.91669477708479, 2.9571660709343215]"
Schreiboomstraat,"[50.92670355318067, 2.9444415972832125]"
Sint Janstraat,"[50.92990681194234, 2.8785261224221075]"
Sint Juliaanstraat,"[50.893329422527856, 2.9511922960950585]"
Stadensteenweg,"[50.94529661343062, 2.9697367656628213]"
Statiestraat,"[50.913501267407426, 2.914816341464331]"
Steenstraat,"[50.9108196514794, 2.9762118360945733]"
Stroombeekstraat,"[50.90307300771745, 2.9579920448458354]"
Toontjesweg,"[50.8921536, 2.9462403]"
Tuinwijk,"[50.91771218199051, 2.9580209]"
Verlorenhoek,"[""50.8755199"", ""2.9272106""]"
Vijverstraat,"[50.91426778106953, 2.9143703620825123]"
Vinkestraat,"[50.91866178987936, 2.9607678132790576]"
Vredestraat,"[50.9272929, 2.86607175]"
Wallemolenstraat,"[50.91632395928734, 2.9581604513885855]"
Waterstraat,"[50.91904952930901, 2.9490151315965933]"
Wijngaardstraat,"[50.88814905558659, 2.9176642804516146]"
Wilgenlaan,"[50.91657119710385, 2.9218778049393954]"
Windeweg,"[50.90878332418102, 2.9234002356176307]"
Wolvengrachtstraat,"[50.94423481865495, 2.9261383910120364]"
