Straat,Coordinaten
Acaciastraat,"[50.96761642570963, 3.994655207779905]"
Administratief Centrum,"[50.96760685334369, 3.97823613164744]"
Akensrede,"[50.971686341272104, 3.941195832545216]"
Albrecht Rodenbachstraat,"[50.96157129943762, 3.9685536807064725]"
Bambochtweg,"[50.971462269732214, 3.980927482172151]"
Bambochtwegel,"[50.9708409813639, 3.9799027697252103]"
Bambosstraat,"[50.96968210597073, 3.981826373738788]"
Barrevoetsehoek,"[50.97338640521687, 3.989618560151014]"
Barrevoetsenhoekweg,"[""FOUT, geen straat gevonden""]"
Bavegembergweg,"[50.95489263388457, 3.886580496265196]"
Beekstraat,"[50.960720858264175, 3.8965267777424994]"
Beekveldrede,"[50.971840069467895, 3.968181281148424]"
Begijnestraat,"[50.96751557458938, 3.8889443113421787]"
Begijnrede,"[50.9775558694583, 3.9801729664040506]"
Bellaertstraat,"[50.96325926531947, 3.9827549489896]"
Benedenstraat,"[50.95564400042026, 3.925661004722053]"
Beneensteweg,"[50.95713991403565, 3.926855385319005]"
Bergstraat,"[50.96895000546338, 3.975853654075974]"
Berkbosrede,"[50.97969404725555, 4.012922124351378]"
Berkenstraat,"[50.96787275, 3.9931283000000004]"
Beukenlaan,"[50.967750152898724, 3.9961998013699045]"
Biestraat,"[50.96196419703545, 3.963611173478387]"
Biezen,"[""FOUT, geen straat gevonden""]"
Billegemstraat,"[50.98260623397898, 3.954713353005127]"
Binneveldstraatje,"[50.964646311477345, 3.932388800156828]"
Blekte,"[50.9677689, 3.9105808]"
Blikstraat,"[50.97272810106201, 3.9959077287826656]"
Blokstraat,"[50.95506316701253, 3.927811580199614]"
Blomstraat,"[50.9611030814172, 4.005223902626673]"
Blomstraatwegel,"[50.96228255, 3.9995184999999998]"
Boomrede,"[50.9728716, 3.93217325]"
Bosstraat,"[50.96652278148617, 4.001633332613502]"
Bovenstraat,"[50.9546085130855, 3.9301328075970834]"
Bovenweg,"[50.9668134, 3.92870045]"
Braambosrede,"[50.9708476986308, 4.00507625781253]"
Braekenhaag,"[50.9700536, 3.9994142000000004]"
Braekenhaaggat,"[50.97004006931119, 4.001154418143558]"
Brakweg,"[50.96594296442745, 3.9633825743583575]"
Bredestraat,"[50.97411583625422, 3.9555678208446703]"
Bremenhulweg,"[50.97071624653496, 3.991600886591777]"
Bresillestraat,"[50.97239855, 4.009588300000001]"
Briel,"[50.9697234737844, 3.925150593315665]"
Brilstraat,"[50.96549483839822, 3.9762291361968995]"
Broeder de Saedeleerstraat,"[50.964682302475765, 3.996688233001367]"
Burgemeester Coppensstraat,"[50.96582173999887, 3.9849448598324635]"
Burgtrede,"[50.96827247458558, 3.989478635940758]"
Charleroistraat,"[50.97074682250893, 3.983342230461823]"
D'Heerselweg,"[50.95560193754009, 3.972283679566849]"
Damstraat,"[50.96421795867136, 3.967833508617119]"
Damwegelken,"[50.964670530109814, 3.9677674151134146]"
Diepestraat,"[50.968253788208266, 3.9359035383042116]"
Dobbelhofstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Dorenweg,"[50.96248160950534, 3.9742450193764474]"
Dr. E. Rubbenslaan,"[50.97203162061685, 3.987917088268548]"
Dr. Moenslaan,"[50.96252104641855, 3.984233902432908]"
Dr.Prieëlslaan,"[50.960352265087735, 3.904719296647133]"
Dries,"[50.9624042, 3.893629003313539]"
Drieswegel,"[50.95933701765704, 3.965705851590704]"
Dwarsstraat,"[50.96921525427962, 3.980243361996535]"
Eikelstraat,"[50.96641651219829, 3.9978771053286706]"
Erfken,"[50.962738445604906, 3.962086304182244]"
Erpseweg,"[50.956730037696694, 3.977171967631674]"
Essestraat,"[50.959529760882255, 3.9471497964851587]"
Geesthoekrede,"[50.976508042741436, 4.002298072502802]"
Gemeentemeerslos,"[50.96623027005974, 3.961012386362091]"
Gentsesteenweg,"[""FOUT, straat in foute gemeente gevonden""]"
Gery Helderenberglaan,"[50.97106839389239, 3.990418417906176]"
Groeneweg,"[50.96310277184289, 3.950624247181849]"
Groenstraat,"[50.9776248, 3.98797415]"
Grote Steenweg,"[50.96742984982405, 3.8815230635345657]"
Grotekapellelaan,"[50.96097519113267, 3.973491859217808]"
Guchtstraat,"[50.96810629675012, 3.964762046924298]"
Guido Gezellestraat,"[50.968012699476425, 3.9740192280445337]"
Hazel,"[50.95933656125589, 3.8973999025040373]"
Heiplasstraat,"[50.978416420017346, 3.96952740026788]"
Heiplasweg,"[50.97994528035614, 3.9684398726027346]"
Hellinckxwegel,"[50.966940733991294, 3.97299688691228]"
Hendrikstraat,"[50.96020674748938, 4.001603813463723]"
Herdergemsestraat,"[50.97361371160028, 3.982112764001212]"
Hippoliet Raesstraat,"[50.96283580933885, 3.9674624220785315]"
Hoeksken,"[50.9680352322812, 3.987705165009992]"
Hoenderbogtweg,"[50.96974692115235, 3.964511335686628]"
Hofsmeer,"[50.96630413851721, 3.9485440958125437]"
Hofstraat,"[50.97296143968528, 3.9544362181083583]"
Hofveldstraat,"[50.977618380597335, 4.011242716579909]"
Hoging,"[50.95349002703616, 3.9005086968701876]"
Hollestraat,"[50.96561930256397, 3.994113981543912]"
Hoogledezijdestraat,"[50.966728234999714, 3.9512225070569085]"
Hoogstraat,"[50.96420620583178, 3.977171348709367]"
Hoogveld,"[50.96861800354826, 3.9718938823261305]"
Houtzagerijstraat,"[50.96554795390254, 3.990355733264043]"
Houwstraat,"[50.969557628819885, 3.888196953078552]"
Hulst,"[""50.96271200502582"", ""3.96669870654475""]"
Hulstlos,"[50.960915000528736, 3.9637891694562666]"
Hulstweg,"[50.96462718229833, 3.9637380940552314]"
Iepenstraat,"[50.96773905, 3.9969022]"
Impedorp,"[50.96022190697511, 3.951855339040655]"
Impse Dam,"[50.964757437685364, 3.965808635435177]"
Impseweg,"[50.964611710641336, 3.9625630481259]"
Jezuïtenstraat,"[50.97895656595466, 3.9959439624735715]"
Julius De Geyterstraat,"[50.96531310423652, 3.9768625477445974]"
Kanariestraat,"[50.97088598865115, 3.9933071741139248]"
Kapellenhoek,"[50.971969029426276, 3.9169595665973067]"
Kapelleweg,"[50.96431735, 3.9174847500000003]"
Kastanjestraat,"[50.9686943, 3.9951579]"
Kasteeldreef,"[50.966774033907555, 3.9865554689587994]"
Kasteelstraat,"[50.96824983244535, 3.983578178688761]"
Katstraat,"[50.96330108267196, 3.979607909469885]"
Keiberg,"[50.954594627954414, 3.9850785068618073]"
Keibergkerkweg,"[50.95631242056635, 3.9825714693307863]"
Kempestraatje,"[50.95634312234021, 3.91756384478975]"
Kerkevijverstraat,"[50.967040321144324, 3.9789939482568646]"
Kerkhofstraat,"[50.967435439170806, 3.927929364161636]"
Kerkstraat,"[50.95737233510132, 3.9031348090939257]"
Kerkwegel,"[50.97369606348017, 3.957064981018698]"
Kerpelstraat,"[50.96720045571054, 3.975380472712451]"
Kleine Kouterrede,"[50.96713167078844, 3.988633649316782]"
Kleine Ommegangweg,"[50.96597875922579, 3.9841639897592933]"
Kleiweg,"[50.98030287556846, 3.971391320605224]"
Klemendorp,"[50.96810300545543, 3.9809174707296826]"
Klinkaard,"[50.976119530266956, 3.896483421596274]"
Kloosterstraat,"[50.97815830937218, 3.9686386884006337]"
Kluisberg,"[50.96674365435363, 3.9926091387422007]"
Kluize,"[50.95300402219418, 3.8904466648387723]"
Koedreef,"[50.95675713844358, 3.964984454479254]"
Koekoekstraat,"[50.97025309683322, 3.9930428201808286]"
Koning Albertlaan,"[50.9635362, 3.9812833000000003]"
Kraaienhoek,"[50.951802388067016, 3.8982798747411516]"
Kromme Elleboogstraat,"[50.975158017264015, 3.9973732137549884]"
Langehaag,"[50.96341165, 3.946823]"
Langemeersweg,"[50.97948021856112, 4.004814516918981]"
Langenakker,"[50.97331317202794, 3.9809746437069724]"
Langeweestraat,"[50.975213661478605, 3.9768729145884976]"
Ledestraat,"[50.95790120336789, 3.9592541824354948]"
Ledezijdestraat,"[50.965372820077484, 3.953937520346523]"
Leedshouwken,"[50.96563288614933, 4.00669591648753]"
Leeuwerikstraat,"[50.9702581, 3.99461055]"
Lievenswegel,"[50.95883457114854, 3.967349447769628]"
Lijsterbesstraat,"[50.96849165, 3.99718915]"
Lijsterstraat,"[50.96998853035539, 3.9953449302238773]"
Lindestraat,"[50.96806924214253, 3.996232405675803]"
Lochtingstraatje,"[50.96458391847289, 3.976646155283336]"
Markizaatstraat,"[50.969717851874975, 3.987173250600929]"
Markt,"[""50.96617127467757"", ""3.978754531308779""]"
Meidoornstraat,"[50.968042749999995, 3.99235255]"
Meirveld,"[50.972041196001356, 3.9754096583698124]"
Merelstraat,"[50.969878963508414, 3.9959863986127395]"
Molenbergstraat,"[50.96387237622373, 3.9740413695248007]"
Molenhoek,"[50.96407334480935, 3.9200609569196336]"
Molenstraat,"[50.95511755, 3.9494819000000003]"
Nachtegaallaan,"[50.97068408143337, 3.994927787151873]"
Nerumstraat,"[50.96680112173739, 3.99526146316938]"
Nerumweg,"[50.96097919806016, 3.9950930558413233]"
Nieuwstraat,"[50.965517303930895, 3.9791337548869326]"
Noenstraat,"[50.969092096548096, 4.0096535084131615]"
Nonnenbosstraat,"[50.974678826041504, 3.956836120538307]"
Olmendreef,"[50.96584864390625, 3.9861845403589533]"
Olmendreefrede,"[50.96347933855169, 3.986282006121613]"
Ommeganglaan,"[50.96114057138122, 3.979880166624539]"
Oordegemdorp,"[50.95726115, 3.9024026000000003]"
Oordegemkouter,"[50.9615723984155, 3.9109715063311676]"
Openveldstraat,"[50.96801627243097, 3.975183685748502]"
Ossenbroeck,"[50.955434249999996, 3.8804778]"
Oud-Smetlede,"[50.97999655151418, 3.9073173972699005]"
Oude Wichelsesteenweg,"[50.98098055679634, 3.974456222734043]"
Ouden Heirweg,"[50.955635080250396, 3.8946168499770346]"
Oudenhelweg,"[50.9648983, 3.9744724]"
Overimpestraat,"[50.958105298675946, 3.965562704482426]"
Paddestraat,"[""50.98398889240148"", ""4.011541368243595""]"
Papegemstraat,"[50.95213274876635, 3.926463515101224]"
Pastorijstraat,"[50.965549923745996, 3.979984966751417]"
Pijpweg,"[50.95813977219519, 3.969607871249021]"
Plataanstraat,"[50.968586965312845, 3.99606601595513]"
Pontweg,"[50.960130405306465, 3.9173020213164613]"
Poortendries,"[50.97313392507949, 3.9910167309882048]"
Poortendriesstraat,"[50.97190094946702, 3.989059997714268]"
Poortseweg,"[50.96559660662707, 3.9916037741604735]"
Populierenstraat,"[50.96886093709399, 3.9942539409961064]"
Processieweg,"[50.97152581939393, 3.959034119580079]"
Putbosstraat,"[50.95763553080442, 3.931420525507361]"
Rammelstraat,"[50.96652243126582, 3.977397446748778]"
Rampsande,"[50.97260262659616, 3.93938666586415]"
Reymeersstraat,"[50.96589242570197, 3.973311061670135]"
Rijststraat,"[50.967781060420734, 3.953520809783476]"
Rochusbaan,"[50.95610325687792, 3.981117378188133]"
Rodekruislaan,"[50.958133917348015, 3.982735194673038]"
Rodtstraat,"[50.96112014886799, 3.9021965690408984]"
Ronkenburgstraat,"[50.97446507564635, 3.9936229085099866]"
Roodborststraat,"[50.96950583596375, 3.996573531015937]"
Rosselstraat,"[50.96554665820356, 3.974943964970795]"
Sasstraat,"[50.95837418242777, 4.008884392393895]"
Schildekensstraat,"[50.966965384920634, 3.9363923846005853]"
Schoot,"[50.97200972427628, 3.893054902132895]"
Serskampstraat,"[50.969715720439076, 3.938023012169869]"
Sint-Machariusstraat,"[50.954298274939816, 3.931739008633937]"
Smesweg,"[50.963540706344965, 3.9673610141165243]"
Smetlededorp,"[50.966434581060845, 3.9292261173271044]"
Smetledestraat,"[50.96659629171118, 3.941136162976399]"
Solegemweg,"[50.95848806042388, 3.994397286324181]"
Speckaertstraat,"[50.95818381116229, 3.995523808821989]"
Speckaertweg,"[50.96237500640336, 3.991743244593481]"
Speurtstraat,"[50.965003529206115, 3.8989859027149074]"
Spoorstraat,"[50.969145041884715, 3.990916788292883]"
Stationsstraat,"[50.970040338827665, 3.986296437386755]"
Stationsweg,"[50.9687596166067, 3.981176170585482]"
Steenland,"[50.96208162375522, 3.9666139375005027]"
Steenlandweg,"[50.96075462785534, 3.9653176582409686]"
Steenstraat,"[50.96255407087206, 4.010336589585877]"
Stefaan Glorieuxstraat,"[50.963827819491115, 3.9297559796605435]"
Stichelendries,"[50.95739227917971, 3.8861179819252203]"
Stokstraat,"[50.97273993954372, 3.986515070672184]"
Stokveld,"[50.97348928832125, 3.985500778486541]"
Stuivenbergstraat,"[50.9750998747197, 3.9528262928437043]"
Suikerstraat,"[50.984594216253804, 4.008026314347556]"
Tronkwegel,"[50.975830117730496, 3.996627788652498]"
Tuinwijk,"[50.96325869574004, 3.9841218538003753]"
Tussenbeekstraat,"[50.976493892720555, 3.955766223206051]"
Varkensmarkt,"[50.956388076568565, 3.901010349156546]"
Veldekenswegel,"[50.956111785403664, 3.9632480299066595]"
Vijverbroekstraat,"[50.968963769432804, 3.978082263776438]"
Vijverstraat,"[50.96899954215497, 3.978932891915316]"
Vogelenzang,"[50.98184572907172, 4.010941192679112]"
Volderstraat,"[50.9743486071171, 3.959592442186762]"
Vossedreef,"[50.972987176353094, 3.9828451893310315]"
Vosselweg,"[50.97749231174409, 3.904606808031569]"
Vrijdagmarkt,"[""50.9747152648892"", ""4.00222427321289""]"
Vuystermansstraat,"[50.9586751413803, 3.973816181637546]"
Wanzeledorp,"[50.973889218198096, 3.95595049981549]"
Wanzelekouter,"[50.970360887914325, 3.9551041955700192]"
Watermolenstraat,"[50.96855942878205, 3.9595554919230955]"
Weinsveld,"[50.961358762164764, 3.9753148123332225]"
Wichelse steenweg,"[50.979600313713675, 3.974518324054771]"
Wichelsestraat,"[50.97762175, 3.9706255500000003]"
Wielewaalstraat,"[50.969676495669376, 3.997746391525648]"
Wijde Wereld,"[50.968522757740665, 3.8873721045150056]"
Wijmenstraat,"[50.9572997, 3.949288]"
Wijstraat,"[50.97272888573633, 3.9745251490722566]"
Wilgenstraat,"[50.96911869818581, 3.9934087518560895]"
Willem de Bettelaan,"[50.967216771713304, 3.985018790520379]"
Zavelbaantje,"[50.96260043928895, 3.9672856590617283]"
Zuster Lambertinestraat,"[50.96610031778864, 3.976119485099442]"
Zwaanstraat,"[50.95594257763772, 3.9022044808518177]"
Zwaluwstraat,"[50.9701812, 3.9992956]"
de Kerchovelaan,"[50.971584790764865, 3.9867956532430866]"
