Straat,Coordinaten
Aambeeldstraat,"[50.80073805, 4.14193255]"
Albert Vanderkelenstraat,"[50.8068752327954, 4.155226847763857]"
Alfred Algoetstraat,"[50.80627015422196, 4.158854032460418]"
Alsingenstraat,"[50.81300285689396, 4.177048801483792]"
Andreas Masiusplein,"[50.80734409840442, 4.154369435629152]"
Appelboomstraat,"[50.816502442079354, 4.209640297041551]"
Arconateplein,"[50.79987, 4.1887864386206894]"
Assesteenweg,"[50.81444735092137, 4.135206209253]"
Baasbergstraat,"[50.82437740779874, 4.168327262029935]"
Begijnhof,"[""50.8135652"", ""4.1707473""]"
Binnenweg,"[50.79832440412409, 4.191829755865302]"
Blok ter Vaart,"[50.80964539003685, 4.1439486190764665]"
Borrekeitse,"[50.80645230566648, 4.155984459573609]"
Bossuitstraat,"[50.81809415, 4.1836795]"
Braambos,"[50.83571995747444, 4.131606129994501]"
Bree-eik,"[50.78628251381355, 4.1453594308796635]"
Bree-eikweg,"[50.78708999329445, 4.151037568278719]"
Brouwerijstraat,"[50.82310055, 4.20740775]"
Bruegelhof,"[50.80245657151461, 4.158943605044356]"
Brusselsestraat,"[50.813221299999995, 4.17788915]"
Busingenstraat,"[50.81217481482611, 4.144583364660508]"
Carnaalstraat,"[50.832846187270285, 4.139428551722362]"
Cottemstraat,"[50.82502459917936, 4.201294647890389]"
Deken Verbesseltstraat,"[50.80678834387871, 4.153817987577631]"
Diepenbroekstraat,"[50.80121808566567, 4.160696218290066]"
Doelestraat,"[50.81314675, 4.16656935]"
Donkerstraat,"[50.79139983602157, 4.169946714715966]"
Dorekenstraat,"[50.8117939, 4.16715885]"
Dorp,"[50.81145455, 4.16713515]"
Driekruisenstraat,"[50.81830499947372, 4.1654801477592205]"
Eizeringenstraat,"[50.82389387126321, 4.134232797557922]"
Eksterstraat,"[50.81535417259388, 4.204435391744623]"
Elshoutweg,"[""FOUT, straat in foute gemeente gevonden""]"
Espehoutstraat,"[50.79859595580336, 4.180892581750561]"
Felix Van Den Boschstraat,"[50.833672754156694, 4.14123207245376]"
Frans Baetensstraat,"[50.831768, 4.1400331]"
Frans De Wolfstraat,"[50.83829894962626, 4.153956996305555]"
Frans Devoghellaan,"[50.81777485, 4.1537362]"
Frans Jozef De Gronckelstraat,"[""FOUT, geen straat gevonden""]"
Frans Luckxstraat,"[50.79234705136602, 4.149211540157039]"
Frans Van der Steenstraat,"[50.79242520409504, 4.14928887450819]"
Gaasbeeksestraat,"[""FOUT, geen straat gevonden""]"
Galgestraat,"[50.83981087095735, 4.167392486760607]"
Geraardsweg,"[50.81216448397415, 4.136240559295738]"
Groenenberg,"[50.80962812555546, 4.205140333983005]"
Groeneweg,"[50.80904053346337, 4.197065725540901]"
Groenstraat,"[50.80432281023149, 4.198056356121989]"
Grote Vijverselenweg,"[50.80710101069546, 4.170769555981025]"
Gustaaf Breynaertstraat,"[""FOUT, geen straat gevonden""]"
Gustaaf Van der Steenstraat,"[50.79809553159102, 4.184147442362723]"
Halleweg,"[50.80147433827264, 4.156398389876869]"
Hamerstraat,"[50.800530646640595, 4.142364103760508]"
Hemelveldweg,"[50.81484469806403, 4.146623612276712]"
Hendrik Ghijselenstraat,"[50.80602326198296, 4.152687649641403]"
Henry Dunantstraat,"[50.80037065519725, 4.143597045180142]"
Hondenstraat,"[50.815375046714365, 4.141500915295738]"
Hunselstraat,"[50.82808497201104, 4.1120406886131455]"
Hunselveld,"[50.828708473018295, 4.119661476183218]"
Hunselveldweg,"[50.831821391822416, 4.1164928568822505]"
Ilingenstraat,"[50.79553666924059, 4.162289571673582]"
Jan Baptist Van der Lindenstraat,"[""FOUT, geen straat gevonden""]"
Jo Baetensstraat,"[50.80402016707172, 4.156779625294869]"
Joseph Van den Bosschestraat,"[50.80452055, 4.1355132]"
Kamerveldweg,"[""FOUT, geen straat gevonden""]"
Kamstraat,"[50.82848837206014, 4.142303651446467]"
Kapellestraat,"[50.83760495248864, 4.163932502244398]"
Karel Keymolenstraat,"[50.80615030959135, 4.15423991972882]"
Karenbergstraat,"[50.83844751208414, 4.1662381347402535]"
Kasteelstraat,"[50.7999546, 4.2048714]"
Katteklauwstraat,"[50.81371239132567, 4.150894336614831]"
Kattenbos,"[50.83297624996277, 4.152450031291057]"
Kattestraat,"[50.82799707423257, 4.157667256653947]"
Keitse,"[50.80453099517207, 4.156378462709093]"
Kerkhofstraat,"[""FOUT, geen straat gevonden""]"
Kerkstraat,"[50.81264618085482, 4.168135064261434]"
Kerkveldweg,"[50.808623350000005, 4.15431695]"
Kerkweg,"[50.83030765, 4.14183985]"
Kersestraat,"[50.79912225998978, 4.149191841847258]"
Keurebeekveldlos,"[50.832500915748206, 4.145753177242881]"
Keurebeekveldweg,"[50.83582333146701, 4.1470393492431405]"
Klapscheutstraat,"[50.83759432335995, 4.147462211020026]"
Kleine Cottemstraat,"[50.82658842022934, 4.200703947189818]"
Kleine Vijverselenweg,"[50.80036801259368, 4.1767520328598655]"
Koestraat,"[50.813649048341, 4.165829329311804]"
Korte Schapenstraat,"[""FOUT, geen straat gevonden""]"
Korte Tramstraat,"[""FOUT, geen straat gevonden""]"
Korte Tramweg,"[50.8139302, 4.1687803500000005]"
Korte Trontingenstraat,"[50.807225375858, 4.1817811477889695]"
Kraaiveldweg,"[50.8033860849438, 4.137782851166932]"
Krommestraat,"[50.80741291028842, 4.148610328352588]"
Kroonstraat,"[50.806264329963994, 4.148825513759512]"
Kruiskouterstraat,"[50.81673768208649, 4.179810694527726]"
Kwakenbeekstraat,"[50.790435745494456, 4.147770732974581]"
Lange Tramweg,"[50.8091998, 4.1575150999999995]"
Langestraat,"[50.79097783559246, 4.149314771246276]"
Lennikseweg,"[""FOUT, geen straat gevonden""]"
Lindendreef,"[50.804102853957225, 4.158134923837509]"
Lindeveldweg,"[50.810902109832575, 4.166318226379311]"
Loddershoek,"[50.83622404017015, 4.158455900208878]"
Lombeeksesteenweg,"[50.81211454487358, 4.133598281677081]"
Lombeeksestraat,"[50.824958239431005, 4.120261518936833]"
Looiweide,"[50.79839976561997, 4.1512841971732275]"
Losgatstraat,"[50.80176794327091, 4.18372115420402]"
Lostraat,"[50.82098758318278, 4.170433420946124]"
Louis Spaakstraat,"[""FOUT, geen straat gevonden""]"
Luitenant Jacopsstraat,"[50.83169545, 4.1370819]"
Markt,"[50.80613395, 4.15508875]"
Marktstraat,"[50.83327687724942, 4.14833409911191]"
Meercauterveld,"[50.80464675, 4.15855905]"
Moeillestraat,"[50.82043426789998, 4.126605430009988]"
Moeilleweg,"[50.8211113, 4.13135115]"
Molenstraat,"[50.8255936078981, 4.138235283796324]"
Molenweg,"[""FOUT, geen straat gevonden""]"
Negenbunderstraat,"[50.8064602, 4.1467718]"
Nellekenstraat,"[""FOUT, geen straat gevonden""]"
Ninoofsesteenweg,"[50.83302615938314, 4.113187332818305]"
Olmenlaan,"[50.8177749, 4.176993250000001]"
Onderstraat,"[50.797589952388584, 4.194361520884653]"
Openluchtweg,"[""FOUT, geen straat gevonden""]"
Opperbusingenstraat,"[50.81701524382921, 4.1439302241848415]"
Oude Brusselsestraat,"[50.83077642429791, 4.174980649447822]"
Oude Geraardsbergsestraat,"[""FOUT, geen straat gevonden""]"
Oude Schapenstraat,"[50.82107436743806, 4.166553843461532]"
Oude Winkelstraat,"[50.80025285398056, 4.188197507202802]"
Oudenaaksestraat,"[50.79755677091831, 4.185363512280982]"
Paardenstraat,"[50.816282775924314, 4.203928269130537]"
Palokenstraat,"[50.81529556054884, 4.1567953297435665]"
Panoramastraat,"[50.8363513865418, 4.13514082690977]"
Pelmolenstraat,"[50.81915504816733, 4.129392179653428]"
Poelstraat,"[50.827016509209024, 4.1876233165242684]"
Postberg,"[50.8088301708896, 4.169848576830707]"
Postweg,"[50.79024023110317, 4.194237954684304]"
Processiestraat,"[50.815048192340875, 4.172293387807037]"
Puttekensveldweg,"[50.83090441120098, 4.134781989511688]"
Rinkelstraat,"[50.80877568482936, 4.191201793646023]"
Rooststraat,"[50.79590842549891, 4.170319708062718]"
Rosweg,"[50.8231041, 4.2073594]"
Saffelbergstraat,"[50.8071372, 4.137597700000001]"
Saffelgaarde,"[50.8075496, 4.141079449999999]"
Schapenstraat,"[50.83064636797195, 4.169290368221412]"
Scheerweidestraat,"[""FOUT, geen straat gevonden""]"
Scheestraat,"[50.82604088476404, 4.204320010978861]"
Schoolweg,"[50.806358949392695, 4.152182478391529]"
Sint-Barbarastraat,"[50.82067686113775, 4.144872803929916]"
Sint-Elooistraat,"[50.80062345067534, 4.145684658529604]"
Slagvijver,"[50.80579595849753, 4.1702690454775775]"
Smidstraat,"[50.79963911705744, 4.142509182233665]"
Spaanshof,"[""FOUT, geen straat gevonden""]"
Stationsstraat,"[50.808552880677894, 4.156338410100058]"
Steenbergstraat,"[50.81664906800248, 4.197422805672025]"
Steenstraat,"[50.82346138453725, 4.1971656667169635]"
Teilweg,"[50.83064918698675, 4.186664486814898]"
Ten Broek,"[50.80018849260236, 4.1588311091722225]"
Ten Ham,"[50.812310770400764, 4.151488278844413]"
Ter Heidestraat,"[50.81953518787234, 4.132508332812824]"
Tombergstraat,"[50.81794044393866, 4.166698137785528]"
Trontingen,"[50.80446783924149, 4.1781928927815795]"
Trontingenstraat,"[50.803883874197275, 4.182434458370757]"
Trontingenweg,"[50.80292241693516, 4.178389594780668]"
Tuitenbergstraat,"[50.82817656892487, 4.1256861821093525]"
Varenbergstraat,"[50.82363336758397, 4.199562806256597]"
Veldstraat,"[50.80094691102617, 4.152494470365166]"
Vondelstraat,"[50.80725897297219, 4.158028566444173]"
Walbergstraat,"[50.81775215707876, 4.155142944994344]"
Waterhoflaan,"[50.81810080612389, 4.178881756357205]"
Winkelstraat,"[50.80165516770774, 4.188931326994149]"
Wolvenstraat,"[50.81618053561091, 4.166706983895618]"
Zavelstraat,"[50.80145495, 4.14762405]"
Zeelmakersstraat,"[""FOUT, geen straat gevonden""]"
Zwartenbroekstraat,"[50.80062876666758, 4.151708376861139]"
