Straat,Coordinaten
5e Regiment Lansierslaan,"[51.10595157680225, 5.26310763753428]"
Aan 't Kanaal,"[51.133970649999995, 5.2407032000000005]"
Acacialaan,"[51.113659093594144, 5.242748072415511]"
Adjudant De Keyserstraat,"[51.111917272744606, 5.252668459799597]"
Akkerstraat,"[51.123584551981885, 5.251596845519388]"
Amerikanenlaan,"[""FOUT, geen straat gevonden""]"
Anjerstraat,"[51.11992243836785, 5.24120258138799]"
Antwerpselaan,"[51.113073645285105, 5.263706120211917]"
Antwerpsesteenweg,"[51.13076515, 5.2453291]"
Asbeekstraat,"[51.13423373791594, 5.238048184189618]"
Asdonckstraat,"[51.123584502227146, 5.225609344565271]"
Atheneumstraat,"[51.12173478165172, 5.253079687814226]"
Baron Rucquoylaan,"[51.11440159928579, 5.277076366465937]"
Beekstraat,"[51.12398966716143, 5.249142799176363]"
Bergstraat,"[51.121486876699414, 5.2589908864446056]"
Beringsesteenweg,"[51.10328900971748, 5.2268718770218365]"
Berkenlaan,"[51.115283850146206, 5.244721166683945]"
Bernheimlaan,"[51.121342150000004, 5.27711765]"
Beverlostraat,"[51.10425579891285, 5.277491834081746]"
Bevrijdingsplein,"[51.117781572384004, 5.263123336588335]"
Biebuycklaan,"[51.10827449966748, 5.2748563532922095]"
Binnenveld,"[51.10331832064238, 5.226982884123685]"
Bivakstraat,"[51.1018511, 5.2560457]"
Boskantstraat,"[51.10494945578249, 5.282653555209012]"
Bosstraat,"[51.122117995382375, 5.21924123139359]"
Boterbloemstraat,"[51.116481984646256, 5.242635039503723]"
Bremerlaan,"[51.12413195, 5.28044925]"
Bremstraat,"[51.112994428037936, 5.2497327273239005]"
Breughellaan,"[51.11215535194148, 5.244637256780835]"
Brialmontlaan,"[51.137144332476076, 5.2637995545886005]"
Brigade Pironlaan,"[51.107135698048396, 5.26767163288844]"
Brugstraat,"[51.12463343099216, 5.256273845602248]"
Burgemeester Hendrickxstraat,"[51.10663533586612, 5.224077853332556]"
Burgemeester Steyaertstraat,"[51.119394040798625, 5.249979487546248]"
Burkelstraat,"[51.109362979055284, 5.257296878130612]"
Caimolaan,"[51.11755450204062, 5.249069500795837]"
Campaniëstraat,"[51.14029352034947, 5.248482266376622]"
Capiauxlaan,"[""FOUT, geen straat gevonden""]"
Capucienenstraat,"[51.13287255615461, 5.252903046656534]"
Carabinierslaan,"[51.106772220010235, 5.26297943423461]"
Chapelielaan,"[51.10714464459711, 5.270179543276972]"
Chazallaan-Kamp,"[51.115135104851745, 5.275017254127487]"
Clumplaan,"[""FOUT, geen straat gevonden""]"
Corspelsestraat,"[51.101497817436496, 5.265098287271103]"
Couwenberghstraat,"[51.11582334018037, 5.261595607208675]"
Craenenhoefweg,"[51.107269099999996, 5.2460745]"
Dandelinlaan,"[51.108244224263856, 5.278285283436787]"
De Broquevillelaan,"[51.10566353304215, 5.280878409989102]"
De Bruynelaan,"[""FOUT, geen straat gevonden""]"
De Ceunicklaan,"[51.1202241954956, 5.2748578177717835]"
De Hengstbergen,"[51.11902714034722, 5.234322981115044]"
De Loncinstraat,"[51.10798599106266, 5.2625603784128]"
De Narplaan,"[51.109194112894016, 5.287198869006275]"
De Oude Hoeven,"[51.11837076125268, 5.237629723036664]"
De Scheurhoeven,"[51.10288485, 5.24855115]"
De Scheuten,"[51.108579207248575, 5.241346671868992]"
De Uitpalingen,"[51.10519885, 5.2151989499999996]"
De Wittelaan,"[51.11275394039116, 5.261993036267944]"
Delannoylaan,"[51.10891435, 5.2646419]"
Delvauxlaan,"[51.11263890277719, 5.244580587935821]"
Dennenstraat,"[51.1072956, 5.21169315]"
Diestersteenweg,"[51.1154175, 5.25386725]"
