Straat,Coordinaten
's Hertogenlaan,"[50.885024439411524, 4.683683421408811]"
's Hertogenwijngaard,"[50.88710075, 4.692437119345163]"
's-Meiersstraat,"[50.87790685, 4.702397884389672]"
't Pachthof,"[""FOUT, straat in foute gemeente gevonden""]"
Aambeeldstraat,"[50.93139701422666, 4.726006979755254]"
Aapad,"[""FOUT, geen straat gevonden""]"
Aapark,"[""FOUT, geen straat gevonden""]"
Aarschotsesteenweg,"[50.8875135, 4.7065947]"
Abdij Vlierbeek,"[50.89361597442807, 4.734626933313829]"
Abdij van Park,"[50.864509749999996, 4.717744975558103]"
Abdijstraat,"[50.859545850425704, 4.724211066488087]"
Acaciaplein,"[50.9070693, 4.72097935]"
Acaciastraat,"[50.90708595, 4.7205583]"
Acht-Meistraat,"[50.92496058806718, 4.701172505160994]"
Achter de Latten,"[50.88779211422579, 4.699685621453699]"
Achttienaprillaan,"[50.89371626513345, 4.698053968255575]"
Achttienaprilpad,"[""FOUT, geen straat gevonden""]"
Achturenstraat,"[50.88881298196309, 4.720703453608274]"
Adjudant Harboortstraat,"[50.87163884878155, 4.720337572724298]"
Adolphe Bastinstraat,"[50.873495399999996, 4.69090185]"
Alaudastraat,"[50.85979847241372, 4.705762598220174]"
Alberdingk Thijmlaan,"[""FOUT, geen straat gevonden""]"
Albert Dejonghestraat,"[50.87669151109952, 4.729352479625396]"
Albert Giraudstraat,"[50.870564, 4.7005619]"
Albert Stainierstraat,"[50.87069468855514, 4.7226708129269435]"
Albert Woutersstraat,"[50.892881023337175, 4.699108312923051]"
Albrecht Rodenbachstraat,"[50.89046632249288, 4.723962361421357]"
Albrechtplein,"[50.8726279, 4.69929125]"
Alfons Fierensstraat,"[50.930488554135955, 4.723930970575809]"
Alfons Roelandtsstraat,"[50.8899692, 4.7253349]"
Alfons Smetsplein,"[50.8773882, 4.704059762078652]"
Alfons Stesselstraat,"[50.899869882461026, 4.694116086969405]"
Alfons Van Geelstraat,"[50.9001188479441, 4.697528817626198]"
Alfons Verbovenstraat,"[50.90498829390419, 4.698189380572971]"
Alfred Delaunoislaan,"[50.87251496293362, 4.716681444393688]"
Alsembergstraat,"[50.8690668670674, 4.65154119180195]"
Ambachtenlaan,"[50.85151678986795, 4.721348755671193]"
Amerikalaan,"[50.8801725, 4.6983912]"
Andreas Vesaliusstraat,"[50.87547363605497, 4.708113261812379]"
André Emondstraat,"[50.9196586312029, 4.698780784762708]"
Ankerstraat,"[50.88760915, 4.70399855]"
Antonia van Roesmaelelaan,"[50.85863918473768, 4.65361643063226]"
Antonius Rodolphestraat,"[50.85903776588474, 4.648450066515998]"
Arendstraat,"[50.87823062365537, 4.707892835067238]"
Armand Meyswijk,"[50.909976145718254, 4.707381341871251]"
Armand Thiérylaan,"[50.86113799191236, 4.708035288033775]"
Arnould Nobelstraat,"[50.87750312214964, 4.7134749265552855]"
Arthur De Greefstraat,"[50.874939080643216, 4.689902085670625]"
Arthur Meulemanslaan,"[50.86883765, 4.6737607]"
Asstraat,"[50.88815931378901, 4.701268782668846]"
Atalantastraat,"[50.88981985, 4.73725995]"
Atelierstraat,"[50.88382722749628, 4.723593292622851]"
August Vermeylenlaan,"[50.87463780191514, 4.7260383513710975]"
Augusta Chiwystraat,"[50.87776929414914, 4.693644669268127]"
Augustijnenstraat,"[50.88143544663354, 4.701084250141919]"
Balsembloemhof,"[50.8840067, 4.693885401924058]"
Bankstraat,"[50.8764752, 4.68456935]"
Bareelweg,"[50.88172575928796, 4.739399157456315]"
Baron August De Becker-Remyplein,"[50.8853183, 4.719165123994086]"
Baron D'Eynattenstraat,"[50.88806228101135, 4.703154347447839]"
Baron Descampslaan,"[50.92612249162049, 4.694024115206809]"
Bavenhofstraat,"[50.93359804504101, 4.732754001965663]"
Beeklaan,"[50.86450189150618, 4.709056073670629]"
Beemdenpad,"[50.89400012744294, 4.72647568900109]"
Beemdenstraat,"[50.89095934317338, 4.722976936368189]"
Begijnenberg,"[50.90574895545877, 4.741943782172843]"
Benedenplein,"[50.88225427375038, 4.717271045363737]"
Benedictijnenlaan,"[50.89079563783781, 4.741481537003581]"
Berg Bogaertlaan,"[50.92220730867171, 4.710888598947672]"
Berg Bogaertpad,"[""FOUT, geen straat gevonden""]"
Berg Taborweg,"[50.875798993596966, 4.670237167685065]"
Berghoekstraat,"[50.92534339613894, 4.726500748579066]"
Bergpad,"[50.90572971838322, 4.745232110776824]"
Bergstraat,"[50.90432992828181, 4.735071585031548]"
Berkenhoflaan,"[50.85676795024955, 4.693593345118061]"
Bermpad,"[50.92358312963281, 4.723734748018774]"
Bermstraat,"[50.92327031848242, 4.723496210022614]"
Bertembosstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bertempad,"[50.87209587754173, 4.663771412552819]"
Bertemstraat,"[50.86801883174251, 4.649489741480138]"
Berthe Gottignystraat,"[50.8488071, 4.69643705]"
Beukenlaan,"[50.852996350000005, 4.6816846000000005]"
Beursgang,"[50.880309614095275, 4.692586188038911]"
Beverloopad,"[50.874203666043286, 4.757930521632884]"
Biehal,"[""FOUT, geen straat gevonden""]"
Bierbeekpleindreef,"[50.845485, 4.68792635]"
Bierbeekstraat,"[50.8729103982859, 4.714945477771931]"
Bieststraat,"[50.889558478259936, 4.682992767425268]"
Biezenstraat,"[50.8791352582841, 4.691862301374251]"
Bijendreef,"[50.87910486294493, 4.727920133174064]"
Blauwe Hond,"[""FOUT, geen straat gevonden""]"
Blauwputgang,"[50.88207595, 4.711467300000001]"
Blauwputplein,"[50.88319590233391, 4.720774961388405]"
Bleydenberglaan,"[50.89052707390805, 4.701523376264753]"
Bleydenbergpad,"[""FOUT, geen straat gevonden""]"
Blijde-Inkomststraat,"[50.87382222848418, 4.714227970142235]"
Bloemenberggang,"[50.88254801121397, 4.688345881387482]"
Bloemenlaan,"[50.866474987282636, 4.705354171125765]"
Bloemersweg,"[50.94245929551114, 4.686075560940966]"
Blokweg,"[50.89680949379353, 4.733362391003359]"
Boekhandelstraat,"[50.87859306348035, 4.701562535176768]"
Boekharingstraat,"[""FOUT, geen straat gevonden""]"
Boerenkrijglaan,"[50.88461972080425, 4.739435361429058]"
Bogaardenstraat,"[50.87686533729703, 4.7117917209105915]"
Bondgenotenlaan,"[50.880694805236345, 4.711789425824742]"
Boogschuttersstraat,"[50.870682599999995, 4.723823599999999]"
Boomgaardstraat,"[50.918981855889896, 4.721340225118146]"
Bornestraat,"[50.905123130313875, 4.699582349319596]"
Borstelsstraat,"[50.8876619352255, 4.733897194462344]"
Boskantlaan,"[50.8549393, 4.68316085]"
Boskouter,"[50.8966592, 4.742274849999999]"
Bosstraat,"[50.92600635566003, 4.7242762783928125]"
Bottelarij,"[50.88538691107619, 4.698160887952906]"
Boulevardstraat,"[50.87349784719919, 4.716994133078255]"
Bovenbosstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bovenloweg,"[50.879500223149705, 4.756267963127227]"
Braambessenlaan,"[50.89374392754106, 4.690564216067808]"
Brabantlaan,"[50.85355886255821, 4.727358029823611]"
Brabantplein,"[""FOUT, straat in foute gemeente gevonden""]"
Brabançonnestraat,"[50.87042449303188, 4.706777166435062]"
Brampad,"[50.90162682801977, 4.7022329540586005]"
Brandenstraat,"[50.90355948679846, 4.705409545606614]"
Brandweg,"[50.901706450000006, 4.7063070499999995]"
Bredeweg,"[50.858330194530836, 4.654177104377939]"
Bremstraat,"[50.876368882985076, 4.647927162423506]"
Broederlijkheidstraat,"[50.88857740998342, 4.720802425308533]"
Broekhout,"[50.92744978195551, 4.723880052273912]"
Broekstraat,"[50.8647815808323, 4.708419374071093]"
Broekweg,"[50.89780605, 4.72103875]"
Bronlaan,"[50.863223925850875, 4.7087770288043265]"
Brouwerijplein,"[50.88646299110751, 4.7071164409511645]"
Brouwersstraat,"[50.88350446272901, 4.690783654916412]"
Brugbergpad,"[50.88575408828113, 4.717446562877321]"
