Straat,Coordinaten
't Goedtermeersweg,"[51.00905839588174, 3.158583931838793]"
A. Rodenbachlaan,"[""51.0315121"", ""3.137100772701104""]"
Albert Termotelaan,"[51.027709400000006, 3.1294762]"
Astridlaan,"[51.026678561747, 3.1431754010816526]"
Bellestraat,"[51.0266594, 3.1563529]"
Beukenlaan,"[51.023066680480596, 3.1326680832071667]"
Beverenstraat,"[50.99495428628108, 3.1502923360176673]"
Bollestraat,"[51.03510439470472, 3.11674978042194]"
Bontenhondstraat,"[51.027574414311474, 3.164282457708304]"
Bontensstraat,"[51.02355795333441, 3.1420551648768993]"
Boomgaardstraat,"[""51.0289554171906"", ""3.1425093119091225""]"
Brasstraat,"[50.99573647648508, 3.1461013555529105]"
Brugsebaan,"[51.030444011891426, 3.109970224990937]"
Burgemeester Callewaertlaan,"[51.025505599999995, 3.1292363499999998]"
Burgemeesterstraat,"[51.014724345654884, 3.140403723110499]"
Cardynlaan,"[51.021447050000006, 3.1351675500000002]"
Claeyskensstraat,"[51.05079858468819, 3.1421887812672145]"
Compernolleweg,"[51.050571149999996, 3.1488033]"
Daalderstraat,"[51.015972425186206, 3.1707148710767705]"
Damplasstraat,"[51.04767754468296, 3.1555586752608287]"
Damwegel,"[51.02500388408332, 3.1440370955155403]"
Depuydtsvoetweg,"[51.039066500000004, 3.1548905]"
Diksmuidseboterweg,"[51.0142417098561, 3.1598736808554766]"
Dokter Roelenslaan,"[51.025929368896435, 3.1329864123961015]"
Driekoningen,"[51.02905257169159, 3.14542371222735]"
Duifhoekstraat,"[51.01594191855338, 3.127083101830774]"
E. Claeslaan,"[""51.03276399678882"", ""3.1349282892799875""]"
Eikenlaan,"[51.022284603580914, 3.1349859745278663]"
Essestraat,"[51.032599246571664, 3.1316463560217445]"
Europalaan,"[51.02785595848323, 3.1263533520385924]"
F. Timmermanslaan,"[51.03207944665048, 3.1386622048776123]"
Fonteinestraat,"[51.02560853406647, 3.1641107570777307]"
François Blauweweg,"[51.00779480349501, 3.1436285986835824]"
Gaaipersstraat,"[51.030974742084915, 3.1436400282927677]"
Galgestraat,"[51.01293588770955, 3.175453915408481]"
Gentweg,"[51.00364803875411, 3.1682609492563105]"
Gezellelaan,"[51.028966, 3.1418483999999998]"
Gildhofweg,"[51.0259111, 3.1419016]"
Gitsevoetweg,"[51.0194964, 3.1354302]"
Grietestraat,"[51.0616443, 3.1377943]"
Groendalekapelleweg,"[51.0166718, 3.1730319]"
Groenstraat,"[51.0256344, 3.1415846]"
Haantjeshof,"[51.0221878, 3.1231309]"
Hazelstraat,"[51.0163619, 3.108867]"
Heistraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hogelaanstraat,"[51.0615581, 3.1368056]"
Hoogstraat,"[""51.02775754636244"", ""3.1412763529404235""]"
Hoogwielkestraat,"[51.0322868, 3.1404512]"
Industrielaan,"[51.0294565, 3.1163903]"
Jan Verzikkelstraat,"[51.0524166, 3.1461561]"
Jules Missinnelaan,"[51.03070487131634, 3.1309110251086025]"
Kapellestraat,"[51.0543318, 3.14156]"
Kasteelstraat,"[51.0480495, 3.1490666]"
Kattestraat,"[51.0393773, 3.1394501]"
Kauwentijnestraat,"[51.0278388, 3.147619]"
Kerkplein,"[51.0272288, 3.1416306]"
Kernemelkputstraat,"[51.0199914, 3.1034475]"
Ketelbuiserstraat,"[51.0562692, 3.1402672]"
Kl.Kauwentijnestraat,"[51.0303885, 3.1717148]"
Kleine Bruggeweg,"[51.0460171, 3.1537816]"
Kleine Essestraat,"[51.0373113, 3.1278705]"
Kleine Zwevezelestraat,"[51.0433513, 3.1629961]"
Klinkestraat,"[51.0061862, 3.140107]"
Klyseweg,"[51.0248199, 3.1410129]"
Koning Boudewijnlaan,"[51.0291668, 3.12675545]"
Koolskampstraat,"[51.0079103, 3.1746302]"
Kortemarkstraat,"[51.0239525, 3.1259583]"
Kortestraat,"[51.0212406, 3.142818]"
Kortrijkstraat,"[51.0062881, 3.1620404]"
Kruiseboomweg,"[51.03153659537728, 3.1313208973710167]"
Kruiseekstraat,"[51.0415524, 3.1188009]"
Kwakkelstraat,"[51.0331576, 3.1136349]"
Kwartierweg,"[51.0455563, 3.150966]"
Lange Vijverstraat,"[51.05322702193871, 3.1323365990380143]"
Leenstraat,"[51.0339274, 3.1495645]"
Leeuwstraat,"[""51.0296024205749"", ""3.125952603238426""]"
Lerberghevoetweg,"[51.0229732, 3.1157444]"
Leysafortstraat,"[51.0213249, 3.1503076]"
Margarethalaan,"[51.02561450755834, 3.149226045484378]"
Marktplaats,"[51.0273513, 3.1397566]"
Marktstraat,"[51.02607654656107, 3.1371159539768003]"
Merelstraat,"[51.041141, 3.1241646]"
Middenstraat,"[51.026126346947265, 3.1363330664671527]"
Moerplasstraat,"[51.0299652, 3.1661309]"
Molenbinnenweg,"[51.0355204, 3.1532693]"
Molenlaan,"[51.025281199999995, 3.15114845]"
Mortelputstraat,"[51.0276631, 3.1170382]"
Mosselstraat,"[51.0297, 3.14473255]"
Neerstraat,"[51.0268472, 3.1411162]"
Nieuwe Veldstraat,"[51.03001133089654, 3.14470988888525]"
Nieuwstraat,"[""51.02196973641729"", ""3.140886900775304""]"
Olmenlaan,"[51.022622299999995, 3.1361822999999998]"
Oude Bruggeweg,"[51.0504404, 3.1521613]"
Oude Heirweg,"[51.0018095, 3.172415]"
Oude Kortemarkstraat,"[51.0237545, 3.1021884]"
Ouderwijk,"[51.0221129, 3.1499223]"
Parkstraat,"[""51.050267384682"", ""3.1286653097049575""]"
Pastoor Denyslaan,"[51.02090667766287, 3.136718216711833]"
Pastorijstraat,"[51.0282043, 3.1421026]"
Pelikaanstraat,"[51.0225286, 3.1470442]"
Peperstraat,"[""51.02379798905168"", ""3.1396401960735103""]"
Potteriestraat,"[51.0276358, 3.1431363]"
Processieweg,"[51.0217734, 3.1476848]"
Reigatstraat,"[""51.0686599"", ""3.1582268""]"
Ridderstraat,"[50.9988056, 3.1556464]"
Rijkenhoekstraat,"[51.02185280930066, 3.1683292051899907]"
Ringlaan,"[51.01984539501129, 3.118779386462937]"
Roeselarebaan,"[51.01946659633164, 3.11268823507011]"
Rondevijverstraat,"[51.05404321358829, 3.1375526611783755]"
Rosalialaan,"[51.02627219486848, 3.1467975159473305]"
Rozendale,"[51.0237712, 3.14832288547336]"
Rozenlaan,"[51.02946556409727, 3.1335881083318564]"
Schuddebeurzeweg,"[51.024913676708834, 3.114769045322694]"
Slunsjestraat,"[51.011222022884645, 3.163827928331467]"
