Straat,Coordinaten
Beekstraat,"[50.82577672473169, 3.8354241706748793]"
Bergstraat,"[50.79908326308521, 3.8167049126716086]"
Bonte,"[50.81282648631207, 3.797818014323268]"
Boshoekstraat,"[50.788455811117245, 3.8186955938246636]"
Bosveldstraat,"[50.804752316170905, 3.8273690694908]"
Breebijl,"[50.7879953507156, 3.8260435827199917]"
Broekstraat,"[50.792194191976876, 3.8630191286496363]"
Brugstraat,"[50.79591230100647, 3.8598849853212425]"
Buurthuisplein,"[50.78517237761878, 3.8438891799171815]"
Caudenberg,"[50.81723317269904, 3.822658936349519]"
Doolaegstraat,"[50.80664650498115, 3.7963467849117283]"
Doorinckxkouter,"[""FOUT, geen straat gevonden""]"
Doornkouter,"[""50.81262680054806"", ""3.8745362134468144""]"
Dorpstraat,"[50.82095934448516, 3.846797769914359]"
Dreefstraat,"[50.78929237786574, 3.8418706295123375]"
Drijhoek,"[50.82133610020169, 3.8352733645921817]"
Eekhoutdries,"[50.81583418775792, 3.845391935709096]"
Eikenmolen,"[50.81581194844639, 3.805659991820991]"
Elleboogstraat,"[50.794338246016785, 3.860604014653262]"
Gemeenteplein,"[50.811771315217804, 3.824796428642516]"
Gentse Steenweg,"[50.81285943161167, 3.870896616680867]"
Geraardsbergsestraat,"[50.77552809596582, 3.844431242210861]"
Groene Weg,"[50.80710765817114, 3.876377087060989]"
Groenstraat,"[50.81081573691584, 3.8244011863399625]"
Haltbaan,"[50.801800019860536, 3.8501636707513054]"
Hekkouterstraat,"[50.784938310148576, 3.843883484841883]"
Holderbeke,"[50.80313382587816, 3.7967075689407777]"
Hollaarde,"[50.826921187239726, 3.853130719851886]"
Hoogstraat,"[50.809109856813556, 3.811618164105003]"
Kakebeke,"[50.82452257417781, 3.8571076642880073]"
Kapellestraat,"[50.8210112, 3.8478261]"
Kardinaalshoek,"[50.811034936303535, 3.8208337091826134]"
Kartuizerstraat,"[50.80427993868632, 3.8224131009416]"
Kasteelken,"[50.78348063799039, 3.853879476424015]"
Keiberg,"[50.80772855142059, 3.845491402236633]"
Keistraat,"[50.80494041300263, 3.8563419270486676]"
Kerkstraat,"[50.78704178290113, 3.839812624210761]"
Kleinendries,"[50.8184474, 3.8335647]"
Kloosterstraat,"[50.80563586355955, 3.8239782068232597]"
Kouterstraat,"[50.793807330145754, 3.857359495208284]"
Kruisstraat,"[50.78608780624063, 3.8339471186224054]"
Kwaadstraat,"[50.8016929, 3.8425279999999997]"
Laerebeke,"[50.80805930700134, 3.84016334986029]"
Lammerbos,"[50.77687005629891, 3.8327660823778182]"
Langemunte,"[50.81202831987553, 3.847932541886002]"
Langestraat,"[50.82440633388436, 3.8415943381427646]"
Lierenhoek,"[50.80179327608347, 3.7849540017293486]"
Lindekouter,"[50.78924215, 3.8611180000000003]"
Lindestraat,"[50.78953363939535, 3.863212143511017]"
Molenstraat,"[50.80795196393511, 3.851973776908835]"
Muizenholstraat,"[50.778946121985484, 3.8393083141037403]"
Nauw,"[50.836193733852916, 3.84311571864273]"
Neerstraat,"[50.81532815586592, 3.8250099190976297]"
Nieuwe Wijk,"[50.812805617776135, 3.8285469666046863]"
Nieuwstraat,"[50.812714677134295, 3.8233156523539757]"
Opstaldries,"[50.79582607773378, 3.8291554004653143]"
Ottergemstraat,"[50.78329812478082, 3.8366585321866444]"
Paepmunte,"[50.8112218, 3.86801445]"
Pikkelgemstraat,"[50.788933575264295, 3.851753643377498]"
Pluimbroek,"[50.78295005, 3.82963545]"
Polenak,"[50.81263263961145, 3.8315095035519224]"
Populierenstraat,"[50.79364887489945, 3.8398402867414223]"
Putse,"[50.81542918436848, 3.8477897756893387]"
Roeskouter,"[50.81302868323915, 3.8217192034981156]"
Schoolstraat,"[50.8157160678856, 3.8213555917714537]"
Spende,"[50.82282792648024, 3.815188793512558]"
St.Jans-Plein,"[50.807253064192295, 3.8577201282750844]"
Steenweg,"[50.81496635, 3.8238249499999997]"
Stratendries,"[50.796474868100454, 3.7975468321519936]"
Strichtstraat,"[50.798416303662755, 3.8702195027125184]"
Struntel,"[50.819775587876, 3.8486015537557967]"
Stuivenberg,"[50.8262780113737, 3.8424774244871522]"
Tempel,"[50.798412690508826, 3.8083679613321206]"
Triepstraat,"[50.80498276605096, 3.870059815523811]"
Waesberg,"[50.83582782898237, 3.8398197649466335]"
Waesbergdries,"[50.82828206066861, 3.8504671231648544]"
Wagenweg,"[50.80590274216145, 3.817093444693742]"
Wassegemstraat,"[50.788748803377686, 3.8389656890741204]"
Watermolenstraat,"[50.78976812390082, 3.8512033026687407]"
Wolfsveld,"[""FOUT, geen straat gevonden""]"
