Straat,Coordinaten
Achter Puttekensberg,"[51.27013905, 4.805145899999999]"
Achterbroek,"[51.228462792333985, 4.859007591819476]"
Achterste Moereind,"[51.25396179893096, 4.797021053894871]"
Achterstenhoek,"[51.2535123335647, 4.808603668266317]"
Achterzeggen,"[51.27164328644358, 4.813216485135141]"
Akkerpad,"[51.268880869760366, 4.784493627463944]"
Akkerstraat,"[51.2469724370527, 4.822968016864256]"
Apostolinnenpad,"[51.23658141590515, 4.824804379876519]"
Azalealaan,"[51.2595505, 4.790286001913273]"
Baan,"[51.23564247061141, 4.8430880152272255]"
Bakkersheide,"[51.25480234221025, 4.842741164137541]"
Balsakker,"[51.23953402416325, 4.813737385046301]"
Beek,"[51.235490525789814, 4.834465984878363]"
Beeldekens,"[51.22481881252093, 4.831658885561981]"
Beemdenstraat,"[51.28315474084089, 4.9007196086451925]"
Beersebaan,"[51.28844695868832, 4.8556662158066315]"
Beerseheide,"[51.28438367855019, 4.835177763879321]"
Begonialaan,"[51.258825058169705, 4.788841827388056]"
Berg,"[51.236666440138364, 4.828297162198746]"
Bergpad,"[51.26743358146021, 4.7862027995225365]"
Bergske,"[51.23042790723157, 4.834363209620936]"
Berkelheide,"[51.22401321195339, 4.804599941396638]"
Berkenlaan,"[51.22769751086633, 4.814523850898749]"
Bersegembaan,"[51.27033803941159, 4.788340843732083]"
Bertestraat,"[51.27765573283817, 4.855427882662916]"
Bertheyden,"[51.28206536066861, 4.848945662319633]"
Beukenlaan,"[51.22860910584287, 4.820520158918955]"
Beulk,"[51.258325689044334, 4.7774582691533745]"
Beulkbeemden,"[51.26308669129252, 4.775008129527482]"
Biezenhoek,"[51.229521, 4.8357424]"
Binnenhof,"[51.234613852081246, 4.83581541517038]"
Blasvenpad,"[51.26418015479953, 4.79848099142613]"
Blommerschot,"[51.263830631286815, 4.771752859181912]"
Blommerschotsebaan,"[51.26797973131451, 4.775237638350884]"
Boelaart,"[51.268210415091126, 4.809639164514362]"
Boonhof,"[51.25916711072804, 4.78741352975101]"
Borgakker,"[51.25708069232334, 4.789279605427121]"
Borgstraat,"[51.256460821618816, 4.788466086074625]"
Borze,"[51.24517229513323, 4.836109335830891]"
Bosbeemden,"[51.29813816461439, 4.871952090531012]"
Bosduifweg,"[51.276716, 4.7926001]"
Boskant,"[51.24487631592572, 4.817524140802636]"
Boskapelstraat,"[51.233971667771755, 4.822287553554666]"
Bosmierenpad,"[51.288806357122894, 4.837493469324392]"
Bosuilweg,"[51.27802649149237, 4.793937623570592]"
Bosweg,"[51.257894276825105, 4.796349793226185]"
Bredestraat,"[51.259354523590844, 4.812994639074979]"
Bremstraat,"[51.27068225715763, 4.792136747958889]"
Brevennendijk,"[51.27087715275266, 4.794871130927658]"
Broekzijstraat,"[51.23428380261909, 4.805601695828219]"
Bruinstraat,"[51.2567444337776, 4.832398554152735]"
Brulens,"[51.264689950000005, 4.859879187695128]"
Brydenbachlaan,"[51.263122455644854, 4.781368469840155]"
Corsicabaan,"[51.27623531479856, 4.801055854334082]"
Dalenbergstraat,"[51.267786516231254, 4.793589129989499]"
Dalenhut,"[51.26766868094633, 4.795588629997219]"
De Bessingen,"[51.2794694797109, 4.7947288]"
De Blokken,"[51.272939347609224, 4.788067979530176]"
De Busseltjes,"[51.22847961860889, 4.840383968445626]"
De Dalen,"[51.26814051630664, 4.790268389676638]"
De Dijken,"[51.24593354578088, 4.828500586345598]"
De Mispad,"[51.2224748, 4.8740155]"
De Nefstraat,"[51.269342892063825, 4.869746054168633]"
De Nieuwe Wijngaard,"[51.22826959521312, 4.845352781801506]"
De Polder,"[51.23896073778886, 4.862110390763202]"
De Reukens,"[51.27913346255578, 4.881822987110937]"
De Schrans,"[51.236286050000004, 4.821032150000001]"
De Weverkens,"[51.25336856942955, 4.7720628322550755]"
De Willaart,"[51.226436501478396, 4.826385707268209]"
Delphine Adriaensstraat,"[51.2335941, 4.83205915]"
Den Bosberg,"[51.263001991734505, 4.865265844193167]"
Den Hert,"[51.2636767, 4.78547495]"
Dennenlaan,"[51.260894109691066, 4.79704193657874]"
Derde Bosdreef,"[51.27043787536196, 4.803565275407062]"
Diamantstraat,"[51.254554514929296, 4.780839603765861]"
Dingdongen,"[51.2561069, 4.86342645]"
Doolstraat,"[51.2643946, 4.86934555]"
Dorp,"[51.22657015, 4.8357201000000005]"
Dr. Karel Van Noppenstraat,"[51.26188893844633, 4.804514940828368]"
Dr.Tricotstraat,"[51.22750501114412, 4.839707204995427]"
Duinenweg,"[51.277772699365904, 4.797490908328519]"
Duivenstraat,"[51.249203089598566, 4.818842850598372]"
Eekhoornweg,"[51.27557004083544, 4.791121092316139]"
Eendendreef,"[51.263749182837635, 4.812417520012601]"
Egelspad,"[51.288675968045254, 4.843526216815906]"
Eigenaarsstraat,"[51.269844289028626, 4.8690935659944525]"
Eikenlaan,"[51.23858872848569, 4.831067022093196]"
Elskoten,"[51.2323011, 4.8401890000000005]"
Elzenhoek,"[51.240537811161836, 4.826076435428657]"
