Straat,Coordinaten
Alsembergsesteenweg,"[50.77722958944021, 4.325741989269143]"
Anjou Square,"[50.769905736478414, 4.334611260955091]"
Armandinepad,"[""FOUT, geen straat gevonden""]"
Arthur Van Dormaelstraat,"[50.773107143648566, 4.333357511646836]"
Bambos,"[50.76483548673869, 4.345269755571834]"
Bankveld,"[50.76856865667297, 4.346869508217322]"
Beukenstraat,"[50.77104328414258, 4.3261010479093125]"
Bloemhof,"[50.77168623721964, 4.341941911592403]"
Boesdaal,"[""50.7632504"", ""4.3519282""]"
Bospad,"[50.76549767364295, 4.341064792782202]"
Boterberg,"[50.773874505993994, 4.323103956409363]"
Braambeziënlaan,"[50.773909280950505, 4.3376776731546665]"
Bremhof,"[50.76909910135576, 4.34399545903947]"
Brouwerijstraat,"[50.77839699558373, 4.3269965928687455]"
Dapperensquare,"[50.773857391577785, 4.3352260572155625]"
Dwersbos,"[50.767037152113254, 4.332638264341408]"
Edmond Theunissenlaan,"[50.77753854406216, 4.324030506676109]"
Elsgatveld,"[50.763615763561695, 4.363867010745696]"
Esselaar,"[50.765760624794396, 4.352120239375206]"
Fons Dehaesstraat,"[50.77114901697259, 4.33567104728051]"
Galgendries,"[50.76552267139493, 4.347383737996413]"
Gemeenteplein,"[50.77254225318894, 4.335991708731712]"
Grasmusdreef,"[50.767492792996975, 4.337228385363436]"
Grote Baan,"[50.7740614106875, 4.324953654658825]"
Haldorp,"[50.76459115, 4.35369895]"
Heidedreef,"[50.766335200292225, 4.338102106143752]"
Hess de Lilezlaan,"[""FOUT, geen straat gevonden""]"
Hoekstraat,"[50.77065807748626, 4.329185796185062]"
Hof Roger Thiéry,"[50.77621447995095, 4.323582657858075]"
Hof ten Bleutesquare,"[50.77846005, 4.324847800000001]"
Hofveld,"[50.770251, 4.3263499]"
Hollebeekstraat,"[50.76338150174411, 4.360821488096358]"
Hollekensweg,"[50.76663660987851, 4.349772035418468]"
Hongarijestraat,"[""50.7693991"", ""4.3219866""]"
J. en R. Wijtsmanpad,"[50.773020372372486, 4.344395271574878]"
Jef Van Lishoutstraat,"[50.77331668649248, 4.33199069439914]"
Karenveld,"[50.76580507472656, 4.340425372378846]"
Kasteeldreef,"[50.770154272885556, 4.335898018729658]"
Kasteelstraat,"[50.77287471642522, 4.3393173733006245]"
Kautergat,"[50.7720674708528, 4.3572534895310415]"
Kerkstraat,"[50.772221916713306, 4.336005450031673]"
Kerkveld,"[""50.770624"", ""4.3433294""]"
Kerkveldweg,"[50.77024880471907, 4.340446001111016]"
Klaprozenweg,"[50.77244245, 4.346641923060941]"
Kleindalpad,"[50.770634545195946, 4.348332181198074]"
Kleindalstraat,"[50.773368958627564, 4.3518485379253224]"
Kleiveld,"[50.77002351384121, 4.344732833265804]"
Koekoekpad,"[50.77138953608435, 4.331484987451099]"
Komd. Romain Marissaldreef,"[50.77193050473042, 4.3442869648362725]"
Krekelendries,"[50.768327730255244, 4.336934318430519]"
Lange Haagstraat,"[50.76518645835654, 4.355702401866853]"
Marcel en Robert Maassquare,"[50.77312875, 4.33837649939513]"
Mezenhof,"[50.76830119411509, 4.330303740125496]"
Molenhof,"[50.77645957190683, 4.328123501479422]"
Molenstraat,"[50.77472743498829, 4.326708771875525]"
Oplinkebeekpad,"[50.77307002908925, 4.343391561558215]"
Oude Weg,"[50.774502397487346, 4.335030161176661]"
Pastorijpad,"[""FOUT, geen straat gevonden""]"
Perkstraat,"[50.7712536, 4.3547138499999996]"
Rodestraat,"[50.75940913442479, 4.347250400686804]"
Schaveistraat,"[50.76451491130962, 4.343632464861364]"
Scheeweg,"[50.77022033381546, 4.337497418921686]"
Schouwendaal,"[50.76316898911205, 4.3572882780045115]"
Sint Sebastiaanstraat,"[50.772770464193584, 4.334985755286664]"
Stationsstraat,"[50.77339580066298, 4.335638956257779]"
Ukkelsesteenweg,"[50.77838389826059, 4.323555704134609]"
Vijversdreef,"[50.76918186373089, 4.331474763898486]"
Villalaan,"[50.768106987541564, 4.343168796241286]"
Wijnbrondal,"[50.770825663162235, 4.33729652322106]"
Woudpad,"[50.7644709320853, 4.358533126027726]"
Wouterbos,"[50.7653525455314, 4.3431613039867445]"
Zavelstraat,"[50.77314492922574, 4.336980781960377]"
