Straat,Coordinaten
3e Regt.Lansiersstraat,"[50.80465332458171, 5.0630439293213305]"
Achter het Broekweg,"[50.81024166753714, 5.026300524813752]"
Achter het Dorp,"[50.79114225, 5.0521605]"
Bareelstraat,"[50.79298393561898, 5.0537975611361805]"
Begijnhofstraat,"[50.82303874348169, 5.057630188180096]"
Beinshoevestraat,"[50.80373750099763, 5.000941132334392]"
Bergdriesstraat,"[50.815894345325745, 5.003680309821479]"
Bonastraat,"[50.80777357910057, 5.02088431471294]"
Boomgaardstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bosstraat,"[50.81059140929336, 5.0456802367497815]"
Bosveldweg,"[50.83068853857672, 5.072217819575539]"
Braambeekstraat,"[50.84136514247182, 5.013538746430862]"
Bredestraat,"[50.85314040075378, 5.012637247526094]"
Broekstraat,"[50.814094612602936, 5.023954704800962]"
Bronstraat,"[50.79378367854891, 5.033598116650336]"
Brouwersstraat,"[50.79470939556594, 5.0371509479837]"
Cartuyvelsstraat,"[50.841453099999995, 5.04085455]"
Craesbeeckstraat,"[50.83722849548675, 5.018705623300975]"
Dellenbosweg,"[50.803104732230125, 5.012512665479526]"
Donkelstraat,"[50.84224205862369, 5.03356891587455]"
Dorpsplein,"[""FOUT, geen straat gevonden""]"
Dorpsstraat,"[50.82403774944926, 5.060249593005413]"
Dotermontstraat,"[50.840182932691825, 5.035265395331088]"
Doysbroeckweg,"[50.82130851786911, 5.045555661793695]"
Driesstraat,"[50.84608022101616, 5.055840537164737]"
Droogstraat,"[50.837470496068164, 5.019367080366908]"
Eendenstraat,"[50.841828359384095, 5.042712868690266]"
Eliksemstraat,"[50.80434484602934, 5.016269546427641]"
Ezelsbaan,"[50.80356550091463, 5.059311829570693]"
Galerijstraat,"[50.82615505765908, 5.063999293048396]"
Galgenstraat,"[50.802998211427365, 5.035208037892093]"
Geetkouterstraat,"[50.81626648870224, 5.018711774176867]"
Geldenakenstraat,"[50.795048692253765, 5.031975404239866]"
Getestraat,"[50.83470406678433, 5.026348194291348]"
Graaf de T'Serclaesstraat,"[50.811154051557075, 5.01400306135252]"
Groenstraat,"[50.82475084347769, 5.07157373501494]"
Grote Steenweg,"[50.804847300000006, 5.07622565]"
Hakendoverstraat,"[50.80640024225669, 5.006979946913504]"
Hazenbergstraat,"[50.823819900000004, 5.05674705]"
Heerenweg,"[50.81719326641507, 5.031232378194622]"
Heidestraat,"[50.85379675166874, 5.01948152430635]"
Heirbaan,"[50.855796419026106, 5.058192712339709]"
Hekstraat,"[50.79562195, 5.030507500000001]"
Helen-Bosstraat,"[50.805288124299864, 5.061828382272818]"
Hereblokstraat,"[50.813400576566956, 5.01462233208144]"
Hertogheplein,"[""FOUT, geen straat gevonden""]"
Hespense Steeg,"[50.79537101083719, 5.061465108641809]"
Heufstraat,"[50.79577560623457, 5.030213704841077]"
Kapelstraat,"[50.80614959465422, 5.068219989937131]"
Kareelovenstraat,"[50.81409931220669, 5.01553409979772]"
Kasteelstraat,"[50.84385482643616, 5.0198982433505765]"
Kattelijnestraat,"[50.813826023227904, 5.0125719079351025]"
Kempeneersstraat,"[50.792164613633126, 5.055667934114802]"
Kerkeveldstraat,"[""FOUT, geen straat gevonden""]"
Kiezelstraat,"[50.85586880669415, 5.055031396145013]"
Klein Broekstraat,"[50.81142495423713, 5.0236002099406445]"
Klein Kouterstraat,"[50.81252753110696, 5.007712671529114]"
Kleine Getestraat,"[50.80803048910806, 5.079960571058399]"
Korte Walsbergenstraat,"[50.795396798241164, 5.039105156408606]"
Korte Weg,"[50.79977673637261, 5.056553534404245]"
Kosterstraat,"[50.84565227541682, 5.054445317027869]"
Kouterstraat,"[50.811073382223356, 5.0105122779083064]"
Kwadehaagweg,"[""FOUT, geen straat gevonden""]"
Kwadeplasstraat,"[50.83604946483351, 5.017653618049684]"
Kwakkelstraat,"[50.81390237354362, 5.016902072963571]"
Landenstraat,"[50.79686439533284, 5.056455466221288]"
Langstraat,"[50.794488154264094, 5.060397563153328]"
Lindestraat,"[50.81618410349106, 5.058618951001777]"
Meerkensstraat,"[50.84642883092784, 5.030114806866753]"
Mehringstraat,"[50.84575510425196, 5.044256756130268]"
Melkerijstraat,"[50.79417520385648, 5.051559646386817]"
Melkwezerstraat,"[50.814077068265334, 5.018826515374706]"
Molenaarsstraat,"[50.791497133661, 5.056138353053906]"
Molenstraat,"[50.842265745839754, 5.045753754845774]"
Molenweg,"[50.847172300000004, 5.03986235]"
Motstraat,"[50.84399616358414, 5.048213631439335]"
Neerwindenstraat,"[50.7863397633698, 5.051808543286852]"
Nieuwstraat,"[50.80137481384613, 5.058610449933559]"
O.L.Vrouwstraat,"[50.79498278276027, 5.030909217466406]"
Oplinterstraat,"[50.81184503370088, 5.012144024917297]"
Orsmaalweg,"[50.790775345470976, 5.065560274912101]"
Oude Dorpsstraat,"[50.804706717045526, 5.072703749122719]"
Oude Kerkstraat,"[50.801778049999996, 5.0589443]"
Overhespenstraat,"[50.80203046862578, 5.05577796917853]"
Paardskerkhofstraat,"[50.806216925147936, 5.0669036943190635]"
Papenstraat,"[50.85435270433755, 5.021482602095408]"
Pastoorsstraat,"[""FOUT, geen straat gevonden""]"
Pastorijstraat,"[50.81218387812402, 5.016967573950292]"
Pelsstraat,"[50.84744852816625, 5.046615010585824]"
Ransbergstraat,"[50.84390775606732, 5.028886300926438]"
Rattenstraat,"[50.85754801627021, 5.059586896706374]"
Rodestraat,"[50.80881562686465, 5.011883537158044]"
Roelstraat,"[50.85731588406639, 5.038874865366945]"
Sint-Kwintensstraat,"[50.80891674089757, 5.019706181887214]"
Sint-Truidensesteenweg,"[50.80273362230852, 5.056089318701094]"
Stationsbaan,"[50.84328622632653, 5.050557728275039]"
Stationsplein,"[50.84314412470579, 5.051872957082481]"
Stationsstraat,"[50.83378861169975, 5.063819871100346]"
Veldbaan,"[50.84466158630344, 5.043387559836865]"
Veldstraat,"[50.84779787205146, 5.053369005991106]"
Vijverstraat,"[50.7931296, 5.04007355]"
Viskotstraat,"[50.849942643690866, 5.059315747621983]"
Vlietstraat,"[50.83621105465387, 5.028849519275922]"
Waeleweg,"[""FOUT, geen straat gevonden""]"
Walsbergenstraat,"[50.801822149695255, 5.04197195774328]"
Wangestraat,"[50.78983346182188, 5.044814646581497]"
Waterhofstraat,"[50.80810338490361, 5.065067216980959]"
Wittebosstraat,"[50.866409804667775, 5.026811220624343]"
Zandstraat,"[50.812765, 5.015185349999999]"
Zilverstraat,"[50.8206517709396, 5.0581628452274385]"
Zonstraat,"[50.84662799287399, 5.0548073663436845]"
