Straat,Coordinaten
't Jongestraat,"[51.13509664150176, 3.838292835928953]"
Abelenhof,"[51.08445834155991, 3.818113652842416]"
Acacialaan,"[51.08401775, 3.8186532626540055]"
Achterhoek,"[51.1846122, 3.8759036]"
Adelaarstraat,"[51.166839864958526, 3.845574868980978]"
Akkerstraat,"[51.19259503344637, 3.8467372311521775]"
Ambachtenlaan,"[51.10584942848031, 3.8735302773280003]"
Antwerpse Steenweg,"[51.08561165, 3.8000208]"
Arendstraat,"[""FOUT, geen straat gevonden""]"
Axelsvaardeken,"[51.177546565047834, 3.877727149169475]"
Azalealaan,"[51.092227300000005, 3.81891625]"
Azaleastraat,"[51.1354885, 3.8601453]"
Baljuwweg,"[51.08643860760062, 3.854717495331695]"
Bastelare,"[51.09780058248069, 3.89830535897056]"
Bedevaartlaan,"[51.0882871, 3.8478775]"
Bedrijvenlaan,"[51.10485923581084, 3.8759440078587035]"
Beervelde-Dorp,"[51.079977160697396, 3.874373798884648]"
Beerveldse Baan,"[51.093901349999996, 3.87713155]"
Beeweg,"[51.123110254296996, 3.870201337733382]"
Begonialaan,"[51.0931135314898, 3.81707573963093]"
Begoniastraat,"[51.1345901, 3.86046795]"
Bennesteeg,"[51.07950211979822, 3.881269219866182]"
Berkenstraat,"[51.13305916809857, 3.8551459348307007]"
Berluyck,"[51.0904185, 3.81744515]"
Beukendreef,"[51.08299252547944, 3.821412312019223]"
Bevrijdingslaan,"[51.1061602, 3.8288499]"
Biezenhof,"[""FOUT, geen straat gevonden""]"
Bijlestraat,"[""FOUT, geen straat gevonden""]"
Bijlokelaan,"[51.09885192346297, 3.8231950758867197]"
Bisschop-Pieter-Damantlaan,"[51.08685632566871, 3.8504111756091497]"
Blaarstraat,"[51.202403188483885, 3.8485425532454873]"
Bloembollenlaan,"[51.08493642257332, 3.804034510853316]"
Bloemenweg,"[51.1751826, 3.8513006499999998]"
Bochtenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Boekweitlaan,"[51.09738343080464, 3.8231438633371786]"
Boerenkrijghof,"[""FOUT, geen straat gevonden""]"
Bommel,"[51.14295501420496, 3.8399103588846453]"
Bommelslaan,"[51.08871325063655, 3.8573879816711227]"
Bosakkers,"[51.09042742287214, 3.8454321920588663]"
Bosdam,"[51.14471655, 3.8893486499999996]"
Bosdreef,"[51.09203652896597, 3.8455194775608805]"
Boskapellaan,"[51.088072703239284, 3.8513050494381083]"
Bosmansdreef,"[51.07581734515706, 3.8629014069282146]"
Bosstraat,"[51.1077895, 3.8480739]"
Bovenhoek,"[51.198726082042796, 3.8955739606548785]"
Braamstraat,"[51.09341635, 3.82237265]"
Brandstraat,"[51.074568223271, 3.865604357095451]"
Breestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Brugstokstraat,"[51.1765098, 3.8687730499999997]"
Brugstraat,"[51.06854810002852, 3.898610159238038]"
Buizerdstraat,"[51.1671016, 3.8440393]"
Bunder,"[51.109287680903236, 3.821355083440213]"
Burg. Van Pottelberghestraat,"[51.16805584305906, 3.8609611385000333]"
Burgemeester De Schryverhof,"[51.08362550355743, 3.8317841171677594]"
Burgemeester Lippensstraat,"[51.13471187672326, 3.8557447515928205]"
Burgemeester-Vermeulenlaan,"[51.099804699239456, 3.835244887931145]"
Busstraat,"[51.133404369556324, 3.827646226132456]"
Canadastraat,"[51.13537220496368, 3.8590984248565356]"
Catharinastraat,"[51.18821207684617, 3.8618499248699245]"
Catharinastraat-Zuid,"[51.18193055747202, 3.873261150536205]"
Charles Vuylstekehof,"[51.09544526183848, 3.8351518329039473]"
Cijnsakkerweg,"[51.085677000000004, 3.81207325]"
Clivialaan,"[51.092537699999994, 3.82565285]"
Cootveld,"[51.079500652435, 3.913572073244605]"
Cornilstraat,"[51.20480178237133, 3.8522507048327372]"
Craenendam,"[51.15267443396341, 3.8726538061265376]"
Dahlialaan,"[51.089397649999995, 3.8043168499999998]"
Dam,"[51.14371389830145, 3.864335904270544]"
De Cockshof,"[51.0883511, 3.8305864884801033]"
Dekenijstraat,"[51.09602673210102, 3.833171500223433]"
Dendermondse Steenweg,"[51.05233716893399, 3.853745304200821]"
Denen,"[51.104688949999996, 3.8663852]"
Dennenhof,"[51.09081515, 3.82269495]"
Dennenlaan,"[51.181116, 3.8488713]"
Dijkgracht,"[51.13358660819616, 3.8699634066591098]"
Distelweg,"[51.13194584594473, 3.869825497861958]"
Dodemoerstraat,"[""FOUT, geen straat gevonden""]"
Doornikstraat,"[51.08526895, 3.8092817500000002]"
Doornzelestraat,"[51.1155238967172, 3.814743430544924]"
Dorp,"[51.16942127592916, 3.858894685476149]"
Dorp-Oost,"[51.09799433506596, 3.8388881462222275]"
Dorp-West,"[51.09522973769817, 3.828927203045941]"
Dorpsstraat,"[51.10253166782609, 3.8347570682104686]"
Dr.Jules Persynplein,"[51.170500591566224, 3.858811392635981]"
Draaiboomstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Duiventorenhof,"[51.092140780680054, 3.812681914876767]"
Eendenstraat,"[51.09760973481453, 3.8450189273854236]"
Eethoek,"[51.07038156162285, 3.9019162636890994]"
Eikendreef,"[51.08281062829854, 3.8308778222799096]"
Eikstraat,"[51.100665815956404, 3.8825549086651265]"
Elf-Novemberlaan,"[51.103642885909004, 3.831641039902344]"
Ertbuerhoek,"[51.068741907935284, 3.8628396508074947]"
Esdoornlaan,"[51.08653375, 3.8211496]"
Expressweg,"[""FOUT, geen straat gevonden""]"
Fazantenstraat,"[51.097176399999995, 3.8539481]"
Ganzenhof,"[51.09412947965979, 3.8496837376067354]"
Gaverveld,"[51.0993063551447, 3.8947640295216237]"
Gebroeders Naudtslaan,"[51.192009399865576, 3.8356127007445773]"
Gelei,"[51.12817012654029, 3.8279493828344653]"
Gemete,"[51.10321250898179, 3.833584367164305]"
Geraniumlaan,"[51.17559525630205, 3.853025227941416]"
Gladiolenlaan,"[51.175036159158864, 3.855473798118858]"
Gloxinialaan,"[51.0842086, 3.80125515]"
Godshuisstraat,"[51.170147133911094, 3.86063140010463]"
Goed ten Pauw,"[51.094893103694105, 3.8531674533553897]"
Graslaan,"[51.09681305, 3.82567295]"
Graspieperhof,"[51.09667034599037, 3.8452814033063603]"
Groenstraat,"[51.167897752335506, 3.844760888970143]"
Haanhoutstraat,"[51.07818222869503, 3.8573405683886164]"
Halve Dreef,"[51.106077370432274, 3.8914663476957037]"
Hanselaarstraat,"[51.07034081029471, 3.898926447750859]"
Heidegrond,"[51.090731773990655, 3.8075865297944826]"
Heidestraat,"[51.1697988969652, 3.8953307036993814]"
Heistraat,"[51.07919847765095, 3.887549642647916]"
Hellestraat,"[51.13262418649348, 3.867476924215311]"
Hendrikslaar,"[51.09863647675109, 3.832876833307598]"
Hettingestraat,"[51.20056013993176, 3.8897409754748375]"
Hijfte-Center,"[51.1112276495195, 3.8111196390702005]"
Hijftestraat,"[51.10528012438921, 3.8158163866086987]"
Hoekskensstraat,"[51.11534714710154, 3.8355862254675874]"
Hoekstraat,"[51.108803701665465, 3.9009884786067137]"
Hoge Akkerstraat,"[51.1764765, 3.8649355]"
Hoge Landbilkstraat,"[51.17730409643741, 3.8701227654090182]"
Hoogbastelare,"[51.098089671781544, 3.8959693826108746]"
Hoogstraat,"[51.06924400497256, 3.8490941329594377]"
Hortensialaan,"[51.0928901, 3.82357125]"
Hospiceweg,"[""FOUT, geen straat gevonden""]"
Hospitaalstraat,"[51.078889256114806, 3.8760464570150774]"
Huringwegel,"[51.10012947312372, 3.839755640661683]"
Husseveldestraat,"[""FOUT, straat in foute gemeente gevonden""]"
IJskelderdreef,"[51.15142505, 3.86720375]"
Ijsvogelstraat,"[51.164194835786176, 3.8467754397048104]"
Irislaan,"[51.175282249999995, 3.85148755]"
Jasmijnhof,"[51.09586003446862, 3.8202832723286195]"
Kalkenweg,"[51.0629716, 3.89635455]"
Kallestraat,"[51.110433118375894, 3.896462009594647]"
Kalve,"[51.17154, 3.8771671]"
Kalvebrug,"[51.16688276278912, 3.8857279667707587]"
Kantschoolweg,"[51.10937552584967, 3.8980828663463734]"
Kanunnik Petrus Jozef Triestlaan,"[51.13252914033431, 3.8615848013617913]"
Kapelaanwegel,"[51.085321729454265, 3.8517710832744942]"
Kapelleken,"[51.096924129282435, 3.827100280700019]"
Kapelstraat,"[51.1198614916281, 3.8545152396807176]"
Kapiteinsstraat,"[51.118648990462745, 3.832239909041412]"
Kasselstraat,"[51.13691201227224, 3.865853044441583]"
Kastanjedreef,"[51.0829698, 3.8279688]"
Kasteeldreef,"[51.09358346747451, 3.8273206519698357]"
Kasteelstraat,"[51.07854730325411, 3.8809111219373285]"
Kerkstraat,"[51.12231167790663, 3.866712039224706]"
Kerkwegelakker,"[51.094172073098584, 3.8394662]"
Kerrebroekstraat,"[51.07860817485556, 3.919414147164485]"
Kievithof,"[51.09501451323211, 3.844143849062999]"
Kievitstraat,"[51.16376902726205, 3.849277064730688]"
Kijkdorp,"[51.078439020486, 3.8738874749361503]"
Klein Gent,"[51.05968154999999, 3.8662270999999997]"
Kleine Heidestraat,"[51.064886525541404, 3.885864559095761]"
Kleistraat,"[51.198315486501635, 3.8551585935511405]"
Kloefkensakker,"[51.08955596306455, 3.829238766590068]"
Kloosterstraat,"[51.077907103506334, 3.8766725993332205]"
Kluizestraat,"[51.13393558422104, 3.868554555537984]"
Knokkestraat,"[51.17738571458836, 3.892017230267417]"
Koedreef,"[51.143438849789476, 3.853940612926556]"
Koning Leopold III-laan,"[51.09962949084009, 3.8329051751065153]"
Koning-Albertlaan,"[51.097064736367784, 3.8323907393966534]"
Koning-Boudewijnlaan,"[51.09722400795224, 3.829365018637717]"
Koningin Astridlaan,"[51.09958225, 3.83166905]"
Koningin Elisabethlaan,"[51.0992824, 3.8341583999999997]"
Kouter,"[51.1051264, 3.8291907]"
Krokussenlaan,"[51.17394012132757, 3.8577239300395427]"
Krommendonck,"[51.13677395911801, 3.8640126147338814]"
Kruisbekstraat,"[51.16420585, 3.8446042499999997]"
Kruisstraat,"[51.19559781397616, 3.8907605875780797]"
Kwartelweg,"[51.097117938411344, 3.8459823491454084]"
Kwikstaarthof,"[51.096367948341, 3.842797692985582]"
Lange Boomstraat,"[51.20416937036956, 3.864070937530478]"
Langelede,"[51.191576, 3.8581022]"
Langenakkerlaan,"[51.097641949999996, 3.8597381000000004]"
Ledeakkerstraat,"[51.08289364400673, 3.873368591327102]"
Ledebeekweg,"[51.08722316626311, 3.858915390523725]"
Leemstraat,"[51.12670831506358, 3.8818182435514332]"
Leeuwerikstraat,"[51.16649023836798, 3.8476428362830264]"
Lelielaan,"[51.17588274092102, 3.850960085824343]"
Lepelaarsweg,"[51.095530477690666, 3.8475056504098033]"
Lepelstraat,"[51.185301632266146, 3.8857080615718527]"
Lichtelarestraat,"[51.08616298021252, 3.818142705797928]"
Lichtstraat,"[51.14020465, 3.89845795]"
Lieskensakker,"[51.09926249610258, 3.8401205510717293]"
Lieskensweg,"[51.10060075, 3.8413862500000002]"
Lijsterbeslaan,"[51.084045100000004, 3.8209959]"
Lijsterstraat,"[51.16533955, 3.84937205]"
Lindestraat,"[51.12072219026107, 3.8235786665203126]"
Lisdoddeweg,"[51.13120375, 3.8701406]"
Lobelialaan,"[51.17454953842723, 3.8523319586921425]"
Loboslaan,"[51.08997075001459, 3.8480275647670905]"
Lozen Boer,"[51.1056802, 3.8685449]"
Magerakkerlaan,"[51.097155826495715, 3.856635291676726]"
Magretstraat,"[51.06894089486997, 3.875634293202232]"
Marie Teirlinckstraat,"[""FOUT, geen straat gevonden""]"
Markussenhof,"[51.09139204857186, 3.8233302529467226]"
Meerhout,"[51.0925267, 3.8296882500000002]"
Meersstraat,"[51.165377, 3.8612802999999998]"
Melkerijstraat,"[51.1756784, 3.8571757]"
Mendonkse dreef,"[51.154678339503484, 3.855455647005809]"
Merelput,"[51.099893496051976, 3.8358773793252174]"
Merelstraat,"[51.1670114621196, 3.848911232791708]"
Mezenstraat,"[51.16591302646437, 3.848255573791904]"
Molenakkerstraat,"[51.17188763647554, 3.8633750066353394]"
Molenberglaan,"[51.07919386151609, 3.8931107026648535]"
Moleneinde,"[51.130341900000005, 3.85490885]"
Molenhoek,"[51.1711552, 3.8652335]"
Molenstraat,"[51.12980018064725, 3.85413390019919]"
Moststraat,"[51.057084304931294, 3.8476894126076675]"
Muishoeken,"[51.20134965441515, 3.8755757693339237]"
Nachtegaalstraat,"[51.16694553070022, 3.847954747750796]"
Nerenhoek,"[51.1304218, 3.8432031]"
Nieuwstraat,"[51.08926837444675, 3.822281032964497]"
Oledsdam,"[51.15221975, 3.89264615]"
Omer Van Puyveldeplein,"[51.20021795, 3.88818375]"
Ommegangstraat,"[51.08617623716257, 3.851534301925313]"
Ooievaarsweg,"[51.09730684723153, 3.8501513208668565]"
Oosteinde,"[51.13313416915442, 3.8636941624064707]"
Orchideeënhof,"[51.088910883193115, 3.802431643382139]"
Oud-Hoflaan,"[51.101551802476905, 3.8270427527063045]"
Oudburgweg,"[51.0869436, 3.85670755]"
Oude Rivierstraat,"[51.06838611677017, 3.88135454734595]"
Oude Slagmanstraat,"[51.10749977722422, 3.870247032075518]"
Oude Veldstraat,"[51.11729644119825, 3.846159865902653]"
Oude-Boomgaardlaan,"[51.10077127653768, 3.826828837870678]"
Oudeburgse Sluis,"[51.2097908, 3.8550461]"
Oudstrijderslaan,"[51.1050463, 3.8318808]"
Overslag,"[51.2004321, 3.8884781]"
Overslagdijk,"[51.200477690536026, 3.8858220166578397]"
Pachtgoed,"[51.13274079535157, 3.858773446905453]"
Palingstraat,"[51.09029395332103, 3.8114692238693846]"
Palmenhof,"[51.09413353743971, 3.8197502333000752]"
Papdijk,"[51.19978008025164, 3.9109757044915954]"
Parelhoenstraat,"[51.09732224830301, 3.848733600201645]"
Parklaan,"[51.17323559828666, 3.861346658813718]"
Parochiedreef,"[51.078545936744675, 3.8728946885272197]"
Patrijsweg,"[""FOUT, geen straat gevonden""]"
Pauwstraat,"[51.09576646938674, 3.8728395165020886]"
Peene,"[51.1712535, 3.8897208]"
Pelikaanweg,"[51.096680319428785, 3.8518381437645584]"
Pensionaatstraat,"[51.08047931515902, 3.8575715463667106]"
Persijzerstraat,"[51.1284297512415, 3.89112879886601]"
Petunialaan,"[51.173658243675526, 3.8510030805137405]"
Pieter Ghesquièreweg,"[""FOUT, geen straat gevonden""]"
Plassenstraat,"[""FOUT, geen straat gevonden""]"
Platanendreef,"[51.08379495, 3.8290111500000004]"
Poelinkstraat,"[51.09042247430299, 3.8608378952487525]"
Pollaeredam,"[51.14289023922146, 3.831052070111085]"
Populierenhof,"[51.08931391515492, 3.8188977908243364]"
Posthoornlaan,"[51.0891298, 3.8586905]"
Pottershoek,"[51.16347098473489, 3.8494850314690967]"
Puidonkdreef,"[51.14978470507286, 3.897946359924824]"
Putjeshoekdam,"[51.14880075000001, 3.8863849000000004]"
Puttestraat,"[51.177030047106456, 3.886695152039275]"
Puyenbrug,"[51.148141499999994, 3.86477665]"
Ramonshoek,"[51.1930288, 3.8855011]"
Ranonkelweg,"[51.13189049005448, 3.8691704427473064]"
Rapaartakkerlaan,"[51.095972351434455, 3.8609261315988985]"
Raveschoot,"[51.070161615218666, 3.888196340341564]"
Rechtstraat,"[51.12668702591752, 3.841624518911065]"
Rechtstro,"[51.17110589707043, 3.859822004449191]"
Reepstraat,"[51.170277535949815, 3.862377433055733]"
Reigersstraat,"[""FOUT, geen straat gevonden""]"
Reinaertlaan,"[51.0878054, 3.8548485]"
Reinaertstraat,"[51.065621665389095, 3.865184690284153]"
Rietveldstraat,"[51.06767325822516, 3.868490739711219]"
Ringstraat,"[51.1149000100841, 3.817480311742213]"
Rivierstraat,"[51.067865350000005, 3.8805572]"
Roodborststraat,"[51.167468610900045, 3.847534285528088]"
Roosbroeklaan,"[51.08754300421887, 3.853765193354519]"
Rostijnenstraat,"[51.10966935522137, 3.8084478165772437]"
Rotdam,"[51.160429343959805, 3.8752239925240812]"
Rozelaredreef,"[51.08721962767049, 3.8388181451016656]"
Rozenlaan,"[51.09457913960538, 3.8231644202371755]"
Ruilare,"[51.116904394637906, 3.888598782189119]"
Ruwaardhof,"[51.13343129528859, 3.85965653836629]"
Salvialaan,"[51.17530692165833, 3.8542490881575513]"
Santvoordtdam,"[""FOUT, geen straat gevonden""]"
Scholeksterhof,"[51.094887208509775, 3.842990458422679]"
Schoolstraat,"[51.09648095, 3.8280519]"
Schooteveldstraat,"[51.17122147311795, 3.871017346068026]"
Sijslaan,"[51.16403195323592, 3.8451788370513187]"
Simon van Halenlaan,"[51.1349578969446, 3.8603297085119146]"
Sint-Baafsdreef,"[51.08672556157292, 3.8271913772738313]"
Sint-Bavopad,"[51.13880191687147, 3.83965542366202]"
Sint-Elooipolder,"[51.2145906, 3.878035]"
Sint-Elooistraat,"[51.1064791387933, 3.8981528484719314]"
Sint-Franciesdijk,"[51.20161497250158, 3.842362956246087]"
Sint-Niklaaslaan,"[51.094137700000005, 3.831931]"
Sint-Pietersveld,"[51.17694621013213, 3.86736974239739]"
Sint-Sebastiaanhof,"[51.09959470877575, 3.8281345687918735]"
Slagmanstraat,"[51.10560755, 3.8690341]"
Smalhaveldstraat,"[51.11419104589555, 3.851278103888583]"
Smalle Heerweg,"[51.092537800413254, 3.7993827046909425]"
Smetsakkers,"[51.1026861, 3.82988775]"
Smishoek,"[51.170345377423686, 3.8600756246524286]"
Soldatenhoek,"[51.0988593, 3.8904681500000002]"
Sparrenlaan,"[51.08538856579086, 3.801958814218521]"
Spechtstraat,"[51.16374496079606, 3.847494372543651]"
Sperwerstraat,"[51.16736751088449, 3.84548474408005]"
Spes Nostraweg,"[""FOUT, geen straat gevonden""]"
Speurdonkstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Spiegelhof,"[""FOUT, geen straat gevonden""]"
Spinsterhof,"[51.102241283089775, 3.83160986597866]"
Spoorwegstraat,"[51.17552730161943, 3.849027335663629]"
Sportstraat,"[51.1768716, 3.87183305]"
Spreeuwstraat,"[51.16358359775772, 3.8483246467697754]"
Stationsstraat,"[51.094312849999994, 3.8251182]"
Steenakkerlaan,"[51.095063480158245, 3.855861557118337]"
Steengruisdam,"[""FOUT, geen straat gevonden""]"
Steentjesstraat,"[51.08436539466106, 3.85681423297867]"
Stenenbrug,"[""FOUT, geen straat gevonden""]"
Terpoelen,"[51.0842167473872, 3.863688423293623]"
Theophiel Van der Cruyssenhof,"[51.08470616866847, 3.831938680433854]"
Toleindestraat,"[51.08871922870132, 3.889359676099581]"
Tollekenswegel,"[51.081017303204426, 3.894006341542859]"
Tomboslaan,"[51.0951239664711, 3.860651920589556]"
Torenvalkstraat,"[""FOUT, geen straat gevonden""]"
Tortelduifstraat,"[51.164628534004805, 3.8443105205169172]"
Toverstraat,"[51.081120505561415, 3.875865626368055]"
Trektragel,"[51.16757761357472, 3.8998715098391528]"
Tuinwijk,"[51.110615066797976, 3.8999592387961965]"
Tulpenlaan,"[51.096759041912236, 3.8244878832443536]"
Vaarlaars,"[51.10198955, 3.8407928499999997]"
Valkenburg,"[51.13576795, 3.8672587]"
Veldekensstraat,"[51.07948763923181, 3.817940150393867]"
Veldleeuwerikhof,"[51.09606688992067, 3.8412725251194417]"
Veldstraat,"[51.102841915004845, 3.799066334855595]"
Verbeuldestraat,"[51.16312515520896, 3.845541598484176]"
Verbindingsstraat,"[""FOUT, geen straat gevonden""]"
Verleydonckstraat,"[51.11271426006389, 3.816401951289662]"
Vieruitersten,"[51.1885965720949, 3.8860493672297]"
Vijfweegse,"[51.064643063185386, 3.8811496155352474]"
Vinkenstraat,"[51.163401383362526, 3.8468797082034576]"
Vitsakkerlaan,"[51.0983256, 3.852896]"
Voldersstraat,"[""FOUT, geen straat gevonden""]"
Voordestraat,"[51.081545888407675, 3.804555337331338]"
Vossenhof,"[51.132856691141896, 3.8668468675323946]"
Vossenstraat,"[51.05815181926675, 3.858596092649495]"
Waalsland,"[51.08796522608825, 3.799704629252097]"
Walderdonk,"[51.173982, 3.8490141]"
Warande,"[51.16100111835946, 3.844558814313153]"
Waterbosstraat,"[51.16258955227691, 3.844585674857212]"
Watermuntweg,"[51.13097559465398, 3.8687420617747397]"
Watersniphof,"[51.0946528296756, 3.8419679861005127]"
Weegbrugstraat,"[51.17575265, 3.86156045]"
Weerstandshof,"[51.10362242060674, 3.8284983259109566]"
Weide,"[51.185806675299574, 3.8941313776652193]"
Weversstraat,"[51.091693199999995, 3.8911932499999997]"
Wildestraat,"[51.19802102451351, 3.8684323051283624]"
Windgat,"[51.13537841054722, 3.8310232252804104]"
Zaffelare-Dorp,"[51.13243475, 3.861774]"
Zavel,"[51.10792214155107, 3.886801775924558]"
Zeeakker,"[51.10060591607908, 3.8360304335981166]"
Zeepdam,"[""FOUT, geen straat gevonden""]"
Zeveneken-Dorp,"[51.10749938538188, 3.9007699959021394]"
Zevestraat,"[51.062817456620344, 3.8667626256413135]"
Zijstraat,"[51.07148010085699, 3.8677089691887008]"
Zuidlededam,"[51.14814117510276, 3.900088528544567]"
Zwaluwlaan,"[51.1649055286904, 3.8471151626248554]"
