Straat,Coordinaten
Aardeken,"[51.110218286645576, 3.9954494696991705]"
Abelendreef,"[51.219995057177535, 3.98447498784956]"
Acacialaan,"[51.177161984079014, 3.9568648109724207]"
Achter Sint-Anna,"[51.1010925, 3.9818192]"
Achterdreef,"[51.203248228531145, 3.961736509040043]"
Adhemar Goetersstraat,"[51.09154305, 4.0031465]"
Amand De Vosstraat,"[51.146926453418075, 3.959496724948455]"
Ambachtenstraat,"[51.07756933616547, 3.976655991413761]"
Anna Maria Cogenstraat,"[51.09849247207482, 3.9773711579315862]"
Antwerpse Steenweg,"[51.116960399999996, 4.015067650000001]"
Arbiterstraat,"[51.09344496347168, 3.998298875960729]"
Arme Klarenstraat,"[51.098297458237354, 3.987082222484379]"
Aststraat,"[51.140903999830506, 3.996607173500212]"
August Vermeylenstraat,"[51.09990267128629, 4.0013097028096345]"
Azalealaan,"[51.1752391, 3.9262931500000002]"
Bakkerstraat,"[51.093527500780425, 4.007516998878085]"
Bareelstraat,"[51.08781929618953, 3.9098221617932056]"
Barlebuis,"[51.21776989801693, 3.990326977010952]"
Baronsdreef,"[51.1091689254623, 3.97263782500533]"
Baronshof,"[51.1089439, 3.9747497999999997]"
Bautschoot,"[51.1424254, 3.955697]"
Beekstraat,"[51.09564268272629, 4.000884305775268]"
Beenhouwerstraat,"[51.1040492, 4.00281015]"
Beertenstraat,"[51.11871076832389, 4.013876662725897]"
Beerveldestraat,"[51.08476246704337, 3.934542874010495]"
Begijnhofstraat,"[51.105646295236724, 3.992628818091934]"
Begonialaan,"[51.17448120718769, 3.9272674858975343]"
Bergendriesstraat,"[51.112875152860276, 3.9889265393395665]"
Bergstraat,"[51.22257605872193, 3.9827688414775437]"
Berkenlaan,"[51.11442816709397, 3.9924363996163237]"
Bertha Braeckmanhof,"[51.09900425588363, 3.9856950306202745]"
Beukendreef,"[51.21972182797244, 3.965046923594674]"
Beukenhof,"[51.11510835794035, 3.9925450406553225]"
Beukenlaan,"[51.11521063343649, 3.993440431803146]"
Beverijstraat,"[51.179443, 3.9565576499999997]"
Bevrijdersstraat,"[51.1727839, 3.9396743499999998]"
Bietenstraat,"[51.089515649999996, 3.966326]"
Biezenstraat,"[51.09656518438332, 4.0025462808743875]"
Bijkamstraat,"[51.07547649816849, 3.956967672677895]"
Bijlkensstraat,"[51.1063767, 3.96615755]"
Binnenhof,"[51.1063152077202, 3.9922108927327913]"
Blaasmolenstraat,"[51.08996186625482, 4.015457842099654]"
Bleekmeersstraat,"[51.10500027122591, 4.002807145545039]"
Blekerijstraat,"[51.1042508665698, 3.9953291099302657]"
