Straat,Coordinaten
Aangelagstraat,"[51.23376471830835, 5.347170381959832]"
Acaciastraat,"[51.24541478907582, 5.337826530733283]"
Achter de Schans,"[51.223656399999996, 5.36365505]"
Adelberg,"[51.233607816214764, 5.305794696372791]"
Adelbergpark,"[51.23354251984601, 5.307573391719854]"
Akkerstraat,"[51.239200420455276, 5.319694045570332]"
Albert Servaesdreef,"[51.24460172159174, 5.3179341498067405]"
Albrecht Rodenbachstraat,"[51.23250266868806, 5.28364119498828]"
Alice Nahonstraat,"[51.22625568798988, 5.288280926700214]"
Ambachtenweg,"[51.2389527, 5.3591631500000005]"
Anjerstraat,"[51.22798715, 5.2668253499999995]"
Ankerstraat,"[51.23696378854176, 5.2279943016353565]"
Antoine César Becquerelstraat,"[""FOUT, geen straat gevonden""]"
Anton Philipsweg,"[51.21640877612489, 5.291781127731291]"
Antoon Delemazurestraat,"[51.25342368090002, 5.374529114454398]"
Antoon Vandendungenstraat,"[51.23728637778544, 5.374560915419824]"
Arendstraat,"[51.22645098419223, 5.301717142957909]"
August Vermeylenstraat,"[51.23054623278901, 5.2779560818513644]"
Averbodestraat,"[51.22022972804113, 5.327119268056654]"
Bakhuisstraat,"[51.20713989195807, 5.312901935418759]"
Bakkersakker,"[51.235290611060854, 5.309596965508822]"
Balendijk,"[51.220574, 5.2964923]"
Barrierpad,"[51.23491191880782, 5.3735726085291855]"
Beekstraat,"[51.23382453612811, 5.3670284136685185]"
Beemdstraat,"[51.225237955174045, 5.341753445862695]"
Beiaardgalm,"[51.22995880003485, 5.31992805476461]"
Bergstraat,"[51.20593003215555, 5.31249858244611]"
Bettevennen,"[51.2463420501885, 5.339147947945308]"
Bevrijdingslaan,"[51.240085342664415, 5.361797439418726]"
Bezemstraat,"[51.210376927293474, 5.313877662310568]"
Biehal,"[51.20657441205999, 5.312278973512451]"
Bietenstraat,"[51.18039486491141, 5.2926168810124175]"
Biezenkuilstraat,"[51.24305745361348, 5.323163130284818]"
Binnensingel,"[51.222999275249826, 5.303962316376818]"
Bladstraat,"[51.1814361811904, 5.292720606214821]"
Blauwe Kei,"[51.2375672, 5.2248457]"
Blekerheide,"[51.26013195, 5.3013258]"
Blekerijstraat,"[51.226751714475085, 5.322150409974943]"
Bloemstraat,"[51.18429181219354, 5.289992403065601]"
Bochtstraat,"[51.2387739411522, 5.311216223417938]"
Boekbindersweg,"[51.239508079811976, 5.356697633820064]"
