Straat,Coordinaten
A. Lambertsstraat,"[51.0136638, 4.3027524]"
Acacialaan,"[51.0018103, 4.3118175]"
Achter de Schuur,"[""FOUT, geen straat gevonden""]"
Achterheide,"[51.0328151, 4.2982948]"
Ambachtsstraat,"[51.0163068, 4.3209679]"
Arduinstraat,"[51.0041974, 4.3140149]"
Autostrade,"[""FOUT, geen straat gevonden""]"
Basaltstraat,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[51.0123626, 4.2665986]"
Beemden,"[50.9980628, 4.3087285]"
Begoniastraat,"[51.0098524, 4.2957349]"
Bergboslaan,"[51.0079893, 4.3197639]"
Bergkapelstraat,"[51.0081979, 4.3253485]"
Bergstraat,"[51.0015379, 4.3180005]"
Berkenlaan,"[50.9996418, 4.3054981]"
Berreweide,"[51.0116201, 4.3065678]"
Bessembaan,"[51.0234076, 4.2821952]"
Bievelt,"[""FOUT, geen straat gevonden""]"
Biezenwei,"[51.0323437, 4.2957311]"
Blauwenhoek,"[51.0208184, 4.2937019]"
Bloemstraat,"[51.0287301, 4.2936314]"
Blokstraat,"[51.017928, 4.2513385]"
Boeksheide,"[51.0142961, 4.2286962]"
Bogaarden,"[50.998353, 4.3099686]"
Bontestraat,"[50.9811096, 4.2643258]"
Boskantstraat,"[50.9880734, 4.2420582]"
Bosweg,"[51.0050665, 4.2944091]"
Bouw,"[""FOUT, straat in foute gemeente gevonden""]"
Bouwdreef,"[51.0118486, 4.2424359]"
Brandweerplein,"[51.0041581, 4.3066146]"
Breendonkstraat,"[51.0289976, 4.30703]"
Broederminsteeg,"[51.0263195, 4.2948134]"
Broekstraat,"[51.024644, 4.259357]"
Broekveld,"[51.0232101, 4.2993168]"
Brouwerijstraat,"[50.9991492, 4.2685783]"
Brugstraat,"[51.0124569, 4.2448316]"
Brusselsestraat,"[50.9961267, 4.3019171]"
Burcht,"[51.0009484, 4.3010616]"
Burchtlaan,"[51.0021372, 4.2991242]"
Cattemansdreef,"[50.9954499, 4.3022504]"
Chrysantenlaan,"[51.0058788, 4.2989524]"
Clippel,"[51.0290018, 4.2946726]"
Daalkouter,"[51.0035625, 4.3099233]"
Damveld,"[51.0004584, 4.2991187]"
Deisels,"[51.0114411, 4.3079509]"
Diepensteyn,"[51.0008656, 4.271145886568324]"
Doofmeer,"[51.0315047, 4.2931882]"
Doornhaag,"[51.013461, 4.2976244]"
Dorpsstraat,"[51.0038898, 4.3020913]"
Dorselweg,"[50.9970172, 4.2601771]"
Drietorenstraat,"[51.0105477, 4.2867645]"
Ebbing,"[50.9904523, 4.2653689]"
Edward Van Esbroeckstraat,"[51.0055418, 4.3047696]"
Eeckhout,"[51.0020485, 4.3140183]"
Egmont en Hoornstraat,"[51.012511, 4.2994483]"
Eikenveld,"[51.007395, 4.3054569]"
Eshagestraat,"[51.0038123, 4.2637253]"
Fresialaan,"[51.0066549, 4.2986631]"
Geerakker,"[51.0089964, 4.3055143]"
Gerard Walschapplein,"[51.0275267, 4.2933012]"
Gertrudeveld,"[50.9946007, 4.2604224]"
Gildenstraat,"[51.0019208, 4.3040073]"
Granietstraat,"[51.0055236, 4.3146262]"
Groenhof,"[51.0259832, 4.2548669]"
Groenhofdreef,"[51.0235653, 4.2515326]"
Haan,"[50.9942341, 4.2434243]"
Hageveld,"[51.015761, 4.30558996240633]"
Handelsstraat,"[51.0146662, 4.2287156]"
Hazenpad,"[51.0096711, 4.2955101]"
Heerbaan,"[50.9802872, 4.2519802]"
Heide,"[51.0076991, 4.2493544]"
Heldenplein,"[51.0007778, 4.302627]"
Hendolfstraat,"[50.9997126, 4.3076165]"
Herbodin,"[51.0126774, 4.2666097]"
Herpoel,"[51.0069557, 4.3110192]"
Hoefsmidstraat,"[51.0163942, 4.246282]"
Hoge Donk,"[51.0340813, 4.3005164]"
Holle Eikstraat,"[51.0138524, 4.3057252]"
Holstraat,"[51.0175303, 4.2376755]"
Hoogveld,"[50.9943487, 4.2991984]"
Hoogweg,"[51.0158518, 4.2277507]"
Hooiveld,"[51.0311517, 4.2943324]"
Houtenveld,"[51.0027673, 4.3110073]"
Hoveniersstraat,"[51.0109036, 4.2956316]"
J. Van Doorslaerstraat,"[50.9940468, 4.2610351]"
Jan Hammeneckerstraat,"[51.0279745, 4.2980723]"
Jeanne Oriannestraat,"[""FOUT, geen straat gevonden""]"
Jozef Vermaesenplein,"[51.0199236, 4.2429327]"
Kaaskantmolenstraat,"[50.9904381, 4.2904937]"
Karreveld,"[""51.02149826291648"", ""4.242623985624503""]"
Kasteelstraat,"[51.007867, 4.2908734]"
Kattestraat,"[51.0028532, 4.2995792]"
Kerfenden,"[51.0382089, 4.3010408]"
Kerkhofstraat,"[50.997819, 4.3153006]"
Kerkstraat,"[51.0020508, 4.3019994]"
Kievitstraat,"[51.0127601, 4.3061132]"
Klein Holland,"[51.0097137, 4.2981404]"
Klemendorp,"[""FOUT, geen straat gevonden""]"
Kloosterhof,"[50.99371, 4.2602411]"
Kloosterstraat,"[51.0186505, 4.241244]"
Koeisteert,"[51.0334764, 4.2949002]"
Koevoetmolenstraat,"[51.0395375, 4.2862222]"
Koolmeesstraat,"[51.0138542, 4.3012208]"
Korenbloemweg,"[51.0326335, 4.2926725]"
Kouhagen,"[50.9857197, 4.2702636]"
Kouterbaan,"[51.0201831, 4.2539226]"
Kouterveld,"[51.0186067, 4.2532741]"
Krinkelsteert,"[""FOUT, geen straat gevonden""]"
Kruisbroeken,"[51.0389609, 4.2943608]"
Kruisheide,"[51.0325376, 4.2632471]"
