Straat,Coordinaten
't Rivierenhof,"[51.22037544768568, 3.444518975870605]"
't Veldeken,"[51.19901915340684, 3.4369608380676353]"
39e Linielaan,"[51.20745609081736, 3.448898439184132]"
Aalterbaan,"[51.197025774901064, 3.453608407893178]"
Aardenburgkalseide,"[51.2376082, 3.4475043]"
Adegem-Dorp,"[51.20280727273467, 3.4864833702063756]"
Adegemse Kerkstraat,"[51.20399190338552, 3.4878793305059035]"
Adrialaan,"[51.21742782652922, 3.4330202175076243]"
Akker,"[51.18307703145909, 3.517506201847114]"
Albert De Keselstraat,"[51.19823928882214, 3.4847202471503325]"
Ambachtenlaan,"[51.19995695, 3.46787035]"
Appelboom,"[51.175318250000004, 3.5063116]"
Arnold Van Maldegemlaan,"[51.21258913850091, 3.3844581953557005]"
Awalstraat,"[51.20869563958272, 3.3826733003174576]"
Azalealaan,"[51.201133150000004, 3.456835]"
Baaikensedestraat,"[51.181361126848415, 3.4676702395064396]"
Baarlehof,"[""FOUT, geen straat gevonden""]"
Ballingstraatje,"[51.209212324856665, 3.44798699994946]"
Barbaraweg,"[51.195343310069894, 3.398747626146071]"
Begijnewater,"[51.208263593553816, 3.4559631978391914]"
Begijnhoflaan,"[51.21001490094692, 3.452437073675833]"
Berkenlaan,"[51.1805841084497, 3.4465566621136854]"
Berlaars,"[51.1862234788009, 3.526618137532394]"
Bezembindersstraat,"[51.181367980706, 3.455358445140231]"
Biezeveldstraat,"[51.19347329020049, 3.392426525499105]"
Bilken,"[51.2100042, 3.48506985]"
Blakkeveld,"[51.15536415, 3.49821845]"
Blekkersgat,"[51.19284160585221, 3.480762246060919]"
Bloemendaelelaan,"[51.21225739414196, 3.453167980254335]"
Bloemestraat,"[51.212682847298474, 3.452382888417292]"
Bogaardestraat,"[51.20433805065302, 3.436341766809806]"
Boombos,"[51.18351510633052, 3.4878870325968307]"
Boombosdreef,"[51.19735585, 3.4286842]"
Boomstraatje,"[51.23998735, 3.48371255]"
Booneveld,"[51.1710083, 3.459505]"
Boslaan,"[51.20567222980138, 3.4356049107613686]"
Boterhoek,"[51.209357951047366, 3.4389952339667453]"
Boudewijn Lippensstraat,"[51.208347392405834, 3.446998641809197]"
Bredeweg,"[51.22159559954889, 3.4710413693937827]"
Bremstraat,"[51.198137288031184, 3.4399042714005637]"
Breugellaan,"[51.21372268443457, 3.4364870664403218]"
Brezendedreef,"[51.22966002717096, 3.374146944133243]"
Brielstraat,"[51.204720152427846, 3.442552604678626]"
Brielwegel,"[51.20479178284817, 3.441244048155298]"
Broekelken,"[51.210227305185946, 3.476136235731257]"
Broekhuizestraat,"[51.224549127632734, 3.4636430294769736]"
Brolostraat,"[51.18855811770059, 3.4566880440325365]"
Brouwershoek,"[51.206845313791554, 3.511580510924518]"
Brugse Steenweg,"[51.20818579795456, 3.4305272570072916]"
Burchtstraat,"[51.21525002093462, 3.466722658976441]"
Burg. Désiré De Meyerelaan,"[51.20439973096167, 3.4590582861602566]"
Burg.Ch.Rotsart de Hertainglaan,"[51.2071902, 3.43462465]"
Butswervestraat,"[51.215471699892674, 3.415074477552877]"
Buurtstraat,"[51.2184634, 3.4380208744628926]"
Canadezenlaan,"[51.20568825, 3.4873682500000003]"
Canetelstraat,"[51.16458350609993, 3.5231694419042032]"
Celieplas,"[51.2214976559382, 3.491047496826997]"
Charles Louis Verstryngestraat,"[51.20016236517485, 3.4873908460242085]"
Croonestraat,"[51.20467423735083, 3.5125401315030236]"
Dahlialaan,"[51.20026143210652, 3.4577432963252672]"
Dappersbroekelken,"[51.21008594748233, 3.4839415594835397]"
De Beeke,"[51.20148816518322, 3.4877985978370942]"
