Straat,Coordinaten
's Herenbos,"[51.2860553, 4.7427036]"
Aardekensweg,"[51.30963911319354, 4.748501534365588]"
Acacialaan,"[51.286179268272356, 4.6722347380376155]"
Akkerstraat,"[51.30554395, 4.7279546]"
Aks,"[51.29138906372611, 4.715714841446706]"
Ambachtsstraat,"[51.29203341547818, 4.710681308627863]"
Antwerpsesteenweg,"[51.3011001, 4.73281695]"
Azalealaan,"[51.31147557460468, 4.732243159727764]"
Beekstraat,"[51.29772331872327, 4.732907567109813]"
Beersendijk,"[51.3043173, 4.75227905]"
Begonialaan,"[51.30838370441423, 4.730120641563754]"
Berckhovenstraat,"[51.29858070364317, 4.696439331538269]"
Bergstraatje,"[51.29745094668554, 4.698647878456895]"
Berkenlaan,"[51.28929973059586, 4.671037374003081]"
Beukenlaan,"[51.302461342757454, 4.754497854326665]"
Blijkerijstraat,"[51.301439550000005, 4.7445531]"
Bloemenstraat,"[51.30617301961139, 4.734704685798162]"
Blommerschot,"[51.25235718802819, 4.7548597795496645]"
Boexhout,"[51.3072127, 4.712588423860884]"
Bosdreef,"[51.29333010075097, 4.739043551896665]"
Boudewijnlaan,"[51.29386964088787, 4.6950891625760764]"
Brechtsesteenweg,"[51.30100985578558, 4.679795142378699]"
Bremlaan,"[51.28720131132051, 4.67277289512887]"
Bruintjensweg,"[51.3028653, 4.72648915]"
Bruul,"[51.2673306897049, 4.770000743719455]"
Burgemeester Van de Mieropstraat,"[51.299205172149925, 4.746665669881078]"
Canadalaan,"[51.29612304691158, 4.762031020322379]"
Cantecroy,"[51.28533460735596, 4.677064548481307]"
De Daad,"[51.309935515076376, 4.721767561089192]"
De Hoeve,"[51.307190872071885, 4.6892695879767]"
De Lollepot,"[51.2921562, 4.74377785]"
De Schaaf,"[51.28647382216334, 4.71711383411216]"
De Schaggelen,"[51.29556840375901, 4.6922057674734265]"
De Schrobbers,"[51.2936963, 4.73387765]"
De Speelhoven,"[51.303109169115714, 4.732992409099697]"
De Tielekens,"[51.293283718420405, 4.703586901379563]"
De Zwaantjes,"[51.30522810238121, 4.739740115086684]"
Delften,"[51.28550201614453, 4.709489770543314]"
Den Blauwvoet,"[51.30070275, 4.67527145]"
Den Brekel,"[51.29825112190163, 4.718143142902809]"
Den Mostheuvel,"[51.27657358639562, 4.658716177548303]"
Dennenlaan,"[51.28499563541827, 4.670256589680484]"
Dissel,"[51.289967149999995, 4.71572035]"
Dokter Meeusstraat,"[51.306087793809525, 4.74549735356684]"
Dorpsplaats,"[51.30235229606716, 4.7339473147931574]"
Dorpsweg,"[51.302196948284035, 4.73375324394713]"
Druivenlaan,"[51.29527296618258, 4.669131652774711]"
Eekhoorndreef,"[51.27637399832197, 4.650176132110376]"
Eertbolweg,"[51.312814700000004, 4.74704045]"
Eggerstraat,"[51.297536347959195, 4.748513135552683]"
Eikendreef,"[51.27793853280131, 4.652187376739649]"
Elsten,"[51.292583760913544, 4.69118229571873]"
Elzenlaan,"[51.278180675673696, 4.660450345654304]"
Emiel van Hemeldonckstraat,"[51.3056254, 4.742199749999999]"
Energieweg,"[51.29352063460003, 4.714946868754061]"
Epicealaan,"[51.28069217478593, 4.672072052669803]"
Ernest Claesstraat,"[51.308749667670085, 4.75017363284676]"
Fazantenlaan,"[51.28526200302678, 4.722545004510535]"
Frans Van Gielstraat,"[51.30829928762672, 4.746523098200887]"
Fresialaan,"[51.309802943054876, 4.7294036043014325]"
Galgevoort,"[51.32367661876241, 4.711603772259611]"
Ganzenkuil,"[51.296163499259436, 4.700678119934671]"
Gemeentebos,"[51.30968703239773, 4.710678385887098]"
Geurtsestraat,"[51.3108354, 4.741942549999999]"
Geuzenstraat,"[51.300403551343145, 4.656008753061278]"
Goudveillaan,"[51.309137088694825, 4.727333771229522]"
Grootakker,"[51.30176975270915, 4.688905249406186]"
Guido Gezellelaan,"[51.302801641730646, 4.747629916773882]"
Guldenweg,"[51.30207005904254, 4.746868079252738]"
Guts,"[51.2894232, 4.7145081]"
Guut,"[51.31265425001451, 4.704610966292039]"
Haard,"[51.29391556954405, 4.732394799430609]"
Hagelkruis,"[51.30780604820663, 4.7339767328073465]"
Hallebaan,"[51.289419588139886, 4.685372896144669]"
Heidedreef,"[51.292296300000004, 4.74050795]"
Heidemolenbaan,"[51.30080292019309, 4.678978584331797]"
Heidsiebaan,"[51.30875399313596, 4.672366525692934]"
Heihuizen,"[51.278253418024846, 4.765475938611472]"
Heikant-Oost,"[51.32266444469274, 4.73234141574834]"
Heikantstraat,"[51.30394451823336, 4.6565789287196395]"
Hemelstraat,"[51.30298586951003, 4.675277294628529]"
Hendrik Consciencestraat,"[51.309524686408245, 4.750444657796075]"
Herentalsebaan,"[51.2958059, 4.739561999999999]"
Herfstzon,"[51.30368755, 4.74188425]"
Het Wild Rijt,"[51.29057842696027, 4.671290654254191]"
Hickendorfdreef,"[51.277328177023904, 4.659280609395211]"
Hippelpad,"[51.30983923947337, 4.724280101486799]"
Hoenderveld,"[51.294078098633726, 4.691031196040168]"
Hoge Warande,"[51.30215380004736, 4.7269147091151815]"
Hoge Weg,"[51.29897392579961, 4.697385011045392]"
Holstraat,"[51.29909045226926, 4.690862465236471]"
Hoogheideweg,"[51.292775772684365, 4.689064758862651]"
Hoogstraatsebaan,"[51.3197206, 4.73941605]"
Hooiberg,"[""51.3011607"", ""4.721891177477477""]"
Hooiberghoeve,"[51.289292122568106, 4.727059663042553]"
Ijkelvoort,"[51.29685015, 4.7407752]"
Industrieweg,"[51.295753488810576, 4.714966540781611]"
Irislaan,"[51.308577821529845, 4.735561087288032]"
Jagersweg,"[51.27839723869582, 4.649608736125063]"
Jan van Renesselaan,"[51.28729075, 4.72468825]"
Kantweg,"[51.31479051198122, 4.722446294893695]"
Kapelakkers,"[51.30256315, 4.72348605]"
Kapelstraat,"[51.29360241421226, 4.701036384697867]"
Kapselstraat,"[51.304678622636864, 4.694729631678662]"
Kardinaal Cardijnplaats,"[51.30043265, 4.67679385]"
Kasteellaan,"[51.3011554, 4.69085405]"
Kempendreef,"[51.28815390790605, 4.674986034815261]"
Kerkbeemdweg,"[51.29571437842242, 4.75242758048839]"
Kersenlaan,"[51.29329467875783, 4.681854151668078]"
Kievitdreef,"[51.28658443337387, 4.721793477085262]"
Klaprooslaan,"[51.30828742623744, 4.728319936537747]"
Klaverveld,"[51.30643504744871, 4.729468260150869]"
Kleistraat,"[51.314623186908825, 4.687135770758191]"
