Straat,Coordinaten
's Herenweg,"[50.94897928018975, 4.339758462457262]"
Achter de Hoven,"[50.97249938417212, 4.304191732941614]"
Adolf Daenslaan,"[50.935898449999996, 4.32036015]"
Adriaan Brouwerweg,"[""FOUT, geen straat gevonden""]"
Akeleilaan,"[50.939728097458335, 4.337290598380858]"
Albert Servaesweg,"[50.95711992262913, 4.29811657357015]"
Alcide de Gasperilaan,"[""FOUT, geen straat gevonden""]"
Alfred Van Campenhoutlaan,"[50.95869487872107, 4.34020165426801]"
Amelgemstraat,"[50.92683040718694, 4.311471097481928]"
Ammanstraat,"[50.939845533362764, 4.31885943522034]"
Anjelierenlaan,"[50.95629592764621, 4.308087799668225]"
Ann Christy-plein,"[50.935367074212266, 4.32700707523956]"
Antoon Van Dijckweg,"[50.955466575751345, 4.300648139176621]"
August De Boeckstraat,"[50.9400795018761, 4.331117778431536]"
August Van Doorslaerlaan,"[50.93187818247483, 4.322901542348039]"
August de Schrijverlaan,"[50.95878390025676, 4.338023626333838]"
Autoweg,"[""FOUT, geen straat gevonden""]"
Baptist De Donderstraat,"[50.937090932511666, 4.326905556487932]"
Barbierstraat,"[50.9717088391613, 4.304638847522374]"
Barend van Orleylaan,"[50.95739289601346, 4.301568774965445]"
Beekstraat,"[50.97943889131656, 4.311936679680013]"
Begonialaan,"[50.959203546977555, 4.340482172399811]"
Beiaardlaan,"[50.93255894798092, 4.3221123236645225]"
Beigemstraat,"[50.9604482309102, 4.345931929603216]"
Bergstraat,"[50.99776924966416, 4.316555815626842]"
Bergveldweg,"[50.94016410798834, 4.315295022868782]"
Berkenlaan,"[50.954236707759236, 4.312196904681552]"
Berthoutsstraat,"[""FOUT, geen straat gevonden""]"
Beukenveld,"[50.97664306594992, 4.335406950782087]"
Birrebeekstraat,"[50.95457247692951, 4.324729737402277]"
Blakebergen,"[50.96087144099455, 4.282297737520973]"
Blauwenberg,"[50.9364438, 4.3246934]"
Bloemendreeflaan,"[50.92364558231114, 4.336125433061407]"
Bloemenlaan,"[50.95293383898394, 4.304853236161099]"
Blokvijverstraat,"[50.939746607881474, 4.303054373260257]"
Boechtstraat,"[50.9350936266283, 4.328692218181426]"
Boomkensstraat,"[50.944708750000004, 4.33070005]"
Boondreef,"[50.98728025, 4.3372425]"
Borchtstraat,"[50.95877800565914, 4.333751108556893]"
Borreweide,"[50.97570548202761, 4.304171653375738]"
Bosduiflaan,"[50.92500642191009, 4.3391650639952815]"
Boskant,"[50.989089202936256, 4.319346973486885]"
Bosstraat,"[50.96843404448985, 4.353322145842286]"
Bosweg,"[50.92712990290588, 4.319079867953752]"
Bouchoutlaan,"[50.93343331801654, 4.330400743279883]"
Brandtdries,"[50.93616974227782, 4.300655450585244]"
Breemweg,"[50.99390857415781, 4.326261515827657]"
Broekstraat,"[50.96711620000001, 4.3408986]"
Brouwerijstraat,"[50.9515727, 4.3122281000000005]"
Bruinborrelaan,"[50.93834270597632, 4.343406233623726]"
Brussegemsesteenweg,"[50.947418913222506, 4.304735166048467]"
Brusselsesteenweg,"[50.9392393, 4.3238242]"
Buitenberg,"[50.939426400763, 4.316383553110919]"
Conrad Adenauerlaan,"[""FOUT, geen straat gevonden""]"
Constant Permekeweg,"[50.95680898413747, 4.299336271425711]"
Dagwanden,"[50.95701951642447, 4.337839093516746]"
David Teniersweg,"[50.95733173272525, 4.3006012571439705]"
De Biest,"[50.97019588624983, 4.324240736920338]"
De Spanjaard,"[""FOUT, geen straat gevonden""]"
Dennenlaan,"[50.9314792, 4.3187491]"
