Straat,Coordinaten
Alfons Bursensstraat,"[50.95619067780018, 4.2297632217048395]"
Appelkotlaan,"[50.95281585438921, 4.239534746690329]"
August De Boeckstraat,"[50.9612438, 4.226552]"
Beekveld,"[50.96165163357117, 4.2419991693562755]"
Benoit Ballonstraat,"[50.98483191817943, 4.226465603507933]"
Biesboslaan,"[50.915152311203244, 4.2827894545639635]"
Blakenberg,"[""FOUT, geen straat gevonden""]"
Bleukenweg,"[50.96226455366252, 4.245494100088862]"
Boesmeer,"[50.957743001089575, 4.2258246852533725]"
Bogaerdstraat,"[50.95753135, 4.232158849999999]"
Bollestraat,"[50.94166495, 4.27148155]"
Bouw,"[""FOUT, straat in foute gemeente gevonden""]"
Breestraeten,"[50.974746015767906, 4.269583914756398]"
Broekweg,"[50.92153825111872, 4.247273095094846]"
Brouwerijhof,"[50.92819446212848, 4.268609137774989]"
Brussegemkerkstraat,"[50.9282245450639, 4.266841041502224]"
Brussegemplein,"[50.92693613808779, 4.2667945592353735]"
Brusselbaantje,"[50.9788687095607, 4.24493097819871]"
Brusselsesteenweg,"[50.91814761130335, 4.289196285421071]"
Burchtlaan,"[50.96141517411492, 4.232056848459773]"
Clerenblock,"[""FOUT, geen straat gevonden""]"
Dahliastraat,"[50.9817767, 4.2455821]"
De Heide,"[50.9200462, 4.2918077]"
De Keersmaekerlaan,"[50.91761480398346, 4.280025630134992]"
De Zippe,"[50.95303576691931, 4.232808405685744]"
Dendermondestraat,"[50.963855102909434, 4.224659453571918]"
Dooren,"[50.95115823332503, 4.25132340136119]"
Dorpstraat,"[50.928493093195094, 4.262103012676663]"
Drielindenbaan,"[50.944357209209976, 4.2110908590565375]"
Dries,"[50.97790474934514, 4.211907728069916]"
Driesenweg,"[50.941965957190654, 4.2548756456344705]"
Drinkeling,"[50.92649514680733, 4.261914019825321]"
Druegenbosweg,"[""FOUT, geen straat gevonden""]"
Drybunderstraat,"[50.92139606193149, 4.262349608628531]"
Drypikkel,"[50.957814654976154, 4.241961131344555]"
Eeckhoutveldweg,"[50.94412043686598, 4.272660687422367]"
Eeckhoutweg,"[50.94041657004433, 4.251607363848516]"
Eyckstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Ezelsweg,"[""FOUT, geen straat gevonden""]"
François Beuckelaersstraat,"[50.98410408841894, 4.225576348135253]"
Galgestraat,"[50.97437572068697, 4.219981940125235]"
Gasthuisstraat,"[50.967027, 4.2325969]"
Groenstraat,"[50.980854454518585, 4.225565875863827]"
Groenweg,"[50.93573165094265, 4.249847610043712]"
Haanbeeklaan,"[50.921626779606875, 4.243513046790889]"
Hackestraat,"[50.94600120896684, 4.251213329468571]"
Hagebeuk,"[50.92617325, 4.259901299999999]"
Hammeveld,"[50.918547, 4.2847336]"
Harmonieblock,"[50.955593503675885, 4.233115754292213]"
Heidestraat,"[50.92038203206588, 4.290658228715008]"
Heirbaan,"[50.978615709929734, 4.248398501802636]"
Hof Te Hammelaan,"[50.91800549338188, 4.28256778560123]"
Hof Ten Houte,"[50.97995687173013, 4.2074648252505416]"
Hogerop,"[50.958602049999996, 4.240515950000001]"
Holbeek,"[50.97611760198595, 4.222160465608779]"
Hondsbergstraat,"[50.937565013248, 4.2683848528159665]"
Hortensiastraat,"[""FOUT, geen straat gevonden""]"
Huibout,"[50.982350949722395, 4.23049101648244]"
Hunsberg,"[50.9521145, 4.2658357]"
Huttert,"[50.95820086769461, 4.220330325832603]"
J. Stallaertstraat,"[""50.9549071602759"", ""4.242345488166584""]"
Jan Maervoetstraat,"[50.9569912722436, 4.237416974402288]"
Kalkovenlaan,"[50.95331224134024, 4.238325573824767]"
Kapellebos,"[50.98789846734129, 4.209721342037135]"
Kapelleveld,"[50.95377429366514, 4.238262496081179]"
Kasteelstraat,"[50.92207417387244, 4.280712863537965]"
Kasteelweg,"[50.9233728168112, 4.288227307314682]"
Kattestraat,"[50.96015420203459, 4.2295450041737315]"
Kemmeken,"[50.97202322168813, 4.2025316296385515]"
Kerkhofstraat,"[50.95668646567733, 4.2405586871990355]"
Kerkstraat,"[50.95890748567568, 4.233866974557144]"
Kersgatstraat,"[50.92394845, 4.2404028]"
Kleistraat,"[50.95127265, 4.2594866]"
Kleyneweg,"[50.940706259606586, 4.267517929578128]"
Kluysenstraat,"[50.918026161010175, 4.272156662300276]"
Koeweideblock,"[""FOUT, geen straat gevonden""]"
Koeweidestraat,"[50.9464396329867, 4.244105908715877]"
Koning Albertstraat,"[50.95688998738182, 4.23005607530623]"
Koning Leopold IIIstraat,"[50.955066507619875, 4.230423479680333]"
Koolterstraat,"[50.923053909679055, 4.242199626554898]"
Korte Ridderstraat,"[50.95923306164635, 4.232491]"
Kouter,"[50.9764665101513, 4.230899312958886]"
Krekelendries,"[50.95901180353297, 4.229556795695595]"
Kwekelaarstraat,"[50.92409034610482, 4.262785370729578]"
Kwetstenbeek,"[50.9572163, 4.2400942]"
Langensteenweg,"[50.959519573117234, 4.232868532128861]"
Langevelde,"[50.960786862497685, 4.250217017251473]"
Leireken,"[50.985207686034606, 4.230445468389935]"
Lindestraat,"[50.909854502348445, 4.2682354018196635]"
Linterveld,"[50.94067030613913, 4.268827872557047]"
Linthoutstraat,"[50.949424660278964, 4.270880357941022]"
Linthoutweg,"[50.93246163063486, 4.257568021831622]"
Lobbeweg,"[50.923036991738634, 4.2799642320787195]"
Lombardenveld,"[50.95957294441385, 4.226201270975601]"
Lovegemblokstraat,"[50.94416267757853, 4.285893094357326]"
Lt. J. De Windestraat,"[50.954230987720216, 4.232195954897538]"
Maalderij,"[""FOUT, geen straat gevonden""]"
Madeliefjesstraat,"[""FOUT, geen straat gevonden""]"
Mandsteenweg,"[50.95893763999467, 4.2251464785033725]"
Markt,"[50.95876695, 4.23063345]"
Marktstraat,"[50.958942050000005, 4.2311121499999995]"
Maurits Sacréstraat,"[50.954887166350986, 4.2354786728434455]"
Meerpoelstraat,"[50.94203629449151, 4.232451093074785]"
Meerstraat,"[50.9835599, 4.2284671]"
Meutersweg,"[50.95443090702845, 4.228713888123028]"
Middelgracht,"[50.95590339956298, 4.223488552048191]"
Middelstraat,"[50.991601493182614, 4.224901862622772]"
Mieregemstraat,"[50.956003970025584, 4.231247021245534]"
Molenbaan,"[50.97904512478879, 4.2311662667613055]"
Molenblock,"[50.95815312288809, 4.236925364066201]"
Molenstraatje,"[50.975981768467044, 4.241177899960976]"
Mollemstraat,"[50.93441848873432, 4.232915206253321]"
Muntweide,"[50.92949503862531, 4.2684012218530665]"
Neerkamstraat,"[50.93398181798561, 4.2272647235354075]"
Neerkouter,"[50.97253259763044, 4.228993809701622]"
Nieuwbaan,"[50.985882206792304, 4.217619994262221]"
Nieuwelaan,"[50.936569096438156, 4.28333273113555]"
Nieuwstraat,"[50.95855955571111, 4.23172860667905]"
Olmestraat,"[50.9361940062506, 4.2372243762057265]"
Onze Lieve Vrouwstraat,"[50.95715826941517, 4.242844040290964]"
Opperselebaan,"[50.92031258418129, 4.26557212478846]"
Osselstraat,"[50.91903439111989, 4.261617574910489]"
Osselveldstraat,"[50.926595108538386, 4.279135754727254]"
Oude Dendermondsebaan,"[50.920572143344685, 4.258352346740821]"
Oudstrijdersstraat,"[50.952951791285734, 4.228268545930014]"
Paardenblokstraat,"[50.949907767249, 4.2357104603960805]"
Paddebroeken,"[50.93927206413036, 4.196083529441056]"
Peisegemstraat,"[50.98751579186543, 4.230961028438858]"
Pelgrimsweg,"[50.95562285371547, 4.249020747917389]"
Peperstraat,"[50.95700131152968, 4.2233290120662925]"
Polderstraat,"[50.93888501210634, 4.286150469258397]"
Potveld,"[50.95001864818935, 4.2563766446619695]"
Poverstraat,"[50.92214020140637, 4.282087900267001]"
Predikstoelstraat,"[50.949579287124095, 4.276592566929209]"
Preenakker,"[50.95103272729911, 4.2481080227740735]"
Processiebaan,"[50.985522979729154, 4.224797096348044]"
Puursstraat,"[50.95730055, 4.23714395]"
Reedijk,"[50.96056794846737, 4.2359777886009]"
Robbrechtstraat,"[50.94129251681947, 4.250436244080298]"
Robbroeklaan,"[""FOUT, geen straat gevonden""]"
Romeinsebaan,"[50.926859228219584, 4.270713690429487]"
Sint Huybrechtstraat,"[50.98188320102132, 4.2183619023277075]"
Sint Janstraat,"[50.96552729226357, 4.229356936402191]"
Slagmolenlaan,"[50.94921295, 4.2343624]"
Sleeuwagen,"[50.94900127896019, 4.214485281548891]"
Smidsestraat,"[50.92967595, 4.2331899]"
Spiegellaan,"[50.96035344560657, 4.224951798164061]"
St-Guduladreef,"[50.9199996131429, 4.2829910369998805]"
Stationsstraat,"[50.95537633679047, 4.225995440705108]"
Steenhuffelstraat,"[50.98940230709631, 4.233751131444255]"
Steenweg op Asse,"[50.921392763810175, 4.242244511218576]"
Stoofstraat,"[50.95697405042578, 4.2333885685209225]"
Strijdlandstraat,"[50.94108421849327, 4.229618330783074]"
Ten Houte,"[50.97819485359335, 4.207971992800067]"
Terlinden,"[50.9700378880915, 4.253544603562441]"
Terspelt,"[50.94753559547966, 4.241389565761978]"
Varkensmarkt,"[50.95877235, 4.23247885]"
Vesten,"[50.958091190931505, 4.230141271691354]"
Vijlststraat,"[50.938358697187454, 4.28716194492761]"
Vollickstraat,"[50.92853662526888, 4.269797401505802]"
Weyenberg,"[50.94539039505425, 4.1880003238661825]"
Witgerlaan,"[50.9161266, 4.27937645]"
Wolvendael,"[50.932513208606544, 4.2778854742749095]"
Wolvertemsesteenweg,"[50.95956960866319, 4.2411027362442395]"
