Straat,Coordinaten
6e Jagersstraat,"[""50.89067493552518"", ""3.0619507783390225""]"
Aardeweg,"[50.89372622906856, 3.107938628745489]"
Arkemolenstraat,"[50.84636424333336, 3.077254664263691]"
Azalealaan,"[50.84903515937406, 3.101156321199328]"
Bakkerhoekstraat,"[50.84127420579678, 3.096855560262787]"
Baron-Holvoetlaan,"[50.84845089536384, 3.1036812935719995]"
Begonialaan,"[50.84719265, 3.1014602499999997]"
Beitemstraat,"[50.8925361441815, 3.110700026840738]"
Bellereke,"[50.89288039933428, 3.0570911188713574]"
Berkenlaan,"[50.847864682278974, 3.091630673186408]"
Beselarestraat,"[50.85014013527211, 3.091369654211144]"
Bloemhoekstraat,"[50.883339486535995, 3.079269684877125]"
Boomstraat,"[50.9092366085421, 3.0780666686981037]"
Breughellaan,"[50.8859289248726, 3.065038551873609]"
Breulstraat,"[50.879299399999994, 3.1006821]"
Brevierweg,"[50.89105225, 3.06216145]"
Briekhoekstraat,"[50.8889984, 3.0843597999999997]"
Burgemeester Ghekierestraat,"[50.89132819392239, 3.0514961487935217]"
Camille Coolsstraat,"[50.8956656, 3.0706899]"
Cany-Barvillestraat,"[50.894500114999374, 3.066956407557211]"
Cyriel Vanhauwaertstraat,"[50.8867365, 3.06821615]"
Dadizeelsestraat,"[50.8743812462896, 3.065083738727404]"
Dadizelehoekstraat,"[50.86205906963638, 3.087014739773382]"
Dennenlaan,"[50.84869725, 3.0994431000000002]"
Diepestraat,"[50.89794294191202, 3.060341532221345]"
Dorpsplein Slyps,"[50.86724128381101, 3.0881369471505042]"
Dosseweg,"[50.89315617693365, 3.03192881399769]"
Dr. Vander Stichelelaan,"[50.88845525, 3.0663375999999998]"
Drogenbroodstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Elzerijstraat,"[50.90876020067151, 3.0553824457946805]"
Emiel Jacqueslaan,"[50.887583500000005, 3.06303165]"
Fabrieksweg,"[50.90067642619366, 3.1017782570481365]"
Galgestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Geluwestraat,"[50.84446228654, 3.0925121246327203]"
Gentsestraat,"[50.90153467925138, 3.1019870433463974]"
Grimmertingelaan,"[50.89719792439785, 3.0660246609667254]"
Groeneweg,"[50.88817716059591, 3.0501688325328096]"
Grote Potterijstraat,"[50.859297485973585, 3.065118447535201]"
Guido-Gezellelaan,"[50.853334264733704, 3.1020135890117375]"
Heulestraat,"[50.85722124659882, 3.0808132453278727]"
Hooglandstraat,"[50.869761596388756, 3.0605514679501393]"
Hospitaalweg,"[""FOUT, geen straat gevonden""]"
Hovingstraat,"[50.86981350519307, 3.0916231033712784]"
Iepersestraat,"[50.881472711603784, 3.0375960655676937]"
Industrielaan,"[50.84989444742258, 3.1072760788667506]"
Jan Onraetstraat,"[50.845736921976886, 3.102895185106698]"
Kalkoenstraat,"[50.89868362588372, 3.099771086138035]"
Kapelleveld,"[50.85138720725632, 3.0899623419177]"
Kapelweg,"[50.90171844364268, 3.0752954379815187]"
Kastanjestraat,"[50.90130287641791, 3.089152117304233]"
Kasteeldreef,"[50.901339735313336, 3.0945690761441416]"
Kasteelhofstraat,"[50.89113371342788, 3.059910837825239]"
Kasteelstraat,"[50.84472140415774, 3.126462287632724]"
Kazerneweg,"[50.90845990457438, 3.0839346688129767]"
Keibergstraat,"[50.87551841203117, 3.0387126663090647]"
Kerkhofstraat,"[50.89144075606907, 3.0695485366692434]"
Kerkstraat,"[50.891344146267514, 3.0617749989087364]"
Kernemelkstraat,"[50.850967749999995, 3.0972340000000003]"
Ketenstraat,"[50.84675151750397, 3.0915389161616327]"
Kleine Ravestraat,"[50.870666140096795, 3.056921810683955]"
Kleppestraat,"[50.85060989874539, 3.1098210686040395]"
Knaagreepstraat,"[50.890295653822285, 3.0967448657934997]"
Koekuitweg,"[50.89740119279828, 3.086136339655881]"
Korenwind,"[50.89496756173153, 3.069563041789388]"
Korteweg,"[50.900635741658434, 3.062999039174816]"
Kortrijksestraat,"[50.85070015, 3.11042185]"
Kouterweg,"[50.89044197149526, 3.0722337130802715]"
Krasselhoekstraat,"[50.9016063, 3.0998901]"
Kruiskedreef,"[50.9099743861805, 3.073651622181136]"
Ledegemstraat,"[50.85330990696416, 3.0996823173740036]"
Leonie de Croixstraat,"[50.84917598433776, 3.091251670154688]"
Lindenweg,"[50.91802186250112, 3.0864082991929784]"
Lolliestraat,"[50.91406756016678, 3.0751838271383023]"
Mandellaan,"[50.852567, 3.10659165]"
Marktplaats,"[50.891339282825065, 3.0628854244739063]"
Marktstraat,"[50.89220525, 3.06191145]"
Meensesteenweg,"[50.839133950000004, 3.1131559500000003]"
Memlinglaan,"[50.88527465, 3.06483275]"
Menensesteenweg,"[50.88800274437153, 3.1135461217666647]"
Menenstraat,"[50.847419099999996, 3.09855885]"
Meulebrouckstraat,"[50.880758747981, 3.053981372733012]"
Mgr. Cardijnlaan,"[50.851943722313806, 3.1025225318943854]"
Mgr. Catrystraat,"[50.89026645, 3.1152222500000004]"
Mikkenweg,"[50.893448203737876, 3.062091479325265]"
Millesteenstraat,"[50.845254445623254, 3.1091958897088894]"
Molenstraat,"[50.88490411780536, 3.0322094598556255]"
Moorsledestraat,"[50.85308742116035, 3.0933520793447737]"
Mostaardpotstraat,"[50.87036729540247, 3.072091671263914]"
Motedreef,"[50.89440387820114, 3.0923817856855575]"
Nachtegaalstraat,"[50.89887756743787, 3.0882872702233373]"
Neckerswegeltje,"[50.89278721663771, 3.064041764833587]"
Nertsenstraat,"[50.863957343300264, 3.0730249957184355]"
Nettingstraat,"[50.91447230276189, 3.0649796082715657]"
Nieuwstraat,"[50.893405505526054, 3.066588081390462]"
Nijverheidslaan,"[50.84641477463668, 3.1079851606894846]"
Noordstraat,"[50.89600424282648, 3.0620726105740688]"
Oliekotstraat,"[50.84390294937568, 3.083092599823218]"
Oostnieuwkerksestraat,"[50.90409437663961, 3.0522378450868244]"
Ooststraat,"[50.89605493264172, 3.0631060368512433]"
Oude Godweg,"[50.89566176421154, 3.0413525248480426]"
Oude Heirweg,"[50.89390578940892, 3.109042233767004]"
Oude Iepersestraat,"[""FOUT, geen straat gevonden""]"
Oude Molenweg,"[50.904194664976224, 3.0734872500996486]"
Passendaalsestraat,"[50.90161680968857, 3.0685780291322726]"
Pastorijstraat,"[50.8672713403893, 3.086864643590979]"
Pater Lievensstraat,"[50.89188058800387, 3.0647928297785807]"
Pauweldreef,"[50.89707576199212, 3.104678222634671]"
Peemhutstraat,"[50.89879103073028, 3.043234395856742]"
Permekelaan,"[50.88927375, 3.06636915]"
Plaats,"[50.85169477764582, 3.095765580989453]"
Poststraat,"[50.89223385346001, 3.063291359529421]"
Potterijstraat,"[50.85734688137101, 3.0672981838774307]"
Procureurstraat,"[50.884094627035594, 3.0630541837914103]"
Puitstraat,"[50.89891653519803, 3.0759299845218386]"
