Straat,Coordinaten
's Gravendreef,"[50.961636674789666, 3.6479096721305737]"
's Gravenstraat,"[50.973571742685735, 3.6010823464874253]"
't Kruisken,"[50.986519296163706, 3.6662193800187644]"
't Vergeet-me-nietje,"[50.99596787594825, 3.6568869535998876]"
Aan de Bocht,"[50.993216000098876, 3.6450211342353023]"
Abeelpark,"[50.99927667807219, 3.649951743718489]"
Acacialaan,"[51.00164520540294, 3.6473082990418657]"
Albert Claeysstraat,"[50.959394599999996, 3.6402614499999997]"
Albrecht Rodenbachstraat,"[50.99959495173851, 3.6417746717811994]"
Autosnelweg E17-Noord,"[""FOUT, geen straat gevonden""]"
Autosnelweg E17-Zuid,"[""FOUT, geen straat gevonden""]"
Axeldreef,"[50.95487701852317, 3.5908313982710682]"
Azaleastraat,"[50.98484309123318, 3.6677701948934693]"
Bachtenboslaan,"[""FOUT, geen straat gevonden""]"
Baron de Gieylaan,"[51.00874583952523, 3.65849964784459]"
Beekstuk,"[50.98360908125201, 3.648350633707585]"
Beekweg,"[50.997048161348616, 3.647808668429966]"
Beenstraat,"[50.95545316845842, 3.5765789797853405]"
Begonialaan,"[50.99580765749556, 3.655184258258544]"
Begoniapark,"[50.99665764051007, 3.6432304718649617]"
Begoniastraat,"[50.9773739, 3.6602235]"
Bekaertstraat,"[50.96181646035221, 3.629389560357806]"
Bekboswegel,"[50.99396500147769, 3.675087490147592]"
Bekken,"[50.96225692901058, 3.60640024312011]"
Berkenlaan,"[50.99980795635135, 3.640018499017857]"
Bernstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Beukendreef,"[50.99887113967643, 3.678364803722482]"
Biesten,"[50.95749863039334, 3.6296060661513825]"
Biezenstraat,"[50.9769330731741, 3.602917003980489]"
Bijlokestraat,"[50.959177847557015, 3.6178698460156467]"
Binnenweg,"[50.96268260403101, 3.6592544925471584]"
Blijpoel,"[50.97903545, 3.7038204]"
Boeregemstraat,"[50.98882066166101, 3.6902077189832836]"
Bommelhoek,"[50.99170781873336, 3.6342487592243224]"
Bommelstraat,"[50.99019370055098, 3.6438174365961693]"
Bomstraat,"[50.97592028813867, 3.6942835620935757]"
Borluutlaan,"[50.994241742750724, 3.660953378639758]"
Bosstraat,"[50.96452055829327, 3.635907585672456]"
Bottelaredreef,"[50.99267147469175, 3.671721097212276]"
Breughellaan,"[50.99311962732181, 3.6415801289614254]"
Brouwerijstraat,"[50.957366556494605, 3.642472535404075]"
Brouwershoflaan,"[50.97342178612926, 3.662789947733615]"
Burgemeester Boonelaan,"[50.987751845407494, 3.6491214241296484]"
Camiel Fremaultstraat,"[50.95726709556317, 3.591677900355137]"
Ceulebroeckdreef,"[50.98687768076037, 3.6895014123909116]"
Cornelis de Schepperestraat,"[50.96334640441114, 3.649335585824658]"
Cyriel Buysselaan,"[50.98992033678973, 3.6598663742202255]"
Cyriel Buyssestraat,"[50.96006768731334, 3.6364255663411194]"
Dammekenswegel,"[50.95968004773487, 3.64509363383806]"
Daningsdreef,"[50.99215634623605, 3.6361040688298036]"
Deinzestraat,"[50.9610353, 3.59089755]"
Den Beer,"[50.986062225781886, 3.6791510128804616]"
Den Duiver,"[51.00318146680365, 3.6520873700913206]"
Dennenbosdreef,"[50.972748531370236, 3.602844541410782]"
Deurlestraat,"[50.98792456934003, 3.6250427290987157]"
Diktestraat,"[50.966974857091415, 3.6608330514856746]"
Doeninge,"[50.992780350000004, 3.6339269]"
Dorp,"[50.95964899601397, 3.596506500106782]"
Dragonderwegel,"[50.950276704871804, 3.582070940739476]"
Drapstraat,"[50.958634410024224, 3.6143816343750412]"
Draverstraat,"[50.952393782648564, 3.5915555007986373]"
Dries,"[50.9682193980196, 3.662479828326274]"
Dryhoek,"[50.988187550000006, 3.6610563999999997]"
Duivebeekpad,"[""FOUT, geen straat gevonden""]"
Duivelstraat,"[50.963165516120895, 3.654538686427512]"
Eeckhoutsdreef,"[50.95495801026113, 3.621671494777365]"
Eedstraat,"[50.972495951845545, 3.6619823315116973]"
Eekbulk,"[50.99505876261971, 3.634391470826544]"
Eeuwfeestlaan,"[50.98876270506346, 3.6486511620698994]"
Eikelstraat,"[50.99873022197712, 3.646877201543753]"
Eikenstraat,"[50.94027293500963, 3.6335113766643667]"
Eksterhof,"[50.988617399999995, 3.6339228500000003]"
Elsboslaan,"[50.98851289595478, 3.64618053402153]"
Europaplein,"[50.990415250000005, 3.6547974]"
Ezelsweg,"[""FOUT, geen straat gevonden""]"
Florastraat,"[51.001206467019735, 3.658297955791949]"
Frans De Potterstraat,"[51.000257666231235, 3.642664479380809]"
Ganzenbroek,"[50.963978041724964, 3.6596512995283215]"
Gaston Martensstraat,"[50.96049447151881, 3.6378959767648964]"
Gaston de Grootelaan,"[50.95725370845611, 3.591088810592749]"
Gaversepontweg,"[50.93944397025227, 3.612933448488495]"
Geelgorslaan,"[50.98685805, 3.6368199]"
Geetschuren,"[51.00011904617843, 3.650940446866141]"
Gemeenteplein,"[50.99231954250536, 3.651556598607986]"
Gentwegel,"[50.99468815, 3.6690788999999997]"
Gezusters Kervynstraat,"[50.96231767891331, 3.602450646138169]"
Ginstbulken,"[50.98734244762598, 3.665872608661548]"
Gloxinialaan,"[50.996524439566095, 3.6562181098221274]"
Godelieve Van Pouckestraat,"[50.96229840105876, 3.603470364154718]"
Goudvinkenlaan,"[50.9888213662624, 3.6361169320713733]"
Graaf H. Goethalslaan,"[50.98787059725551, 3.6568176672742867]"
Grenadierslaan,"[50.9561970242405, 3.650219686153241]"
Grensstraat,"[51.002972341351985, 3.6497651645776403]"
Groendreef,"[50.956923009108436, 3.6151272188874]"
Groenpark,"[50.99425263485991, 3.6477211114159074]"
Groenstraat,"[50.96189188126275, 3.612956662061063]"
Grote steenweg,"[50.97342735, 3.6667328]"
Guido Gezellelaan,"[50.995632958490255, 3.6620374648452714]"
Guido Gezellestraat,"[50.96172015, 3.6362413499999997]"
Guillaume Delmeirelaan,"[50.959577848001814, 3.639677068214267]"
Guldensporenlaan,"[50.98860052039437, 3.656086035857337]"
H. Consciencelaan,"[50.996601675435926, 3.6603871275125397]"
Hageland,"[50.98165305538058, 3.659100897273085]"
Hanestraat,"[50.95070270855524, 3.572873691384814]"
Hauwenhauwstraat,"[50.97473434351474, 3.6524975270521476]"
Hazelaarspad,"[50.997750200875316, 3.6499440684911835]"
Heerweg,"[50.981049522004625, 3.661081953675106]"
Heidelaan,"[50.99558003303383, 3.6355451999749224]"
Heirweg,"[50.980942328071876, 3.6596799219992397]"
Hemelrijkstraat,"[51.00690787649343, 3.672814921177605]"
Het Wijngaardeke,"[50.98014768528013, 3.694136757119402]"
Hoefslagstraat,"[50.954444757302376, 3.5920502381531567]"
Hof ter Galeienstraat,"[50.96209035200404, 3.5751351362667534]"
Hof ter Langeveld,"[51.0008064691382, 3.645308811867496]"
Hondelestraat,"[50.98885665093424, 3.700962809882414]"
Hoogkouter,"[50.954293531482826, 3.6352786293338455]"
Hortensialaan,"[50.99452817357468, 3.655903384082836]"
Hugo Verriestlaan,"[50.99075366499563, 3.661941102704913]"
