Straat,Coordinaten
Aardbruggestraat,"[51.15333373551299, 4.676076951427915]"
Aardstraat,"[51.15366753458896, 4.615667226765271]"
Acacialaan,"[51.14714600998479, 4.609270116185429]"
Achterbist,"[51.1658313, 4.6448076]"
Akendoren,"[51.13875717746912, 4.678182045640919]"
Akkerstraat,"[51.15535218113442, 4.674951079074525]"
Albert Kanaalstraat,"[51.161117475324424, 4.670004046769134]"
Asterlaan,"[51.161887176297185, 4.664932233049255]"
August Hermansplein,"[51.1603247156493, 4.672467106873821]"
Azalealaan,"[51.154975884646554, 4.662883379167336]"
Bartstraat,"[51.13582998281809, 4.61261447393596]"
Beekstraat,"[51.1632876169188, 4.6734593430402205]"
Beemdweg,"[51.15193157327581, 4.604534589946219]"
Beenderstraat,"[51.167464726234634, 4.6929123527824865]"
Begoniastraat,"[51.161650388541624, 4.665538436819067]"
Bergsgoorstraat,"[51.16607750157739, 4.685105955241657]"
Berkemeistraat,"[51.166910050536615, 4.654064987848375]"
Berkendal,"[51.14118895684603, 4.616570169412119]"
Berkenlaan,"[51.14887960456836, 4.604441719675599]"
Berlaarsesteenweg,"[51.13986667142138, 4.63217284095343]"
Beukenlaan,"[51.14532637197204, 4.603602454911417]"
Bevel-Dorp,"[51.13957405786238, 4.67627131197797]"
Bevels Heerdplein,"[51.137306733391846, 4.681372361567944]"
Bevelse Dreef,"[51.14241069533123, 4.67220188326799]"
Bevelsesteenweg,"[51.15753287598077, 4.671958418680066]"
Binnenhof,"[51.14090629910544, 4.68301842805359]"
Bist,"[51.17360221487329, 4.651367004429367]"
Blauwenhoek,"[51.144213362258945, 4.636024914934151]"
Bloemenstraat,"[51.1405833539668, 4.621126679878551]"
Bloesemhof,"[51.14196424355088, 4.682523248212628]"
Boekweitstraat,"[51.16522460619996, 4.647906647331447]"
Boerderijstraat,"[51.15916706675216, 4.652670262309191]"
Boerke Naasweg,"[51.16813595997084, 4.662588107152067]"
Bogaertsheide,"[51.14046963436393, 4.648864575619501]"
Boonhofstraat,"[51.15369457199345, 4.686257783409591]"
Boshoek,"[51.162187673528415, 4.691454651752542]"
Bouwelsesteenweg,"[51.16294087709907, 4.675876490234492]"
Bovenstraat,"[51.16355811766486, 4.6783534507227476]"
Brabantshof,"[51.169773176258595, 4.688517746475558]"
Bremweg,"[51.1688241, 4.6798551609458725]"
Breugelhoevestraat,"[51.16157855, 4.64306675]"
Broechemsesteenweg,"[51.16877161077342, 4.65044718668865]"
Carolusberg,"[51.14738698763119, 4.676779949019884]"
Centraleweg,"[51.165888022685635, 4.703216611128489]"
Dalstraat,"[51.14056542352443, 4.641159434651985]"
De Heide,"[51.1564339298587, 4.637456496804574]"
De Hollekens,"[""FOUT, geen straat gevonden""]"
De Wip,"[51.16789232922367, 4.684210828202331]"
Dennenlaan,"[51.16721405, 4.6997762000000005]"
Diamantlaan,"[51.16322569699684, 4.659755442471011]"
Diepevoortstraat,"[51.1422058, 4.6767729]"
Dieprijt,"[""FOUT, geen straat gevonden""]"
Distelhof,"[51.16689018349413, 4.687412230377869]"
Dobbelbos,"[51.16158089480545, 4.68355434284073]"
Doelstraat,"[51.1578553883702, 4.66178813787521]"
Donderbos,"[51.1407857, 4.63439135]"
Dongelstraat,"[51.1378694012506, 4.625512181504651]"
