Straat,Coordinaten
't Angereelstraat,"[50.813953850000004, 3.9731234000000004]"
Aalstersesteenweg,"[50.81704503724274, 3.9419160958618975]"
Aardeweg,"[50.82977198182823, 3.9893129641133815]"
Abdijstraat,"[50.8397131, 4.0220996499999995]"
Abtenstraat,"[50.84723618317056, 4.02017541827477]"
Acaciastraat,"[50.84322326722273, 4.022803209665478]"
Achturenstraat,"[50.828822101227495, 4.0275541083245745]"
Albertlaan,"[50.839130654985695, 4.014345796049395]"
Ameiveld,"[50.83569581708592, 4.012882802515903]"
André Vanderlindenstraat,"[""FOUT, geen straat gevonden""]"
Antoon de Vlaeminckstraat,"[50.83788491772008, 4.022632961211229]"
Appelterre-Dorp,"[50.81881358046267, 3.967048788002911]"
Arbeidstraat,"[50.82849743721972, 4.020182296730486]"
Armand De Riemaeckerstraat,"[""FOUT, geen straat gevonden""]"
Astridlaan,"[50.841085449999994, 4.0360382]"
Atletiekweg,"[50.82933611315812, 4.013113092239798]"
Azaleastraat,"[50.84359831567339, 4.023520214831846]"
Beekstraat,"[50.84534214762045, 3.9795876759202575]"
Bekstraat,"[50.82636170500699, 3.944921993039455]"
Beneden-Hemelrijk,"[50.81934107043512, 4.030957082852895]"
Bergstraat,"[50.8594589, 3.9795246]"
Berkenhof,"[50.83925984061235, 4.031503454747936]"
Berrebroeckstraat,"[50.82478840805538, 3.980900330634927]"
Bertstraat,"[50.85445576282436, 3.9566190738425564]"
Beukendreef,"[50.81348891342909, 3.9948330445812115]"
Beverbeek,"[50.84398020349168, 3.9759357455835915]"
Beversteeg,"[50.83571539133283, 4.0213172378694395]"
Beverstraat,"[50.83606830869479, 4.021930749148902]"
Bevingen,"[50.80746745396064, 4.05736649390067]"
Bevrijdingslaan,"[50.83296538526519, 4.019291352786732]"
Biezenstraat,"[50.83728320078887, 4.02256194233356]"
Bleekstraat,"[50.83726086191085, 4.018127866599543]"
Bodemstraat,"[50.82700742876192, 4.062609448182327]"
Bokkendries,"[50.800537, 4.0292322]"
Bonteveldweg,"[""FOUT, geen straat gevonden""]"
Borrekensveldweg,"[50.84178478605426, 3.936105513442411]"
Borreweg,"[50.85651785, 4.0563845999999995]"
Bosstraat,"[50.838462531050986, 3.963156641312946]"
Bosveld,"[50.80505745396953, 4.03063581694305]"
Boterbloemweg,"[""FOUT, geen straat gevonden""]"
Boterdael,"[50.783062253471, 4.007277604744989]"
Botermelkstraat,"[50.81422827205653, 3.974654147864491]"
Bovenhoekstraat,"[50.83516203531219, 4.000637168842182]"
Brabandersweg,"[50.85693202491539, 4.0499637833823865]"
Brakelsesteenweg,"[50.83103576650351, 3.946776350036303]"
Breeweg,"[50.810494251486915, 3.964003240263774]"
Brevierweg,"[50.84371166251611, 4.020017118182836]"
Brielstraat,"[50.80982638543533, 4.024128339788623]"
Broekstraat,"[50.85501609429073, 4.052376084764961]"
Bronstraat,"[50.815199715790584, 3.9768784582635317]"
Bruggeweg,"[50.85876301240733, 4.061288581110892]"
Brusselseheerweg,"[50.79869531516768, 4.053291384840569]"
Brusselsesteenweg,"[50.82821957651325, 4.026578201296301]"
Brusselstraat,"[50.82812882503083, 4.025262722900859]"
Buisveldstraat,"[50.84083574679243, 3.9871205301658517]"
Bultkets,"[50.821147514112276, 4.07198673582834]"
Burchtdam,"[50.832281523950414, 4.023479425842334]"
Burchtstraat,"[50.83437894255273, 4.023086213640766]"
Burgemeester Berlengéestraat,"[50.83922164941392, 3.963085245328732]"
Burgemeester Couckstraat,"[50.855345990039126, 4.052944442637602]"
Camberg,"[50.822724650000005, 3.9456022]"
Cauterdreef,"[50.8260723412503, 3.9845315521456635]"
Centrumlaan,"[50.833057233559366, 4.016583660908296]"
Chrysantenweg,"[""FOUT, geen straat gevonden""]"
Clément Behnplein,"[50.83639175, 4.0257781]"
Cyriel Prieëlsstraat,"[50.84875521181844, 3.9368688886939878]"
Daalstraat,"[50.83518113566279, 3.9543393040572647]"
Dam,"[50.83749616777649, 4.019599495211298]"
Damstraat,"[50.82421267321425, 3.948772642387024]"
Damweg,"[50.8427778145798, 3.959113170182372]"
Dasselt,"[50.78963082153584, 4.0243269494758955]"
De Kloef,"[50.81723437384385, 4.0157673215225715]"
Dekenijstraat,"[50.83753375, 4.021821]"
Denderhoutembaan,"[50.85196343512168, 4.021690764020873]"
Denderkaai,"[50.83184976198865, 4.022102542128775]"
Dendermeersen,"[50.83212605, 4.0303179]"
Denderstraat,"[50.82908605433256, 4.032582683676566]"
Despauteerstraat,"[50.8361967, 4.0242006]"
Dokstraat,"[50.823553405824384, 4.057044789392379]"
Donkerstraat,"[50.82528537363627, 4.061420643026239]"
Doorn Noordstraat,"[50.85073694225529, 4.027789360718536]"
Doornweg,"[50.843064169515586, 4.029533234974616]"
Doorsteek,"[50.841298017436834, 4.041480428936536]"
Dr. Frans Hemmeryckxplein,"[50.83059164923644, 4.021756034102964]"
Dreefstraat,"[50.83750679974733, 4.025186237765848]"
Drogentop,"[50.794155700000005, 4.05017315]"
Dwarsstraat,"[50.83765458422467, 4.0142598528234466]"
Désiré De Bodtkaai,"[50.83362076960244, 4.025813704608948]"
Echel,"[50.814315269867954, 4.000906555201977]"
Edingsesteenweg,"[50.793453412896575, 4.025220255461136]"
Edmond De Deynstraat,"[50.83694797910801, 4.023503066480061]"
Eduard Poelaertstraat,"[50.826842694714685, 4.029425974052163]"
Eggerstraat-Noord,"[50.832437496362914, 4.0648809458533925]"
Eggerstraat-Zuid,"[50.825020549467716, 4.064087340564643]"
Eichemstraat,"[50.826071019478476, 3.989117083333054]"
Elisa Van Caulaertstraat,"[50.840208259507236, 4.023603411773147]"
Elisabethlaan,"[50.834901202581044, 4.010051811131836]"
Elnonestraat,"[50.840224026406815, 4.009697909539608]"
Elsbeekstraat,"[50.82498567281159, 4.03583668741592]"
Emiel De Molstraat,"[50.83769232660661, 4.031007417367061]"
Esdoornstraat,"[50.84270174566397, 4.022349790973823]"
Eversemweg,"[50.85937521007264, 4.059882400705818]"
Expresweg,"[50.85095256491906, 4.0256345369521105]"
Fabriekstraat,"[50.8332694057457, 4.029351625140625]"
Fazantstraat,"[50.841810422927196, 4.027232791047578]"
Fernand Tavernestraat,"[50.839455469281404, 4.024519729487887]"
Flierenboomstraat,"[50.82600255193616, 3.9336352453702115]"
Flierendries,"[50.80940035014635, 3.99437260095253]"
Fonteinstraat,"[50.86616895971257, 4.059787449179514]"
Frankenstraat,"[50.84832201250179, 3.9981253536157437]"
Frans Van der Perrekaai,"[50.85446838154125, 4.057551734325337]"
Galgeveldbaan,"[50.85254434687717, 3.997795284620497]"
Ganzenstraat,"[50.80657613339188, 4.054417381883318]"
Ganzeweide,"[50.830357812837136, 4.020656404356103]"
Garenweg,"[50.82861934493038, 4.028797961861546]"
Gemeentehuisstraat,"[50.8253439526593, 4.04002728098369]"
Gentsestraat,"[50.848521855867695, 4.000327158424129]"
Geraardsbergsesteenweg,"[50.83086640863322, 3.947004612731604]"
Geraardsbergsestraat,"[50.836649478799444, 4.0187200631165485]"
Gezellestraat,"[50.81044962729925, 3.9641170770868395]"
Godeystraat,"[50.84326566639304, 3.9929505776077923]"
Goedlangeveldrede,"[""FOUT, geen straat gevonden""]"
Gotestraat,"[50.803593449999994, 4.0630054]"
Graanmarkt,"[50.8354734, 4.0238313]"
Groeneweg,"[50.84522095768151, 4.023543674259443]"
Groenstraat,"[50.86228008418393, 3.9707263579363556]"
Guldenboom,"[50.85723414167298, 4.054047784748026]"
Halfstraat,"[50.84341020787564, 3.949185477904083]"
Halsesteenweg,"[50.826510474510386, 4.037542909165849]"
Hazeleerstraat,"[50.86613687448805, 4.055138006807232]"
Hector Plancquaertstraat,"[""FOUT, geen straat gevonden""]"
Hector Van Muylemstraat,"[50.84735116362144, 3.9731462879324475]"
Heghestraat,"[50.837439216712845, 3.949146226006802]"
Heirebaan,"[50.79280216198848, 3.9890603527322]"
Hellestraat,"[50.81752954121936, 3.971103684263233]"
Hemelrijk,"[50.82355675120856, 4.0405234472013545]"
Hendrik Vangassenstraat,"[50.835429247025374, 4.019269283320036]"
Herlinckhovestraat,"[50.84116885899595, 4.013273774741039]"
Hernof,"[""FOUT, geen straat gevonden""]"
Herremansstraat,"[50.827640412110235, 4.0454436714078845]"
Hinnewinkelbaan,"[50.85616970706192, 3.991487238258249]"
Hoendersveld,"[50.821800179034845, 4.057374916110794]"
Hofkwartier,"[50.82846221949321, 4.0509206644002]"
Hofstad,"[50.85920762968139, 4.0470196126375475]"
Hogeweg,"[50.83814766013222, 4.025207567528421]"
Hollestraat,"[50.81931706942822, 3.955485907737038]"
Holstraat,"[50.81181226128531, 3.95936593059608]"
Hoogstraat,"[50.78884664281546, 3.9926477603044566]"
Huifkarweg,"[50.82877263563155, 4.022601743572864]"
Hulststraat,"[50.8446400197338, 4.024327949865211]"
IJzerenwegbaan,"[50.85241356345746, 4.050482019559264]"
Idevoordelaan,"[50.85486687829632, 4.056534521496206]"
Jagersweg,"[50.85678735, 4.01205505]"
Jan Ockeghemstraat,"[50.85723242876158, 4.054509347216231]"
Jasmijnstraat,"[50.84439391650937, 4.025046749375039]"
