Straat,Coordinaten
Akkerstraat,"[51.17002519141386, 4.905841165235764]"
Anemoonstraat,"[51.16954872642969, 4.8983182106357805]"
Anjerstraat,"[51.1723963691724, 4.897141708953973]"
Bankloopstraat,"[51.18468116616515, 4.906516322079863]"
Begoniastraat,"[51.17219488869981, 4.892800197755148]"
Beilen,"[51.16771374706416, 4.899677629728146]"
Berkenstraat,"[51.1427052236796, 4.848450423910135]"
Beukenstraat,"[51.14774105, 4.84680645]"
Biezenstraat,"[51.140875789977514, 4.864299235076782]"
Binnendoor,"[51.14354527379427, 4.858724399568343]"
Binnenhof,"[51.17973935, 4.8976808]"
Bloemenpad,"[51.171169254134426, 4.899668588852894]"
Bockelplein,"[51.16976375, 4.903002900000001]"
Boekel,"[51.1672455892112, 4.9005649221727845]"
Boerenkrijglaan,"[51.13983539217177, 4.871412721102185]"
Boskant,"[51.15419054236967, 4.893893491685092]"
Brigandsstraat,"[51.140071383003416, 4.866184900676318]"
Bulepad,"[51.15346425, 4.88511355]"
Bulestraat,"[51.146841, 4.8720149]"
Buultje,"[51.14482288223157, 4.884688786003519]"
Cliviastraat,"[51.17312013127719, 4.897442456584476]"
Dahliastraat,"[51.172632948873435, 4.899994497342755]"
De Bleek,"[51.1877331, 4.876303399999999]"
De Heikens,"[51.1403858435937, 4.862895067678303]"
De Langel,"[51.148999328697435, 4.882966965206987]"
Deken Lauwerysstraat,"[51.151726564440395, 4.867981934888069]"
Dellekens,"[51.17182455604936, 4.907485632371039]"
Distelstraat,"[51.1711232075671, 4.886828404260101]"
Doffen,"[51.16466847570781, 4.873817756784371]"
Domuslaan,"[51.150214399999996, 4.8724672]"
Dopheidestraat,"[51.1404989, 4.863682649999999]"
Dorp,"[51.1441087, 4.85947445]"
Dr. A. Robrechtsstraat,"[51.146544264107575, 4.85559539118633]"
Dr. De Biestraat,"[51.145607886589694, 4.8654380691487376]"
Dr. Luyckxstraat,"[51.16504250747098, 4.920157038750221]"
Draaibrugstraat,"[51.18586139742642, 4.904134604568284]"
Draaivennen,"[51.1742582372392, 4.888387167582654]"
Drieshof,"[51.145479912913615, 4.860761620358418]"
Drogebroodstraat,"[51.14238230248891, 4.863849807746237]"
Duiptstraat,"[51.17383000239291, 4.8771591925619315]"
