Straat,Coordinaten
17 Oktoberstraat,"[51.22291423826943, 2.8940863430510353]"
3de en 23ste Linieregimentsplein,"[51.22291019879078, 2.9254139023125063]"
Aalbessenlaan,"[51.20533949343386, 2.910453228359646]"
Aalscholverstraat,"[51.21392790418953, 2.8967341937417608]"
Aarlenstraat,"[51.2185746, 2.8850388000000002]"
Aartshertoginnestraat,"[51.229514492376296, 2.9174757924350723]"
Aartshertogstraat,"[51.21603850928327, 2.8851555745417046]"
Acacialaan,"[51.214558913100944, 2.8822293177657197]"
Achturenplein,"[51.23372945, 2.9169957]"
Adelaarstraat,"[51.20492155404822, 2.9290562918045278]"
Adolf Buylstraat,"[51.231854314885894, 2.9165917944614335]"
Adolf Van Glabbekeplein,"[""FOUT, geen straat gevonden""]"
Afrikalaan,"[51.23275196936557, 2.9467944743782097]"
Aimé Liebaertstraat,"[51.229927588810945, 2.9429187105322403]"
Aimée Thononpark,"[""FOUT, geen straat gevonden""]"
Akkerstraat,"[51.21373710741115, 2.9430174614765034]"
Albatrosstraat,"[51.20655062930346, 2.9312765955492526]"
Albert I-Promenade,"[51.23380781101319, 2.9142599157321585]"
Albertushelling,"[51.217355299999994, 2.8814588]"
Albrecht Rodenbachstraat,"[51.213137260675715, 2.8774997181749877]"
Alfons Pieterslaan,"[51.22573585000001, 2.9129096]"
Amandinestraat,"[51.2101205, 2.9723713]"
Amsterdamstraat,"[51.22565596347518, 2.916167214258233]"
André Ampepark,"[""FOUT, geen straat gevonden""]"
André Chocqueelstraat,"[51.20834339659476, 2.875438797615617]"
Anemonenlaan,"[51.20744445, 2.9115092000000002]"
Anjelierenlaan,"[51.21563194973005, 2.884045506139918]"
Ankerstraat,"[51.237634136377146, 2.9388565054059055]"
Annemie Brackxstraat,"[51.20882488342635, 2.979207071197929]"
Antoon Belpairestraat,"[""FOUT, geen straat gevonden""]"
Antoon Moucquéstraat,"[51.23654841173722, 2.9412151954924637]"
Antwerpenstraat,"[51.225495666190106, 2.9128378625603353]"
Archimedesstraat,"[51.2118851191571, 2.941267274346327]"
Arendstraat,"[51.20822050982554, 2.933321302622627]"
Arthur Vanhouttelaan,"[51.21292541335147, 2.885729105721202]"
Assisiëlaan,"[51.20915042733078, 2.888537903231182]"
Asterlaan,"[51.212075422581854, 2.880131674824729]"
Atletiekpad,"[""FOUT, geen straat gevonden""]"
August Beernaertstraat,"[51.21301438919025, 2.9341921945825855]"
August Michielsplein,"[""FOUT, geen straat gevonden""]"
August Strackéstraat,"[51.23004125, 2.92159205]"
August Vermeylenstraat,"[51.21738066755821, 2.9332324098135554]"
Autoweg A 10,"[""FOUT, geen straat gevonden""]"
Azalealaan,"[51.2129542, 2.9301414]"
Baanhofstraat,"[51.20051086213723, 2.93328918018419]"
Bakboordstraat,"[51.237690277615805, 2.944889900481542]"
Balspelpad,"[51.20895684587594, 2.9236453621907783]"
Bargestraat,"[51.21489335574555, 2.9936071839560627]"
Batterijstraat,"[51.21306720866219, 2.9021113849611053]"
Bauwensplein,"[51.211224179093236, 2.8858267454422935]"
Beekstraat,"[51.21739352970887, 2.9267419531597483]"
Beeldhouwersstraat,"[51.22121464814785, 2.9056078033075963]"
Begonialaan,"[51.21275396004673, 2.929431049834632]"
Bergeendstraat,"[51.20102635211546, 2.9314773999790025]"
Berkenlaan,"[51.2099245024005, 2.897755102867994]"
Bertha Tratsaertstraat,"[51.21953786608259, 2.9317897624024396]"
Beukenlaan,"[51.211954653746815, 2.8971149254792725]"
Biekorfstraat,"[51.217523835251946, 2.9586978450865167]"
Bikkelpad,"[51.20859762838312, 2.9233447381933617]"
Binnenpad,"[51.21078111083424, 2.9231477521728353]"
Blankenbergestraat,"[51.23525589198464, 2.9410243337058892]"
Blauwborststraat,"[51.20241050762819, 2.9296835885965775]"
Blauwkasteelstraat,"[51.21687928257145, 2.90647482965994]"
Blauwvoetstraat,"[51.2053246, 2.9298805999999997]"
Bloemenstraat,"[51.21880315, 2.9600697]"
Boekareststraat,"[51.23480805, 2.91850325]"
