Straat,Coordinaten
Aalmoezenijestraat,"[50.970456560675665, 3.7932891664592585]"
Aardeweg,"[50.94873289501846, 3.780624812420118]"
Acacialaan,"[50.939205132927725, 3.7822258510656437]"
Achterdries,"[50.95224060268718, 3.799675925377735]"
Apostelstraat,"[50.906986831936386, 3.8006790055236546]"
Bakkerstraat,"[50.96736285520488, 3.7903061553272015]"
Balegemstraat,"[50.92453932159111, 3.7915884320509408]"
Bavegemstraat,"[50.95306141398833, 3.836307812264004]"
Beekstraat,"[50.957858900000005, 3.78208605]"
Begijnenweide,"[50.93666258038537, 3.770557955492557]"
Berg,"[50.92189721737474, 3.8021602011290496]"
Berkenlaan,"[50.940553449999996, 3.7825683]"
Beukenlaan,"[50.940810590265485, 3.780555226782986]"
Bierman,"[50.90582477769794, 3.7894418871805575]"
Binnenweg,"[50.934172763831114, 3.7537370458355492]"
Boekhoutstraat,"[50.94314878448724, 3.847223336840485]"
Boerestraat,"[50.9007748, 3.8013844499999996]"
Boonakker,"[50.96068019191683, 3.7956545275978257]"
Bosstraat,"[50.97271162926976, 3.8174886906069823]"
Boterbloemstraat,"[50.934031606506345, 3.776027395313917]"
Boterhoek,"[50.95579907147541, 3.765828416662156]"
Botsewegel,"[50.92927525434782, 3.749566707192577]"
Bottelweg,"[50.90287905385037, 3.7964655949796215]"
Brielstraat,"[50.97277434186043, 3.811022140229545]"
Broek,"[50.901423590434774, 3.813229960580689]"
Cijnsweg,"[50.91385000223764, 3.7809152871180576]"
Dennenlaan,"[50.94193991629702, 3.782197499773298]"
Diepestraat,"[50.91890927077236, 3.803963641360181]"
Dorp,"[50.9455582593878, 3.805988473218355]"
Dreef,"[50.940312501858465, 3.784582253983694]"
Driesstraat,"[50.921809711226146, 3.783899576245664]"
Drooghout,"[50.94539863581143, 3.7715822701213733]"
Duivelskapelweg,"[50.93059946898752, 3.793821134274242]"
Eendenweg,"[50.94732075, 3.8122899500000003]"
Eksterstraat,"[50.9709863, 3.8125462]"
Ellemeers,"[""FOUT, geen straat gevonden""]"
Esdoornlaan,"[50.93920313025102, 3.779111699946209]"
Evelandweg,"[50.909389506464834, 3.787205976136974]"
Fazantenstraat,"[50.947971018839304, 3.8121996559985156]"
Frankenbos,"[50.92157139586502, 3.7746494199174183]"
Gaverse steenweg,"[50.93570310316371, 3.7566009492290027]"
Gentweg,"[50.96282116373148, 3.780516830083789]"
Geraardsbergse steenweg,"[50.95662665393298, 3.8102005096702904]"
Gijzenzelestraat,"[50.97057813278702, 3.816588615248357]"
Ginstberg,"[50.95268685830559, 3.7845070388134867]"
Gootje,"[50.919054665771064, 3.7948842766839888]"
Goudsbloemstraat,"[""FOUT, geen straat gevonden""]"
Gravelos,"[50.96648984137306, 3.7799694234009196]"
Groenweg,"[50.94811525106312, 3.8098981614955676]"
Groot Bewijk,"[50.93342708960098, 3.775963972336147]"
Hauwsestraat,"[50.93029535320018, 3.7530077580871497]"
Hazenwegel,"[50.94667677659522, 3.810886392612866]"
Heet,"[50.93708690138932, 3.757101684516601]"
Heide,"[50.9149691, 3.81809625]"
Heistraat,"[50.94196071611058, 3.82487983714299]"
Hemelstraat,"[50.936518773151015, 3.789076112164479]"
Hettingen,"[50.939487480330264, 3.79964715767906]"
Hoek ter Hulst,"[50.959570481761055, 3.7927669904495587]"
Hoeksken,"[50.92378866958911, 3.734865892576361]"
Hofkouter,"[50.93964209530638, 3.7809228514891013]"
Hogeveld,"[50.94823306651724, 3.8012035268859665]"
Hoogstraat,"[50.970230397372944, 3.81979422956171]"
Houte,"[50.91641695403571, 3.7890922008217958]"
Houtemstraat,"[50.94368207054269, 3.820455777968356]"
Huckerstraat,"[50.92154401074756, 3.7959881846085763]"
Hundelgemse steenweg,"[50.92276460061963, 3.7306432261197484]"
Issegem,"[50.9286322, 3.8039548]"
Kalle,"[50.913038279196854, 3.7967777914545326]"
Kapelweg,"[50.924922678547446, 3.8050410787130695]"
Kasteelstraat,"[""50.95302539022631"", ""3.7756136205365567""]"
Kattenberg,"[50.92382365306536, 3.7946122287792092]"
Keerken,"[50.917210723602686, 3.734941618649756]"
Keiberg,"[50.94556906510726, 3.807830594775623]"
Kerkstraat,"[50.970298468427906, 3.8152692234484764]"
Klaproosstraat,"[50.9337022, 3.7755123]"
Kleistraat,"[50.9657502, 3.8367879]"
Kloosterstraat,"[50.9640581, 3.7855956]"
Kluizestraat,"[50.9402844476739, 3.7925563186369553]"
Koekebroodstraat,"[50.90893982476823, 3.810481203500692]"
Korenbloemstraat,"[50.93566786194974, 3.7761637262825496]"
Korte Ambachtstraat,"[50.9504717, 3.8124625]"
Korte Brielstraat,"[50.97045264998756, 3.8159459720583624]"
Korte Lembergestraat,"[50.9685819705156, 3.791720419982689]"
Korte Streekt,"[50.934885231092984, 3.7702787370870783]"
Kouterweg,"[50.942761090074185, 3.8023460178638033]"
Kraaienveldstraat,"[""FOUT, geen straat gevonden""]"
Krekelberg,"[50.926394159725405, 3.7935493095329242]"
Kwaadbeek,"[50.95576899001755, 3.8121549069982]"
Lange Ambachtstraat,"[50.950211399357165, 3.815393049708259]"
Lange Munte,"[50.92305219938465, 3.762278106226142]"
Langestraat,"[50.974822855871835, 3.820507903065894]"
Leeg Bracht,"[50.92657619644998, 3.828218411551888]"
Leenstraat,"[50.89727452833282, 3.8050424552665127]"
Leeuwerikstraat,"[50.92141321186454, 3.7987754980065302]"
Lembergestraat,"[50.97131212729098, 3.7905430099839337]"
Letterhoutemstraat,"[50.940128223137656, 3.8453982875915296]"
Lijsterstraat,"[50.921280573374084, 3.7976030470115183]"
Lindenlaan,"[50.94188830951745, 3.778505291691126]"
Lusbekestraat,"[50.96202950799477, 3.7770222681265415]"
Marktplein,"[50.9382860245636, 3.7848120878205522]"
Marktwegel,"[50.93722472923242, 3.7847170000191444]"
Maudeweg,"[50.945965833456, 3.8350964225280895]"
Meerlaanstraat,"[50.91856664796639, 3.7835586694693424]"
Meerstraat,"[50.94676308161085, 3.788299264836193]"
Merebaaistraat,"[50.957631344411055, 3.820838009597616]"
Molenbeekstraat,"[50.92204118285641, 3.791608098388681]"
Molenstraat,"[50.92772506094155, 3.8093737984875164]"
Mollekens,"[50.93415534649894, 3.7827096509974645]"
Moortelbosstraat,"[50.960434227007994, 3.8319829866146082]"
Moortselestraat,"[50.954072728394124, 3.780963345071921]"
Morestraat,"[50.9231962995891, 3.7558843189186595]"
Muldershof,"[50.924633216865196, 3.7907841442401153]"
