Straat,Coordinaten
's Gravenmolenpad,"[51.18354405139069, 3.0135930255280985]"
't Hogepad,"[51.183395760482604, 2.9978087991240865]"
Abdijlaan,"[51.185654799999995, 3.0104729878205134]"
Aernoudstraat,"[51.180000171303064, 3.014045029355852]"
Akkerstraat,"[51.18518932849868, 2.9955409351391316]"
Anjelierenstraat,"[51.18460807674279, 3.0177367382631073]"
Baarsstraat,"[51.18833895, 3.00359625]"
Bargeweg,"[""51.18688725184193"", ""2.995854480630787""]"
Bekestraat,"[51.18122560518735, 3.0107469929186452]"
Berkenlaan,"[51.16358428180308, 3.0097561621587388]"
Bilkstraat,"[51.1853236, 2.9966377499999997]"
Blekerijstraat,"[51.163995206204156, 3.014536117755731]"
Bloemenlaan,"[51.18534037443333, 3.014790882294929]"
Boljewistenplein,"[""FOUT, geen straat gevonden""]"
Bourgognestraat,"[51.151080842980626, 3.0227210177266706]"
Bredevoorde,"[51.1936971, 2.98377885]"
Bredeweghe,"[51.191564867388294, 2.9892004345590197]"
Bremstraat,"[51.17626325, 3.04029245]"
Brouwerijstraat,"[51.183773099999996, 3.0009765]"
Brugsesteenweg,"[51.16467203192715, 3.015512041404666]"
Burgstraat,"[""51.18330799536003"", ""3.000412075632339""]"
Caelfstraat,"[51.194049405714836, 2.982776115799345]"
Castellumstraat,"[51.18524620855531, 3.0050453660804894]"
Chrysantenpad,"[""FOUT, geen straat gevonden""]"
Clemensheulestraat,"[51.21241040892857, 3.020508573196554]"
Cono van Einelaan,"[51.185279887540226, 3.0125793676050714]"
Cotidianenstraat,"[51.20440971837677, 3.0148744337564612]"
Cottemweg,"[51.19185206666834, 3.007950759976458]"
Couterhoekpad,"[51.17662024035287, 3.039515780282383]"
Cyriel Astaesstraat,"[51.166753, 3.0121444]"
Dahliastraat,"[51.185517950000005, 3.0157837]"
Demoniemolenstraat,"[51.1815792385145, 3.025955140521676]"
Dietkirchenpad,"[51.18427160230995, 3.003486039914646]"
Dispad,"[51.162328349999996, 3.00717005]"
Dobberpad,"[""FOUT, geen straat gevonden""]"
Doornhoek,"[""FOUT, geen straat gevonden""]"
Dorpsbeekpad,"[""FOUT, geen straat gevonden""]"
Dorpsstraat,"[51.17855863756663, 3.033519297377595]"
Duinenweg,"[51.16536727288902, 3.050099675144544]"
Eendenstraat,"[51.19041858424405, 2.996959998839383]"
Eernegemsestraat,"[51.15090655, 3.0239014500000003]"
Eikenlaan,"[51.16254150939405, 3.009816183410448]"
Elzenbroek,"[51.181889600000005, 3.0108607999999997]"
Essenlaan,"[51.18639015, 3.0166348999999997]"
Essenthoplein,"[51.17824610510368, 3.0335063797692423]"
Ettelgemsestraat,"[51.18438856443781, 3.0108158096840416]"
Felixplein,"[51.170424586459646, 3.031670175369824]"
Ganzenstraat,"[""51.19014017016959"", ""2.99803240012586""]"
Garnaalstraat,"[51.190946350000004, 3.0039569]"
Geleedstraat,"[51.187565686404945, 2.9684031591235245]"
Geneverpiete,"[51.19208233507454, 3.005135012259144]"
Geraniumstraat,"[51.1855531, 3.01715095]"
Gerststraat,"[51.171025690633165, 3.030107513309328]"
Gistelsesteenweg,"[51.163497486727906, 3.0076260206356893]"
Goedeboterstraat,"[51.182070255429615, 2.991698510034917]"
