Straat,Coordinaten
Akkerstraat,"[51.03580725233029, 5.5734201367892835]"
Alsemstraat,"[51.10131798958363, 5.520238380423788]"
Anjerstraat,"[51.09057862187532, 5.528977455648412]"
Antonietenplein,"[51.09640342023206, 5.518817217479833]"
Arkstraat,"[51.09467376207963, 5.527850079013191]"
Asterstraat,"[51.03131715, 5.538047199999999]"
Auwelstraat,"[""FOUT, geen straat gevonden""]"
Azaleastraat,"[51.03044483861221, 5.531602168213835]"
Bampsstraat,"[51.03137973350986, 5.5985897217467375]"
Bedrijfsstraat,"[51.036704833140085, 5.528929081284379]"
Beekstraat,"[51.101179140456495, 5.517270195170365]"
Beemdstraat,"[51.09754371117137, 5.5167489540871095]"
Begoniastraat,"[51.033179431511535, 5.537451192103136]"
Berenheide,"[51.11497761896499, 5.503570837860054]"
Bergerweg,"[51.05683508522973, 5.6169979328206905]"
Bergstraat,"[51.03072009102139, 5.589202622512694]"
Berkenstraat,"[51.100741195064764, 5.500323381966902]"
Bessenstraat,"[51.13878720326191, 5.533287257847813]"
Betonweg,"[51.13552418625124, 5.524595093946364]"
Beukenstraat,"[51.09605395923999, 5.494558429575769]"
Beunisstraat,"[51.094609518684514, 5.520180225118059]"
Biesbosstraat,"[51.10821025, 5.53857185]"
Bieskensveld,"[51.0457367005745, 5.587167905044456]"
Bijvaerdebeemden,"[""FOUT, geen straat gevonden""]"
Bijvaerdeweg,"[51.03102523258867, 5.58727559646755]"
Binnenweg,"[51.04531771474502, 5.577348072368356]"
Blauwe-Keistraat,"[51.09470900929805, 5.582307306181898]"
Bloemenstraat,"[51.082854561856955, 5.56588194452149]"
Boekweitstraat,"[51.05051834975171, 5.584776229528521]"
Boendersstraat,"[51.1217611535874, 5.534763846906235]"
Boesestraat,"[51.12314705503291, 5.525248502660879]"
Boogstraat,"[51.13191334184242, 5.5366471866014155]"
Boomgaardstraat,"[51.096499262468654, 5.524335411860927]"
Bosdijkstraat,"[51.11204138466015, 5.56143561111938]"
Boshofweg,"[51.05389633127497, 5.610324465045797]"
Boshovenstraat,"[51.108845779183994, 5.591500349247308]"
Boskantstraat,"[51.1021128, 5.5378887]"
Bosstraat,"[51.032362561321506, 5.587221541275961]"
Bovenlee,"[51.07169666580188, 5.6361705492993925]"
Braamstraat,"[51.03790828289082, 5.585972760919493]"
Breekiezel,"[51.10874299749081, 5.591558217717142]"
Bremstraat,"[51.099562768295094, 5.587313221348329]"
Broekkantstraat,"[51.04290461108499, 5.591637558980949]"
Broeksbeemdenstraat,"[51.13094353642257, 5.539918877287203]"
Broekstraat,"[51.03808807161334, 5.590467484362017]"
Brogelerweg,"[51.12978495408487, 5.514369734577073]"
Bullenstraat,"[51.06820163730447, 5.509488488162754]"
Bunderstraat,"[51.03978236909197, 5.572598045147573]"
Bunkerstraat,"[51.08123823279332, 5.487031665579249]"
Campstraat,"[51.063370983035426, 5.583599129925166]"
Cannersstraat,"[51.088718318108526, 5.572583448921912]"
Centrumstraat,"[51.04356740300416, 5.584908511484948]"
Chrysantenstraat,"[51.03130865, 5.532129144159389]"
Cousenstraat,"[51.046557204853784, 5.5939668235573405]"
Dalstraat,"[51.049180498310825, 5.609952472554919]"
Dampstraat,"[51.07022224593668, 5.525025839833117]"
De Kippenstraat,"[51.106818440479465, 5.518940546913389]"
Denappelstraat,"[51.10604089148969, 5.552344338074557]"
Dennenstraat,"[51.03512957913717, 5.562692485975202]"
Derconingenstraat,"[51.0943768733515, 5.587733129929228]"
Diepestraat,"[51.04334792981874, 5.602255419090161]"
Dillestraat,"[51.10403924118662, 5.5197504740081165]"
Donderslagweg,"[51.06043692688759, 5.530431331932481]"
Doornappelstraat,"[51.10390141457153, 5.520896615016741]"
Dorpermolenstraat,"[51.10550674064065, 5.511312198736337]"
Dorpsplein,"[51.04279928674497, 5.584261253222825]"
Dorpsstraat,"[51.04520957577897, 5.585293992558378]"
Dreefstraat,"[51.088800009972275, 5.591483302829872]"
Dreesstraat,"[51.05445925, 5.6055578]"
Driehoekstraat,"[51.0367211087256, 5.573898510901284]"
Droogstraat,"[51.045379796056025, 5.5821067104358955]"
Duinenstraat,"[51.057463532203, 5.613781191757986]"
Dwarsstraat,"[51.04698696983838, 5.607886806295835]"
Edmond van Bocholtzstraat,"[51.092320463906496, 5.586265395843865]"
Eekhoornstraat,"[51.07649226238596, 5.582530430911258]"
Eendenstraat,"[51.07823432323632, 5.58193662833998]"
Eikenstraat,"[51.1053127272515, 5.5004182511778215]"
Eindstraat,"[51.0465417929468, 5.58017427716588]"
Elckerlycstraat,"[51.09011723151937, 5.614957558363815]"
Elf-Septemberlaan,"[51.050060293929256, 5.591797233401046]"
Elzenstraat,"[51.098890433266725, 5.509665828032175]"
Engelenweg,"[51.048980861716274, 5.580955816150029]"
Erfstraat,"[51.09753793383365, 5.5209233649528855]"
Fabriekstraat,"[51.103726050249804, 5.5352936460775926]"
Fazantenstraat,"[51.02859585255627, 5.541134751186111]"
Floxstraat,"[51.03259645, 5.53856605]"
Geensstraat,"[51.0550752103701, 5.61310706928698]"
Geitenbergstraat,"[""FOUT, geen straat gevonden""]"
Genitsstraat,"[51.0942085, 5.53930875]"
Genkerbaan,"[51.0834314998957, 5.5272659981759]"
Gestelstraat,"[51.0634867, 5.52250175]"
Gielisheide,"[51.10880191923623, 5.484037918986813]"
Gildenstraat,"[51.04599191058292, 5.5839957111887895]"
Gladiolenstraat,"[51.03345856574886, 5.535245538726666]"
Gommersstraat,"[51.03989085, 5.6036194]"
Grachtstraat,"[51.09173283725737, 5.5802560398343095]"
Grensstraat,"[51.10910655, 5.56809785]"
Groenskuilweg,"[51.035805368529964, 5.572246725333577]"
Groenstraat,"[51.039595241135956, 5.574094139519893]"
Grote Baan,"[51.13457048719296, 5.538281878291612]"
Grote Heide,"[51.03952136132328, 5.522836281242444]"
Gruitroderbaan,"[51.09991384999999, 5.52684295]"
Guytjensstraat,"[51.09068679621658, 5.529952214699885]"
Haagweg,"[51.08774995727638, 5.610095802714708]"
Hagensbeemdstraat,"[51.04414020164905, 5.575384422477063]"
Harmonieweg,"[51.08860339238492, 5.60685724556665]"
Heerstraat,"[51.05857114821885, 5.607985834501221]"
Heidebloemstraat,"[51.03069899909454, 5.532857481133862]"
Heiderbosstraat,"[51.027184999999996, 5.5683558]"
Heidestraat,"[51.03148762122884, 5.578504468811589]"
Heideveldstraat,"[51.0740813, 5.490127149999999]"
Heikantstraat,"[51.0272479, 5.56859845]"
Heivinkenstraat,"[51.030752696323695, 5.5483071544121705]"
Hellestraat,"[51.126260094449634, 5.523903754877335]"
Hendrik van Merodestraat,"[51.09732130302741, 5.582675169645889]"
Hendrik van Wassenaarstraat,"[51.09562887857366, 5.582355616381465]"
Hensemstraat,"[51.08800446797373, 5.501992132747708]"
Herfststraat,"[51.09451782003011, 5.525028771919291]"
Hermispad,"[51.040869880231654, 5.581436591815334]"
Hermisweg,"[51.04130421275836, 5.580506983451504]"
Heuvelstraat,"[51.08830253401126, 5.5877640825876105]"
Heymansweg,"[51.092759255588525, 5.620197350306076]"
Heyweg,"[51.088392649999996, 5.61927255]"
Hoekstraat,"[51.04636942801649, 5.578237535587307]"
Hoeverbergweg,"[51.03182720510424, 5.589515936903924]"
Hoeverkerkweg,"[51.03880744200247, 5.586145801738871]"
Hoeverweg,"[51.03006113224847, 5.597555515547697]"
Hofstraat,"[51.05356274529904, 5.606252217356459]"
Hoogmolenweg,"[51.127485899155694, 5.5223769916836645]"
Hoogstraat,"[51.0955108, 5.5215482]"
Hoogveldstraat,"[51.09384764719573, 5.526763276823762]"
Hooiweg,"[51.05409892955955, 5.588108914566116]"
