Straat,Coordinaten
Aardstraat,"[51.1610785, 5.51942945]"
Acacialaan,"[51.135749, 5.3981009]"
Achelmansstraat,"[51.1098694, 5.4055384]"
Achterstraat,"[51.1259877, 5.4181485]"
Achtzalighedenstraat,"[51.1296792, 5.4061907]"
Albertus Morrenstraat,"[51.1357987, 5.4648043]"
Ambachtslaan,"[51.1329498, 5.4673393]"
Anjerlaan,"[51.1426714, 5.4696361]"
Apotheker Hendrixstraat,"[51.1295535, 5.4505606]"
Armand Preud'hommeplein,"[51.1323784, 5.4511974]"
Azalealaan,"[51.1430057, 5.4693981]"
Baan naar Bree,"[51.1356956, 5.5066514]"
Baan naar Helchteren,"[51.0770061, 5.4397846]"
Barreelstraat,"[51.1334502, 5.4026971]"
Beckershofweg,"[51.1493419, 5.5324525]"
Bedrijfsstraat,"[51.1404827, 5.5008749]"
Bergskenstraat,"[51.1117312, 5.4594432]"
Beukenbosstraat,"[51.1293762, 5.4631144]"
Binnenhofweg,"[51.1529703, 5.505874]"
Blauwe Kielsteegje,"[""FOUT, geen straat gevonden""]"
Blekerijsteeg,"[51.1314682, 5.4537811]"
Blijlever,"[51.1378702, 5.4248726]"
Bocholterweg,"[51.1578516, 5.5236966]"
Boekweitveld,"[51.1496893, 5.503714]"
Bokterstraat,"[51.1363206, 5.4515797]"
Bollisstraat,"[51.1337505, 5.40707]"
Bomerstraat,"[51.1310729, 5.4475705]"
Bosbeemdstraat,"[51.1265405, 5.4672975]"
Boshoeve,"[51.1516891, 5.5130057]"
Bosschel,"[51.0880539, 5.4520516]"
Bosstraat,"[51.1809718, 5.4579998]"
Bovenlinde,"[51.0783595, 5.443685]"
Bovenmeel,"[51.1329742, 5.4638465]"
Bovenstestraat,"[51.1258337, 5.4300914]"
Braamsnijdersstraat,"[51.1508781, 5.508069]"
Bremstraat,"[51.158485999999996, 5.509982753237826]"
Brigittaplein,"[51.1715534, 5.4494273]"
Broekkantstraat,"[51.1545916, 5.5011416]"
Broekstraat,"[51.111873, 5.4532718]"
Brouwershof,"[51.1334377, 5.4539692]"
Bunderstraat,"[""FOUT, geen straat gevonden""]"
Burgemeester Dupontplein,"[51.1326766, 5.4424334]"
Burgemeester Esserslaan,"[51.176026, 5.4540464]"
Burgemeester Schrijversstraat,"[51.1363865, 5.448595]"
Burgemeester Voetslaan,"[51.1729399, 5.4499206]"
Burkel,"[51.1245719, 5.4578255]"
Coenenhofweg,"[51.1367062, 5.5120486]"
Collegelaan,"[51.134351, 5.4602739]"
Cremerdijk,"[51.0978719, 5.4498458]"
Cromsstraat,"[51.0957279, 5.4425901]"
Croxdijk,"[""FOUT, geen straat gevonden""]"
De Bogaerd,"[51.13182845, 5.456685704631761]"
Dennenstraat,"[51.1842014, 5.4579996]"
Deusterstraat,"[51.1310522, 5.4595564]"
Diestersedijk,"[51.117108, 5.3972018]"
Dieweg,"[51.100962, 5.4449477]"
Dijkerstraat,"[51.1347004, 5.4189686]"
Dillestraat,"[51.0858024, 5.4670282]"
Dokter Vanderdonckstraat,"[51.1332846, 5.4481957]"
Dommellaan,"[51.1795645, 5.4436828]"
Donkshofweg,"[51.149766, 5.5331321]"
Dorpsstraat,"[51.1519843, 5.5079047]"
Driehoevenstraat,"[51.1242029, 5.4224895]"
Driekoningenplein,"[51.0974216, 5.4451495]"
Drieskenshofweg,"[51.1553781, 5.4935972]"
Drossaardplein,"[51.1316472, 5.4547064]"
Eggebekstraat,"[51.128685, 5.4200833]"
Eikenbosstraat,"[51.127687, 5.4646148]"
Eilandsweg,"[51.1516492, 5.5057317]"
Ekselsebaan,"[51.1710205, 5.4499992]"
Ellikommerdijk,"[51.1237549, 5.500127]"
Elsevaart,"[51.1102403, 5.427446]"
Elvenweg,"[51.168515, 5.5181162]"
Erfkensstraat,"[51.0949637, 5.4349832]"
Erpekommerweg,"[51.1312856, 5.4922411]"
Erperheidestraat,"[51.1315763, 5.5028561]"
Evitstraat,"[51.1369466, 5.4617103]"
Exelmansstraat,"[51.1535805, 5.5033729]"
Fissebosstraat,"[51.1296575, 5.4711775]"
Gagelstraat,"[51.1496382, 5.5071811]"
Ganzenwijer,"[51.147135, 5.4742454]"
Gehucht,"[51.1092532, 5.4321395]"
Geitelingstraat,"[51.1315646, 5.4048001]"
Gijzenstraat,"[51.1694937, 5.4436427]"
Goudbergstraat,"[51.1333586, 5.4411681]"
Groenewoudstraat,"[51.1790183, 5.4423159]"
