Straat,Coordinaten
't Weike,"[51.20840931128405, 5.412808965248962]"
A Lapidestraat,"[51.21568307210615, 5.427183537472746]"
Aambeeldstraat,"[51.227079700000004, 5.39100875]"
Aangelag,"[51.23101943831658, 5.4498841349653375]"
Acaciastraat,"[51.22332771925554, 5.44570174256862]"
Achelsendijk,"[51.24579771180291, 5.442211658071764]"
Achter de Heuf,"[51.21083075786673, 5.420800075073523]"
Akkerstraat,"[51.20578264501801, 5.429966980191728]"
Albert Quintinlaan,"[51.22421898049616, 5.382226457128648]"
Amandusstraat,"[51.2464552534303, 5.440519184978176]"
Ambachtsstraat,"[51.20860546772086, 5.422243342266124]"
Anjerstraat,"[51.22523404673003, 5.454114634542495]"
Ankerweg,"[51.23063484091415, 5.440346341479231]"
Appelboomstraat,"[51.228415311468964, 5.45541853269217]"
Astridlaan,"[51.21420895018864, 5.381598098553226]"
Atalantaweg,"[51.209044246706156, 5.43344231079191]"
Azalealaan,"[51.22284671867329, 5.4472295453271835]"
Bakenhofweg,"[51.19535390773558, 5.405508884886405]"
Bakkersstraatje,"[51.24543010698151, 5.437721572870716]"
Ballaststraat,"[51.19492339631951, 5.427929534331198]"
Beekstraat,"[51.20921101805745, 5.401856121867429]"
Beemdstraat,"[51.232069133540925, 5.4919790214536395]"
Begijnenbroek,"[51.214731139707524, 5.432241546281793]"
Begonialaan,"[51.226626930489545, 5.454572767531553]"
Bemvaartstraat,"[51.21339071016291, 5.431930607349057]"
Bergeiksendijk,"[51.24210709350097, 5.413950684500649]"
Bergeykseweg,"[51.22642376597967, 5.414884342507636]"
Berghei,"[51.218498898539195, 5.502600567944341]"
Berkenlaan,"[51.23220539047801, 5.397467572662423]"
Bermstraat,"[51.23265216564325, 5.429777676868598]"
Bettebos,"[51.20114803019718, 5.444917777633808]"
Bettemiserf,"[51.20093452345874, 5.44210634096188]"
Bettemishoeve,"[51.20152721974196, 5.442542997034018]"
Beugelstraat,"[51.18663081919861, 5.405297261188246]"
Beukenlaan,"[51.21650869183028, 5.443827984480237]"
Bevrijdingsweg,"[51.23676538333681, 5.442183582473283]"
Bienderstraat,"[51.243165745051854, 5.463856315051392]"
Biezenweg,"[51.224568052861095, 5.439805637984141]"
Bikkelstraat,"[51.18874128381688, 5.406484660984511]"
Binnenweg,"[51.210643443133016, 5.419050242817629]"
Blaasstraat,"[51.19507251620591, 5.410283114090599]"
Bleekveldstraat,"[51.205326491276416, 5.433469606637082]"
Bloesemstraat,"[51.2310155, 5.44783325]"
Boegstraat,"[51.231083033796786, 5.440928208408582]"
Boekweitstraat,"[51.21818094996158, 5.423232125494432]"
Boelehoef,"[51.23798255256564, 5.448534360865003]"
Boelenstraat,"[51.20681891759667, 5.420675873587494]"
Boemerangstraat,"[51.1887290666666, 5.391046631068755]"
Boerenkrijgstraat,"[51.18928427242973, 5.391907294195265]"
Bokkerijdersweg,"[51.19150885, 5.3922609999999995]"
Bolakkerstraat,"[51.20393903673965, 5.410935768142134]"
Bolknak,"[51.20513965, 5.4172114]"
Boomgaardstraat,"[51.23241145, 5.4329236000000005]"
Boonskuilstraat,"[51.23137432711774, 5.4383083084302175]"
Bosbessenlaan,"[51.223649747622154, 5.448772967760969]"
Boseind,"[51.2204436, 5.4439066]"
Boskantstraat,"[51.22334698011535, 5.442993818020495]"
Bosstraat,"[51.19318605, 5.37029595]"
Bosuilstraat,"[51.22409182411128, 5.494666887820023]"
Bosvlinderstraat,"[51.217799664167806, 5.440272854925553]"
Breugelweg,"[51.185568142835464, 5.431104884893521]"
Broekkant,"[51.228919852806754, 5.499502108299992]"
