Straat,Coordinaten
Bautebrugstraat,"[50.7226399, 4.1207315]"
Beertstraat,"[50.744929463527185, 4.196710630716772]"
Beringen,"[50.7616881, 4.1494227]"
Boekhoutstraat,"[50.761435649999996, 4.16667945]"
Borrestraat,"[50.78104016101411, 4.165569570487391]"
Bosstraat,"[50.72000875, 4.10047995]"
Brandwacht,"[50.78086043240841, 4.160292380685328]"
Brandwachtstraat,"[50.780502725360584, 4.16325011676869]"
Brugstraat,"[50.760078096687565, 4.152444858703933]"
Brusselbaan,"[50.74252993171811, 4.114322311100823]"
Buvingen,"[50.75249907332157, 4.174183795437341]"
Cantempréstraat,"[50.74635718467728, 4.155951854539215]"
Crockaertstraat,"[50.7549061, 4.17514425]"
Daelestraat,"[50.736264285871876, 4.159328177988492]"
Daeleveld,"[50.7352105528333, 4.159668592813025]"
Donkerstraat,"[50.76647380636712, 4.16950968329588]"
Doornstraat,"[50.76991230159443, 4.168665507743473]"
Dorekensstraat,"[50.729718210347926, 4.165495280927865]"
Dreef,"[50.754894269034565, 4.150933764777316]"
Eeckhoudtstraat,"[50.72510905, 4.1077151]"
Eikstraat,"[50.749930436505444, 4.185844985918286]"
Elbeekstraat,"[50.73889787900143, 4.184046474889612]"
Elingenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Felix Wijnsstraat,"[50.768105, 4.173024]"
Galgenstraat,"[50.74371595281543, 4.181727913839577]"
Geilinkstraat,"[50.74948720838696, 4.128352427416535]"
Geynsberg,"[50.76855689543498, 4.170837310320942]"
Grasmeerstraat,"[50.75644645, 4.160359850000001]"
Grimmigenstraat,"[50.7272637189948, 4.191255544352433]"
Groenstraat,"[50.73553554777612, 4.127719664832016]"
Grote Baan,"[50.743748674869764, 4.171785239584668]"
Hallebaan,"[50.77716850653338, 4.177583853584243]"
Hameau de Trop,"[""FOUT, straat in foute gemeente gevonden""]"
Heikruisesteenweg,"[50.7284522680029, 4.124024412110025]"
Hoekstraat,"[50.77721297268431, 4.166517924489029]"
Hoesnaek,"[50.75775992014691, 4.153819117479413]"
Hoevestraat,"[50.74102298520123, 4.175510737825757]"
Hof-ten-Bos,"[""FOUT, geen straat gevonden""]"
Hoge Kouter,"[50.729740945836014, 4.176244024059266]"
Hollestraat,"[50.741705843369225, 4.1775328847673485]"
Hondzochtstraat,"[50.72333232755685, 4.176017971286936]"
Huttestraat,"[50.7411303170333, 4.135647090991232]"
