Straat,Coordinaten
A. Coolsstraat,"[51.07339605, 4.282723422736215]"
A. Meersmansdreef,"[51.0677469, 4.3058749]"
A. Tersagostraat,"[51.0788047, 4.2773107]"
Abeelestraat,"[51.0531422, 4.2270072]"
Achterheide,"[51.0562337, 4.2636303]"
Achterhoefweg,"[51.081275, 4.3269709]"
Alfons De Saegherstraat,"[51.0586887, 4.2784817]"
Alfons Piessensstraat,"[51.0530387, 4.2746131]"
Anjerlaan,"[51.0469626, 4.3237893]"
Arthur Borghijsstraat,"[51.0790229, 4.3273163]"
Aspergevelden,"[51.0719057, 4.296705742475037]"
Aspot,"[51.063035, 4.3030667]"
Azaleahof,"[51.0472315, 4.3264335]"
Baroniestraat,"[51.0654383, 4.2431985]"
Baukel,"[""FOUT, geen straat gevonden""]"
Beemdstraat,"[51.0844621, 4.3212676]"
Beenhouwerstraat,"[51.0431345, 4.3222877]"
Begijnhofstraat,"[51.0757461, 4.2746652]"
Begonialaan,"[51.0766946, 4.3226932]"
Beiaardhof,"[""FOUT, geen straat gevonden""]"
Berkenkant,"[51.0718029, 4.3052295]"
Bessemstraat,"[51.0298944, 4.3222184]"
Bieshuizen,"[51.0636638, 4.2412454]"
Bloemenlaan,"[51.0479284, 4.2107783]"
Bloemhof,"[51.0861248, 4.3341089]"
Boonhof,"[51.0434621, 4.20792]"
Borgstraat,"[51.0538339, 4.2045061]"
Bosdreef,"[51.0803728, 4.2815266]"
Bosweg,"[51.0633107, 4.2400027]"
Botermarkt,"[51.0761515, 4.2761972]"
Boudewijnhof,"[51.0720363, 4.2784558]"
Brabantstraat,"[51.0644223, 4.3221942]"
Branderveld,"[51.0697958, 4.2755345]"
Brandstraat,"[51.0692026, 4.2773073]"
Breendonk-Dorp,"[51.0424724, 4.3259947]"
Breutheide,"[51.0419902, 4.2406546]"
Broekstraat,"[51.0591656, 4.2831604]"
Brouwersstraat,"[51.0543329, 4.2089678]"
Buisstraat,"[51.0550618, 4.2072229]"
Buitenveld,"[51.0505091, 4.2120036]"
Bundersgracht,"[51.0486923, 4.2110454]"
Calleboutstraat,"[51.0444603, 4.2083566]"
Coolhemdreef,"[51.0733587, 4.3061124]"
Coolhemstraat,"[51.0743951, 4.3027181]"
Coolhemveldstraat,"[51.0717061, 4.3006382]"
Dahlialaan,"[51.0470759, 4.3257872]"
Dam,"[51.0552658, 4.2023835]"
Dendermondsesteenweg,"[51.0581954, 4.3296997]"
Doelstraat,"[51.045803, 4.2627097]"
Donkstraat,"[51.0877889, 4.3275782]"
Dorekensstraat,"[51.0426912, 4.2207027]"
Dorpshart,"[51.0760515, 4.2793149]"
Dr.F. De Wachterlaan,"[51.0802576, 4.3328015]"
Dullaard,"[51.0703104, 4.2771313]"
Eeuwfeeststraat,"[51.074622, 4.2813918]"
Eigenaarstraat,"[51.0576886, 4.33163]"
Eikerlandstraat,"[51.0763508, 4.3323192]"
Eikevlietbaan,"[51.0824935, 4.288307]"
Eikse Amer,"[51.0855996, 4.3079219]"
Emile Verhaerenstraat,"[51.0587732, 4.2023982]"
Emmanuel Rollierstraat,"[51.0556214, 4.2044419]"
Engelse hoek,"[51.09204915, 4.323105982590141]"
Esdoorndreef,"[51.0597581, 4.2721472]"
Essendries,"[51.0644828, 4.2951747]"
Europastraat,"[51.074613, 4.2818517]"
F. De Bondtstraat,"[51.0773236, 4.280566]"
Fabiolapark,"[51.071779, 4.2948013]"
Fierkensstraat,"[51.0475415, 4.2179863]"
Flierke,"[51.0787203, 4.2859313]"
Fok,"[51.0398735, 4.213006]"
Fortbaan,"[51.0696054, 4.2818934]"
Forum,"[""51.07456698696151"", ""4.274293223164356""]"
Frans Leroystraat,"[51.0519231, 4.2710662]"
Fransveld,"[51.0908422, 4.323587]"
G. Gezellelaan,"[51.0747309, 4.2902997]"
Gansbroekstraat,"[51.0812079, 4.3542691]"
Gasthuisdreef,"[51.0788066, 4.3360405]"
Gebr. Van Benedenlaan,"[51.0789646, 4.3202404]"
Gebroeders Aertslaan,"[51.0784382, 4.3337083]"
Gemeentekant,"[51.0910609, 4.3322392]"
Groenstraat,"[51.0444982, 4.3202412]"
Groenveldweg,"[51.0340302, 4.3160713]"
Grote Amer,"[51.0826823, 4.2885411]"
Grote Lei,"[51.0901659, 4.3268635]"
H. Hartplaats,"[51.0765413, 4.2764689]"
Haagstraat,"[51.0575801, 4.3164914]"
Halvemaanstraat,"[51.0605203, 4.2065875]"
Harmoniepad,"[51.0747461, 4.274903]"
Haverblok,"[51.0709868, 4.3051874]"
Heibosstraat,"[51.0345561, 4.2123816]"
Heidestraat,"[51.0569276, 4.2087956]"
Heikant,"[51.0580949, 4.2072456]"
Heiken,"[51.0474717, 4.2137772]"
Hekkestraat,"[51.0523767, 4.2030226]"
Hellegatstraat,"[51.0905591, 4.3297545]"
Hemelrijken,"[51.0592855, 4.211541447201698]"
Hoek ten Eiken,"[51.0676195, 4.3019266]"
Hoekstraat,"[51.0468238, 4.2068717]"
Hof ter Bollen,"[51.0471645, 4.2794471]"
Hof ter Bollendreef,"[51.0477523, 4.2836774]"
Hof ter Zielbeek,"[51.07589805, 4.338175796513395]"
Hof-ten-Berglaan,"[51.0668218, 4.2798469]"
Hogedreef,"[51.0366931, 4.3082566]"
Hondsmarkt,"[51.0750787, 4.276569]"
Hoogheide,"[51.0423956, 4.2959654]"
Hoogstraat,"[51.0759046, 4.2818476]"
Hoogveld,"[51.0920117, 4.3249302]"
Hooiveld,"[51.0712229, 4.2778489]"
Hospiceveld,"[51.0826995, 4.3263082]"
Industrieweg,"[51.0907213, 4.335705]"
Irislaan,"[51.0784917, 4.3219094]"
J. Hauchecornestraat,"[51.0819288, 4.3204614]"
Jan De Donckerlaan,"[51.0809255, 4.3208749]"
Jan Hallezlaan,"[51.0494724, 4.2088238]"
Jan Hammeneckerstraat,"[51.045286, 4.3219733]"
Jan Van Droogenbroeckstraat,"[51.0564221, 4.2040738]"
Jeugdlaan,"[51.0519293, 4.2100306]"
Jozef Cardijnlaan,"[51.0530112, 4.2131255]"
K. Verbruggenstraat,"[51.0825334, 4.2994112]"
Kaai,"[51.0562731, 4.2009657]"
Kaardijk,"[51.0838768, 4.3359163]"
Kaardijkstraat,"[51.0852811, 4.3326074]"
Kaatsplein,"[51.0745449, 4.2805276]"
Kadettenstraat,"[51.0478922, 4.2019021]"
Kalfortdorp,"[51.0732849, 4.296005]"
Kamerveld,"[51.0721881, 4.3000068]"
Kanaaldijk,"[""FOUT, geen straat gevonden""]"
Kapellekouter,"[51.0500177, 4.2043009]"
Kapellelaan,"[51.0500597, 4.2001436]"
Kapelstraat,"[51.0856041, 4.3114675]"
Kasteeldreef,"[51.038125, 4.2539792]"
Kasteelstraat,"[51.0749278, 4.3362604]"
Kattestraat,"[51.0665397, 4.2330664]"
Kerkhofdries,"[51.0554333, 4.2056641]"
Kerkhofstraat,"[51.0737954, 4.2838549]"
Kerkplein,"[51.0764503, 4.2759861]"
Kerkstraat,"[51.0826132, 4.3228969]"
Keten,"[51.0489753, 4.2274507]"
Keulendam,"[51.0787665, 4.273964]"
Kimpelberg,"[51.0713442, 4.2807656]"
Klein broek,"[51.0923147, 4.3245647]"
Kleine Amer,"[51.0784756, 4.2957456]"
Kleine Lei,"[51.0893621, 4.3277933]"
Kloosterbunder,"[51.0736926, 4.2972213]"
Kloosterhof,"[51.0741723, 4.2748503]"
Kloosterstraat,"[51.0777818, 4.3358081]"
Koevoetmolen,"[""51.03962484653234"", ""4.283324250985354""]"
Koewei,"[51.0700651, 4.2771205]"
Konijnenstraat,"[51.0773576, 4.288591]"
Koning Leopoldlaan,"[51.0358558, 4.3269325]"
Koningin Astridlaan,"[""FOUT, geen straat gevonden""]"
Koningsvelden,"[51.04070565, 4.259062556253152]"
Kossaardhof,"[51.0593238, 4.2780923]"
Kouterhof,"[51.0520886, 4.2050003]"
Kouterpark,"[51.0514373, 4.2038429]"
Kreweg,"[51.0636636, 4.3408099]"
Krokuslaan,"[51.0463129, 4.3255441]"
Kruidtuin,"[""51.0469174837606"", ""4.210905983497288""]"
Kruisveld,"[51.078695, 4.3188916]"
Kuipersstraat,"[51.0517686, 4.2088118]"
Kuipersweg,"[51.0794139, 4.3309171]"
Kuitegemstraat,"[51.0413965, 4.1941334]"
L. Nutenstraat,"[51.0696113, 4.3032341]"
L. Van Kerckhovenstraat,"[51.0739593, 4.2952423]"
Larendries,"[51.0432131, 4.2121821]"
Leemgaard,"[51.0723739, 4.2834175]"
Leerlooierslaan,"[51.0505987, 4.2038362]"
Leipark,"[51.0887087, 4.3278784]"
Lelielaan,"[51.0479176, 4.3239413]"
Letterheide,"[51.0568745, 4.3066628]"
Leuk,"[51.0908422, 4.323587]"
Lichterstraat,"[51.0583006, 4.3272369]"
Lichterveld,"[51.0614104, 4.317742]"
Liezelbroek,"[51.0587772, 4.2830814]"
Liezele-Dorp,"[51.0666919, 4.2797961]"
Lippelodorp,"[51.0434954, 4.2646549]"
Lippeloseweg,"[51.061135, 4.2462446]"
Livien Van der Looystraat,"[51.0550113, 4.2050648]"
Louis Van Campenhoutstraat,"[51.0584077, 4.2757561]"
Loutersveld,"[51.0772465, 4.2894303]"
Maalderstraat,"[51.0389924, 4.2201043]"
Mandenmakersstraat,"[51.0519165, 4.211704]"
Mantenhof,"[51.0752096, 4.282616]"
Marollen,"[""51.04434347560154"", ""4.322157018076144""]"
Marthe Massinstraat,"[51.0513495, 4.2063211]"
Meir,"[""51.06999827145307"", ""4.251771366304639""]"
Meirstraat,"[51.0673374, 4.2416014]"
Merellaan,"[51.0420655, 4.3207604]"
Merkenveld,"[51.0774321, 4.2830369]"
Merlegatveld,"[51.068288, 4.3037459]"
Moerplas,"[51.0816981, 4.3162095]"
Moerplein,"[51.0776518, 4.3207602]"
Molendreef,"[51.0479024, 4.1955372]"
Molenheide,"[51.0410103, 4.3243335]"
Molenkouter,"[51.0476602, 4.2024342]"
Molenplein,"[51.04040815, 4.327232304261541]"
Molenstraat,"[51.0684827, 4.2815443]"
Molenveld,"[51.0830575, 4.3204875]"
Monnikheide,"[51.0786346, 4.2807221]"
Moorstraat,"[51.0578509, 4.3275276]"
Neerheide,"[51.0790463, 4.2793071]"
Neerheidedreef,"[51.0801621, 4.2804444]"
Neerlichter,"[51.0601686, 4.3270457]"
Nieuwstraat,"[51.0864788, 4.3265259]"
Nijven,"[51.0583727, 4.2332173]"
Nijvendries,"[51.0610755, 4.2394453]"
Nijverheidstraat,"[51.0868873, 4.3522861]"
Olmstraat,"[51.0701307, 4.3341943]"
Ooievaarsnest,"[51.0723667, 4.3450016]"
Oppuursdorp,"[51.065213, 4.2394817]"
Oppuurseweg,"[51.0544478, 4.2468101]"
Oude Heirbaan,"[51.0508267, 4.2300807]"
Oude Kerkstraat,"[51.0562712, 4.2018494]"
Overheide,"[51.0661381, 4.2738139]"
Paepenhof,"[51.0436098, 4.3238199]"
Palingstraat,"[51.0724452, 4.2797268]"
Pandgatheide,"[51.0589681, 4.2260438]"
Papaartstraat,"[51.049398, 4.207245]"
Pastoor Ceulemansstraat,"[51.0641634, 4.2398894]"
Pastoor Somerslaan,"[51.0419669, 4.3263094]"
Pastoor Van Kerckhovenwijk,"[51.0558685, 4.2093347]"
Patattenstraat,"[51.0437641, 4.2854561]"
Patronaatstraat,"[51.0553185, 4.206487]"
Peeterstraat,"[51.038714, 4.3261792]"
Prieelland,"[51.0803568, 4.2845869]"
Provincialeweg,"[51.0397808, 4.2235541]"
Provincielaan,"[51.0492481, 4.3000105]"
Pullaar,"[51.058375, 4.3269948]"
Pullaarsteenweg,"[51.0807593, 4.3250989]"
Puursheide,"[51.0690468, 4.2749117]"
R. Verbelenstraat,"[51.0812999, 4.2787354]"
Raapveldstraat,"[51.0789182, 4.3263209]"
Reigerveld,"[51.0794371, 4.3179281]"
Reststraat,"[51.0771033, 4.2725691]"
Rietveld,"[51.0874524, 4.325466]"
Rijksweg,"[51.0605802, 4.3363046]"
Rijweg,"[51.0582961, 4.3382941]"
Rode Kruisstraat,"[51.0744592, 4.2873884]"
