Straat,Coordinaten
18de Liniestraat,"[""FOUT, geen straat gevonden""]"
Abrahamstraat,"[50.79386980814194, 5.621035194216116]"
Achter de hoven,"[50.8115870284431, 5.676006589422966]"
Achterhofname,"[50.78176315373988, 5.559695981620456]"
Agnetendries,"[50.792074996233325, 5.5590423428857445]"
Albertlaan,"[50.8029960453174, 5.5732278286535415]"
Aldenbergweg,"[50.832365879986625, 5.600485077222373]"
Allewijstraat,"[50.82267180095773, 5.575541917610873]"
Arthur Meulemansstraat,"[50.79543879787679, 5.636364544425313]"
Avergat,"[50.810462372777685, 5.669121253179223]"
Bampstraat,"[50.78668361334381, 5.595392471217397]"
Bejats,"[50.81341224323979, 5.670928485729691]"
Bergstraat,"[50.79069072682362, 5.589990663694842]"
Berkenlaan,"[50.8143055, 5.671859250000001]"
Biesenakkers,"[50.815605717107175, 5.600528173275668]"
Bieslanderweg,"[50.826003, 5.6484333499999995]"
Bijsstraat,"[50.83776979503906, 5.603031131769789]"
Billerweg,"[50.79623050262074, 5.559789518112927]"
Bilzersteenweg,"[50.82682255, 5.584759050000001]"
Bitsingerweg,"[50.7782059, 5.5984857]"
Bloemenstraat,"[50.82821569659504, 5.585213577850606]"
Bloesemstraat,"[50.826813261279476, 5.640696975042891]"
Bodemstraat,"[50.79301711740305, 5.591488974988862]"
Bolderstraat,"[50.788392099999996, 5.59496695]"
Bonderstraat,"[50.833749446822594, 5.606071731509593]"
Bongaertshof,"[50.78266665, 5.55778445]"
Boostveld,"[50.81597115571222, 5.598968961012455]"
Bosstraat,"[50.827292884998016, 5.586916286281147]"
Boudewijnstraat,"[50.79481269463832, 5.530056477447782]"
Bovenstraat,"[50.8135902, 5.67429245]"
Boys,"[50.816247867872846, 5.669665174541486]"
Brugstraat,"[50.8134984, 5.67168415]"
Bukersmoult,"[50.81156776955529, 5.577954072846732]"
Burchtstraat,"[50.79374347437983, 5.631527383358585]"
Burgemeester Coenegrachtslaan,"[50.82990199128939, 5.585359549752775]"
Burgemeester Dewalquestraat,"[50.796763150000004, 5.613347200000003]"
Burgemeester Marresbaan,"[50.824445722390145, 5.6258819530522715]"
Burgemeester Scheperslaan,"[50.826316142952116, 5.642813992452195]"
Burgemeester Schiepersstraat,"[50.807880049999994, 5.6088848]"
Burgemeester Wiricus Vosplein,"[50.79684836842721, 5.638932642662532]"
Castertweg,"[50.808699694435845, 5.676636673068435]"
Cauthenbergstraat,"[50.806767200520575, 5.638158956069943]"
Commiezenpad,"[50.81463316319571, 5.674608160842435]"
Daalstraat,"[50.815526679068604, 5.566542086006508]"
De Kommik,"[50.82659365, 5.64209455]"
De Moult,"[50.79630619521412, 5.640557102236835]"
Deken Gelaesplein,"[50.831577937161065, 5.592182955628717]"
