Straat,Coordinaten
's Gravenstraat,"[50.9387049, 3.1232003]"
't Hoog Stuk,"[50.95047672903029, 3.110492626115791]"
't Motje,"[50.93586912949618, 3.1338448199946667]"
Aakstraat,"[50.9414943, 3.15215215]"
Aardappelhoekstraat,"[50.95179132195174, 3.1589380318039932]"
Aardbeienstraat,"[50.949311390037046, 3.1443636943394733]"
Abeelstraat,"[50.94113855, 3.1112362]"
Abraham Hansstraat,"[50.94167276766627, 3.1002528467778543]"
Acaciastraat,"[50.93641865, 3.11405585]"
Achiel Denysstraat,"[50.95095829501638, 3.1249656723186576]"
Achiel Lauwersstraat,"[50.947288398092475, 3.1092412002827223]"
Adriaen Willaertstraat,"[50.95080925485671, 3.1230983050689303]"
Albert Allemanstraat,"[50.92357283011441, 3.159862072284111]"
Albert Biesbrouckstraat,"[50.96814471417992, 3.112216180712265]"
Albert Sercustraat,"[50.9290612, 3.1543129]"
Albrecht Rodenbachstraat,"[50.9460725, 3.1215878]"
Alfons Carlierstraat,"[50.94593275, 3.1162172000000004]"
Ange Angillisstraat,"[50.933543737517866, 3.13641465374533]"
Anna Bijnsstraat,"[50.96884146392119, 3.1330893732326475]"
Appelaarstraat,"[50.948161639631174, 3.1438170339489937]"
Ardooisesteenweg,"[50.94889555, 3.1314112]"
Ardooisewegel,"[50.9491145901071, 3.161955478936848]"
Arme-Klarenstraat,"[50.944169558753714, 3.1224289252653494]"
Armoedestraat,"[50.92145124465292, 3.1645755832742415]"
Astenstraat,"[50.89926207841005, 3.1293625519073442]"
Autosnelweg E403 Oost,"[""FOUT, geen straat gevonden""]"
Azalealaan,"[50.94047313076324, 3.137194843535156]"
Baasrodestraat,"[50.95037645, 3.14219855]"
Babilliestraat,"[50.92014967803952, 3.133033010595612]"
Baertsdreef,"[50.98675642777423, 3.163765332504785]"
Bakkersstraat,"[50.94167472942054, 3.1184959519940314]"
Baliestraat,"[50.9551039, 3.1401314]"
Barnumerf,"[50.95598198003657, 3.1253553441992286]"
Batavialaan,"[50.95208435367165, 3.1425037001067877]"
Beatrijsstraat,"[50.9608779261698, 3.130139981650014]"
Beekstraat,"[50.95862795, 3.1133258]"
Beekwegel,"[50.9569692, 3.11088915]"
Begijnestraat,"[50.898756759461016, 3.127709221718395]"
Begoniastraat,"[50.938956196641065, 3.1407812718525885]"
Beheytstraat,"[50.89166507128734, 3.112386320961022]"
Bergeikenstraat,"[50.92693121720937, 3.129069307914142]"
Bergmolenstraat,"[50.93685255621939, 3.12812211029829]"
Bergstraat,"[50.92035785723857, 3.1292863268072373]"
Berkenstraat,"[50.933966118722346, 3.113444611538002]"
Beukenstraat,"[50.93343549513946, 3.1040595685069907]"
Beursgoed,"[50.94800788312093, 3.150449581980428]"
Beurtkaai,"[50.946093221482016, 3.1513190848826964]"
Beverseaardeweg,"[50.95438015113348, 3.136089299338499]"
Beversesteenweg,"[50.958863427564054, 3.132444461619525]"
Bevrijdingsstraat,"[50.96741934032111, 3.1493930500974483]"
Bietstraat,"[50.94597813071834, 3.089830986183614]"
Biezenhof A,"[50.96463875, 3.111562532768801]"
Biezenhof B,"[50.96497125, 3.1106570893504535]"
Biezenhof C,"[50.96448685, 3.1109227703752578]"
Biezenhof D,"[50.9637088, 3.1113695907264747]"
Biezenhof E,"[50.963468500000005, 3.1108105749175485]"
Biezenhof F,"[50.964135, 3.1102183714373393]"
Biezenhof G,"[50.9646992, 3.10978951895165]"
Biezenhof H,"[50.96416825, 3.109064631253748]"
Biezenhof I,"[50.96320355, 3.1098778475174034]"
Biezenhof J,"[50.963084800000004, 3.1088930197963274]"
Biezenhof K,"[50.96361075, 3.108384011576306]"
Biezenhof L,"[50.964316499999995, 3.107966718977706]"
