Straat,Coordinaten
Aatstraat,"[50.74170362196006, 3.6075809174232343]"
Abeelstraat,"[50.745138987644374, 3.6001650413305644]"
Abel Regibostraat,"[50.76040514330929, 3.597727240640885]"
Achturenstraat,"[""50.73868066729849"", ""3.612543214867089""]"
Adolf Demetsstraat,"[50.74903071348355, 3.606768921407372]"
Adolphe Hullebroeckstraat,"[50.7377348, 3.6171798500000003]"
Aimé Delhayeplein,"[50.750088333430334, 3.5967584738601266]"
Albert Demanezstraat,"[50.734026996006115, 3.6298026233105]"
Albert Massezstraat,"[50.74937926372322, 3.6121415085441306]"
Albert Vandeputtestraat,"[50.74090087584499, 3.5910521361015673]"
Alexandre-Louis Vanhovestraat,"[50.74620130146641, 3.593620488784967]"
Alphonse Renardlaan,"[50.752907199999996, 3.5949184]"
Antonia Depoorterplein,"[""FOUT, geen straat gevonden""]"
Armand Demeulemeesterstr.,"[50.74093410095405, 3.60435322185536]"
Arthur Van Schamelhoutstraat,"[50.756830579510186, 3.58719664712804]"
Auguste Delfossestraat,"[50.75525377470633, 3.6164366557215115]"
Auguste Payenstraat,"[50.740920700000004, 3.6023848000000003]"
Bakkereel,"[50.7428727, 3.5714582999999998]"
Barasteegje,"[50.74566584729156, 3.604733108084036]"
Baremeers,"[50.73618893964126, 3.546543167160585]"
Barreelstraat,"[""FOUT, geen straat gevonden""]"
Beekstraat,"[50.75057877614912, 3.6050118090742798]"
Begijnhofstraat,"[50.74896478827272, 3.5981545528668293]"
Berchemsesteenweg,"[50.76304142295493, 3.55738892561231]"
Bereidersstraat,"[50.75089765, 3.5937019]"
Beukenlaan,"[50.743049733600984, 3.607316449731677]"
Bierinkstraat,"[50.754467274381945, 3.5754147517852126]"
Biest,"[""50.73364517209639"", ""3.580881416630423""]"
Blauwesteen,"[50.743931059413505, 3.619221229118809]"
Blokstraat,"[""50.74991626212959"", ""3.5773061944607525""]"
Boekzitting,"[50.7676182057384, 3.6490397432315906]"
Boontjesstraat,"[50.74508776123076, 3.6338387228713653]"
Borrekens,"[50.75410258175724, 3.6209067681112703]"
Bosrede,"[50.75967934961572, 3.6411828062065887]"
Bossenberg,"[50.746182148536306, 3.6465229643495034]"
Bosweg,"[""50.763243597916734"", ""3.668175721707127""]"
Braambos,"[50.755153766376495, 3.635746016613242]"
Bredestraat,"[50.74732656395964, 3.610769508444603]"
Bremstraat,"[""50.757342571432986"", ""3.543638013140344""]"
Breucq,"[50.76028276642916, 3.6650341820649057]"
Broeke,"[50.75586044958308, 3.5998529771378545]"
Brokelaerestraat,"[50.723096835998795, 3.636363440992362]"
Bruul,"[50.74996212546985, 3.6037757060476143]"
Cachette Pierrette,"[50.73038975344318, 3.614881083666421]"
Camille Lemonnierlaan,"[""50.73365851993891"", ""3.5899999352848226""]"
Charles Vandendoorenstraat,"[50.745712582342534, 3.6023794673245964]"
Charles de Gaullestraat,"[50.74346074096318, 3.599387280208109]"
Clariststeegje,"[50.74341828643896, 3.602977056330157]"
Clementine De Niestraat,"[50.751153547497, 3.619544762170565]"
Collegestraat,"[50.74288896317755, 3.600308180746724]"
Constantin Meunierstraat,"[""50.736053"", ""3.5984899""]"
Coolstraat,"[50.73730117706599, 3.55733153247664]"
Coq Battant,"[50.73265013690886, 3.638924026953883]"
Coupl'Voie,"[50.74346163128102, 3.594609158759588]"
Cypriaan de Rorestraat,"[50.74851036445478, 3.5989045411683134]"
Cyriel Buyssestraat,"[50.755364231219986, 3.589542058510995]"
César Snoecklaan,"[50.74510199023266, 3.586453658877306]"
Dammekensstraat,"[50.755682432631076, 3.609468134101659]"
David Teniersstraat,"[50.74038907904745, 3.6009923395417363]"
De Biesestraat,"[50.74941404982506, 3.603234883264317]"
Decrolykoer,"[""FOUT, geen straat gevonden""]"
Dejonghekoer,"[50.7518176, 3.59613115]"
Delplanquettestraat,"[50.73991425321403, 3.5483544205337605]"
Deurnemeers,"[50.73310408187991, 3.612407065610647]"
Deurnestraat,"[50.73373150784673, 3.6167938452878405]"
Devoskoer,"[""FOUT, geen straat gevonden""]"
Doorniksesteenweg,"[50.73542578985359, 3.56113697874896]"
Drieborrebeekstraat,"[50.75253085867115, 3.6241730888607777]"
Drielindenstraat,"[""50.75762819373996"", ""3.53996840146786""]"
Edmond Picardlaan,"[50.7334216114389, 3.603142515861134]"
Edmond Puissantstraat,"[50.746161471002125, 3.5891555041870005]"
Edmond Van Beverenplein,"[""50.75515406314651"", ""3.6101752725891214""]"
Edouard Anseelestraat,"[50.7470656, 3.6017655]"
Edouard Jolystraat,"[50.75907217392036, 3.5964998879373145]"
Eikelstraat,"[""50.75651255507662"", ""3.5830590284424537""]"
Eisdale,"[50.76362913382253, 3.5454473765417163]"
Eksterstraat,"[""50.7543166"", ""3.6514614""]"
Elfnovemberstraat,"[50.7500086, 3.5889396]"
Elzeelsesteenweg,"[50.731821971146864, 3.6404641659400774]"
Elzelestraat,"[50.74742539009327, 3.6050899311600415]"
Emmanuel Hielstraat,"[""FOUT, geen straat gevonden""]"
Engelsenlaan,"[50.74494284347185, 3.589056551540084]"
Ephrem De Malanderplein,"[50.744335954357574, 3.6047332015207236]"
Ephrem Delmottestraat,"[50.747860136403844, 3.6081405609202575]"
Ernest Solvaystraat,"[""50.7355737"", ""3.6039134500000003""]"
Ernestine de Lignestraat,"[50.757226450000005, 3.5964726000000002]"
Etienne Verschuerenstraat,"[50.754586031346854, 3.608415354691792]"
Eugène Soudansquare,"[50.749723263542805, 3.603854278977565]"
Europastraat,"[50.744241713535196, 3.6159108921180616]"
Fabriekstraat,"[50.747857362600385, 3.5977291836585032]"
Fernand Duboisstraat,"[50.73510738767711, 3.5919437642225778]"
Fiertelmeers,"[50.75419977053294, 3.5873824107609655]"
Florent Devosstraat,"[50.748528074945774, 3.6058439847307677]"
Floréal,"[50.7424954, 3.5782591]"
Folderstraat,"[50.75588539062692, 3.5587311070967553]"
Fortuinberg,"[50.758793143944416, 3.6482060866191595]"
Fostierlaan,"[50.74565578780109, 3.5982005147101894]"
Franklin Rooseveltplein,"[50.7470709, 3.5993001]"
Frédéric Bruneellaan,"[50.74433641921469, 3.5937578666385983]"
Gasmeterstraat,"[50.75019773499069, 3.5925529995200076]"
Gebroeders Dopchiestraat,"[50.75167584963083, 3.608978810895059]"
Gebroeders Van Eyckstraat,"[""50.737818187423336"", ""3.6005949559699633""]"
Geerstraat,"[50.767402314451594, 3.6251035998104744]"
Gefusilleerdenlaan,"[50.74155225013954, 3.5974393345538975]"
Georges De Myttenaerestraat,"[50.7424752370083, 3.5828258719682937]"
Georges Desmetstraat,"[50.74224791249097, 3.6086141778764675]"
Georges Dumontstraat,"[50.734288788929966, 3.602175966262221]"
Georges Eeckhoutsquare,"[""FOUT, geen straat gevonden""]"
Georges Eeckhoutstraat,"[""FOUT, geen straat gevonden""]"
Geraardsbergenstraat,"[50.749731303061786, 3.6244120372792508]"
Germinal,"[50.7471314, 3.624987]"
Gomar Vandewielelaan,"[50.74268133012908, 3.594164848380765]"
Groeneweg,"[50.75654628546645, 3.5880849512134265]"
Grote Bergkouter,"[""FOUT, geen straat gevonden""]"
Grote Marijve,"[50.746779008117585, 3.6131578455613953]"
Grote Markt,"[50.7476114, 3.602146194286594]"
Guido Gezellestraat,"[50.74142583174628, 3.6037251587799157]"
Gustave Royerslaan,"[50.74294449216513, 3.5935469403919837]"
Gyselingssteegje,"[50.74372551050654, 3.602366737952232]"
Heckensveld,"[50.7540018077293, 3.619315401425461]"
Hector Denisstraat,"[""50.735721"", ""3.60518405""]"
Hemelberg,"[50.75670019130528, 3.5979621556110697]"
Hendrik Consciencestraat,"[50.743119828184405, 3.615645139214775]"
Hermes Van Wynghenestraat,"[50.74301575150104, 3.6094497658050284]"
Hersenplank,"[50.73290623890373, 3.5905051620978226]"
Hof Geenensstraat,"[50.754821330469056, 3.579122904505536]"
Hof Merrystraat,"[""FOUT, geen straat gevonden""]"
Hogerlucht,"[50.76403368781702, 3.603221727253635]"
Holleweg,"[""50.7775118521947"", ""3.6594862416165546""]"
Hoogdeurnestraat,"[50.72184618589087, 3.63100390523122]"
Hoogstraat,"[50.745921165071266, 3.59893310101865]"
Hospitaalstraat,"[50.74824526542496, 3.6023602510844945]"
Hotondstraat,"[""50.762590428645204"", ""3.566843515025008""]"
Houtstraat,"[""50.759927842261554"", ""3.6460924675767092""]"
Hul,"[50.75582760997544, 3.637976598368912]"
Hulstken,"[50.762935276145974, 3.5925271697436556]"
IJsmolenstraat,"[50.753242, 3.6367164]"
Ijzerstraat,"[50.7426542052915, 3.601984567753317]"
Industriëlestraat,"[50.75260337991005, 3.6453170161398876]"
Isidoor Opsomerstraat,"[""50.73708269740982"", ""3.6122405285781825""]"
Ives-Sabin Maghermanlaan,"[50.747303547886936, 3.588732494770566]"
Jablonecstraat,"[50.75727967088476, 3.599650189370899]"
Jacob van Arteveldestraat,"[50.756132199999996, 3.59455035]"
Jagersstraat,"[""50.73685353506597"", ""3.629579743029053""]"
Jan van Nassaustraat,"[50.748465597826176, 3.5926475032179233]"
Jean Monnetstraat,"[50.74591171864615, 3.617714941085171]"
Jean-Baptiste Dekeyserstraat,"[50.74481353378906, 3.6013648648061483]"
Jean-Baptiste Guissetplein,"[50.744423337645884, 3.600572385411637]"
Jean-Baptiste Mouroitplein,"[50.748622128547034, 3.6030078171378723]"
Joseph Ferrantstraat,"[50.74381172765971, 3.604133259860266]"
Joseph Wautersplein,"[""50.735548835568025"", ""3.604501467474151""]"
Jules Bordetlaan,"[50.739749683427014, 3.605778541479578]"
Kaatsspelplein,"[50.749228349999996, 3.599088872790414]"
Kafhoek,"[""50.768154832377576"", ""3.6276325780373315""]"
Kammeland,"[50.756626048386025, 3.6016824134128296]"
Kanarieberg,"[50.7583972, 3.65382855]"
Kapellestraat,"[50.7541732, 3.5787996]"
Kapittelstraat,"[50.74858842042591, 3.5991255117514043]"
Karel Lodewijk Ledeganckstraat,"[50.75492503264989, 3.6095010033774915]"
Karnemelkbeekstraat,"[50.754679924259406, 3.5410345031514243]"
Kasseiweg,"[""50.758109589324526"", ""3.5606205006266856""]"
Kastanjestraat,"[""50.77028732295668"", ""3.644165586859384""]"
Kasteelstraat,"[50.74724574137164, 3.59641664456866]"
Kattemolenstraat,"[50.732180462094526, 3.6404835579321566]"
Kegelkaai,"[50.74990531384732, 3.5974915856807357]"
Kerkhofweg,"[50.74880714650569, 3.599555420804975]"
Kerkplein,"[50.74554252990714, 3.603412807079745]"
Kersenstraat,"[50.74722396179279, 3.6196693731438123]"
Klein Frankrijkstraat,"[""50.751640379588714"", ""3.6493211286912035""]"
Kleine Bergkouter,"[50.76406842438081, 3.615483539737382]"
Kleine Heide,"[""50.7320511"", ""3.6396248""]"
Kleine Marijve,"[50.74585324045785, 3.6089846968691397]"
Kleine Markt,"[50.7488144, 3.5987528]"
Klevestraat,"[50.7553617, 3.59733585]"
Klijpestraat,"[50.73633705, 3.5628905]"
Kloefstraat,"[""FOUT, geen straat gevonden""]"
Koekamerstraat,"[""50.7758105"", ""3.6630279""]"
Koningin Astridplein,"[50.743179585384986, 3.5944406044332626]"
Konrad Adenauerstraat,"[50.74498656194593, 3.6203852704986392]"
Kruisstraat,"[50.75588956113991, 3.590074789889746]"
Landenbourgstraat,"[50.75960122056858, 3.6125457190092796]"
Langehaag,"[50.749957635398914, 3.5953141005891704]"
Langeweg,"[50.73826651133719, 3.6121382887359035]"
Langveld,"[""50.75511092414343"", ""3.5510421252355027""]"
Lentestraat,"[""50.75283517181182"", ""3.552320254337642""]"
Leuzesesteenweg,"[50.742309344412035, 3.5873859424204957]"
Libbrechtstraat,"[50.75250160286691, 3.5960247574893542]"
Lievensveld,"[50.74960179616219, 3.6468101321371997]"
Lijsterstraat,"[""FOUT, geen straat gevonden""]"
Linde,"[50.75047382508439, 3.6225930525687935]"
Loozebeekstraat,"[50.75076793033911, 3.5972470271248307]"
Lorettestraat,"[50.75185993109189, 3.632018360462782]"
Louis Pasteurlaan,"[50.74030447856864, 3.6074335857522972]"
Louis Vangrootenbruelstraat,"[50.74363936425469, 3.591587417419198]"
Léopold Sturbautstraat,"[50.74245875, 3.5958199000000004]"
Maagdenstraat,"[50.74961742774724, 3.6251244778453673]"
Mahautveld,"[50.75386111115, 3.6355614351715104]"
Malaise,"[50.73422204580295, 3.577672994135383]"
Maneschijn,"[50.7628110638931, 3.6331129261741677]"
Maquisstraat,"[50.728403890512936, 3.638788233332329]"
Matersveldstraat,"[""FOUT, geen straat gevonden""]"
Mgr. Beylsstraat,"[50.74402689667508, 3.6232133815547045]"
Michel Portoisstraat,"[50.745649549999996, 3.6053271000000002]"
Minderbroedersstraat,"[""50.739161625731626"", ""3.619467280123912""]"
Modeste De Noyettestraat,"[50.73438670353449, 3.5958284980826356]"
Molekensstraat,"[50.7504650791031, 3.5776602272216302]"
Molendam,"[50.7412242, 3.6011548]"
Moortelstraat,"[50.73900407002736, 3.58191474293196]"
Mussenstraat,"[""50.75018668924665"", ""3.574622774340972""]"
Muziekbosstraat,"[50.763237168499124, 3.6355065713742927]"
Nachtegaalstraat,"[50.752097390274564, 3.6246298213401946]"
Napoléon Annicqstraat,"[50.75015517814535, 3.6097128850904547]"
Neerhofstraat,"[50.748504796094345, 3.594188900818154]"
Nieuwe Pontstraat,"[50.735057499999996, 3.5812717000000003]"
Nieuwebrugstraat,"[""FOUT, geen straat gevonden""]"
Nijverheidsstraat,"[50.74353441909221, 3.610683862227334]"
Ninoofsesteenweg,"[50.75230346460056, 3.6241560490610136]"
Ninovestraat,"[50.751817798836974, 3.616888212837496]"
Noordstraat,"[50.7566776987863, 3.579348199603509]"
Norensstraat,"[50.75971525, 3.6049632]"
Olifantstraat,"[50.74542130993533, 3.6056565717024465]"
Ommegangstraat,"[50.76478192851409, 3.5874823752146403]"
Ooststraat,"[""50.73993100491507"", ""3.6279520546246338""]"
Opgeëistenstraat,"[50.75321304102819, 3.591405821283545]"
Oscar Delghuststraat,"[50.75043249744154, 3.613452454521404]"
Oscar Thomaesstraat,"[50.75991271861715, 3.5841297523368802]"
Ossestraat,"[""50.7514962362397"", ""3.5675204574329884""]"
Oswald Ponettestraat,"[50.74530821683538, 3.5923282990763905]"
Oude Doorniksesteenweg,"[50.74058125, 3.5734027999999998]"
Oude Leuzesesteenweg,"[50.73849389243309, 3.5878522833673814]"
Oude Pontstraat,"[""FOUT, geen straat gevonden""]"
Oude Vesten,"[50.74715775240541, 3.605113868385109]"
Oudestraat,"[50.75845762670695, 3.58922083731903]"
Oudstrijderslaan,"[50.74204605, 3.6001348]"
Ovide Decrolylaan,"[50.74172883291974, 3.610307916723434]"
Paillartcamp,"[50.740435121744994, 3.553584191144057]"
Papekouters,"[50.74147731221536, 3.618887820912725]"
Parkstraat,"[50.74839114326666, 3.5934573009882937]"
Paul-Henri Spaakstraat,"[50.74628985, 3.62083375]"
Peperstraat,"[50.74714135, 3.6002661]"
Pierre D'Hauwerstraat,"[50.74319082811004, 3.596227775723623]"
Pieter Paul Rubensstraat,"[""50.737556370766626"", ""3.6019999995362255""]"
Poermagazijnstraat,"[50.744929069237955, 3.6082978704738813]"
Politiekegevangenenstraat,"[50.74323419218632, 3.603742622803144]"
Pont West,"[""50.7367146"", ""3.5758664""]"
Pontstraat,"[50.7403468, 3.5777915499999997]"
Populierstraat,"[50.75800613199991, 3.6295494066804874]"
Priestersstraat,"[50.748699480177436, 3.60136242598923]"
Prolstraat,"[50.76145349200602, 3.6361109754323917]"
Raafstraat,"[""FOUT, geen straat gevonden""]"
Remi Van Caeneghemstraat,"[50.759982497440284, 3.5861753353905574]"
Riekestraat,"[50.761058415613846, 3.569318015573464]"
Rijkswachtdreef,"[50.76608236665579, 3.644516246785934]"
Robert Schumanstraat,"[50.744773949999995, 3.6231735499999997]"
Rode Broeckstraat,"[50.73798083203763, 3.605364056007626]"
Rode Mutslaan,"[50.74218515412423, 3.5752064142785565]"
Rodekruisstraat,"[50.745592986917075, 3.61644009698413]"
Ronsemeers,"[50.7300318, 3.5631931]"
Rotterij,"[50.74679706431263, 3.622164634309193]"
