Straat,Coordinaten
Abeelstraat,"[50.84910259698817, 4.104839189181945]"
Amerikaweg,"[50.83413795, 4.0875874]"
Assesteenweg,"[""50.84910680716665"", ""4.151231448386618""]"
Begaardenstraat,"[50.84462503835282, 4.059542626118482]"
Benedenstraat,"[50.84606069933989, 4.1017428298739045]"
Berchembos,"[50.82036723940176, 4.079658387088599]"
Berchemstraat,"[50.82270325, 4.076441]"
Bezenweg,"[50.83194321051008, 4.074824203412675]"
Bievegemberg,"[50.84548310393166, 4.0787912910005995]"
Binnenstraat,"[""FOUT, geen straat gevonden""]"
Blijenbergstraat,"[50.84791413891024, 4.093589017873424]"
Bloemhofstraat,"[50.84690824719389, 4.09266417417333]"
Bornbosweg,"[""FOUT, geen straat gevonden""]"
Borrekets,"[50.844316848013044, 4.091248216620488]"
Bosstraat,"[50.850267650000006, 4.1216841]"
Bosweide,"[50.854305485258784, 4.1217774872989645]"
Bouchoutstraat,"[""FOUT, geen straat gevonden""]"
Braambosweg,"[50.83783610747524, 4.128511675992101]"
Broekstraat,"[50.84289524242887, 4.124279053007471]"
Brusselstraat,"[50.84421270504594, 4.073136645478209]"
Bundermeersweg,"[50.83682732730396, 4.107985888896494]"
Canadaweg,"[50.8347997, 4.07219975]"
Daalbeekstraat,"[50.827875967588696, 4.0987241390198585]"
Dalemweg,"[50.840826149469315, 4.084195233466081]"
Dalstraat,"[50.84883767865252, 4.106463948772176]"
Derrevoortstraat,"[50.81576995, 4.1068391]"
Dieptstraat,"[50.8388853, 4.13003525]"
Dikken Van Pamelstraat,"[""FOUT, geen straat gevonden""]"
Diskouterweg,"[50.84933781672722, 4.082513821247586]"
Dokter Roosensstraat,"[50.84035045639836, 4.07995151284134]"
Donkerstraat,"[50.84353563231119, 4.129313807719059]"
Driebek,"[50.847696564377856, 4.096396161235223]"
Driesstraat,"[50.843032236662644, 4.125610336882725]"
Eikauterstraat,"[50.85102176048932, 4.143610984923311]"
Espenveldstraat,"[50.83376328651961, 4.074122140272935]"
Frambozenweg,"[50.845484150000004, 4.09064905]"
Frans Van Cauwelaertstraat,"[""FOUT, geen straat gevonden""]"
Gasthuisstraat,"[50.843143999999995, 4.07631635]"
Generaal de Fariaustraat,"[50.84129901390581, 4.117176596207997]"
Geraardsbergsestraat,"[50.81520164816175, 4.120927668503555]"
Gootjesstraat,"[50.84713219569087, 4.062984548403263]"
Groenenboomgaard,"[50.83840699549096, 4.083734807845827]"
Grotstraat,"[50.825983274541315, 4.079214916168791]"
Gustaaf Ponchautstraat,"[50.81772059822511, 4.112149901423529]"
Hadewijchstraat,"[50.8314351307928, 4.0779004976618065]"
Halleweg,"[50.8170949963577, 4.110588854753215]"
Hazeveldweg,"[50.84623473338218, 4.097676197401971]"
Heidestraat,"[50.8373441414179, 4.114366183422146]"
Heilbeekweg,"[50.83762202823158, 4.1058939452828405]"
Hemelweg,"[50.8235088, 4.0744484]"
Herststraat,"[50.84706678380492, 4.101197432574675]"
Hertboomstraat,"[50.82378656807871, 4.0845945054816]"
Hofmeersstraat,"[50.83042010330706, 4.073902588511069]"
Hoogstraat,"[50.84462239525816, 4.086047542939516]"
Hoppeweg,"[50.83356027389856, 4.084505034842118]"
Hulsbroekweg,"[50.829871028782435, 4.07846163230582]"
Hunselberg,"[50.82377596965461, 4.114745763840499]"
Hunselstraat,"[50.82427572863601, 4.115885839514294]"
Ijzerenkruisstraat,"[50.8537528815362, 4.127061884537206]"
Jan van Ruusbroeckstraat,"[""FOUT, geen straat gevonden""]"
Jozef De Schepperstraat,"[50.84075357262286, 4.080310222388058]"
Jozef Jansstraat,"[50.82308700330896, 4.109353539170644]"
Kaaistraat,"[50.8493151, 4.059885850000001]"
Kaaitvaartstraat,"[50.84864567142299, 4.084385581582835]"
Kalvarieberg,"[50.8412030748291, 4.08609273372908]"
Kampweide,"[50.85240575555253, 4.134578323081209]"
Kapellestraat,"[50.840256496503095, 4.0864850184475365]"
Kapelleweg,"[50.84722457592144, 4.102107215502683]"
Kapelleweide,"[50.843315439841014, 4.084191451994284]"
Karel Van de Woestijnestraat,"[50.8325825, 4.07849995]"
Kattemkets,"[50.8512808, 4.090559649999999]"
