Straat,Coordinaten
Akkerstraat,"[51.245808457442195, 4.586318520755917]"
Albert Van Dyckstraat,"[51.24525366227251, 4.591853081575231]"
Alfons Van den Sandelaan,"[51.236531430825686, 4.593389211244689]"
Amazonenlaan,"[51.25749795, 4.55630905]"
Anemonenlaan,"[51.24081514247157, 4.554672042837853]"
August Dierckxlaan,"[51.23648142582143, 4.588092201728525]"
August Dilslei,"[51.25958711453007, 4.552990823621149]"
Azalealaan,"[51.23948007301957, 4.554947205714967]"
Baron Delbekelaan,"[51.267407106142315, 4.60691337003394]"
Beemdenlaan,"[51.24917519646736, 4.582515255852398]"
Begonialaan,"[51.24066527719241, 4.55063926128975]"
Bellemond,"[51.24492460196698, 4.564126414187025]"
Bellevuedreef,"[51.226484491327064, 4.569160365208586]"
Bergendreef,"[51.228841617719524, 4.561296627031686]"
Berkenheide,"[51.28169245, 4.62209165]"
Berkenlaan,"[51.25962884000994, 4.561519799586813]"
Bethaniëlei,"[51.2813535, 4.6179913]"
Beukendreef,"[51.24987350852473, 4.5510026154342835]"
Beukenlaan,"[51.2330648, 4.55901175]"
Biekenshei,"[51.263605595773576, 4.578367214183048]"
Blijde Inkomst,"[51.259920276661745, 4.573652130494537]"
Boerendreef,"[51.23408862229573, 4.562851390027995]"
Bosduifdreef,"[51.274102354421004, 4.614600915832491]"
Boskant,"[51.25864738597249, 4.601652470288214]"
Bospad,"[51.26094735486942, 4.588338348532438]"
Boterlaarbaan,"[51.2436188, 4.55581205]"
Braamstraat,"[51.24451989940652, 4.581144553476168]"
Brabolaan,"[51.255416600000004, 4.6010832]"
Brasschaatsebaan,"[51.245028500000004, 4.5737961]"
Brechtseheideweg,"[51.2935702, 4.62680495]"
Breeveld,"[51.24063285, 4.6143202500000005]"
Breeveldpad,"[51.23683228639578, 4.60065155639585]"
Breeveldse Masten,"[51.24263475947494, 4.615245972507834]"
Bremboslaan,"[51.231972109946426, 4.572149584221621]"
Broekstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Brouwerijstraat,"[51.241460729736396, 4.582374905628728]"
Buizerdlaan,"[51.251218308683804, 4.562036273595647]"
Bunder,"[51.26482821544331, 4.598993835413465]"
Camelialaan,"[51.24192455873021, 4.557005085408498]"
Catersdreef,"[51.271396077366944, 4.604823650265555]"
Caterskapeldreef,"[51.29046997496172, 4.601629886995857]"
Caterstraatje,"[51.26684135, 4.56926245]"
Catharinadreef,"[51.27930653416682, 4.616961472028349]"
Cirkellaan,"[51.27207613519982, 4.610824598838825]"
Constant Joossenslei,"[51.260141018014814, 4.5513736398744635]"
Dageraad,"[51.2706832, 4.56522065]"
Damhertenlaan,"[51.254017316196716, 4.5482472109496275]"
De Biesaard,"[51.228569286878056, 4.584192426886514]"
De Dreef van Duyvendael,"[51.252636288017925, 4.565619367578991]"
De Dreef van Hertebos,"[51.2577329, 4.55930595]"
De Dreef van Zonnebos,"[51.272225, 4.56346035]"
De Goudvink,"[51.247587708322875, 4.53950035557914]"
De Haar,"[51.268824594083725, 4.581852141505062]"
De Kaak,"[51.26373863877206, 4.547750566958821]"
De Kleve,"[51.24105432151984, 4.591503942850135]"
De Kluis,"[51.24491821831228, 4.567405118693643]"
De Loock,"[51.23198368302064, 4.568175017098632]"
De Nachtegaal,"[51.25137801958051, 4.539818441232921]"
De Pont,"[51.22939555311274, 4.581305818288983]"
De Reep,"[51.24611442393021, 4.587929139905125]"
De Rentfort,"[51.22881405614836, 4.578310187773097]"
De Rest,"[51.24531185436525, 4.592555730714561]"
De Roskam,"[51.26040027715872, 4.608266298532947]"
De Schietboog,"[51.25654547029662, 4.605396440859087]"
De Singel,"[51.26760646534765, 4.6114349089895645]"
De Spildoren,"[51.23971603384809, 4.593591144424488]"
De Vennen,"[51.23141266739056, 4.565994213732553]"
De Zandschel,"[""FOUT, geen straat gevonden""]"
De Zevenster,"[51.23343745, 4.5524921]"
Den Aard,"[51.2686088, 4.60674265]"
Den Hert,"[51.24344105276438, 4.588311094919912]"
Den Heuvel,"[51.22604690930884, 4.593508272030998]"
Dennenlaan,"[51.24885589059465, 4.58519106573748]"
Dianalaan,"[51.25588818547339, 4.550267374781345]"
Dieghemveldweg,"[51.235819449999994, 4.5866781]"
Dobbelhoefseweg,"[51.231140246602685, 4.6083042192119805]"
Dorpsstraat,"[51.23458583277133, 4.584578796692767]"
Driepikkel,"[51.264428090996425, 4.590938962439588]"
Drijhoekdreef,"[51.2462988, 4.61482435]"
Drijverslaan,"[51.256770820301476, 4.555959333261895]"
Dwarsdreef,"[51.277790320841554, 4.614782117846826]"
Eekhoornlaan,"[51.2527767722772, 4.555584051055802]"
Egelvoortstraat,"[51.23872423322405, 4.592946877071055]"
Eikenlei,"[51.26179092840414, 4.556677787089291]"
Eksterdreef,"[51.24876435537459, 4.6148673438153]"
Elzendreef,"[51.27754657151695, 4.619186691950536]"
Emiel De Backerlaan,"[51.24421975647478, 4.585091567690232]"
Engelendreef,"[51.2292543909683, 4.562716299738854]"
Epicialaan,"[51.25394515145166, 4.5708436224062]"
Eugeen Dierckxlaan,"[51.2369920278815, 4.578308645199001]"
Eugeen Van de Vellaan,"[51.23972204365877, 4.575823119826531]"
Fazantenlaan,"[51.25581715, 4.5555031]"
Fondatiedreef,"[51.23077257029105, 4.587138050604373]"
Fortsteenweg,"[51.26398994639472, 4.570491850083885]"
Frans De Beuckeleerlaan,"[51.2415726997655, 4.587829640170259]"
Frans Pauwelslei,"[51.2612152, 4.5539543]"
Friedadreef,"[51.26368503756059, 4.59288534208297]"
Galgenstraat,"[51.23597154662959, 4.539697085811332]"
Gazelledreef,"[51.24648515, 4.6102355]"
Gersblok,"[51.24438865015302, 4.590043053058091]"
Gillès de Pélichylei,"[51.25112665, 4.5674537]"
Gladiolenlaan,"[51.23869790383655, 4.551851348495093]"
Goorstraat,"[51.22885454871685, 4.607003744875023]"
Goorstraatsevelden,"[51.228766406174614, 4.5954203318583]"
Goudbloemlaan,"[51.23182114320233, 4.561820263500775]"
Gouwberg,"[51.2375326744138, 4.569176485948009]"
Graaf Charles Cornetlaan,"[51.25733394122978, 4.552198963575076]"
Groene Wandeling,"[51.26072019049704, 4.582807648121389]"
Groenelaan,"[51.2436284237194, 4.577661544449074]"
Grote Beemd,"[51.25704461093764, 4.5819750835167055]"
Grovedreef,"[51.28792037030694, 4.600587063417203]"
Hagedoornlaan,"[51.235766963898556, 4.573908197966531]"
Haksellaan,"[51.28784398032222, 4.623279529456241]"
Hazendreef,"[51.249607299999994, 4.6089491]"
Heerbaan,"[51.245634317796515, 4.549222737969419]"
Heidedreef,"[51.2350554552056, 4.555133336596598]"
Heidemolen,"[51.2840987, 4.62137995]"
Hendrik Consciencestraat,"[51.23655713680704, 4.576487165459923]"
Hertendreef,"[51.245107499999996, 4.613971149999999]"
Het Schoemeken,"[51.23857065175667, 4.586677441236692]"
Hindelaan,"[51.25412352332393, 4.550923523606804]"
Hoeklaan,"[51.28900525, 4.62125025]"
Hoevedreef,"[51.232878601446835, 4.577382162401449]"
Hof ter Linden,"[""51.24625335"", ""4.551760019988986""]"
Hofdreef,"[51.245111327911935, 4.544942462784558]"
Hofse Velden,"[51.255589118225366, 4.573079023043623]"
Hoge Haar,"[51.24942579785419, 4.570816056647192]"
Houtlaan,"[51.23225367984825, 4.545460195674265]"
Hovenierslaan,"[51.23520472754473, 4.594326732059424]"
Huldekens,"[51.27142102183079, 4.571808871735222]"
Hyacintenlaan,"[51.2425293, 4.5466223]"
IJzermaalsteenweg,"[51.26461141558219, 4.558224324208604]"
Jachthoornlaan,"[51.25902464740797, 4.554170388942233]"
Jagerande,"[51.26507589751987, 4.603344973408374]"
Jagersdreef,"[51.25263549896793, 4.545727592642753]"
Jagershoek,"[51.22620344332426, 4.556395884932202]"
Jantoomesdreef,"[51.25079524671731, 4.597794159847882]"
Kampdreef,"[51.27921661871255, 4.613906729828155]"
Kantonbaan,"[""FOUT, geen straat gevonden""]"
Kapelstraat,"[51.24181527506659, 4.577794373028947]"
Karekiet,"[51.262429270433074, 4.590880161734023]"
Karel Werrebroecklei,"[51.25834231561781, 4.550627363318718]"
Kasteeldreef,"[51.229434512874626, 4.570932622267019]"
Kasteelpad,"[51.261930127795516, 4.56674088396544]"
Kempischveldweg,"[51.22890351626054, 4.5829595815138955]"
Kerkelei,"[51.237393241528885, 4.583887076269643]"
Kerkplein,"[51.23150795, 4.5827481]"
Kerkstraat,"[51.26319522055517, 4.555932802303725]"
Ketelstraat,"[51.268327549999995, 4.5693848]"
Klein Waterstraat,"[51.25711539079958, 4.596894203653066]"
Kleinbeekweg,"[51.227858435594335, 4.585993737937228]"
Kleine Vraagstraat,"[51.29227423479175, 4.603034438267523]"
Kleinhoefsedreef,"[51.247162849999995, 4.6149337500000005]"
Kleinveldweg,"[51.23816509334264, 4.584499054595421]"
Kluisdreef,"[51.23963178452898, 4.564592977603536]"
Koeistraat,"[51.28270853334311, 4.577162553261332]"
Koekoeksdreef,"[""FOUT, geen straat gevonden""]"
Koeputten,"[51.24258424912475, 4.591488827611836]"
Konijnenbosweg,"[51.23437661480768, 4.606064955942662]"
Korte Lindenstraat,"[51.24087924239887, 4.589442220422422]"
Kortedreef,"[51.22945375, 4.55330985]"
Kortvoortbaan,"[51.24066008557737, 4.564643667234437]"
Kotsbosweg,"[51.29362815, 4.62488435]"
Kotseheide,"[51.286077932626135, 4.628482604496077]"
Kouwenbergdreef,"[51.275459818809615, 4.610809198306504]"
Kraanstraat,"[51.2391846775475, 4.588614373158974]"
Kraanweide,"[51.239300762559395, 4.5896409379903345]"
Krommedreef,"[51.2739707, 4.56245705]"
Kroondreef,"[51.271222538145416, 4.615764154451418]"
Kwekerijstraat,"[51.23919751928327, 4.586167930150828]"
Kwikaardstraatje,"[51.2707595368743, 4.55700975014185]"
Lange Repeldreef,"[51.273293041524425, 4.608342194363442]"
Leeuwerikendreef,"[51.251203491792424, 4.614561966750012]"
