Straat,Coordinaten
Acaciadreef,"[51.27072814032777, 4.534892348962511]"
Adriaan Brouwerstraat,"[51.243886849999996, 4.4769684000000005]"
Akkerlaan,"[51.24619406128102, 4.507457984771965]"
Albert Dineurlaan,"[51.25507686697353, 4.512125376079385]"
Albertdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Alfons Heulensstraat,"[51.25105342372027, 4.48261285962579]"
Alfons Servaislei,"[51.25216360283311, 4.514967234718653]"
Alfons Verdijckstraat,"[51.247879523880904, 4.504742071556002]"
Alice Nahonlei,"[51.26529343292004, 4.5374452200402144]"
Alpenroosbaan,"[51.27440059694078, 4.519573813974089]"
Amazonendreef,"[51.24774057351868, 4.531068918880412]"
Ambiorixlei,"[51.26561283694781, 4.521169467121478]"
Amerlolaan,"[51.2561122584182, 4.483980852696576]"
André Ullenslei,"[51.246022178920875, 4.461906451163488]"
Anjerstraat,"[51.243214949999995, 4.4595354]"
Anton Van de Veldelaan,"[51.266501306778096, 4.470764639144978]"
Antoon Van Dijckstraat,"[51.24433360611347, 4.472794521904759]"
Antoon Wolfsstraat,"[51.254075746985706, 4.4884046918512235]"
Appeldreef,"[51.28001462196011, 4.5015831927418235]"
Arthur Verhoevenlaan,"[51.24630796082794, 4.493889352633908]"
Arthurdreef,"[51.29041115, 4.5516223]"
Asbroeklaan,"[51.252107991067504, 4.479951779444046]"
Astriddreef,"[51.291261663945036, 4.551087313832821]"
August Jonckersstraat,"[51.25799982750798, 4.500002317597971]"
Beatrijslaan,"[51.262045540382154, 4.519195952665079]"
Beekpad,"[51.283079680214904, 4.498076361308293]"
Beemdenlaan,"[51.245473820617825, 4.508211866628583]"
Begonialaan,"[51.25802054600641, 4.509795035096867]"
Berkenlei,"[51.24925802158493, 4.517854886918791]"
Beukendreef,"[51.299524250000005, 4.543917]"
Binnenweg,"[51.252248065884636, 4.499388989656826]"
Bloemendaallaan,"[51.262341933675884, 4.510270713199243]"
Boekenborglei,"[51.24409665, 4.4592037]"
Boekweitstraat,"[51.258329018428256, 4.502299791207628]"
Boomgaarddreef,"[51.296533536374156, 4.548332107889724]"
Boomkleverdreef,"[51.27811936388501, 4.50460821951601]"
Borgeindstraat,"[51.249234192279935, 4.482916218800709]"
Borkelstraat,"[51.2553199, 4.4873939499999995]"
Bosnimfdreef,"[51.272243599999996, 4.52269435]"
Bosschaert de Bouwellei,"[51.26165221977334, 4.543110441186952]"
Botermelkbaan,"[51.27737196154553, 4.527869274044683]"
Botermelkdijk,"[51.27997462107561, 4.531195712750072]"
Boudewijndreef,"[51.292334610328155, 4.550478498830355]"
Braamstraat,"[51.2425605455169, 4.4964164553856465]"
Brakkensteeg,"[51.2545684, 4.5005126]"
Brechtsebaan,"[51.28359610418788, 4.532454377944961]"
Bredabaan,"[51.259491610707926, 4.464017565059893]"
Bremdonckdreef,"[51.270771010628174, 4.483572395623399]"
Bremdreef,"[51.269355115354465, 4.523565232900203]"
Bronbeekdreef,"[51.283785960942495, 4.5021370529571145]"
Buizerddreef,"[51.27210597765097, 4.493697863867295]"
Calesbergdreef,"[51.24980718544624, 4.471303042580489]"
Cederlaan,"[51.27583511915553, 4.518840380067571]"
Churchilllaan,"[51.24974185, 4.48550225]"
Columbuslei,"[51.27296115, 4.5259384]"
Commissaris Hubersstraat,"[51.25071780324935, 4.489918156074785]"
Constant Neutjensstraat,"[51.252229008077194, 4.494903933871601]"
Cornelius De Vosstraat,"[51.248750444741546, 4.46603691861174]"
Curielaan,"[51.253205062921495, 4.498894633455727]"
Dalialaan,"[51.25739099018767, 4.508861597552756]"
Dauwaertlaan,"[51.25439956769659, 4.506420808491783]"
David Teniersstraat,"[51.243526689639516, 4.478844235262916]"
De Kievit,"[51.279007283437835, 4.503973531002401]"
Dennenlei,"[51.263661666888446, 4.529212778634762]"
Dennenweg,"[51.28085434811451, 4.5154767522367045]"
Deurnevoetweg,"[51.24601541899129, 4.488129816910482]"
Deuzeldlaan,"[51.24647002717681, 4.4599863485877025]"
Distelvinklei,"[51.265421353409934, 4.538583180394519]"
Distelweg,"[51.25471623237235, 4.500095598138975]"
Doncklaan,"[51.25348443643703, 4.513432468429659]"
Eburonenlei,"[51.267375093657904, 4.527086724281043]"
Edelweissbaan,"[51.2751029, 4.519141149999999]"
Edgar Tinellaan,"[51.26277455, 4.4708685500000005]"
Edisonplein,"[51.2528352, 4.5007665]"
Eduard Belpairelei,"[51.251548373802066, 4.5287660842855]"
Eduard De Backerstraat,"[51.2462004521674, 4.458942832259787]"
Eduard Steursstraat,"[51.24548926128254, 4.469117536848099]"
Eekhoornlei,"[51.26117191266333, 4.5252042634349]"
Eethuisstraat,"[51.24857042765706, 4.462090220022147]"
Eikenlei,"[51.2504170350834, 4.5170203060745155]"
Eksterdreef,"[51.263184094043346, 4.508177898378085]"
Elegastlaan,"[51.26166413319617, 4.5179203535507115]"
Elfenbankdreef,"[51.26873633945896, 4.539818760217671]"
Elshoutbaan,"[51.285443154107, 4.503880860752172]"
Elzendreef,"[51.29919365, 4.5363348000000006]"
Emiel Blangenoisstraat,"[51.25669322932835, 4.502612309883408]"
Erasmuslei,"[51.2631564845636, 4.533644465228085]"
Erikadreef,"[51.269737666210574, 4.522474983380692]"
Esdoorndreef,"[51.27849272606051, 4.516415591296592]"
Eugeen De Bocklaan,"[51.26482699802271, 4.468623003229276]"
Eugeen Verbiststraat,"[51.252399390643035, 4.4662437527137016]"
Fazantendreef,"[51.27530764841465, 4.499257843737047]"
Ferdinand De Schutterstraat,"[51.24541645, 4.4574748500000005]"
Filip Bourletstraat,"[51.25460406056811, 4.495460571899597]"
Fluitbergstraat,"[51.25518800721607, 4.505895735132943]"
Fortbaan,"[51.27640213714906, 4.520605647383696]"
Franjestaartdreef,"[51.28311790511278, 4.502219637913814]"
Frans Breugelmansstraat,"[51.25439703414186, 4.496352108824348]"
Frans De Ceusterlei,"[51.24716229560694, 4.461960345068701]"
Frans Reinemundlei,"[51.25820911985487, 4.529533627039279]"
Gaaiendreef,"[51.278017767992274, 4.50825232253565]"
Gagelbaan,"[51.27997567117864, 4.512060110025413]"
Ganzendreef,"[51.2706144, 4.49368865]"
Gasketelplein,"[51.25646998318516, 4.505663635354971]"
Gazellendreef,"[51.26995924228086, 4.501879377319473]"
Gelmelenstraat,"[51.25480086079761, 4.497310055873026]"
Geraniumlaan,"[51.25676164417217, 4.507253008167522]"
Geuzenveldenstraat,"[51.248279991979366, 4.508472290267684]"
Goudvinkendreef,"[51.2428455, 4.5249767]"
Graaf Joseph de Pretstraat,"[51.25568305948813, 4.491109952603423]"
Graetpad,"[""FOUT, geen straat gevonden""]"
Grasdreef,"[51.280485534755954, 4.50437846193091]"
Grasperkdreef,"[51.25361432138618, 4.5258444642006035]"
Grimbertlaan,"[51.26579550199728, 4.516700516809111]"
Groenendaallei,"[51.265681961558194, 4.534617385811121]"
Grote Singel,"[51.25829283853319, 4.533407494646533]"
Gruisweg,"[""FOUT, straat in foute gemeente gevonden""]"
Guido Gezellestraat,"[51.24979721742955, 4.502621715341249]"
Hagenlei,"[51.249665513976645, 4.516940563781303]"
Halewijnlaan,"[51.26340935401266, 4.51940421266059]"
Hanekamdreef,"[51.2698477, 4.5397003]"
Hans Memlingstraat,"[51.24284835, 4.476952949999999]"
Hazendreef,"[51.2503283984808, 4.526547523980458]"
Heidebadlaan,"[51.298090599999995, 4.53767025]"
Heidebloemlei,"[51.25822748359727, 4.512642666985991]"
Heideweg,"[51.27751686870548, 4.517742313264483]"
Heikantstraat,"[51.25432647511841, 4.51052683268034]"
Hendrik Consciencestraat,"[51.249202261117475, 4.504289950515482]"
Hendrik Geertsstraat,"[51.249909945801015, 4.4828417904703075]"
Hendrik Van Antwerpenstraat,"[51.2494229, 4.48917395]"
Henri Dunantlaan,"[51.24572685, 4.4964441]"
Henri Engelslei,"[51.25720877729083, 4.53350852994004]"
Hermelijnlaan,"[51.26737308667549, 4.516381417633077]"
Hertendreef,"[51.27261685376131, 4.495304888999441]"
Hoefzwamdreef,"[51.26801116335603, 4.53828273981738]"
Hofstraat,"[51.2415337180339, 4.494999220475342]"
Hoogmolenbrug,"[51.2406216, 4.486218355171828]"
Hoogmolendijk,"[51.240385630251644, 4.491784262695485]"
Horizonweg,"[""FOUT, geen straat gevonden""]"
Horstebaan,"[51.25981941155578, 4.464308818121975]"
Houtduivendreef,"[51.24176513889865, 4.526325731080539]"
Houthakkersdreef,"[51.301376950000005, 4.54171415]"
Houtvesterdreef,"[51.29354755, 4.53953815]"
Hyacintenlaan,"[51.25872554502364, 4.508118447039352]"
Ijsvogeldreef,"[51.28365378716688, 4.506403098294393]"
Industrielaan,"[51.23858234975215, 4.480371856984442]"
Industriepark Brechtsebaan,"[51.26354729003943, 4.511561830461472]"
Invalidenlaan,"[51.248766610629616, 4.489592297337415]"
Jachthoorndreef,"[51.248412764861996, 4.531869541508883]"
Jachtwachtersdreef,"[51.29497588606365, 4.539100848478237]"
Jacob Jordaensstraat,"[51.24323202453898, 4.475534677253954]"
Jacques Wirtz pad,"[""FOUT, geen straat gevonden""]"
Jagersdreef,"[51.2408249, 4.5020089500000005]"
Jan Van Eyckstraat,"[51.245251765213425, 4.4741126471428325]"
Jan Van Puyenbroecklaan,"[51.261208730260186, 4.4671899366297465]"
Jozef Cogelslei,"[51.243936166837315, 4.463201059011323]"
Jozef Gijselsstraat,"[51.249896949033385, 4.479637141075344]"
Jozef Hendrickxstraat,"[51.249104453659, 4.49136903232234]"
Jozef Jennesstraat,"[51.258742928191474, 4.5059255445071615]"
Jozef Van Craenstraat,"[51.24730865, 4.5021618]"
Jozef Verhaegenstraat,"[51.243804, 4.4614791]"
Junolaan,"[51.27850806010628, 4.5211307127361335]"
Jupiterlaan,"[51.2771238575375, 4.522799221437539]"
