Straat,Coordinaten
Akkerkens,"[51.2267467, 4.12922585]"
Armand Wymeerschstraat,"[51.25151965, 4.08826055]"
Aststraat,"[51.21427335, 4.1144305]"
Astweg,"[51.21120918739018, 4.1098036009877275]"
Baarstraat,"[51.2037711154976, 4.133129848842277]"
Bagonie,"[51.1961527, 4.0772174]"
Bagonielaan,"[51.19911989401229, 4.07909682804199]"
Bagoniestraatje,"[51.193290248395826, 4.074377775461033]"
Bakkersdreef,"[51.19382666942701, 4.094939970055408]"
Bareel,"[51.25501294129331, 4.083776193264286]"
Bastionstraat,"[51.290416300000004, 4.164005400000001]"
Baulooweg,"[""FOUT, straat in foute gemeente gevonden""]"
Beekstraat,"[51.19423903828419, 4.099696870642787]"
Bergstraat,"[51.250377093051156, 4.083378052557425]"
Beulaarweg,"[51.197907321489744, 4.136242168850567]"
Binnendijkstraat,"[51.24610127483596, 4.155093927305006]"
Blauwe Hoefwegel,"[51.263478323572485, 4.107123065878537]"
Blauwestaakweg,"[51.21553019824347, 4.1481430159515496]"
Bloempotstraat,"[51.25731342414291, 4.15921961143186]"
Blokstraat,"[51.22253683160535, 4.125945578056393]"
Boerenkrijglaan,"[51.259599435223585, 4.105908743653217]"
Boomgaardstraat,"[51.257396413104225, 4.147664529948327]"
Bosstraat,"[51.21256417493969, 4.129107517631236]"
Botermelkstraat,"[51.22781070002342, 4.15541559761282]"
Bredestraat,"[51.23220146917866, 4.093042511671669]"
Broekpolderstraat,"[51.22873704588577, 4.120622912228853]"
Broekstraat,"[51.22659375, 4.1214105]"
Brouwershof,"[51.19109344747819, 4.095714813291546]"
Buitenstraat,"[51.2494851, 4.07302345]"
Bunderstraat,"[51.205366957120155, 4.121041153143671]"
Burg.G. Van Landeghemstraat,"[51.21680860111116, 4.123326239989493]"
Burg.K.L.Verbraekenstraat,"[51.21718365854704, 4.121906251976153]"
Burgemeester Omer De Meyplein,"[51.21681921359741, 4.1298236473030805]"
Burgemeester Van Hovelaan,"[51.26023329258158, 4.102333510298319]"
Cappaertstraat,"[51.242333852339435, 4.112526053201561]"
Collemanstraat,"[51.19036686454084, 4.086526125101023]"
Dagsterrestraat,"[51.204314047785914, 4.1479013429049525]"
Dam,"[51.214937316904894, 4.1238112749078955]"
Dennenlaan,"[51.197884946530664, 4.077324750430152]"
Dijkstraat,"[51.258126056366855, 4.1430547333805965]"
Doelstraat,"[51.26242077873641, 4.154313458113399]"
Donkerstraat,"[51.252960997086085, 4.08759335677195]"
Donkstraat,"[51.246146340054814, 4.157642536902751]"
Doornstraat,"[51.21086011979073, 4.132271448082097]"
Drielindenstraat,"[51.20421622588142, 4.156336006869537]"
Dries,"[51.19315530177744, 4.097003152257414]"
Drieske Nijperstraat,"[51.22096801857623, 4.12612001468583]"
Duikeldam,"[""51.2325404"", ""4.1652691""]"
Duinenstraat,"[51.25145460415938, 4.083271329313234]"
Eeckbergstraat,"[51.236795650000005, 4.1038350999999995]"
Ettingestraat,"[51.18930491368399, 4.094576379111018]"
F.Courtensstraat,"[51.217155393579475, 4.122489937938831]"
Feuselsdreef,"[51.20186475, 4.0978879]"
Fort Bedmarstraat,"[51.26774365604347, 4.113477418827818]"
Fortstraat,"[51.26661504188374, 4.117179608503697]"
Gaversstraat,"[51.2094007, 4.12001155]"
Gebroeders De Loorplein,"[51.2624595, 4.1128409]"
Geinsteindestraat,"[51.193189089976684, 4.131382678363416]"
Gentstraat,"[51.19148880549142, 4.098413660227719]"
Grensstraat,"[51.291112931707914, 4.1644066058841505]"
Grindstraat,"[51.23912812839463, 4.150698984144442]"
Groenendam,"[51.2683541820514, 4.159871328065844]"
Groenendijk,"[51.2402833, 4.1263935]"
Groenstraat,"[51.18335108458495, 4.088473087971242]"
Grouwesteenstraat,"[51.200381465518916, 4.1010684717591515]"
Hazendijk,"[51.24016380682526, 4.12577403749344]"
Heerweg,"[51.20845185, 4.117861749999999]"
Heerwegpad,"[51.206628424043956, 4.1088811862342185]"
Heidestraat,"[51.25432472551837, 4.089024088157088]"
Herdershof,"[51.190438028039296, 4.095683385682837]"
Herenstraat,"[51.22227711754685, 4.122268169737102]"
Heuldonk,"[51.191971227377444, 4.09497902571917]"
Heykavel,"[51.26385333236166, 4.109665982176146]"
Hoekstraat,"[51.28401179760792, 4.153147392206604]"
Hof Van Duyse,"[51.226128638796915, 4.114291703970314]"
Hof ter Vierschaar,"[51.191836043634424, 4.09587606905344]"
Hofpachtstraat,"[51.22787707783597, 4.075757804603478]"
Hoge Rode Moer,"[51.25799749321205, 4.097646801247975]"
Hogenakker,"[51.24950285, 4.0859235499999995]"
Hogenakkerstraat,"[51.25263190761769, 4.0892274820085985]"
Hogewatergangweg,"[51.23081145, 4.10250105]"
Holdamstraat,"[51.2216991, 4.0976311999999995]"
Holstraat,"[51.22655437788115, 4.091239691764968]"
Hoogeindeken,"[51.20960205, 4.142311744148385]"
Hoogstraat,"[51.1913054589619, 4.1370824179989585]"
Houtvoortstraat,"[51.2198239645207, 4.119024149386177]"
Hulststraat,"[51.25659063940992, 4.088440976449334]"
Jan Henderickxhof,"[51.257840156164484, 4.089295473335876]"
Juliana Balstraat,"[""FOUT, geen straat gevonden""]"
Kapelledreef,"[51.26565009071482, 4.1096600235205125]"
Kapelstraat,"[51.254024354525356, 4.090880217554806]"
Kardinaal J.Cardijnstraat,"[51.21848135, 4.1238316500000005]"
Kasteelstraat,"[51.21507170668176, 4.130291034924211]"
Kattestraat,"[51.220525035600296, 4.08055333335314]"
Kemphoekstraat,"[51.2275204, 4.1341126]"
Kemzekestraat,"[51.2142588, 4.0880768000000005]"
Kerkstraat,"[51.219670903899654, 4.124610707524698]"
Kerselarendreef,"[51.25902589343358, 4.093925874097382]"
Kieldrechtstraat,"[51.25539485371376, 4.09295690769421]"
Kijkverdrietstraat,"[51.25286681561454, 4.125514200998395]"
Klapdorp,"[51.19139516160161, 4.092738648172975]"
Kleinstraatje,"[51.256730128017985, 4.113241652968191]"
Klingedijkstraat,"[51.24147984356969, 4.097267287332834]"
Klingedorp,"[51.25766321144178, 4.090619853256938]"
Klingegrensstraat,"[51.260145800000004, 4.093652199999999]"
Klokputweg,"[51.20360789887066, 4.115907375662268]"
Klompenstraat,"[51.22183329301746, 4.1287014411125265]"
Kloosterstraat,"[51.261868899999996, 4.1577597]"
Kluizendijkstraat,"[51.230589614374075, 4.1018523680530645]"
Kluizenhof,"[51.22927206703885, 4.094776835511325]"
Kluizenmeersen,"[51.22823380879373, 4.085792553087647]"
Kluizenmolenstraat,"[51.22824782821432, 4.095497441115122]"
Koeystraat,"[51.235331814308466, 4.157559535052543]"
Kolshoekstraat,"[51.23273136809142, 4.088423040601252]"
Koning Boudewijnlaan,"[51.19862365, 4.0713732]"
Koningin Fabiolalaan,"[51.197248599999995, 4.0727649]"
Koningsdijk,"[51.29134854707988, 4.162527871656993]"
Koningshoeveweg,"[51.25519291597914, 4.093253547090046]"
Koningspolderstraat,"[51.25994899343755, 4.120168285704978]"
Koningstraat,"[51.24920045221071, 4.084802062966158]"
Korte Meersstraat,"[51.25125625025649, 4.137730589450358]"
Koutermolenstraat,"[51.29198594948039, 4.164986421174623]"
Kouterstraat,"[51.29253923894564, 4.166089643519148]"
Krekeldijk,"[51.24491012229559, 4.148155668905782]"
