Straat,Coordinaten
Appelstraat,"[51.284974099302886, 3.588209572802056]"
Baeyensmolenstraat,"[51.2874156830121, 3.549850934874875]"
Barbarapolder,"[51.28564923425495, 3.669962747196223]"
Bellekensstraat,"[51.27741192789614, 3.648704308184333]"
Bentillepolder,"[51.25893865939002, 3.5778481286830335]"
Bentillestraat,"[51.2463562492398, 3.6028954684655803]"
Beoostereedepolderdijk,"[51.25273646341565, 3.5655646887200727]"
Beukenhof,"[51.241570861353054, 3.519910467168295]"
Bevrijdingsstraat,"[51.29901115723296, 3.595901486850418]"
Bisdomstraat,"[51.24666670523089, 3.597995868812507]"
Blekkersdijk,"[51.27706921438099, 3.6559295698240915]"
Blokkreekweg,"[51.258803711749906, 3.5313819935899042]"
Boerekreekpad,"[51.262412242923816, 3.574798224366659]"
Boerendijk,"[51.26500368318502, 3.5775741604064226]"
Bogaard,"[51.24255014942306, 3.525346012285397]"
Bomlozenput,"[51.259245908811245, 3.633156684852914]"
Bosweg,"[51.24957232707324, 3.568862186172715]"
Braamdijk,"[51.26497689250522, 3.627638804716404]"
Bredeweg,"[51.2241178503075, 3.5023594005897696]"
Brouwersweg,"[51.24885465295374, 3.5737031257153307]"
Burg. Van de Keerestraat,"[51.2740373897395, 3.6252028686552955]"
Caatsweg,"[51.236797765558286, 3.5338834454744337]"
Calusdijk,"[51.28094142631721, 3.6469034458903073]"
Calusstraat,"[51.27617705, 3.58847515]"
Casteleynstraat,"[51.28206855601973, 3.5767717127308756]"
Celie,"[51.22636285129269, 3.4880131136603367]"
Celiekerkweg,"[51.22684417704783, 3.501682576010017]"
Christoffelpolder,"[51.26193269640965, 3.640120729659496]"
Clara Verheyenstraat,"[51.27724355, 3.6534333500000002]"
Cocquytpolderdijk,"[51.25190583202036, 3.609401248468766]"
Comer-Graafjansdijk,"[51.24612824662203, 3.5443782389289886]"
Comercaatsweg,"[51.24369547946049, 3.53757581799198]"
Comerrattenpad,"[51.24634508780182, 3.552169609523024]"
Dorpsstraat,"[51.24227768853227, 3.52333576387265]"
Dosweg,"[51.246549338266746, 3.5599525757810193]"
Draaiputstraat,"[51.25633877622222, 3.5444383586112225]"
Drijdijk,"[51.271077268964554, 3.5896902763228864]"
Dweirsweg,"[51.22446223068244, 3.535829207234453]"
Eerstestraat,"[51.22114174223617, 3.578382505468977]"
Eikendal,"[""FOUT, geen straat gevonden""]"
Fleinus,"[51.248790150000005, 3.5697883]"
Ganzenstraatje,"[51.222102, 3.5051458]"
Godelieves,"[51.25366580774177, 3.5477469187411432]"
Goeleven,"[51.28842432186962, 3.5683802791435864]"
Goochelaarstraat,"[51.23714689163261, 3.5847922638553182]"
Graafjansdijk,"[51.2474194, 3.5986265]"
Gravejanspad,"[51.246655604447824, 3.55621880809528]"
Groenendijk,"[51.2747558496638, 3.538069891254934]"
Groeneweg,"[51.2451463741053, 3.542518331559207]"
Groenstraat,"[51.27395768120349, 3.5470566216425445]"
Grote Boterhoek,"[""FOUT, geen straat gevonden""]"
Heistraat,"[51.25075959334876, 3.6211120693440364]"
Hellenpolder,"[51.25681883826123, 3.639123939148558]"
Heskenstraat,"[""FOUT, geen straat gevonden""]"
Hogestraat,"[51.27173997652568, 3.581883641874877]"
Hontseindestraat,"[51.27887557220438, 3.541601946723062]"
Hooghuys,"[51.26428014097304, 3.555234928627788]"
Hoogstuk,"[51.245029492944674, 3.5510118283042145]"
Hoogte,"[""FOUT, geen straat gevonden""]"
Houtlanddijk,"[51.26433522663566, 3.5957293167761706]"
Jeronimuspolder,"[51.29017068760548, 3.588045805508511]"
Jeronymus Lauwerijnstraat,"[51.27238229191008, 3.6272531046791676]"
Kantijne,"[51.24621905, 3.528886]"
Kantijnstraat,"[51.244402150000006, 3.5248629]"
Kerkenhofstede,"[51.27015340085339, 3.683144410801287]"
Kerkepad,"[51.28197440394556, 3.5475240043821175]"
Kerkplein,"[51.28209661346747, 3.5466920565376294]"
Kerkstraat,"[51.28165522435573, 3.5460108578722123]"
Kerselaarstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kerselarenhoek,"[51.250707049999995, 3.6032442500000004]"
Ketterijstraat,"[51.255649149999996, 3.6140873]"
Klein België,"[""FOUT, geen straat gevonden""]"
Kleine Boterhoek,"[51.221832035618625, 3.529124606676156]"
