Straat,Coordinaten
's Hondshuffel,"[50.93194583708586, 3.856208894213703]"
Aalmoezenie,"[50.91596833447904, 3.8564779747516704]"
Bakkerswegel,"[50.93054634745447, 3.878808455897807]"
Balei,"[50.91943637797905, 3.8749729856026125]"
Beekstraat,"[50.916334850000005, 3.86162705]"
Benedenstraat,"[50.94598532550287, 3.8708600650362146]"
Bergstraat,"[50.95047422838991, 3.884911459999096]"
Bernard Kempstraat,"[50.93178488459406, 3.90953772431913]"
Beukenlaan,"[50.922470869352786, 3.869954214922745]"
Binnenstraat,"[50.931774281875455, 3.8971191135342647]"
Blareveld,"[50.91996976358687, 3.8369037128841983]"
Bockstaele,"[50.921341968904365, 3.8320974156832914]"
Boekhoutstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bosstraat,"[50.9144876590917, 3.8622479033844455]"
Bovenstraat,"[50.91880989698235, 3.8462879917431754]"
Broekveld,"[50.920308003391106, 3.8776476318161803]"
Bruisbeke,"[50.92886377539789, 3.8412678406962106]"
Bunderwegel,"[50.92115367247795, 3.866697519195619]"
Bussegem,"[50.9491239805129, 3.8894016568394045]"
Cotthem,"[50.9078506, 3.853329]"
Cruysrede,"[50.95210417743062, 3.8688025750290302]"
De Coomansgang,"[50.91981331169323, 3.856429049924484]"
Den Dryberg,"[50.93036194676413, 3.8335198467910354]"
Diepenborgstraat,"[50.9293751296407, 3.9168828944104446]"
Diepestraat,"[50.91038921908221, 3.865725534646565]"
Doelstraat,"[50.922009501185585, 3.8627995431906537]"
Donckershof,"[50.9167698528549, 3.857161934667457]"
Dreefstraat,"[50.94710766133334, 3.8752450883516385]"
Dries,"[50.920869220537284, 3.8725647573392803]"
Drieskenswegel,"[50.92016704095447, 3.8474687902676057]"
Edgard Tinelstraat,"[50.91979336892853, 3.8613278289792876]"
Eiland,"[50.92345363986475, 3.8620230103378135]"
Engelseveld,"[""FOUT, geen straat gevonden""]"
Espenhoek,"[50.9097482, 3.8458452]"
