Straat,Coordinaten
Albert Claeyslaan,"[51.004104382635674, 3.6164937190714657]"
Albert Servaesdreef,"[51.025109601078746, 3.624908320762571]"
Albijn Van den Abeelelaan,"[51.00081339086377, 3.6289428985407137]"
Alfons Dessenislaan,"[50.9999828, 3.6300996000000003]"
Antoon De Pesseroeylaan,"[51.003278639637585, 3.616729364490843]"
Baarle-Frankrijkstraat,"[51.03301678960714, 3.620499175981361]"
Bachtenberge,"[51.0081737501138, 3.604673386725638]"
Berkenbosdreef,"[51.025021935402876, 3.6260473613792477]"
Bijlden Bos,"[""FOUT, geen straat gevonden""]"
Bogaertstraat,"[51.02327532599737, 3.6128899545443636]"
Bosstraat,"[51.0208679572275, 3.6310002186584565]"
Brakelleie,"[51.031359182050466, 3.6102874487018566]"
Brakelmeersstraat,"[51.0270977425833, 3.6137906062111567]"
Brakelstraat,"[51.02399376454499, 3.620232875940001]"
Brandstraat,"[51.00560747902189, 3.6203562937994747]"
Broekstraat,"[50.9920468, 3.62175875]"
Buizenbergstraat,"[51.02003866881061, 3.619371759209153]"
Bunderweg,"[51.01412364485451, 3.639449575738916]"
Burgemeesterstraat,"[51.016350056890104, 3.6305416163697357]"
Burggraaf H. de Spoelberchdreef,"[51.00929369065806, 3.607840779366484]"
Constant Permekelaan,"[51.00302540624408, 3.626479136480032]"
De Biezen,"[50.98941565, 3.60586395]"
De Blaupoort,"[51.01304878715072, 3.645005404019226]"
De Heide,"[51.005052440816634, 3.607965158487622]"
De Knok,"[51.01860328064747, 3.650239119433401]"
Dorp,"[51.021618975061976, 3.6395105720547676]"
Dorpsstraat,"[51.007317900000004, 3.6018693500000003]"
Dorsweg,"[51.01551852164471, 3.64522242224708]"
Driesmeers,"[51.00088048018595, 3.6309777663268363]"
Edgard Gevaertdreef,"[51.006936199979144, 3.622152705787349]"
Eikeldreef,"[51.01883731767335, 3.6281941902657846]"
Elsakkerweg,"[51.019793121625824, 3.633117699282637]"
Elslo,"[51.00249269879599, 3.6410230640423595]"
Forestierspad,"[51.011077749751635, 3.6142954807697416]"
Frits Van den Berghelaan,"[51.003382203849156, 3.6275035117859997]"
Gaver,"[51.01521995, 3.64592875]"
George Minnelaan,"[50.999362887913676, 3.630865528235514]"
Gillebulk,"[51.013003850000004, 3.6399297500000003]"
Golflaan,"[51.00936636894095, 3.6325381323558865]"
Groene Dreef,"[51.022872552412174, 3.61959693876863]"
Groot Speurestuk,"[51.01553035748684, 3.634351717569765]"
Grote Moortel,"[51.027766286568664, 3.6117710057536376]"
Guido Gezellestraat,"[51.00932837613067, 3.6311059930716016]"
Gustaaf De Smetlaan,"[51.00957791789645, 3.6031286253523525]"
Gustave Van de Woestijnelaan,"[50.999710671261575, 3.629530633914508]"
Heidebergen,"[51.022147693518036, 3.6302032941874987]"
Heidebergenpark,"[51.02427128832482, 3.627480597895161]"
Helftwinning,"[51.03200514689128, 3.6222702805777143]"
Hoge Heirweg,"[51.014275828736096, 3.641026345056224]"
Hoge Kouter,"[51.01412032678173, 3.635864684834597]"
Hooglatemweg,"[51.00640975387347, 3.6214733104731542]"
Hubert Malfaitlaan,"[51.00328415, 3.6307843500000003]"
Hullekensstraat,"[50.99804151660779, 3.6139482880840013]"
Hulleweg,"[51.01042399027107, 3.63486164441673]"
Jef De Belderlaan,"[51.00326895, 3.6123348053911757]"
Jenny Montignylaan,"[51.00868427272894, 3.6013307358359588]"
Jules De Sutterlaan,"[51.00457766167082, 3.6324235778556604]"
Kapitteldreef,"[51.01052973421246, 3.6247417345773223]"
Karel Van Wijnendaelelaan,"[51.00961795, 3.6390952305609434]"
Karel Van de Woestijnelaan,"[51.000100620667595, 3.6291668260665317]"
Karrestraat,"[50.9899198212268, 3.6033627747863375]"
Kasselrij,"[50.991351915633594, 3.6066658183774467]"
Kasteeldreef,"[51.014324834858364, 3.6071679121956195]"
Keistraat,"[51.000365430228015, 3.639498141216396]"
