Straat,Coordinaten
's Graven Eke,"[51.13896361470513, 4.0089500752381095]"
Aartdreef,"[51.17129965636003, 4.025807499543715]"
Abingdonstraat,"[51.15713651016152, 4.1396809020004]"
Adolf Daensplein,"[51.1571481, 4.1359717]"
Aerschotstraat,"[51.16490208595204, 4.132015832108023]"
Albert Bruggemanwegel,"[51.16654328009457, 4.153886091349022]"
Albrecht Rodenbachstraat,"[51.16663600144467, 4.126175643971728]"
Alice Nahonstraat,"[51.165850988627916, 4.116168315303861]"
Amsterdamstraat,"[51.18159109548603, 4.133316576523022]"
André Van Gassepark,"[51.17208665, 4.128205299999999]"
Ankerstraat,"[51.16538497015652, 4.143701180652413]"
Anthonis De Jonghestraat,"[51.18547271159023, 4.1948217445667675]"
Anthueniswegel,"[""FOUT, geen straat gevonden""]"
Antwerpse Steenweg,"[51.1679823, 4.1530819]"
Apostelstraat,"[51.163919199475764, 4.14367245576628]"
Arkestraat,"[51.138273807367014, 4.105227685660174]"
Armwegel,"[51.19093350348567, 4.174498356920033]"
Arnhoutstraat,"[51.15428405798458, 4.114371608692846]"
Athenestraat,"[51.183452288595966, 4.135339990673932]"
Atomiumstraat,"[51.174710090170144, 4.135288848588678]"
August De Boeckstraat,"[51.15730877754784, 4.154594428561916]"
August De Bontestraat,"[51.17084510324482, 4.130804379313883]"
August Nobelsstraat,"[51.1603635533474, 4.145868794469968]"
August Vermeylenstraat,"[51.165402726519254, 4.154924766710869]"
Augustin Smetwegel,"[51.17521235, 4.0647765499999995]"
Azalealaan,"[51.16379271950851, 4.158055825557662]"
Baenslandstraat,"[51.15053840792565, 4.139084937429218]"
Baron Dhanisstraat,"[51.1611727728651, 4.136866215769122]"
Baudelopad,"[51.18506284190975, 4.027279631861296]"
Beekstraat,"[51.16042988120417, 4.136102616406329]"
Beeldstraat,"[51.17099945, 4.2047744]"
Beenaertwijk,"[51.171912500000005, 4.128396798240368]"
Begijnenstraat,"[51.17625375, 4.14192025]"
Begoniastraat,"[51.16064387098921, 4.160298018941868]"
Bekelstraat,"[51.18424402999055, 4.137957399713125]"
Bellemansstraat,"[51.14667276290323, 4.0616761228728455]"
Bellestraat,"[51.17549246002755, 4.178057736275964]"
Belseledorp,"[51.14630881039609, 4.088336688704898]"
Belselewegel,"[51.1553145, 4.063675699999999]"
Beneluxstraat,"[51.15771580210033, 4.137595839159868]"
Bergdreef,"[51.13549473355563, 4.088148334712814]"
Bergstraat,"[51.1424198252337, 4.086458140132532]"
Berkenhof,"[51.1918825337823, 4.17680552911755]"
Berkenlaan,"[51.178521568496684, 4.144766828593135]"
Berlijnplein,"[51.181491371829324, 4.131511218620625]"
Betty De Deckerwegel,"[51.176952695758686, 4.139571961971988]"
Beukenlaan,"[51.146408193162415, 4.063148488502697]"
Biekorfstraat,"[51.15111929092066, 4.0946040551490945]"
Blauwververstraat,"[51.15093351234724, 4.1412411871464405]"
Blindestraat,"[51.19326784783873, 4.156162597773051]"
Bloempelderstraat,"[51.151583052989864, 4.144947171685365]"
Blokmakerstraat,"[51.15837044393094, 4.1463331265722365]"
Bobijnhof,"[51.1718295, 4.1469153]"
Bockwegel,"[51.161066350008085, 4.03396507396229]"
Bokkenhof,"[51.15920285276408, 4.143298004250471]"
Bookmolenstraat,"[51.146542265706245, 4.11348741794126]"
Boomezelstraat,"[51.18218830326755, 4.18863011575165]"
Boonhemstraat,"[51.16761591723854, 4.138643916873882]"
Boonhemwegel,"[51.171880186753626, 4.092040060797279]"
Bosstraat,"[51.16697350152727, 4.075598338464259]"
