Straat,Coordinaten
's Hertogendijk,"[51.3289263, 4.388597]"
A.C.Swinnesstraat,"[""FOUT, geen straat gevonden""]"
Aalmoezenier Cuyperslaan,"[51.32828340479265, 4.372388155626845]"
Abelenlaan,"[51.3132517, 4.4049194]"
Abtsdreef,"[51.3438399, 4.3469818]"
Acacialaan,"[51.3109588, 4.4018162]"
Akkerstraat,"[51.30777, 4.4001415]"
Antwerpse Steenweg,"[51.304182, 4.409423]"
August Huybrechtslaan,"[51.304349, 4.4043248]"
Begijnhof,"[51.3307769, 4.3667742]"
Berkenlaan,"[51.3101459, 4.4040786]"
Betje van Camppad,"[""FOUT, geen straat gevonden""]"
Beukenlaan,"[51.3120265, 4.4087332]"
Binnenpad,"[51.331328470598336, 4.373314492008135]"
Binnenpadplein,"[51.33055128435218, 4.370573272650954]"
Binnenweg,"[51.3059031, 4.4026248]"
Blokweg,"[51.298677, 4.4018747]"
Bos,"[51.3291704, 4.3690931]"
Boterse Weg,"[51.315658, 4.3749473]"
Brouwersstraat,"[51.3290062, 4.3675155]"
Bunderdijklaan,"[51.3100256, 4.400373]"
Burg. J.L. Van der Molenplein,"[51.32875905, 4.37311635]"
Burgemeester Hermanslaan,"[51.32864494058016, 4.375017410801479]"
Buxuslaan,"[51.3137678, 4.3981668]"
Buynderpad,"[""FOUT, geen straat gevonden""]"
Canadalaan,"[51.35508270233163, 4.38827958966467]"
Ceciliasteegje,"[51.3305513, 4.3645318]"
Cederlaan,"[51.3096843, 4.4032974]"
Conservenweg,"[51.3291291, 4.3641666]"
Danckerse Weg,"[51.3512334, 4.3659816]"
De Croone,"[51.34920459912067, 4.393150450193865]"
De Helle,"[51.3472883, 4.395173]"
De Pretlaan,"[51.3456929, 4.391844]"
Dennenlaan,"[51.3106638, 4.4049542]"
Dijkstraat,"[51.3030463, 4.3933742]"
Domushof,"[51.3331622, 4.380561]"
Dorpsstraat,"[51.3311374, 4.3630126]"
Douaneplein,"[51.355673949999996, 4.394374422448005]"
Driehoek,"[51.3477132, 4.3980711]"
Eduard de Beukelaerlaan,"[51.303698, 4.4035221]"
Eikenlaan,"[51.3172673, 4.402556]"
Elzenlaan,"[51.3111967, 4.4001043]"
Esdoornlaan,"[51.33486230383477, 4.361239907714853]"
Essenlaan,"[51.3101507, 4.4027451]"
Ettenhoven,"[51.3031826, 4.393334]"
Familiestraat,"[51.333781957508144, 4.373640601425489]"
Felix Sautersstraat,"[51.32500933918116, 4.374924316016536]"
Frans Hotagstraat,"[51.3409075, 4.4033293]"
Frans Oomsplein,"[51.3066632, 4.4047224]"
Galgenhoek,"[51.3398891, 4.4017149]"
Galgenveld,"[51.3385508, 4.4026966]"
Geelvinckstraat,"[51.33219176311675, 4.37137148539697]"
Glashoevelaan,"[51.33432146231363, 4.3792097064871]"
Grimaldilaan,"[51.331936371316914, 4.379251643155111]"
Groene-Swaenlaan,"[51.3345179, 4.38174955]"
Grote Molenweg,"[51.3324983, 4.3766603]"
Haagdoornlaan,"[51.314739, 4.4021172]"
Hasenpad,"[51.3393612, 4.3818952]"
Het Rekkepad,"[""FOUT, geen straat gevonden""]"
Heuvels,"[51.333559, 4.392026]"
Hinkelpad,"[51.3094282, 4.4083256]"
Hoenderhoekweg,"[51.3138642, 4.3764634]"
Hoge Weg,"[51.3065225, 4.4042583]"
Hoogeind,"[51.34228995789223, 4.387529724687743]"
Hooghuisstraat,"[51.3085531, 4.4044454]"
Hulstlaan,"[51.3124507, 4.4005119]"
Huzarenberg,"[51.348224, 4.39254025]"
Italiaanse-Hoevelaan,"[51.331200410092286, 4.384257318533507]"
Jan Matstraat,"[51.3502921, 4.3964417]"
Jonker de Hazelaan,"[51.33272703923422, 4.382406656067895]"
Kan. Van Tichelenlaan,"[51.3291305, 4.374483049999999]"
Kastanjelaan,"[51.3104593, 4.4065437]"
Kasteeldreef,"[51.3532992, 4.3917245]"
Kauwensteinlaan,"[51.3092221, 4.3998695]"
Kerkendam,"[51.331524, 4.3648269]"
Kerkepad,"[51.3314801, 4.3658552]"
Kerkstraat,"[51.3027241, 4.3942779]"
Klein Galgenveld,"[51.3382032, 4.4036304]"
Klein Lepelstraat,"[51.3521344, 4.3924883]"
Kleine Molenweg,"[51.3314343, 4.3668568]"
Knikkeraar,"[""FOUT, geen straat gevonden""]"
Kommekensstraat,"[51.3275887, 4.3550503]"
Konijnenstraat,"[51.35196, 4.3624978]"
Krekelberg,"[51.3114476, 4.3879852]"
Kromme Straat,"[""FOUT, straat in foute gemeente gevonden""]"
Laageind,"[51.325508, 4.3495489]"
Lassonhoflaan,"[51.334880749999996, 4.3758467]"
Lepelstraat,"[51.349737, 4.3978242]"
Liefkenspad,"[51.3038595, 4.4082736]"
Lijsterbeslaan,"[51.336159014641574, 4.362803989999031]"
Lindenlaan,"[51.3120098, 4.409165]"
Lombaardstraat,"[51.3057479, 4.4063214]"
Lorkenlaan,"[51.3119986, 4.4075068]"
Magnolialaan,"[51.33592675, 4.35895905]"
Markt,"[51.3067577, 4.406118]"
Mattenvlechters,"[51.3484052, 4.3974947]"
Mattheus Mannienlaan,"[51.3109588, 4.4018162]"
Meidoornlaan,"[51.33295238915485, 4.364992814086691]"
Melsenlaan,"[51.3434025, 4.3922008]"
Mispelaarlaan,"[51.335297718251944, 4.358297245640561]"
Molensteeg,"[51.3445627, 4.3978324]"
Molenstraat,"[51.3080299, 4.4099114]"
Molenweg,"[51.3071699, 4.4087678]"
Monnikenhofstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Moretuslei,"[51.352353199999996, 4.39329435]"
Neerhoevelaan,"[51.33135678635026, 4.380909399886166]"
Nieuwstraat,"[51.3304695, 4.36944645]"
Olmenlaan,"[51.3135997, 4.4018082]"
Onze Lieve Vrouw Geboortestraat,"[51.3073272, 4.3991172]"
Oud Broek,"[51.3422602, 4.3447686]"
Oude Ertbrandstraat,"[51.3417022, 4.4025134]"
Palmenlaan,"[51.3094452, 4.4062894]"
Papenweg,"[51.334435199996236, 4.361123735433153]"
Parijse Weg,"[51.319805, 4.4024819]"
Parklaan,"[51.33453049278324, 4.363266064123135]"
Pauwelsdreef,"[51.3045917, 4.3991863]"
Picoloplein,"[51.3300728, 4.3628601]"
Pieter Jozef Tijsmanslaan,"[51.3039868, 4.4023937]"
Plantinlaan,"[51.3502843, 4.3911897]"
Plasstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Platanenlaan,"[51.3123699, 4.4031027]"
Polderstraat,"[51.3285328, 4.3567157]"
Pootjespad,"[51.3332587, 4.3805603]"
Populierenlaan,"[51.3112312, 4.4057029]"
Puttestraat,"[51.3526823, 4.3970702]"
Randerode,"[51.3294813, 4.3868293]"
Rekkestraat,"[51.3066769, 4.4070521]"
Riddershoevelaan,"[51.33458437477222, 4.37746541174887]"
Rijstraat,"[51.3185945, 4.3851409]"
Rode Weg,"[51.3215776, 4.3947217]"
Rode-Hoevelaan,"[51.330032305792905, 4.383142301885766]"
Rolafhoevelaan,"[51.33408848077099, 4.380992172849593]"
Rosdijkweg,"[""FOUT, straat in foute gemeente gevonden""]"
Seringenlaan,"[51.3144443, 4.4063247]"
Sierkerslaan,"[51.3355329, 4.362073499999999]"
Sigarenstraat,"[51.3333626593395, 4.373276199463722]"
Sint Catharinastraat,"[51.33294629048749, 4.3722682997617435]"
Sint Hubertusstraat,"[51.3058125, 4.4006998]"
Sint Jacobstraat,"[51.3174819, 4.3678555]"
Slijkweg,"[51.2985172, 4.4023564]"
Smalle Weg,"[51.3053969, 4.377887]"
Smoutakker,"[51.3297971, 4.3709158]"
Sneppenhoevelaan,"[51.33063, 4.3871509500000005]"
Sparrenlaan,"[51.31508, 4.4007353]"
Sportweg,"[51.33486496827591, 4.368278007540378]"
Steenlandlaan,"[51.3490736325651, 4.3907447811110885]"
Sterrehoevelaan,"[51.333045281190884, 4.378705965748094]"
Torense Weg,"[51.3410516, 4.3469734]"
Trientje Vingerhoedtpad,"[""FOUT, geen straat gevonden""]"
Van Aerdensteegje,"[51.332147436493464, 4.369238529709184]"
Van De Wouwersteeg,"[51.3290978, 4.3689356]"
Veldstraat,"[51.3525324, 4.3939547]"
Vleminckweg,"[51.3085291, 4.3716321]"
Vlierbeslaan,"[51.3157018, 4.4009402]"
Vossenpad,"[51.3301334, 4.37208445]"
Vossenveldlaan,"[51.3398861, 4.3907067]"
Waterstraat,"[51.3344981, 4.399346]"
Werfken,"[51.3319339, 4.3625458]"
Wilgenlaan,"[51.3094282, 4.4083256]"
Witvenpad,"[51.3080927, 4.4091149]"
Witvenstraat,"[51.3096728, 4.4115893]"
