Straat,Coordinaten
't Velleken,"[50.90790897661266, 4.514671352326658]"
Aarschotstraat,"[""FOUT, geen straat gevonden""]"
Abelendreef,"[50.925109219061916, 4.5161114401834705]"
Acacialaan,"[50.92562804253931, 4.515611871126763]"
Achter de Hovenstraat,"[50.90301636839494, 4.521796123290257]"
Aelvoetstraat,"[50.91698053675623, 4.508999898459772]"
Anjelierenlaan,"[50.922346223943364, 4.501041285579434]"
Artoisstraat,"[50.91719139952512, 4.511944641386001]"
Azaleaplein,"[50.92694885, 4.511586947169475]"
Bataviastraat,"[50.9121327, 4.46026835]"
Begonialaan,"[50.92213482314169, 4.500847498707573]"
Begoniaplein,"[50.92839705, 4.516888361172468]"
Behetsstraat,"[50.90925738729666, 4.512436843438862]"
Beiaard,"[50.910897622172385, 4.5112046245015]"
Berkenlaan,"[50.92417885814012, 4.4945317344945925]"
Beukendreef,"[50.92702155, 4.5202249000000005]"
Biestweg,"[50.90966601225213, 4.518582044830367]"
Billaststraat,"[50.90232950633437, 4.517198847516063]"
Blockmansstraat,"[50.905776573176574, 4.516819345940119]"
Bloemenoord,"[50.916499858493786, 4.478740068098439]"
Boektsestraat,"[50.95536152222416, 4.497882487191839]"
Boekweykoekstraat,"[50.909813253563804, 4.510159426367331]"
Boskantweg,"[50.91268364774724, 4.517410143069437]"
Braambos,"[50.9251054, 4.5148632]"
Brandenburglaan,"[50.9150283, 4.51260405]"
Breemstraat,"[50.933420212925284, 4.505467222615684]"
Brembosstraat,"[50.95138937055654, 4.486208016790757]"
Breughelstraat,"[50.91945567616487, 4.499371048697585]"
Bruyneelstraat,"[50.91195809406768, 4.515870105822159]"
Bundersweg,"[50.95582197646538, 4.4977471507667]"
Burgdreef,"[50.917691088574585, 4.4721799065647785]"
Buurtspoorweglaan,"[50.924433528338746, 4.519929213272568]"
Cederlaan,"[50.92601206936131, 4.516242560595605]"
Claeslaan,"[50.903102906724506, 4.5152397263883115]"
Coenenstraat,"[50.910857198567804, 4.510028282394688]"
Collegestraat,"[50.94631649845972, 4.505062909906447]"
Cornellekestraat,"[50.920171529176024, 4.522770951626563]"
Dahlialaan,"[50.9237231, 4.50551255]"
Damlaan,"[50.909260141172695, 4.522231874985813]"
De Prooststraat,"[50.92010163413474, 4.512588111801928]"
Dennenlaan,"[50.92554749859192, 4.511635450814997]"
Dijkstraat,"[50.90754555508507, 4.517767437216007]"
Dijkveldweg,"[50.9104901, 4.51544625]"
Donkerstraat,"[50.943449711782264, 4.4856975653250135]"
Dreefweg,"[50.91026565, 4.51507295]"
Drie Wilgenstraat,"[""50.8946166"", ""4.5338735""]"
Driebundersweg,"[50.95123817841565, 4.505799648297255]"
Driesstraat,"[50.93195515, 4.49560125]"
Duistboslaan,"[50.923677086499566, 4.518940886721637]"
Eikenlaan,"[50.925495700503184, 4.495169097099702]"
Elfenpad,"[50.92972342205326, 4.493617158935402]"
Elzenlaan,"[50.92775194314902, 4.514166773977513]"
Esdoornlaan,"[50.925697150000005, 4.5132501000000005]"
Fazantendal,"[50.92921466567482, 4.491240449566234]"
Fazantenpad,"[50.92522855, 4.510297100000001]"
Frans Halslaan,"[50.91834198591454, 4.495381156939596]"
Fuérisonplaats,"[50.91029604088527, 4.512949566641006]"
Galmartstraat,"[50.921910338066226, 4.476356521421869]"
Ganzendries,"[50.926690550000004, 4.4920337]"
Geerensstraat,"[50.91286911386855, 4.482142622092177]"
Gildenplein,"[50.91838383279568, 4.496790819646989]"
Gillijnsstraat,"[50.916026297141656, 4.480115008663187]"
Gorislaan,"[50.90460752847868, 4.514239147608735]"
Groenegrachtweg,"[50.94367630289278, 4.5006275539193705]"
Groenveldlaan,"[50.918010699999996, 4.4970547]"
Haachtsesteenweg,"[50.91022209907473, 4.4592171098898685]"
Hamdreef,"[50.91207289154889, 4.513372005906666]"
Hazelnotenlaan,"[50.92929252414513, 4.511488293309902]"
Hazenpad,"[50.92426855376336, 4.5138313281566305]"
Hazenweg,"[50.90739361944129, 4.516538192460087]"
Heideplein,"[50.9280281, 4.5115457225232385]"
Heilig Kruisdreef,"[50.9193288, 4.4767234]"
Hertbloklaan,"[50.92352875, 4.5079633]"
Hinckaertplein,"[50.9119958, 4.512804969241813]"
Hof ter Ham,"[50.918318151518626, 4.511796351325378]"
Hof van Boetsfort,"[50.91465318075176, 4.481960981290333]"
Hof van Keustens,"[50.93467545810889, 4.495256964193682]"
Hof van Schoetens,"[50.93459053488941, 4.488924022259185]"
Hondenbergweg,"[50.93425681166405, 4.503496422124112]"
Hoofdbosweg,"[50.954745579867414, 4.511468085425459]"
Hoogstraat,"[50.94294688093686, 4.505131058470004]"
Hoogveldweg,"[50.912883303291686, 4.472468887487771]"
Hooiweg,"[50.913368955776, 4.4679819833782926]"
Hoolantsstraat,"[50.91147424135559, 4.474842755734107]"
Houtemsesteenweg,"[50.95381957145888, 4.493732497229466]"
Huinhovenstraat,"[50.9351532815491, 4.47999304485195]"
Hulstweg,"[50.938418297477014, 4.4880849334858475]"
Humelgempad,"[50.91346327604559, 4.5170477794805715]"
Jasmijnenplein,"[50.928147695454655, 4.518529435525298]"
Jordaensstraat,"[50.91783051333908, 4.495531557605084]"
Kabouterpad,"[50.92796303467356, 4.495832021754288]"
Kalkoven,"[50.91522647837639, 4.489200315438276]"
Kampenhoutsesteenweg,"[50.94144462086392, 4.50851401564031]"
Kanadalaan,"[50.92718845, 4.520253800000001]"
Kandriesschestraat,"[50.9094965, 4.52261985]"
Kapelstraat,"[50.91857024037457, 4.506038840215386]"
