Straat,Coordinaten
Abdijstraat,"[51.17875298549057, 3.987964311716049]"
Abelendreef,"[51.188388754472086, 3.987814020879785]"
Achterstraat,"[51.19085010484667, 4.001999841732337]"
Albrecht Rodenbachlaan,"[51.207772934748576, 4.072125955919095]"
Amelberga Truymanstraat,"[51.210968482441814, 4.038654377847877]"
Arendstraat,"[51.2065423542449, 3.9894009879117687]"
August Melsstraat,"[51.21157822657528, 4.031603555328323]"
Baggaart Noord,"[51.20977846063806, 3.9798017385158158]"
Baggaart Zuid,"[51.218073371171485, 4.017567572852066]"
Baldwinus van Boclastraat,"[51.178318064170476, 3.991771787117748]"
Baulooweg,"[51.209672497854605, 4.089587483697877]"
Bergstraat,"[51.20204554040124, 4.0076973526649]"
Bergstraatje,"[51.20439522135043, 4.012035178377103]"
Bettestraat,"[51.210868255486766, 4.053538339577624]"
Blauwe Wegel,"[51.20489730758325, 4.051297527070798]"
Blueslaan,"[51.211092689773324, 4.079777188033194]"
Bockedreef,"[51.20456594354125, 4.036377592992967]"
Bormte,"[51.1981218, 4.0478935]"
Bosdorp,"[51.19322246990485, 4.0288817515956765]"
Bosstraat,"[51.23588777057288, 4.055981361008799]"
Boswegel,"[51.241338723187155, 4.044796678677217]"
Boterbloemstraat,"[51.20907707933845, 4.030874970315772]"
Boudelostraat,"[51.177178084114175, 3.985986489082952]"
Braemstraat,"[51.24508761053588, 4.069185774873162]"
Breedstraat,"[51.2397322090089, 4.051337195439295]"
Bremstraat,"[51.20768731645264, 4.032310320113542]"
Brugse Heirweg,"[51.18010428622895, 3.9863609047039668]"
Brugstraat,"[51.19870254276382, 4.031628963582552]"
Burchtakker,"[51.22138765, 4.03288695]"
Burgemeester Abdon Heyselaan,"[51.20410965337632, 4.041270716297452]"
Burgemeester Dr. Eugeen Roggemanlaan,"[51.20329161674787, 4.04139070965639]"
Cedronbeekstraat,"[51.20244376814101, 4.0457675854169395]"
Colputstraat,"[51.19240159531676, 4.022675753077856]"
Concertlaan,"[51.21155746238306, 4.080688220323827]"
Damstraat,"[51.19125405, 4.04202925]"
Dauwstraat,"[51.201421158430904, 4.064393139345966]"
De Klingestraat,"[51.24780775602983, 4.065153755869578]"
De Stropersstraat,"[51.238130850000005, 4.06069005]"
Dobbelsteenstraat,"[51.21491891323173, 4.028641415413512]"
Donkerhofstede,"[51.22969299847822, 4.021815652727396]"
Dorpsstraat,"[51.20268925680731, 4.038270820862848]"
Driehoefijzerstraat,"[51.23869358819514, 4.003292904071649]"
Drieschouwen,"[51.2207692, 4.0659594]"
Edgard Tinelstraat,"[51.183109178502704, 3.985046217383973]"
Felix Timmermanslaan,"[51.208803925962314, 4.072589584929175]"
Festivallaan,"[51.211853000000005, 4.0813244]"
Flandrienlaan,"[51.18054108955095, 3.9850456931116263]"
Frans van Brusselstraat,"[51.209911399999996, 4.03799235]"
Galgenveldstraat,"[51.24786298016109, 4.068716028728837]"
Groenstraat,"[51.238127131544346, 4.077585538442499]"
Guido Gezellelaan,"[51.20760898289324, 4.071312753686169]"
Hamerstraat,"[51.21129450393198, 4.025600495127901]"
Hamstraatje,"[51.21170845745246, 4.083743034373261]"
Hazenhoekstraat,"[51.21061503464995, 4.01490432074366]"
Heerbaan,"[51.20540175, 4.0807938]"
Heikant,"[""51.2130382"", ""4.02974""]"
Heimeersstraat,"[51.18338842628122, 4.003219603720537]"
Heirweg,"[51.1897139373422, 4.0188564184427795]"
Heirwegdreef,"[51.188208453372276, 4.017678753084166]"
Heistraat,"[51.217768659551275, 4.019187617795264]"
Hellestraat,"[51.2355772, 4.0435384]"
Herdersstraatje,"[51.24034012512786, 4.037462127563279]"
Hinnenstraat,"[51.2016975956491, 3.984720495864932]"
Hoekstraat,"[51.205345517277, 4.076096890849889]"
Huickstraat,"[51.194410750320884, 4.023069038379549]"
Hulsterstraat Noord,"[51.22946948786339, 4.05759603384013]"
Hulsterstraat Zuid,"[51.223420676649425, 4.057087681821031]"
Ijzerhandstraat,"[51.20124083735245, 4.056925061532017]"
Jef Van Durmelaan,"[51.2051545658857, 4.071633135721629]"
Kaaistraat,"[51.19931325, 4.0352837]"
Kapelledreefje,"[51.20980005398186, 4.045976244312994]"
Kapellestraat,"[51.208824505260054, 3.9936155203282566]"
Kardinaal Cardijnlaan,"[51.20602514007875, 4.072074378765271]"
Kasteeldreef,"[51.22865845531365, 4.067633425122897]"
Kasteelstraat,"[51.186630017626726, 3.9871732204634616]"
Kattestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kemelstraat,"[51.23930155, 4.02650285]"
Kemzekedorp,"[51.206560773165045, 4.077055818683911]"
Kemzekestraat,"[51.2109620047303, 4.0839122856523336]"
Kerkstraat,"[51.21111609231007, 4.0350980518425485]"
Kerkwijk,"[51.20653990732087, 4.0804322785005605]"
Ketelaarsgras,"[51.21632320321852, 4.038655471338614]"
Kiekenhaag,"[51.2195071, 4.0418636]"
Klaproosstraat,"[51.208398181323325, 4.035220948830394]"
Klaverbloemstraat,"[51.20982227555918, 4.030919491369862]"
Kleine Dauwstraat,"[51.20331403593283, 4.067039586541675]"
Kleinkunstlaan,"[51.2098971, 4.078122649999999]"
Kleistraat,"[51.20748063358493, 4.055103720928767]"
Klinkaardstraat,"[51.199384816835966, 4.048224339536039]"
Kloosterstraat,"[51.1789302, 3.99297675]"
Koebrugstraat,"[51.174153352464224, 4.002655506407085]"
Koestraat,"[51.23574133575191, 4.073671810158522]"
Koewacht,"[""51.22534867462972"", ""3.989766784726316""]"
Kolshoekstraat,"[51.23184099146291, 4.081068941359214]"
Komiezenstraat,"[51.23405412143077, 4.041281418094756]"
Koornaarstraat,"[51.23956205, 4.017836]"
Korenbloemplein,"[51.20773545818275, 4.036935458166841]"
Korte Dweersstraat,"[51.23058278754379, 4.018377363693692]"
Kwakkelstraat,"[51.19739301784708, 4.056053349605081]"
Labastidelaan,"[51.18208515373036, 3.9856460870707524]"
Lamstraat,"[51.21299690662466, 4.065676858291023]"
Lange Dweersstraat,"[51.231280134188594, 4.009960316528328]"
Lekestraat,"[51.24073834915628, 4.025288407790369]"
Lesten Stuyver,"[51.18222255, 3.9978822000000003]"
Liniestraat,"[51.23306362997518, 4.0577383739621435]"
Logiestraat,"[51.20024945, 4.04856635]"
Lunterbergstraat,"[""FOUT, geen straat gevonden""]"
Maatweg,"[51.22903685, 4.0698603]"
Madeliefjesstraat,"[51.20937735754824, 4.032298059588976]"
Malpertuslaan,"[51.21257239835649, 4.072474522208316]"
Meersstraat,"[51.19120660697147, 4.047783521375717]"
Merlanstraat,"[51.18284203321003, 3.9852104421020886]"
Meulevijverstraat,"[51.18604019193171, 4.014178332885815]"
Molenbergstraat,"[51.20806120686169, 4.030079809048704]"
Molenstraat,"[51.20612532009432, 4.07923219101492]"
Mulderserf,"[51.20609617854934, 4.033196675043041]"
Nachtegaalstraat,"[51.22298505704291, 4.03323547354987]"
Napoléon Bohijnstraat,"[51.2066523, 4.07951205]"
Nationalestraat,"[51.210078100000004, 4.07587965]"
Nieuwdorp,"[51.223436, 4.005096]"
Nieuwdorpdreef,"[""FOUT, geen straat gevonden""]"
Nieuwstraat,"[51.20627125, 4.058129860540737]"
Nieuwstraatje,"[51.18849405, 4.00676045]"
Oost-Eindeken,"[51.21407416198181, 4.051535871532354]"
Oude Straat,"[51.22540787822259, 4.001080986004519]"
Paardebloemstraat,"[51.20995647600122, 4.0328391268985]"
Pannenhuisstraat,"[51.185394847530574, 3.9889132540362193]"
Papdijk,"[51.20980586519213, 3.988805872060877]"
Papenstraat,"[51.232984376537246, 4.069747470572683]"
Pastoor Annaertstraat,"[51.21144234227269, 4.039757229410216]"
Pastoor van Lierdestraat,"[51.23469485, 4.03875035]"
Pauwel Hauweplein,"[51.212124255513146, 4.039257276882216]"
Pauwel Hauwestraat,"[51.21250974286446, 4.038024928133211]"
Peter Benoitlaan,"[51.209104936367936, 4.070620086592186]"
Pieter Paul Rubenslaan,"[51.20822081890085, 4.07104233441397]"
Polderstraat,"[51.22987637901562, 4.026568931180118]"
Polenlaan,"[51.207666634968064, 4.042734288716589]"
Poliaenstraat,"[51.19405433783263, 4.005479622977556]"
Polken,"[51.1925168, 4.0015179]"
Potaardestraat,"[51.211385513609535, 4.0432061075893895]"
Preekekeplein,"[51.23583895, 4.04431355]"
Prekerijdreef,"[51.22855719593562, 4.046578778453471]"
Prinsenstraat,"[51.2135455, 4.015876499999999]"
Ranonkelstraat,"[51.20917311704393, 4.034059652665798]"
Regentiestraat,"[51.2046884, 4.07251445]"
Reinaertlaan,"[51.2127347602906, 4.07332476001197]"
Reinakkerweg,"[""FOUT, straat in foute gemeente gevonden""]"
Riet,"[51.225612506382426, 3.9969909667106687]"
Robert Verbekelaan,"[51.210988847294466, 4.082186204044898]"
