Straat,Coordinaten
Aardstraat,"[51.05338956699633, 5.11669443819139]"
Abeelstraat,"[51.10690435184916, 5.170687253204111]"
Achterheide,"[51.032053940782085, 5.013671880423875]"
Albertkade,"[51.06985215364267, 5.164283845034518]"
Allerheiligenberg,"[51.104562769984426, 5.192678563639682]"
Ambachtsstraat,"[51.07765349886679, 5.153343582143997]"
Anjerstraat,"[51.098774116936035, 5.1458637825697675]"
Asdonkstraat,"[51.02578817289043, 5.051754658197694]"
Aubruggestraat,"[51.081542589058714, 5.176548003035201]"
Averboodsebaan,"[51.03345901338671, 4.981884299073521]"
Baal,"[51.07683165, 5.065534749999999]"
Baalbergstraat,"[51.076691965733744, 5.077112609586345]"
Baalmolenstraat,"[51.0760481864936, 5.085551763608579]"
Baan,"[51.0861021, 5.1162505]"
Beekstraat,"[51.11725872523095, 5.157611584349552]"
Begijnenwinning,"[51.07174744252202, 5.097152200884748]"
Belledreef,"[51.02959333796004, 5.03721487757107]"
Berberiswijk,"[51.0861207077141, 5.142459624633982]"
Bergstraat,"[51.09010358080957, 5.14005361669166]"
Berkenweg,"[51.1018837, 5.1803665500000005]"
Beukenlaan,"[51.10998943970266, 5.191619314471639]"
Bevrijdingsstraat,"[51.1036719527507, 5.180915498596173]"
Biesdelle,"[51.07324913853513, 5.077351678399121]"
Binnenhof,"[51.0664828480126, 5.0905147146828895]"
Binnenweg,"[51.08792121115746, 5.141186947105481]"
Bivakstraat,"[51.08295230578998, 5.106356774915566]"
Blekerstraat,"[51.07558017682485, 5.085327346147404]"
Bloemenwijk,"[""FOUT, straat in foute gemeente gevonden""]"
Boekdonkstraat,"[51.063294647141014, 5.021374047600229]"
Bomanstraat,"[51.09630326532639, 5.145647641381844]"
Boringwijk,"[51.10484805, 5.17349435]"
Boshuis,"[51.04808688138325, 5.062403877053971]"
Boskant,"[51.11109565692858, 5.200302735452209]"
Boudewijnlaan,"[""FOUT, geen straat gevonden""]"
