Straat,Coordinaten
Aarschotsesteenweg,"[50.90730465, 4.86922395]"
Alsbergweg,"[50.92471170538681, 4.890005821901656]"
Armand De Keyzerstraat,"[50.93310775353788, 4.914372808620273]"
Attenrodestraat,"[50.889561063178654, 4.924047845115177]"
Begijnenbosweg,"[50.95566305, 4.89846715]"
Bensbergstraat,"[50.91202994967179, 4.851242604906892]"
Bergstraat,"[50.940105700000004, 4.904268]"
Bergweideweg,"[50.94729948590813, 4.869438638595738]"
Berkendreef,"[50.949861794159574, 4.916408810101754]"
Beurtstraat,"[50.94931418179707, 4.9392517451286775]"
Binkomstraat,"[50.89488769752095, 4.919614991339678]"
Blerebergstraat,"[50.928314687074156, 4.9167455532263125]"
Bleukenweg,"[50.93310457317269, 4.902557678331613]"
Boekhoutstraat,"[50.9488740928384, 4.909875829831298]"
Boonveldstraat,"[50.926470894291235, 4.926891800719997]"
Bosveldweg,"[50.922215350267, 4.908333796340093]"
Boterstraat,"[50.943927192365564, 4.901308919424459]"
Boterveldstraat,"[50.9011440432069, 4.861882350753401]"
Bremberg,"[50.90556669709287, 4.895505397578582]"
Bremstraat,"[50.91151822404495, 4.886379289013978]"
Broekstraat,"[50.936005804950454, 4.924072394645442]"
Bronstraat,"[50.905446510654905, 4.899451708396383]"
Buiblokstraat,"[50.94934167738409, 4.926093328606731]"
Creftelbosstraat,"[50.89644539712757, 4.93105187693067]"
Dag-en Nachtstraat,"[50.930900489968806, 4.906102545039257]"
Dellestraat,"[50.92241453540744, 4.886616288243861]"
Dennenweg,"[50.947780304990644, 4.930953114938581]"
Diestsesteenweg,"[50.93595875, 4.94399355]"
Doelstraat,"[50.905645567387374, 4.857501091296936]"
Donkstraat,"[50.95634696927897, 4.900329822857809]"
Dorpsstraat,"[50.94363979399055, 4.913924710236591]"
Driespad,"[50.897346723597785, 4.871909266691534]"
Driesstraat,"[50.920110916296835, 4.922995530014027]"
Gempstraat,"[50.90758789871967, 4.854251218648993]"
Glabbeeksesteenweg,"[50.90835423930121, 4.884512256940611]"
Goethuysweg,"[50.923640081002375, 4.897154452795008]"
Gouden Kruispunt,"[50.90668867224317, 4.869577689164937]"
Groenstraat,"[""FOUT, geen straat gevonden""]"
Groenweg,"[50.959549015461775, 4.913101410124614]"
Haksbergstraat,"[50.95657701368728, 4.909311761991965]"
Haldertstraat,"[50.94726603043773, 4.884915277598933]"
Halensebaan,"[50.912407244555816, 4.906238543122862]"
Hazelaarsstraat,"[""FOUT, geen straat gevonden""]"
Hazenpad,"[50.94859547354953, 4.9074804281898325]"
Heergrachtweg,"[50.93922930874629, 4.908116283372199]"
Heibosstraat,"[50.89063995423902, 4.9310753728223995]"
Heidebergstraat,"[50.93350397741946, 4.945652750301415]"
Heikant,"[50.93331473742235, 4.85747955363314]"
Heikenstraat,"[50.9198023033655, 4.871605767324265]"
Hellekens,"[50.9312566, 4.91736575]"
Heuvelspanzeel,"[50.93977742481722, 4.910576185820791]"
Heuvelstraat,"[50.9421049267761, 4.945827050609044]"
Hoekstraat,"[50.909925634107616, 4.8878241974899455]"
Horenweg,"[50.93729515, 4.9379019]"
Houwaartsebergweg,"[50.94129804301694, 4.8695929467592745]"
Houwaartstraat,"[50.9223027, 4.8691421]"
Kaaskorf,"[50.95466500328896, 4.882776073846636]"
Kapellekensweg,"[50.8988986179479, 4.909717512595465]"
Kareelweg,"[50.898696964604696, 4.85556884134609]"
Kastanjeweg,"[50.920946277381496, 4.903319267458176]"
Kasteeldreef,"[50.919517658602565, 4.846885852929552]"
Kasteelweg,"[50.96226312722174, 4.915330771945161]"
Kautermansweg,"[50.92760922596099, 4.922780891828908]"
Keelstraat,"[50.90185283115275, 4.924417922318711]"
Kerkstraat,"[50.89439759083182, 4.903415641692377]"
Keulestraat,"[50.93174425, 4.9052563]"
Kiekenbosstraat,"[50.91663490700688, 4.894946530796796]"
Kiezegemstraat,"[50.90115516651952, 4.886661151157948]"
Kleerbeekstraat,"[50.91824303838214, 4.872932135763854]"
Kolverendries,"[50.89513252434425, 4.8838372969735975]"
Koningenblok,"[50.9231804262995, 4.911759568270261]"
Kraasbeekstraat,"[50.918673640258554, 4.9075890833547255]"
Kriebekestraat,"[50.92903513949165, 4.857593043823449]"
Kruisstraat,"[50.93376619696327, 4.915751535354049]"
Kwadepoort,"[50.891134545775756, 4.89681885207694]"
Leigrachtstraat,"[50.938849700000006, 4.9086354]"
Leuvensesteenweg,"[50.90358746865012, 4.855399477315115]"
Lindestraat,"[50.94760980481055, 4.912203809855564]"
Looikenstraat,"[50.902925157909735, 4.876230067125883]"
Lubbeekstraat,"[50.88664351603404, 4.879002964619199]"
Luttelkolen,"[50.93072453245002, 4.847813921919009]"
Manhofweg,"[50.91334057361897, 4.901613739238526]"
Meenselbaan,"[50.895222508907246, 4.895161988588104]"
Miskruisstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Molenstraat,"[50.93584439730187, 4.860515550716806]"
Motbroekstraat,"[50.92179504643422, 4.8859422678991145]"
Neckerspoelstraat,"[50.892736221266766, 4.900086350242888]"
Neringestraat,"[50.94087448380028, 4.874596107192579]"
Nijselrodestraat,"[50.881302720879845, 4.91219517732529]"
Optielt,"[50.9294433, 4.9070554]"
Ossebergstraat,"[50.9421667, 4.9442718]"
Oude Aarschotsebaan,"[50.91263795885118, 4.863191295694006]"
Oude Diestsebaan,"[50.91528539178127, 4.8682836455707745]"
