Straat,Coordinaten
22e Liniestraat,"[50.82523623752702, 4.9567005366680466]"
Aandorenstraat,"[50.801187821933596, 4.953627762890189]"
Aardgat,"[50.810961370898546, 4.914788136033768]"
Aarschotsesteenweg,"[50.81260371942685, 4.928107920519813]"
Abelenhof,"[50.8153389, 4.954195400000001]"
Acacialaan,"[50.818760974831726, 4.928708285770313]"
Academiestraat,"[50.8078729, 4.93964475]"
Admontstraat,"[50.81349043265303, 4.939495231362891]"
Albertvest,"[50.81257514037238, 4.932391700155731]"
Alexianenweg,"[50.808731921286906, 4.94099311408062]"
Alpenstraat,"[50.82037450414332, 4.883783651701679]"
Ambachtenlaan,"[50.804280399999996, 4.97306825]"
Anemonenlaan,"[50.81539652552876, 4.954202504480405]"
Anjelierenlaan,"[50.816791836072284, 4.951314938394889]"
Ark Van Noëstraat,"[50.81003796949681, 4.943642394982357]"
Astridvest,"[50.80801125, 4.9310884]"
Aststraat,"[50.775077322291104, 4.943225823834096]"
Astveld,"[50.772039093005525, 4.948913475749547]"
Ausloosdries,"[50.8172235, 4.98408715]"
Avendorenstraat,"[50.807030078028674, 4.929982860110098]"
Baroniestraat,"[50.76414998085332, 4.944439202633534]"
Beauduinstraat,"[50.80522140892084, 4.9415151375804856]"
Bedafstraat,"[50.823142019378594, 4.895006071848589]"
Beekstraat,"[50.830988911520905, 4.991321289589445]"
Beemdstraat,"[50.7920376769175, 4.981032861441223]"
Beggaardenstraat,"[50.80306656592077, 4.941778023164199]"
Begijnensteeg,"[50.834065495608044, 5.01276605309296]"
Begijnenstraat,"[50.801917719027024, 4.900699634132277]"
Begonialaan,"[50.81712098135451, 4.952378263051173]"
Berg van Leningstraat,"[""FOUT, geen straat gevonden""]"
Bergévest,"[50.80308314527459, 4.947721525044572]"
Berkenhof,"[50.806768051120535, 4.928617273079888]"
Beukenstraat,"[50.81976865777405, 4.88368975859476]"
Bietenweg,"[50.797066861501726, 4.952350529936686]"
Biezenstraat,"[50.8020675016621, 4.925856034365842]"
Bijendreef,"[50.813151950000005, 4.94752495]"
Bijvoordseweg,"[50.8197893308802, 4.913849073763251]"
Billekensweg,"[50.813024310063795, 4.9099754247190175]"
Billighoutstraat,"[50.839247468860876, 4.884114588035304]"
Binkomsestraat,"[""FOUT, geen straat gevonden""]"
Bissemstraat,"[50.817063501077484, 4.8995398181759136]"
Blauwbergstraat,"[""FOUT, geen straat gevonden""]"
Bloemenhofweg,"[50.83402383347425, 4.9658505401222595]"
Bloemenstraat,"[50.8225409, 4.8811123499999995]"
Boeksberg,"[50.78939115491747, 4.98497629803783]"
Bonkerstraat,"[50.771197555397734, 4.9460899018089135]"
Bonnekesstraat,"[50.81814850704171, 4.888185145405295]"
Boomgaardendreef,"[50.81131552582801, 4.949867781021884]"
Bosschelstraat,"[50.79788905, 4.98596865]"
Bostenberg,"[50.790224695369496, 4.935817309123555]"
Bostsestraat,"[50.80221825, 4.9402983]"
Bostveld,"[50.78977235984244, 4.950213262689689]"
Bosveldstraat,"[50.79244759937706, 4.982019211277976]"
Boudewijnlaan,"[50.79157275317923, 4.933080279892531]"
Braamakkerstraat,"[50.824925774479325, 4.870658119601515]"
Bredestraat,"[50.84507382571386, 4.995437909409778]"
Breisembroekstraat,"[50.84012123037826, 4.8987113724643745]"
Breisemstraat,"[50.8168551594092, 4.921840035724474]"
Bremakkerstraat,"[50.80663655, 4.98776505]"
Breynissemberg,"[50.81549874958163, 4.947325224533454]"
Breynissempad,"[50.81639561280142, 4.947990658845123]"
Broedersblok,"[50.78958575, 4.9626655500000005]"
Broekstraat,"[50.806421, 4.9323683]"
Bronstraat,"[50.813336575247156, 4.9497452028388995]"
Bruinissemdal,"[50.81509992322715, 4.945662274118635]"
Brunenshof,"[50.814017401451764, 4.952596659198359]"
Bruulstraat,"[50.81800575978981, 4.8837563529216315]"
Bunsbeekstraat,"[50.83360935784519, 4.952999349630249]"
Croonestraat,"[50.806499132679534, 4.941176979381707]"
Daalstraat,"[50.8160565, 4.8945012000000006]"
Daelhemstraat,"[50.8479244, 4.9214459]"
Dahlialaan,"[50.81604043590044, 4.953366909405226]"
Dalweg,"[50.832408649887775, 4.985791200294834]"
Danebroekstraat,"[50.80687778598308, 4.934984983994704]"
De Brouwerstraat,"[50.815580600000004, 4.9234428]"
De Groeve,"[50.7690343, 4.9430669]"
De Klei,"[50.831658627677385, 4.904388521391259]"
De Scheper,"[50.82007814460933, 4.935296296210595]"
Deelberg,"[50.8234745622246, 4.935733072803407]"
Defijngang,"[50.80290496682963, 4.933179076006256]"
Deken Rochettelaan,"[50.82545513417647, 4.927521643507739]"
Delportestraat,"[50.80761315, 4.93343565]"
Denneboomweg,"[50.836120270171385, 4.899853112571962]"
Dennenstraat,"[50.82225674464805, 4.881910096040486]"
Dertienmaalweg,"[50.795865874322004, 4.979943035923642]"
Desselhaegenstraat,"[50.84150935481502, 4.925184897683693]"
Desselhaegenveld,"[50.84586443185746, 4.922648677548045]"
Dienemstraat,"[50.83151914468192, 4.922964235583398]"
Diestsesteenweg,"[50.828945000000004, 4.940310350000001]"
Dievendaal,"[50.79361062964932, 4.902298419767307]"
Distelstraat,"[50.80868352506038, 4.929091465286137]"
Doelstraat,"[50.80199051761532, 4.893721846650928]"
Donystraat,"[50.80650146514502, 4.944011868171814]"
Doolhofstraat,"[50.765229695421425, 4.953846173965423]"
Doornhaagweg,"[50.835445745324996, 4.908698881528743]"
Dr. J. Geensstraat,"[50.807803613480615, 4.935325942779748]"
Dragonderstraat,"[50.79688791981623, 4.938646492829951]"
Dreefstraat,"[50.76707366542326, 4.948807715211625]"
Drie Grachten,"[""FOUT, geen straat gevonden""]"
Driebek,"[50.797339975230955, 4.911833979448436]"
Driebunderstraat,"[50.76753537670592, 4.9471736448859565]"
Driemolenstraat,"[50.8028053, 4.93826185]"
Driesstraat,"[50.860044849999994, 4.91788735]"
Drijboomstraat,"[50.773335517436884, 4.979195395874761]"
Droogweg,"[""FOUT, geen straat gevonden""]"
Droogweidestraat,"[50.845970392316545, 4.918652616786923]"
Druivenweg,"[50.772344700000005, 4.95118415]"
Druysstraat,"[50.81869153472294, 4.884469828041659]"
Duikers-ontmijnersstraat,"[50.817151374721306, 4.893853690934445]"
Duivelskuit,"[50.79443959190952, 4.970265392810211]"
Dwarsstraat,"[50.82126783017885, 4.951024208263126]"
ESPERANTOLAAN,"[50.803693737916106, 4.918616056419566]"
Echostraat,"[50.82150772905797, 4.883442823116137]"
Eeuwfeeststraat,"[50.80777358989846, 4.9441632094511165]"
Eigenmortel,"[""FOUT, geen straat gevonden""]"
Eikenstraat,"[50.82020501998561, 4.8830150355135915]"
Eikskensveldweg,"[""FOUT, geen straat gevonden""]"
Ekstersveld,"[50.85195958129159, 4.9006177525683725]"
Eliksemstraat,"[50.794773586735346, 4.993962635821008]"
Elsenbosweg,"[50.8197191214371, 4.921274997243419]"
Elst,"[50.79862318206257, 4.966464645593243]"
Elzenbosveldweg,"[50.82306615239564, 4.924036403839146]"
Engelbeekstraat,"[50.79921229580941, 4.896906814892828]"
Ezelsstraat,"[50.792136400000004, 4.9832765000000006]"
Ezemaalstraat,"[50.7731347356274, 4.983508961783155]"
Ezemaalsveld,"[""FOUT, straat in foute gemeente gevonden""]"
Fabiolapark,"[50.78973165478867, 4.943887010460943]"
Fabriekstraat,"[50.80121255818462, 4.950757073820747]"
Fandosestraat,"[""FOUT, geen straat gevonden""]"
Fred Chaffartlaan,"[50.808357033497614, 4.959252134406967]"
Fruitweg,"[50.81123555, 4.9488515]"
Gaarweg,"[50.798119580569036, 4.939104813863262]"
Galgestraat,"[50.817138743567135, 4.916252023189509]"
Galgeveldweg,"[50.831423725597695, 4.891788259365021]"
Gallicstraat,"[50.78822668336608, 4.935464091864431]"
Ganzendries,"[50.82380522496957, 4.998822515547474]"
Gasthuismolenstraat,"[50.804101064158274, 4.942616812270617]"
Geeststraat,"[50.819703309779825, 4.876205376508835]"
Geldenakensestraat,"[50.7641202745864, 4.945549178376776]"
Generaal Guffensstraat,"[50.8093499, 4.94803]"
Getestraat,"[50.8000810899892, 4.927865425916137]"
Gilainstraat,"[50.80904868038608, 4.9375422240916365]"
Glabbeeksestraat,"[50.838860830172635, 4.9273947111981435]"
Gladiolenweg,"[50.8165136, 4.9522008]"
Goetsenhovenplein,"[50.76636536523044, 4.949827438686741]"
Goossensvest,"[50.80421962943078, 4.9337894510869935]"
Gorgemstraat,"[50.83440621307478, 4.925905536062755]"
Gorsumweg,"[50.80404389818392, 4.925782294493233]"
Gozewijnstraat,"[50.768670366664075, 4.949447854360723]"
Graanweg,"[50.79501912289767, 4.95381013724014]"
Grensstraat,"[50.814350811286744, 4.961565646317562]"
Grijpenlaan,"[50.80532435198245, 4.9139418073998336]"
Grijpenveldstraat,"[50.804603785619314, 4.926988785994631]"
Grijpenwegstraat,"[50.80957791917447, 4.913616211148616]"
Grimdeveld,"[50.80227429842456, 4.957455978152668]"
