Straat,Coordinaten
Abeelplein,"[50.80305247077779, 5.342333652728584]"
Achter de Kerk,"[50.75205973000599, 5.498203976516102]"
Achterstraat,"[50.76128145, 5.5104977]"
Achttiende - Oogstwal,"[50.78351040926806, 5.470380730085182]"
Achttiende-Oogstwal,"[50.78351040926806, 5.470380730085182]"
Agnetenberg,"[50.77958401322077, 5.467064825801956]"
Albertwal,"[50.77652486291533, 5.461113196528178]"
Alfonsstraat,"[50.78252754509756, 5.376596262347225]"
Allemandstraat,"[50.75424557221739, 5.49716060752002]"
Allée Verte,"[50.78147559601888, 5.465869333701575]"
Ambiorixstraat,"[50.78685811591433, 5.476420412625128]"
Aniciuspark,"[""FOUT, geen straat gevonden""]"
Appelarenstraat,"[50.75020300111289, 5.497085567713258]"
Armand Meesenlaan,"[50.78529319989687, 5.48249726448125]"
Arnoudstraat,"[50.80979638018997, 5.466179163634375]"
Astridlaan,"[50.77354110619805, 5.459240977503347]"
Bartholijnsstraat,"[50.807480012999214, 5.274602208435746]"
Bastiaensstraat,"[50.78820533305025, 5.475164586423128]"
Baversstraat,"[50.804267921858454, 5.500449853312988]"
Beekstraat,"[50.74779855884674, 5.446286593971909]"
Beekweg,"[50.767197542217495, 5.478857597082936]"
Beemdstraat,"[50.78057459835774, 5.4763354220555565]"
Begijnenstraat,"[50.810221277730804, 5.3623960184034685]"
Begijnestraat,"[50.77500415, 5.47439975]"
Begijnhof,"[50.8020885, 5.3393308]"
Belle Vue,"[50.83188686949783, 5.391069601997783]"
Bellingstraat,"[50.812752609415455, 5.372443755692174]"
Benaetsstraat,"[50.793305274585606, 5.317778915938348]"
Benedenwal,"[50.80724202303939, 5.344927351537544]"
Berdenstraat,"[50.75220166188646, 5.496515509541887]"
Bergerstraat,"[50.78867915, 5.4893123]"
Bergstraat,"[50.81224991801767, 5.291151683017235]"
Bertinstraat,"[50.77480865, 5.4507398]"
Beukenbergweg,"[50.78108069518895, 5.456338456098327]"
Bevrijdingsstraat,"[50.78887120457505, 5.467403297544831]"
Bijs,"[50.767788800000005, 5.51739565]"
Bilterweg,"[50.82633537283888, 5.286273222344405]"
Bilzersteenweg,"[50.791024199999995, 5.46410375]"
Binkelstraat,"[50.81448210657201, 5.4439556137175495]"
Binnenveldstraat,"[50.766780637036966, 5.439717122557311]"
Blaarmolenstraat,"[50.782258427435785, 5.500181188417684]"
Blaarstraat,"[50.78347724180846, 5.500497486834372]"
Blauwe-Geitweg,"[50.780261898394656, 5.521997218343753]"
Blijbroekstraat,"[""FOUT, geen straat gevonden""]"
Bloesemstraat,"[50.80848279292005, 5.342990673434405]"
Bodemweg,"[50.79482244866384, 5.471160490682791]"
Boeberg,"[50.79788014027772, 5.473348961501492]"
Boeshoven,"[50.8050101, 5.3641272]"
Boeshovenweg,"[50.80014987503407, 5.357124631490298]"
Bolleberg,"[50.794845186962654, 5.468195110476077]"
Bommershovenstraat,"[50.78779705352892, 5.387376789598074]"
Boomstraat,"[50.78768075, 5.3791523]"
Bosstraat,"[50.73753970406786, 5.415157688220997]"
Boudewijnstraat,"[50.749474049999996, 5.44925025]"
Bouverdstraat,"[50.80388680130046, 5.513179462050509]"
Bredestraat,"[50.7791595, 5.46859495]"
Bredeweg,"[50.8054119135868, 5.423333031874545]"
Bremstraat,"[50.789385265309654, 5.475462615008973]"
Brikhof,"[50.809399241442804, 5.284748183010758]"
Broedenweg,"[""FOUT, geen straat gevonden""]"
Broedersgaarde,"[50.78187901163644, 5.478003526371372]"
Broekomstraat,"[50.781086380771804, 5.330576038944012]"
Broekstraat,"[50.80263188148353, 5.394934937053153]"
Bronstraat,"[50.79428976650966, 5.317585197148207]"
Brouwersstraat,"[50.779178849999994, 5.4690502]"
Brugstraat,"[50.73889669686777, 5.41157023198823]"
Brunehildeweg,"[50.75054667910092, 5.490509732005982]"
Bulkerstraat,"[50.777597920676925, 5.46346810081777]"
Burchtstraat,"[50.798498684182626, 5.419881420921538]"
Butsstraat,"[50.81090906672617, 5.43264789735817]"
Calenbergstraat,"[50.7988227707909, 5.454870480430004]"
Cesarlaan,"[""FOUT, geen straat gevonden""]"
Chemin 6,"[""FOUT, geen straat gevonden""]"
Churchilllaan,"[50.773699199999996, 5.4650166]"
Clarastraat,"[50.77380285317402, 5.468639983445044]"
Clarissenstraat,"[50.78206475, 5.471212550000001]"
Clerinxstraat,"[50.78803924806552, 5.419687798211283]"
Colenstraat,"[50.814112121918605, 5.356358763673808]"
Cornetstraat,"[50.78468505, 5.47126145]"
Corversstraat,"[50.7787129266203, 5.467463591959915]"
Cottalaan,"[50.77527671945121, 5.452599907576619]"
Daalbroek,"[50.74500529666317, 5.421683065957677]"
Daalhofstraat,"[50.8120062977607, 5.291462576952113]"
Daalmolenweg,"[50.744264584918874, 5.424312128584618]"
Daalstraat,"[50.8311104272735, 5.287162238274688]"
Daelbroekstraat,"[50.80831594516784, 5.386790504593006]"
Dardanellen,"[50.80138254525376, 5.351394031427454]"
Darenbergstraat,"[50.787594231215586, 5.471754679540391]"
Dashovenstraat,"[50.80464799465906, 5.466941800296719]"
De Akkerstraat,"[50.8100630361744, 5.47152512129695]"
De Locht,"[50.788560163273964, 5.442823327783093]"
De Motten,"[50.77631610518502, 5.467399273138657]"
De Vochtlaan,"[50.788908649999996, 5.4513279]"
Demerbroek,"[50.80214819567725, 5.511542140295827]"
Demerbronstraat,"[50.798356170231926, 5.519839469207979]"
Depuisstraat,"[50.789039770449314, 5.467232259271153]"
Dessersstraat,"[50.75441543820161, 5.4984715176825505]"
Diepestraat,"[50.82889489202063, 5.390406417658228]"
Diesbergstraat,"[50.7598421456002, 5.529473158966773]"
Dijk,"[50.7752250776702, 5.46158364470092]"
Dionysius van Leeuwenstraat,"[50.80549881417151, 5.260982687695875]"
Dirikenlaan,"[50.775306829670946, 5.468661716338732]"
Dodemanstraat,"[50.7925089962596, 5.428213096067465]"
Donkelstraat,"[50.741880492704816, 5.4183139457454095]"
Dorpsstraat,"[50.786635338189974, 5.440777231853063]"
Dreef,"[50.77107978889883, 5.511414190498227]"
Driehoekstraat,"[50.78890492176568, 5.468339455494898]"
Driekruisenstraat,"[50.78613656728619, 5.467308669031506]"
Driekruisenweg,"[50.79151088410879, 5.457217086884844]"
Driesenstraat,"[50.80478948489375, 5.464616618296004]"
Droefstraat,"[50.75080486255869, 5.489750168977072]"
Eburonenstraat,"[50.78626669297412, 5.4710083684246404]"
Eerste-Meistraat,"[50.78284354316932, 5.496405830352158]"
Eeuwfeestwal,"[50.781558769899476, 5.460292825769823]"
Eggelmeerbos,"[50.792973869011554, 5.481331962940581]"
Eikelendreef,"[50.80186709477668, 5.492652067325617]"
Eisenhowerlaan,"[50.773697348704026, 5.461220737355508]"
Elderenstraat,"[50.8155718043769, 5.5100176737362]"
Eldersbroek,"[50.81042585346104, 5.490779006706051]"
Elderseweg,"[50.78440250142811, 5.474930104588582]"
Elfde-Novemberwal,"[50.78339518325316, 5.465950555893833]"
Elisabethwal,"[50.778482667344534, 5.46021806055895]"
Elleboogstraat,"[50.8281807707034, 5.377108440100174]"
Entbroekstraat,"[50.80879263404638, 5.275907408208572]"
Ervaert,"[50.810342510096554, 5.345536528897745]"
Etjesstraat,"[50.7475052, 5.4463214]"
Europalaan,"[50.78780107399533, 5.4663153375059945]"
Fonteindreef,"[50.78676084924686, 5.453245430662011]"
Fonteinhof,"[50.80369228031938, 5.30955004019794]"
Frambozenstraat,"[50.747554341359404, 5.496100257763215]"
Fruitspoorstraat,"[50.789689954784755, 5.470264583951861]"
Gasthuisbosdreef,"[50.79117781004525, 5.452411566924691]"
Gasthuisgaarde,"[50.78552149942908, 5.466640176432917]"
Geebroek,"[50.78882744291931, 5.456023736378102]"
Genoelsweg,"[50.793267500332036, 5.528379948677927]"
Gerestraat,"[50.808452523458456, 5.505283526730688]"
Gerstekoverweg,"[50.73149627136788, 5.40798325657909]"
Ghysensstraat,"[50.804173437007385, 5.464310750039558]"
Gillebroek,"[50.803088798397326, 5.349453783056283]"
Gilliswinhof,"[50.78761469005284, 5.50000618171489]"
Ginstraat,"[50.8074987, 5.49382035]"
Glaaierweg,"[50.762899219020035, 5.510210984054997]"
Godensteenstraat,"[50.79047593922289, 5.493818453366439]"
Godgavestraat,"[50.74979510343132, 5.445911584322972]"
Gotemstraat,"[50.8053797, 5.309112150000001]"
Gousbeemdstraat,"[50.7914081, 5.4956433]"
Graaf,"[50.804324932918675, 5.342678000219817]"
Graaf Lodewijk Plein,"[50.804471673928695, 5.341589895418407]"
Graanmarkt,"[50.7806462, 5.4644903]"
Graeth,"[50.8036976, 5.33381535]"
Graethempoort,"[50.80371248193071, 5.334204273626919]"
Graethemstraat,"[50.80300405, 5.34171485]"
Gravierstraat,"[50.809759641182765, 5.445169191804803]"
Gravin Agnesstraat,"[50.80239123240192, 5.3368527209740195]"
Grenspaalweg,"[50.78583916699794, 5.508986380183817]"
Groenendaalstraat,"[50.80221946190889, 5.311039982485739]"
Groenstraat,"[50.7901145215437, 5.454155375243518]"
Grootlereveldweg,"[50.812203751095346, 5.42785234682142]"
Grootloonstraat,"[50.79896151650666, 5.356754366902943]"
Grootmeers,"[50.77624422251691, 5.513411774561642]"
Grootmeersstraat,"[50.776818399999996, 5.519319]"
Grote Markt,"[50.7797282254123, 5.463458262305629]"
Gulden-Bodemweg,"[50.7956245, 5.5131868]"
Guldenbodemlaan,"[50.8042760781406, 5.348952345016012]"
Guldenstraat,"[""FOUT, geen straat gevonden""]"
H. Vanveldekestraat,"[50.80441642504421, 5.343832838035615]"
Haagsmeerstraat,"[50.83348694589062, 5.377405187983638]"
Habrouckstraat,"[50.8196671, 5.347280700000001]"
Haccostraat,"[50.74488272956791, 5.443222583123751]"
Hagelindeweg,"[50.74653443245964, 5.450364249002609]"
Hamalstraat,"[50.75514807620271, 5.455733610089582]"
Hamstraat,"[50.809092305123826, 5.297086201886601]"
Hamtstraat,"[50.77438384075059, 5.4070762833783235]"
Hamveld,"[50.806871270174526, 5.294546706088564]"
Hardelweg,"[50.78118067898057, 5.4887379604550395]"
Harenstraat,"[50.7968105433495, 5.400818458714801]"
Hasselbosstraat,"[50.80828057544705, 5.462480827523765]"
Hasseltsesteenweg,"[50.80666056948436, 5.432090014096415]"
Hazelereik,"[50.788872833184186, 5.48105274754017]"
Heersterveldweg,"[50.78841165, 5.53294905]"
Heeswijk,"[50.81177625, 5.2876370999999995]"
Heideweg,"[50.804523019904, 5.427111488432596]"
Heldenstraat,"[50.76831097769804, 5.521158797112542]"
Helshovenstraat,"[50.79352710457372, 5.275482495920979]"
Helstraat,"[50.801290071401766, 5.310928685934901]"
Hemelingenstraat,"[50.781575590732594, 5.4627550739748045]"
Hemelrijck,"[50.79298388778351, 5.478539819433963]"
Henisstraat,"[50.78974199374648, 5.47110108445149]"
Henistom,"[50.809081413994775, 5.473621884723402]"
Henisveldstraat,"[""FOUT, geen straat gevonden""]"
Herckenrodestraat,"[50.7763774621629, 5.463501602312787]"
Herckensstraat,"[50.783423603326526, 5.420710651337369]"
Herdersstraat,"[50.7633357, 5.43819855]"
Here Janssteeg,"[50.748004599999994, 5.4460857]"
Herenbosweg,"[50.78691014107954, 5.439391540322168]"
Herenweg,"[50.765711411188185, 5.4171884157300045]"
Herkerhofweg,"[50.803441517720195, 5.408994498118804]"
Herkerveldstraat,"[50.80484698491693, 5.408069819886794]"
