Straat,Coordinaten
's Gravenwinkelstraat,"[51.0675351, 3.0999361]"
's Heerenveld,"[51.0901294, 3.0718468]"
Aardenhuttestraat,"[51.0848267, 3.0956983]"
Aartrijkestraat,"[51.072741, 3.0995148]"
Abelenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Akkerstraat,"[51.0469003, 3.0800959]"
Akkerwindestraat,"[51.0853001, 3.1334563]"
Alberic Deleustraat,"[51.0914389, 3.067353]"
Albrecht Rodenbachlaan,"[51.0670127, 3.1084878]"
Amandelenstraat,"[51.0680344, 3.077246]"
Amazonestraat,"[51.0658041, 3.1153187]"
Ambachtstraat,"[51.07804197235611, 3.108603759464237]"
Amblèvestraat,"[51.0682474, 3.1132274]"
Antoon Van Dycklaan,"[51.0698722, 3.1144846]"
Atelierstraat,"[51.0791968, 3.1056352]"
August Vermeylenlaan,"[51.0646455, 3.1069357]"
Baarsstraat,"[51.0926498, 3.0709762]"
Bakvoordestraat,"[51.0295351, 3.0968123]"
Bassinstraat,"[51.0632192, 3.1053361]"
Beckhofstraat,"[51.0580177, 3.1004377]"
Beekstraat,"[51.050368, 3.1074632]"
Beerstraat,"[51.0659691, 3.1021475]"
Begoniastraat,"[51.0545634, 3.1153694]"
Berg op Zoomstraat,"[51.0814118, 3.1164433]"
Berkenstraat,"[51.0689113, 3.0800553]"
Bermstraat,"[51.0553806, 3.1030093]"
Beukenstraat,"[51.0681303, 3.0882963]"
Biezenstraat,"[""51.08779095"", ""3.0973791""]"
Binderstraat,"[51.0525564, 3.1057523]"
Blanca van Namenstraat,"[51.0711959, 3.0852511]"
Blauwpannestraat,"[51.0193803, 3.0942413]"
Blekerijstraat,"[51.062977267818056, 3.1011530691958917]"
Bliekstraat,"[51.0916029, 3.0728798]"
Boeiaardstraat,"[51.0642919, 3.10399]"
Bollestraat,"[51.0412447, 3.1172616]"
Bosdreef,"[51.068828, 3.1375564]"
Boterbloemstraat,"[51.0857443, 3.1341378]"
Boudewijn Hapkenstraat,"[51.0679939, 3.098472]"
Boutensdreef,"[""FOUT, straat in foute gemeente gevonden""]"
Brasemstraat,"[51.0923173, 3.0721834]"
Breemeersstraat,"[51.0697734, 3.0853256]"
Breestraat,"[51.0852805, 3.064678]"
Breidelstraat,"[""51.06522732560562"", ""3.102043576664765""]"
Breskensstraat,"[51.0515364, 3.1034254]"
Breugellaan,"[51.0694364, 3.1130964]"
Brildam,"[51.0668099, 3.1072794]"
Bruggestraat,"[51.0694878, 3.1046455]"
Burg,"[""51.06594766520538"", ""3.101167322974128""]"
Camiel Meysmanstraat,"[51.0939181, 3.066996]"
Cijnsdreef,"[51.0750353, 3.1566855]"
Conscienceplein,"[51.0646991, 3.1036148]"
Consciencestraat,"[51.0916252, 3.081221]"
Constant Permekelaan,"[51.0708152, 3.1148967]"
Demerstraat,"[51.0656759, 3.112473]"
Denderstraat,"[51.0646493, 3.1122762]"
Diederik van den Elzaslaan,"[51.0762324, 3.096337]"
Dijlestraat,"[51.066032, 3.1096343]"
Don Boscoplein,"[51.0671333, 3.0834253]"
Donaustraat,"[51.0691335, 3.1197669]"
Doornstraat,"[51.0694184, 3.0777181]"
Driekoningenstraat,"[51.0859923, 3.1131319]"
Durmestraat,"[51.0649859, 3.1135114]"
Dwarsstraat,"[""FOUT, geen straat gevonden""]"
