Straat,Coordinaten
Aan de Berg,"[50.997368511711656, 4.753410352064967]"
Astridstraat,"[50.99132066253127, 4.70758945258696]"
Baalsebaan,"[50.99443980785259, 4.7210463627352155]"
Bakelstraat,"[50.99341073175808, 4.752507253620754]"
Balenbergstraat,"[51.00270797096542, 4.77026536692519]"
Balenbergstraatje,"[51.00241365, 4.76521085]"
Barbarastraat,"[50.98735416944251, 4.670519274583315]"
Basdongenstraat,"[50.9881467, 4.68556095]"
Belvédèrestraat,"[50.99083568883141, 4.736687205923713]"
Berkenboslaan,"[50.99332247410475, 4.704914091143846]"
Berkendreef,"[50.99196444097877, 4.753674747053245]"
Betekomsestraat,"[50.99511034373005, 4.753781197479093]"
Beulkensstraat,"[50.99758268069174, 4.757308682358326]"
Blaasberg,"[50.99439179250114, 4.659284755941416]"
Blinkenbergstraat,"[50.99320604019122, 4.742731554505548]"
Boerenkrijglaan,"[50.998972362010356, 4.719044131516383]"
Bollobos,"[51.008175538769805, 4.723054939089016]"
Bonten Osstraat,"[51.013442350000005, 4.73856795]"
Booischotsestraat,"[51.01032365616043, 4.7541391480183215]"
Bossepleinstraat,"[50.99674756538967, 4.769397180067483]"
Bosstraat,"[50.99100270775859, 4.735946448063615]"
Boswachterlaan,"[50.99613392754696, 4.730931754447439]"
Boterstraat,"[50.985549860492966, 4.680838302917005]"
Bredevennestraat,"[50.99643940773042, 4.768255353467389]"
Breugelstraat,"[50.99407523161377, 4.687825633561335]"
Broekstraat,"[50.986233857225216, 4.710041460424873]"
Bruggelandenstraat,"[50.986651235364846, 4.705425698340514]"
Camille Huysmansstraat,"[51.000505152810824, 4.7443738012925]"
Cruysveld,"[""FOUT, geen straat gevonden""]"
De Vadderlaan,"[51.013397500274905, 4.725699959031077]"
Dennenlaan,"[50.9960386815163, 4.719575599145327]"
Denstraat,"[50.99610774385068, 4.735427547212284]"
Diestsebaan,"[50.99131973281809, 4.728585962377925]"
Domstraat,"[50.9915148176174, 4.739370652456256]"
Duinenstraat,"[50.992797100000004, 4.736642]"
Duivenbergstraat,"[50.98978991320397, 4.680019800537216]"
E. Van Der Veldestraat,"[50.991579104543725, 4.7200276992514585]"
Eekhoornlaan,"[51.00019556790402, 4.735151393053347]"
Eikenboslaan,"[50.998186557292414, 4.710154354275515]"
Emiel Dupontlaan,"[51.01185051268697, 4.7228665004342725]"
Eén-Meistraat,"[50.996413441210784, 4.753085837921647]"
Familie De Cockstraat,"[50.99312318086886, 4.744321445970181]"
Fasbinderstraat,"[50.9975777, 4.750261]"
Fatimaweg,"[""FOUT, geen straat gevonden""]"
Felix Aertgeertsstraat,"[51.01124243562103, 4.755135280740072]"
Feyaertsstraat,"[50.98935035, 4.7221227]"
Franse Liniestraat,"[51.01290783496166, 4.725498668228854]"
Galgenbergstraat,"[50.993618653886514, 4.732314653024722]"
Geertruimoerstraat,"[51.011577611411404, 4.742865315486752]"
Geetsvondelstraat,"[50.98412249150026, 4.752111597270741]"
