Straat,Coordinaten
't Hof,"[50.7485002, 5.8135618]"
1-Septemberstraat,"[50.7596351, 5.759972]"
A gen Roth,"[50.7169209, 5.8462875]"
Altenbroek,"[50.7638187, 5.7816397]"
Amphora,"[50.7553556, 5.7578026]"
Atrium,"[33.028895002541745, -96.76495514410259]"
Aubelsestraat,"[50.7539239, 5.7633343]"
Batticestraat,"[50.7528882, 5.7284159]"
Bauwerd,"[50.7380483, 5.8236699]"
Berbestraatje,"[50.7562211, 5.7180557]"
Berg,"[50.7438114, 5.8145414]"
Berneauweg,"[50.7537291, 5.7567605]"
Berwijnstraat,"[50.7566606, 5.7142641]"
Bies,"[50.7474055, 5.8156165]"
Bijsstraat,"[50.7564804, 5.7116142]"
Billen,"[50.7295897, 5.8770033]"
Boomstraat,"[50.7568802, 5.7601897]"
Born,"[50.7310636, 5.8774602]"
Boskoop,"[50.7562095, 5.7568334]"
Bounder,"[50.7341127, 5.8972103]"
Bovendorp,"[50.7580046, 5.7662913]"
Brabant,"[50.727652, 5.8239529]"
Cattestraat,"[50.7582579, 5.7172273]"
Clermontshof,"[50.732728, 5.8797003]"
Cobus,"[50.7303669, 5.8741611]"
Commanderie,"[50.7373104, 5.8210071]"
Commanderieshof,"[50.7360475, 5.8201471]"
Crutzberg,"[50.7431556, 5.828776]"
Daal,"[50.7373307, 5.8396599]"
Dalhemerweg,"[50.7546195, 5.7600242]"
De Commanderie,"[50.737343465472776, 5.821098875697639]"
De Plank,"[50.7521458, 5.8470447]"
Dolium,"[50.7547139, 5.756205]"
Dorpsstraat,"[50.7558288, 5.7090157]"
Dr.J.Goffinstraat,"[50.7582416, 5.7700813]"
Drees,"[50.7609868, 5.7509822]"
Driesch,"[50.7559168, 5.7098767]"
Driesschen,"[50.7280078, 5.8905289]"
Drink,"[50.7279576, 5.8250507]"
Eiken,"[50.7511848, 5.8333831]"
Einde,"[50.7488747, 5.8079988]"
Elvenschans,"[""FOUT, geen straat gevonden""]"
Elzen,"[50.7553847, 5.7107859]"
Gemeenteplein,"[50.7598943, 5.7597875]"
Getske,"[50.7563447, 5.7108772]"
Gielessestraat,"[50.7615468, 5.7505712]"
Gieveldstraat,"[50.7653641, 5.8844319]"
Gijberg,"[50.7593911, 5.7693351]"
Graef,"[50.7336575, 5.8776397]"
Greb,"[50.7610428, 5.7522106]"
Grijzegraaf,"[50.7605467, 5.7442055]"
Hagelstein,"[50.7168779, 5.8528423]"
Heijdt,"[""FOUT, geen straat gevonden""]"
Heirweg,"[50.7558642, 5.7550214]"
Heuvelke,"[50.7557292, 5.7602614]"
Hoeneveldje,"[50.7545763, 5.7553053]"
Hoffert,"[50.7583797, 5.7491578]"
Holleweg,"[50.752815, 5.7147549]"
Hoofstraat,"[50.7552768, 5.8735206]"
I gen Treut,"[50.7602282, 5.8700037]"
Ingerveld,"[50.7482948, 5.8074689]"
Jolette,"[50.7599486, 5.7574227]"
Kastanjeboomstraat,"[50.7487895, 5.815484]"
Kasteelstraat,"[50.7474972, 5.8908176]"
Kattenroth,"[50.7561562, 5.81439]"
Kerkhofstraat,"[50.7607987, 5.7592652]"
Kerkplein,"[50.7570557, 5.7106173]"
Kerksteeg,"[50.7567771, 5.7111109]"
Kerkstraat,"[50.7491552, 5.8128045]"
Ketten,"[50.7561038, 5.7799238]"
Kies,"[50.7218574, 5.8554113]"
Kinkenberg,"[50.759273, 5.7630183]"
Kloosterhofstraat,"[50.7356809, 5.8625161]"
Kloosterstraat,"[50.7593654, 5.7587566]"
Klumpke,"[50.755884, 5.7558977]"
Knap,"[50.7443384, 5.8171623]"
Knipke,"[50.7546179, 5.8259122]"
Koebeek,"[50.7422299, 5.817177]"
Koetsweg,"[50.762679, 5.7747535]"
Komberg,"[50.7508205, 5.8116125]"
Kommel,"[50.7606746, 5.7604506]"
Konenbos,"[50.7468073, 5.842780165444413]"
Konijnsberg,"[50.7590058, 5.762659]"
Kosterstraat,"[50.7592333, 5.7621597]"
Krindaal,"[50.7466366, 5.8361801]"
Krommejong,"[50.7230912, 5.8310692]"
Kultjen,"[50.7276236, 5.8740744]"
Kwinten,"[50.7510428, 5.8168249]"
Lammerweg,"[50.7578233, 5.7771417]"
Loë,"[50.7151947, 5.8350549]"
Lusberg,"[50.7308224, 5.8261456]"
Mabrouck,"[50.7204387, 5.8911966]"
Magis,"[50.7179006, 5.838197]"
Magnebos,"[50.7231797, 5.8641749]"
Mariahof,"[50.7448947, 5.8050821]"
Mennekesput,"[50.7556385979609, 5.760564626323421]"
Mescherstraat,"[50.76126731181791, 5.723467427955949]"
Meulenberg,"[50.758613702754204, 5.777357534236034]"
Middelhof,"[50.7363697, 5.8949668]"
Moelingerweg,"[50.75699329652689, 5.738928022859632]"
Moleke,"[50.762090624140804, 5.751398802838053]"
Molen,"[50.75871433814303, 5.7715063827599975]"
Mostert,"[50.750855900000005, 5.8726761]"
Mot,"[50.749592835959454, 5.811643138973746]"
Mulleke,"[50.761864599999996, 5.748808492434684]"
Neubau,"[50.73156107184471, 5.887222066938229]"
Nurop,"[50.7589972, 5.8667845]"
Nuroperveld,"[50.760362799999996, 5.8636596]"
Obsinnich,"[50.7423843, 5.8887245]"
Onder 't Spoor,"[50.74741639432611, 5.8124948637871565]"
Onderdorp,"[50.760827364361894, 5.751009922959392]"
Op de Voer,"[50.74768254529062, 5.810427154030835]"
Ordenmolen,"[50.7395809, 5.82054030349741]"
Ottegraeven,"[50.7514547, 5.79114015]"
Oude Linde,"[50.75911759991505, 5.74722328766619]"
Peerds,"[50.72651101925638, 5.826251995995149]"
Plankerweg,"[50.754643805067374, 5.856263595959026]"
Pley,"[50.75872203329252, 5.760986039680088]"
Pontus,"[50.732202580327055, 5.876561234803455]"
Popelpoel,"[50.73096188671412, 5.874741090759949]"
Reesberg,"[50.7164804, 5.8793053]"
Remersdaal-Dorp,"[50.731633450000004, 5.88091375]"
Roodbos,"[50.73624721909095, 5.861243267923934]"
Roosenstraat,"[50.758462901241856, 5.713370895830008]"
Rozengaerden,"[50.730188784550265, 5.870538213059355]"
Rullen,"[50.7184898, 5.8141975]"
Schansweg,"[50.753116500000004, 5.6903846]"
Schietekamer,"[50.75625674635745, 5.776678459231948]"
Schilberg,"[50.7540295, 5.8486527]"
Schophem,"[50.7524273, 5.7861717]"
Schophemmerhei,"[50.75870275978246, 5.789856503254078]"
Silex,"[50.755623612412926, 5.756886230418058]"
Sinnich,"[50.7474962, 5.8823643]"
Sint-Martenstraat,"[50.74852785, 5.812060649999999]"
Sint-Pieterstraat,"[50.735632433330935, 5.824626456365348]"
Smidt,"[50.73010219572828, 5.882468307606902]"
Snauwenberg,"[50.7689178, 5.7810249]"
Stadshaag,"[50.7653160796087, 5.78991577369905]"
Stationsstraat,"[50.74768575416176, 5.8155145528425]"
Steenbos,"[50.75257658329527, 5.781297884871845]"
Sterappel,"[50.75517681846765, 5.755422764063806]"
Strouvenbos,"[50.71786591775927, 5.851692149809329]"
Teuven-Dorp,"[50.75290665640974, 5.872797687198665]"
Teuvener-Driesen,"[50.755052558844156, 5.888808438980878]"
Teuvenerweg,"[50.7326284535237, 5.881516976019215]"
Tienhof,"[50.7590183010098, 5.7597018056396605]"
Trappen,"[50.73911179931321, 5.821740741595263]"
Tungri,"[50.75611824722641, 5.758008600566967]"
Ulvend,"[50.758506, 5.8309955]"
Varnstraat,"[50.75073721946941, 5.86345659601896]"
Veld,"[50.735462865903834, 5.817264603475034]"
Veurs,"[50.7386474, 5.837878]"
Veurserveld,"[50.74412290044636, 5.827005225255012]"
Viséweg,"[50.755724985173565, 5.712198184779597]"
Vitschen,"[50.76088550282082, 5.776878837353254]"
Vliegesteeg,"[""FOUT, geen straat gevonden""]"
Voerengraaf,"[50.75761705228303, 5.727832932494675]"
Voerenstraat,"[50.75595617125175, 5.717648367173941]"
Vogelsang,"[50.737367343779795, 5.8247285760861365]"
Vogelstang,"[50.74763505666337, 5.814415282571144]"
Voort,"[50.74387764133103, 5.830769323505805]"
Vrijthof,"[50.731706697564846, 5.873658945003356]"
Vrouwenbos,"[50.72887111886452, 5.83940775804775]"
Vrouwenhof,"[50.72797735, 5.845118291533327]"
Waterval,"[50.74108583293073, 5.820655481949261]"
Weersterweg,"[50.755182649999995, 5.7603447]"
Winandus,"[50.76068021165739, 5.753875863983716]"
Winkel,"[50.75541842798066, 5.708454312752972]"
Withuis,"[50.76389452950576, 5.721371896010853]"
Withuisstraat,"[50.75765763425044, 5.7140133528029935]"
Zwaen,"[50.72809432528282, 5.8263718215544795]"
