Straat,Coordinaten
Beeldekensstraat,"[51.20989580918212, 4.7655694497825385]"
Bergstraat,"[51.2061372, 4.7845572]"
Berkelheide,"[51.229152010919385, 4.791615302827082]"
Berkenlaan,"[51.20300693275844, 4.761165139905603]"
Beukenlaan,"[51.2043738874938, 4.760312360739199]"
Bosweg,"[51.21816375, 4.7565835]"
Boulevard,"[30.35129663265306, -81.66126030612246]"
Bremlaan,"[51.206371415321335, 4.761207769037362]"
Bunder,"[51.211871846916736, 4.756748475743711]"
Cardijnlaan,"[51.20374614538735, 4.770403347393897]"
Dageraad,"[51.218001710605854, 4.753211732218791]"
De Borrekenslaan,"[51.2111500600053, 4.768346988990133]"
De Pretlaan,"[51.21125979999999, 4.77022105]"
De Veertien Kapellekens,"[51.22158537037228, 4.770747855762666]"
Della Faillelaan,"[51.208834200000005, 4.7704316]"
Dennenlaan,"[51.208765549999995, 4.79014485]"
Diamantstraat,"[51.20289325929707, 4.776375146558451]"
Dijkbaan,"[51.196225850000005, 4.7739518499999996]"
Doornlaan,"[51.204685932844285, 4.758369092712027]"
Fazantenlaan,"[51.198565148454655, 4.777236216487653]"
Goorbergenlaan,"[51.20483440509863, 4.763463729764178]"
Grensstraat,"[51.202294244200395, 4.753240222964433]"
Groenstraat,"[51.21809665, 4.7548077]"
Guldenpad,"[51.203401129293034, 4.768709500361768]"
Heidelaan,"[51.202722449999996, 4.760539]"
Heikant,"[51.20236674106697, 4.76232449369042]"
Heiken,"[51.19334551907363, 4.792965573286531]"
Heirbaan,"[51.24448283670949, 4.772368162681037]"
Herderstraat,"[51.20909997980707, 4.807399190334234]"
Heuvelstraat,"[51.206716450504395, 4.782507140177592]"
Hildering,"[51.199355349538386, 4.763085266206825]"
Huls,"[51.23029435, 4.76200815]"
Ijzerestraat,"[51.2149724, 4.7723813]"
Jantjesblok,"[51.211414814148085, 4.761553391238837]"
Kabienstraat,"[51.20249238932888, 4.774435390412257]"
Kardinaalswijk,"[51.20520136030019, 4.7826949343281795]"
Keizershofstraat,"[""FOUT, geen straat gevonden""]"
Kempenlaan,"[51.20148521836791, 4.764544119377584]"
Kerkstraat,"[51.202750449999996, 4.7713578000000005]"
Kievitlaan,"[51.200895317771895, 4.77730902896697]"
Klissenhoek,"[51.2128389472844, 4.760893245101002]"
Kouwenberg,"[51.20210145, 4.784307200000001]"
Krokuslaan,"[51.204259317948875, 4.783302756721348]"
Kuiperstraat,"[51.2033361615713, 4.769445114247598]"
Kweek,"[51.20673212623328, 4.8163337788848635]"
Leeuweriklaan,"[51.20156587451529, 4.783943476980374]"
Lepelstraat,"[51.20121365, 4.7729856999999996]"
Lijsterplein,"[51.20127117324071, 4.782784334235719]"
Lindendreef,"[51.21276124520174, 4.778831868405422]"
Lovenhoek,"[51.22228321101566, 4.739772351552718]"
Maalderstraat,"[51.20612641331595, 4.760160043176869]"
Maashoek,"[51.21808586830429, 4.759547526129931]"
Markt,"[51.20217697810585, 4.772774442835733]"
Merellaan,"[51.199793384315825, 4.773988028421603]"
Mgr. Donchelei,"[51.201464555440545, 4.768233078772964]"
Molenbaan,"[51.207511668994705, 4.750922324158486]"
Moleneinde,"[51.21185490520317, 4.757934624233561]"
Molenhei,"[51.20791085, 4.7563295]"
Molenstraat,"[51.20326015335767, 4.767312853551408]"
Nachtegaal,"[51.20152802535907, 4.781692477524485]"
Neerzand,"[51.21614251208198, 4.825241131375397]"
Niemandshoek,"[51.21879907324843, 4.766655606931806]"
Nieuwe Velden,"[51.200378, 4.77534925]"
Nieuwstraat,"[51.202125517462164, 4.77689289521131]"
Oostakker,"[51.20429960588842, 4.773474803736625]"
Pachtersdreef,"[51.21116849722858, 4.785143398280744]"
Palderbeemden,"[51.248493161955885, 4.7610932372819725]"
Pallaaraard,"[51.22711496576513, 4.744083571540062]"
Plein,"[51.2416033438835, 4.780390342548652]"
Poederleeseweg,"[51.20574475, 4.8185478]"
Proosthoevebaan,"[51.2187656, 4.7862512]"
Proostlaan,"[51.211874204051036, 4.770889206400747]"
