Straat,Coordinaten
Abdij van Roosenberglaan,"[51.1106488, 4.0877475]"
Acacialaan,"[51.116103, 4.0863474]"
Autosnelweg E17-Noord,"[""FOUT, geen straat gevonden""]"
Autosnelweg E17-Zuid,"[""FOUT, geen straat gevonden""]"
Bareelstraat,"[51.1413112, 4.0666967]"
Baudelodreef,"[51.1305288, 4.0669677]"
Baverikstraat,"[51.13325, 4.06477]"
Beatestraat,"[51.132571, 4.0396825]"
Belselestraat,"[51.115545, 4.0847756]"
Bergstraat,"[51.1145421, 4.0963122]"
Berkenlaan,"[51.1198503, 4.084284]"
Beukenlaan,"[51.1211733, 4.08775]"
Bokmolenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Bollewijk,"[51.132635, 4.0686416]"
Bosstraat,"[51.1285526, 4.0989721]"
Boswegel,"[51.1267163, 4.1026474]"
Bouchoutstraat,"[51.122551, 4.0547301]"
Bremstraat,"[51.1278537, 4.0905255]"
Bulk,"[51.1109975, 4.0857359]"
Burgemeester M. Du Tré-straat,"[""FOUT, geen straat gevonden""]"
Camille Boschmandreef,"[51.1154717, 4.0891765]"
Dam,"[""FOUT, geen straat gevonden""]"
Dauwstraat,"[51.1157132, 4.0554013]"
De Sombe,"[51.1151316, 4.1317887]"
Den Hert,"[51.12460885, 4.1119168339654415]"
Dennenlaan,"[51.1180667, 4.0878722]"
Dommelstraat,"[51.1141416, 4.1230234]"
Donkerputstraat,"[51.0998315, 4.0412577]"
Doornijkstraat,"[51.1367448, 4.019948]"
Dorushoeksken,"[51.1098351, 4.0802181]"
Durmebrug,"[51.0971563, 4.0901173]"
Durmedal,"[51.1096869, 4.0993925]"
Edgard Heirmandreef,"[51.1279848, 4.1032421]"
Edmond Verstraetendreef,"[51.1128274, 4.1112859]"
Eekhoekstraat,"[51.1309839, 4.0981435]"
Eikenlaan,"[51.1181817, 4.0849996]"
Esdoornlaan,"[51.120606, 4.089238]"
Europastraat,"[51.1144721, 4.0984781]"
Fazantenlaan,"[51.123438, 4.0854045]"
Fortenstraat,"[51.1230563, 4.1036109]"
Frank Baurstraat,"[51.1149045, 4.0936303]"
Gentstraat,"[51.1081738, 4.0786655]"
Grauwe Zeestraat,"[51.1295562, 4.1029019]"
Groendreef,"[51.1287329, 4.1056186]"
Groenselstraat,"[51.1189331, 4.036925]"
Groenstraat,"[51.1310135, 4.0995367]"
Grote Baan,"[51.1385149, 4.0694438]"
Guido Gezellestraat,"[51.1140673, 4.0940272]"
Hamstraat,"[51.1019262, 4.0331792]"
Heesdonkwijk,"[51.127419, 4.044382]"
Heeskouter,"[""FOUT, geen straat gevonden""]"
Heidekapelstraat,"[51.1225972, 4.0993415]"
Heidestraat,"[51.1301096, 4.1160816]"
Heikenstraat,"[51.12539, 4.0311622]"
Heikewip,"[51.1199431, 4.1016122]"
Henri de Lovinfossestraat,"[51.1091345, 4.0785866]"
Herfstwegel,"[51.1224686, 4.1045954]"
Herkstraat,"[51.1339312, 4.1029673]"
Hoebeek,"[""FOUT, geen straat gevonden""]"
Hogendonk,"[51.1173165, 4.105017]"
Hollandsemolen,"[""FOUT, geen straat gevonden""]"
Hollestraat,"[51.11643371744639, 4.06212648373125]"
Hoogstraat,"[51.111498, 4.0893059]"
Hooierzelestraat,"[51.1136109, 4.0609469]"
Houten Kruisstraat,"[51.11496, 4.099361]"
Hulstbaan,"[51.1371293, 4.0193608]"
Jacquet de Haveskerckedreef,"[51.1236388, 4.1124942]"
Kapelwijk,"[51.1156045, 4.1297563]"
Kastanjelaan,"[51.11935995, 4.0889950192258055]"
Kasteelstraat,"[51.1125501, 4.1291601]"
Kerkplein,"[51.1060894, 4.0864742]"
Kerkstraat,"[51.1060873, 4.0854848]"
Ketelboetstraat,"[51.1107468, 4.0322375]"
Klaverbeekstraat,"[51.126256, 4.0330415]"
Kleemstraat,"[51.1180777, 4.0949388]"
Kluizenaarstraat,"[""FOUT, geen straat gevonden""]"
Koningin Astridstraat,"[51.121722, 4.1060742]"
Koolputten,"[51.1052516, 4.140861]"
Korte Beulestraat,"[51.1230569, 4.03311]"
Korte Heesdonkstraat,"[51.1262969, 4.0427635]"
Kouterstraat,"[51.1111936, 4.0787131]"
Krommingenstraat,"[51.1235867, 4.0232082]"
Kuilstraat,"[51.1344554, 4.1174042]"
Lange Beulestraat,"[51.1282113, 4.0364847]"
Lange Veldstraat,"[51.1216791, 4.0431362]"
Langenaardstraat,"[51.1204072, 4.0300978]"
Lentelaan,"[51.117933, 4.1014569]"
Lijsterstraat,"[51.120858, 4.1006267]"
Lindenlaan,"[51.1226316, 4.1097522]"
Lode Ontropdreef,"[51.1236296, 4.0991]"
Lodewijk Mortelmansstraat,"[51.1214809, 4.1014819]"
Lucianus Vandeveldestraat,"[51.1060735, 4.0854106]"
Lucien Reychlerstraat,"[51.1156888, 4.1006822]"
Malpertuus,"[51.1224162, 4.1123918]"
Manta,"[51.1090177, 4.0674268]"
Mantawijk,"[51.1086486, 4.0755274]"
Maretak,"[51.1330273, 4.0731087]"
Maria Stoop-Moensstraat,"[""FOUT, geen straat gevonden""]"
Marktwegel,"[51.1288101, 4.1072834]"
Marollenstraatje,"[51.106767, 4.0859434]"
Mereldreef,"[51.1284161, 4.0927524]"
Molenaarsplein,"[""FOUT, geen straat gevonden""]"
Molendreef,"[51.1141933, 4.0902105]"
Molenstraat,"[51.1195428, 4.0932121]"
Morgenster,"[51.1191033, 4.1025285]"
Muizenberg,"[51.1283103, 4.1009023]"
Nederheirweg,"[51.1118143, 4.063641]"
Neermolen,"[51.1084749, 4.0758656]"
Neerstraat,"[51.1099357, 4.0548434]"
Nevelzwam,"[51.1348719, 4.0684125]"
Nijverheidslaan,"[51.1195743, 4.1079675]"
Ommegangsdreef,"[51.1186937, 4.1023877]"
Oud Vliegveld,"[51.1320271, 4.0650928]"
Oudeheerweg-Heide,"[51.1244443, 4.0984761]"
Oudeheerweg-Ruiter,"[51.1163545, 4.0372799]"
Palingstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Pater Christophestraat,"[51.1417898, 4.0639196]"
Patotterijstraat,"[51.1320565, 4.0776095]"
Patrijzenlaan,"[51.1243346, 4.0823138]"
Pelkemstraat,"[51.1229021, 4.1182338]"
Podtsmeulen,"[51.1162193, 4.0422912]"
Pontravelaan,"[51.104396, 4.0822303]"
Potaardestraat,"[51.1195034, 4.1104913]"
Professor Dr. Reimond Speleersdreef,"[""FOUT, geen straat gevonden""]"
Putstraat,"[51.1252331, 4.0918428]"
Regnier De Herdedreef,"[51.1189532, 4.0916022]"
Reigerstraat,"[51.1121852, 4.1295872]"
René Bocklandtstraat,"[51.1148595, 4.090810317622951]"
Riemeersstraat,"[51.1374427, 4.0544566]"
Rivierstraat,"[51.1126621, 4.0797747]"
Rodendries,"[51.0957149, 4.0885382]"
Schapersdreef,"[51.1218048, 4.0359842]"
Schietakkerstraat,"[51.1119736, 4.0837362]"
Schoonhoudtstraat,"[""FOUT, geen straat gevonden""]"
Schrijbergstraat,"[51.13808, 4.069222]"
Schrikkestraat,"[51.1254668, 4.1143399]"
Sijpstraat,"[51.1095274, 4.0417435]"
Sinaaistraat,"[51.1269245, 4.0900771]"
Sint-Annastraat,"[51.0953374, 4.0839902]"
Sint-Franciscusstraat,"[51.109738300000004, 4.0865023101226985]"
Sint-Margrietstraat,"[51.1172098, 4.134414]"
Smoorstraat,"[51.1109675, 4.1246691]"
Sombekedries,"[51.113601, 4.1251251]"
Sousbeekstraat,"[51.1109028, 4.0492905]"
Sparrenhofstraat,"[51.1225152, 4.0956256]"
Spartastraat,"[""FOUT, geen straat gevonden""]"
Spoorwegstraat,"[51.115526, 4.0991753]"
Sportstraat,"[51.112958, 4.1244943]"
Stationsstraat,"[51.1152482, 4.1034431]"
Ten Rijendreef,"[51.0976815, 4.0398541]"
Van Eyckpark,"[51.1397606, 4.1205239]"
Varendreef,"[51.1298588, 4.0726067]"
Veldstraat,"[51.1197732, 4.1299002]"
Vicus Pontrave,"[51.1077964, 4.0743959]"
Vierhuizenstraat,"[51.1222851, 4.1280043]"
Vierschaar,"[51.1095277, 4.084417]"
Vinkenlaan,"[51.1258213, 4.08759]"
Vlaszakstraat,"[51.1127045, 4.1208352]"
Vogelzangdreef,"[""FOUT, geen straat gevonden""]"
Vortekoestraat,"[51.1320201, 4.0422304]"
Warandestraat,"[51.1140343, 4.1256931]"
Wareslagedreef,"[51.1119947, 4.0958405]"
Wareslagestraat,"[51.1111299, 4.1102084]"
Waselakehof,"[""FOUT, geen straat gevonden""]"
Weverstraat,"[51.1305135, 4.1313207]"
Zandstraat,"[51.113561, 4.1153425]"
Zuidermolen,"[51.113517, 4.089508]"
