Straat,Coordinaten
'T Voske,"[""FOUT, geen straat gevonden""]"
't Stroomke,"[50.80990335, 3.0844902000000003]"
Acacialaan,"[50.805651566322005, 3.072348666563885]"
Akademiestraat,"[50.77624015, 3.0400049]"
Akkerstraat,"[50.80802996802598, 3.072559154687355]"
Amerikastraat,"[50.79614281174459, 3.0096174784058474]"
Arkemolenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Artoisstraat,"[50.82942715029703, 3.101185646471553]"
Aststraat,"[50.7929050808976, 3.0501685823321383]"
Bakkerstraat,"[50.78277550788598, 3.0447370260382027]"
Ballonstraat,"[50.782531494359176, 3.05804831895981]"
Barrierestraat,"[50.7773802294687, 3.0315366102296264]"
Begonialaan,"[50.78481464665122, 3.0541257476597514]"
Beselarestraat,"[50.8273282, 3.0483232]"
Binnenhof,"[50.782768548795644, 3.0318273265030427]"
Blokstraat,"[50.80775406236015, 3.0103060500725247]"
Boogstraat,"[50.816960922364565, 3.020313015712339]"
Bootweg,"[50.77862154682876, 3.072452294682257]"
Bourgondiestraat,"[50.79046895267159, 3.054271815907956]"
Briekhoekstraat,"[50.7766602935889, 3.0337008147377724]"
Brugstraat,"[50.77722006971994, 3.042750662092378]"
Bunderstraat,"[50.813013749999996, 3.0825764500000004]"
Busbekestraat,"[50.783096568001575, 3.0779939635623332]"
Calvariestraat,"[50.79408753173841, 3.0687662607679465]"
Christuslaan,"[50.78522333659309, 3.0317838606841336]"
Clermontstraat,"[50.81098525, 3.06678415]"
Dadizelestraat,"[50.82041835456569, 3.084668481989648]"
De Balokken,"[50.77431554719573, 3.0356573092974695]"
De Riemeers,"[50.77964537969146, 3.0682260216555273]"
Derde Lansiersstraat,"[50.814984951987526, 3.079001111126514]"
Diederik Geerbodelaan,"[50.78241403992983, 3.0297606385612252]"
Donkerstraat,"[50.77878728500651, 3.040540078839451]"
Doornkapellestraat,"[50.82088072847698, 3.0047911544304515]"
Dourdanstraat,"[50.80929325420538, 3.0667400130542366]"
Dr. Dumontstraat,"[50.78552095623955, 3.032462135605848]"
Draperiestraat,"[50.7777758, 3.0292272000000002]"
Drogenbroodstraat,"[50.812812372067825, 3.1026569098200247]"
Duivenstraat,"[50.78081393970485, 3.040037279945069]"
Dullaardstraat,"[50.828998308525904, 3.0990882303928338]"
Eendrachtstraat,"[50.7857516155412, 3.050522133925652]"
Elf Juliplein,"[50.778277450000004, 3.03432425]"
Emiel Gellyncklaan,"[50.78214087905112, 3.0512024593519453]"
Emiel Huysstraat,"[50.81664467291984, 3.0819269839268673]"
Ern. Vandecandelaerestraat,"[""FOUT, geen straat gevonden""]"
Esdoornstraat,"[50.788368575815795, 3.0511290471659134]"
Faconstraat,"[50.790429786412126, 3.0145431794215605]"
Fobbestraat,"[50.811494778578535, 3.03306014319061]"
Fonteinestraat,"[50.80543020722483, 3.0502350016862056]"
Frans Jozef Blieckstraat,"[50.783064289428204, 3.0333100471090684]"
Frederiksplein,"[50.77733845666134, 3.0323915153066467]"
Galgestraat,"[50.81826962682763, 3.032277221172382]"
Gasstraat,"[50.7816851749031, 3.042526711227023]"
Geluwebroekstraat,"[50.82688744374556, 3.04123192992287]"
Geluwemolenstraat,"[50.827936191700296, 3.061591500784302]"
Geluwesesteenweg,"[50.78732453849567, 3.049921622182326]"
Geluwestraat,"[50.78504707982773, 3.0475427285823766]"
Gosserieslaan,"[50.78396655279487, 3.034575844835054]"
Grauwe Zusterstraat,"[50.77967401449071, 3.04562871978242]"
Groendalstraat,"[50.7862537, 3.0429482500000002]"
Groenesprietstraat,"[50.809746380447834, 3.060221113034578]"
Groenstraat,"[50.77932025, 3.04227285]"
Grote Ieperbaan,"[50.82460585, 3.0250344]"
Guido Gezellestraat,"[50.80775755111716, 3.0796796438859153]"
Haantjesstraat,"[50.80457255, 3.0950440500000003]"
Hagelstraat,"[50.79452183898509, 3.0660159081185854]"
Hansbekestraat,"[50.775888922173905, 3.0249118011870655]"
Hellestraat,"[50.78623986942676, 3.0520141031101797]"
Hendrik Consciencestraat,"[50.78342438210188, 3.035117912068869]"
Hoge Bossenstraat,"[50.81467987256068, 3.017506684675458]"
Hoge Poortstraat,"[50.79660199747081, 3.0800454532389843]"
Hoogland,"[50.81590260384022, 3.0212185490625663]"
Hoogweg,"[50.79312346790884, 3.078718674727884]"
Hovenierstraat,"[""FOUT, geen straat gevonden""]"
Ieperstraat,"[50.81192826308818, 3.0683097101883794]"
Ijsselbeekstraat,"[50.82441649911396, 3.078260391327771]"
Ijzerwegstraat,"[50.78222791526783, 3.0363233110667545]"
Jean Verhaeghestraat,"[50.78332049081795, 3.034320526262145]"
Jef Demuyserestraat,"[50.78242523298897, 3.0351406290416385]"
Jeruzalemstraat,"[50.81170603905705, 3.074738843175058]"
John Edenstraat,"[50.8145461380516, 3.020997496158355]"
Kampstraat,"[50.837533765375206, 3.0507986438762402]"
Kanterstraat,"[50.81306356816192, 3.0786548672583414]"
