Straat,Coordinaten
't Zand,"[51.1118804, 4.8673298]"
Aarthof,"[51.1087197, 4.9208026]"
Abdijstraat,"[51.1059808, 4.9151175]"
Acaciastraat,"[51.1120614, 4.8607541]"
Achterheide,"[51.0922809, 4.8293642]"
Akkerstraat,"[""FOUT, geen straat gevonden""]"
Ambachtenstraat,"[51.0953204, 4.9349943]"
Annadreef,"[51.0838283, 4.8987253]"
Ansfriedstraat,"[51.0850488, 4.9137407]"
Arthur Sterckxstraat,"[51.0972344, 4.9148466]"
Asberg,"[51.0850802, 4.8906552]"
Aspergevelden,"[51.086869, 4.8753362]"
Asterlaan,"[51.1371179, 4.9154441]"
August Cannaertsstraat,"[51.0941277, 4.8203336]"
Baksveld,"[51.0928919, 4.9166945]"
Balebossen,"[51.0986694, 4.8428253]"
Beeltjensdreef,"[51.0891291, 4.912045]"
Begijnenland,"[51.0950872, 4.8737791]"
Begonialaan,"[51.1354149, 4.9148322]"
Bell-Telephonelaan,"[51.1295065, 4.9423326]"
Bellensbos,"[51.1326129, 4.8880843]"
Bergveld,"[51.0783084, 4.876039]"
Berkenstraat,"[51.1110694, 4.8588613]"
Beusterven,"[51.0865302, 4.839295]"
Beverstraat,"[51.137049, 4.890228]"
Biezenstraat,"[51.0995023, 4.8758017]"
Bijlevennen,"[51.1426214, 4.8996341]"
Bijstraat,"[51.1278383, 4.8975607]"
Binnenblok,"[51.1073986, 4.9237505]"
Binnenweg,"[51.0990582, 4.9017666]"
Bisschop Vanuytvenlaan,"[51.1268679, 4.9040921]"
Bistberg,"[51.0934759, 4.9214421]"
Bistplein,"[51.092745, 4.9206897]"
Blauwvoetstraat,"[51.1413194, 4.9000437]"
Blokstraat,"[51.1110554, 4.9084472]"
Bochtestraat,"[51.1152272, 4.8661913]"
Boerenkrijglaan,"[51.0865865, 4.9156287]"
Boeretangstraat,"[51.1065882, 4.9134279]"
Boogstraat,"[51.133806, 4.9048802]"
Bosbesstraat,"[51.0965939, 4.9020868]"
Boskant,"[51.095095, 4.9103557]"
Bosstraat,"[51.120940658033994, 4.894211724787247]"
Bovemansstraat,"[51.12661489803059, 4.8565648690235514]"
Braambesstraat,"[51.096026939634505, 4.904677239620184]"
Brandstee,"[51.115161522544994, 4.939076503599201]"
Breerijt,"[51.09854079238678, 4.935490402386838]"
Bremstraat,"[51.133192081250314, 4.877664179591323]"
Britselaan,"[51.12980947187675, 4.855680409660483]"
Broekstraat,"[51.078196337667315, 4.88902932364296]"
Brugstraat,"[51.1362334226816, 4.917697269234993]"
Brukelen,"[51.118360695009976, 4.86500541407973]"
Burrekesveld,"[51.07623053430249, 4.836095972263848]"
Busselen,"[51.1247969312218, 4.870028617703487]"
Crilsplein,"[51.1265557381844, 4.901733075622396]"
Dalialaan,"[51.136215086814495, 4.911969677008551]"
De Baan,"[""51.07200787803905"", ""4.8295257205772435""]"
De Busserstraat,"[51.085530183379035, 4.914167963861484]"
De Hand,"[51.1008536, 4.85136855]"
De Reid,"[51.12904551118064, 4.8807922515962305]"
De Roos,"[51.12636751489953, 4.865734634580669]"
De Wijk,"[51.08596003070346, 4.8710643133139255]"
De Zaart,"[51.07906587484449, 4.859275455465793]"
Den Ast,"[51.09898410871984, 4.869460088305347]"
Den Breker,"[51.13446298136708, 4.901089396195829]"
Denis Voetsstraat,"[51.088617049999996, 4.9123167]"
Dennenstraat,"[51.13399628508872, 4.9000383525549145]"
Diamantweg,"[51.091992634417885, 4.842101877715898]"
Distelstraat,"[51.099740891745796, 4.870686686943122]"
Doelstraat,"[51.0850177, 4.8995178]"
Doornstraat,"[51.10076154582673, 4.87282878150625]"
Drie Engelenstraat,"[51.110333363320834, 4.910734799216672]"
Drie Zillen,"[51.1090361, 4.913111349999999]"
Driehoek,"[51.1010745275904, 4.846454513183214]"
Driesakker,"[51.14026024484673, 4.902132344719936]"
Duitschool,"[51.12854427398214, 4.91821218644426]"
Duivengracht,"[51.087051450000004, 4.8434659]"
Dumpelstraat,"[51.133937562332484, 4.90237956853101]"
E. J. Van Gansenstraat,"[51.08771235200333, 4.915806482448288]"
Eggestraat,"[51.09088221731807, 4.830446400067027]"
Eikelstraat,"[51.08479948312937, 4.901400803896729]"
Eilandje,"[51.136888757232505, 4.902020753452904]"
Eilardusstraat,"[51.09318793327457, 4.910444872660267]"
Eksterstraat,"[51.088190412972565, 4.83270802007223]"
Elf-Julilaan,"[51.10529120101955, 4.915860763328151]"
Elfenstraat,"[51.1343031, 4.9059577]"
Elsbroek,"[51.10597778287392, 4.856656876946264]"
Elsbroekstraat,"[""FOUT, geen straat gevonden""]"
Emiel Stalmanslaan,"[51.12615928457214, 4.866899097489647]"
Ernest Claesstraat,"[51.10947965288242, 4.865265599881909]"
Esdoornstraat,"[51.111723, 4.86105195]"
Europastraat,"[51.105193525398654, 4.919945242709718]"
Fabriekstraat,"[""FOUT, geen straat gevonden""]"
Fanfarestraat,"[51.08831269301867, 4.8700211421725985]"
Fazantendreef,"[51.11594419329548, 4.9080258861599875]"
Feeënstraat,"[51.1340707369004, 4.906945987558186]"
Fly-over,"[51.13565455, 4.93989735]"
Franz Scheerlaan,"[51.125603536904684, 4.90336071173843]"
Fuldaplein,"[51.11466526406964, 4.859213390127252]"
Geelse straat,"[51.10949668120063, 4.920700876393179]"
Gelendel,"[51.10577793372296, 4.859422768371919]"
Gemeentestraat,"[51.13931395, 4.910338299999999]"
Geneinde,"[51.1030786, 4.8926329]"
Gerststraat,"[51.08312252009319, 4.844380097982259]"
Gesneuveldenstraat,"[51.12908964459249, 4.8623136949826895]"
Gevaertlaan,"[51.08788415, 4.871923600000001]"
Gewadstraat,"[51.10193814032737, 4.855224157886846]"
Gildenstraat,"[51.10392767025633, 4.922653139093696]"
Giselbertusstraat,"[51.10198986467962, 4.901209023502225]"
Godfried Hermansstraat,"[51.10252595, 4.89477165]"
Goorakker,"[51.094569561660975, 4.930159499938223]"
Goorbossen,"[51.08317465168913, 4.8331208486709585]"
Gooreinde,"[51.08825836189009, 4.879426480602814]"
Goorheide,"[51.096406024722384, 4.829983748298988]"
Goorken,"[51.1018056054165, 4.915855415864523]"
Goorkenshof,"[51.097552124178776, 4.912839598457029]"
Goorven,"[51.10968445, 4.8333902]"
Goudbloemstraat,"[51.08626456863395, 4.854980937644425]"
Goudvinkstraat,"[51.08850139062362, 4.829062732290594]"
Gravin de Merodestraat,"[51.07815331643417, 4.834891521838613]"
Grensstraat,"[51.07624742027988, 4.831321170588896]"
Groenstraat,"[51.10778288254901, 4.863457348111142]"
Grote Markt,"[51.0878396693182, 4.918547294582279]"
Grote Steenweg,"[51.105075549999995, 4.94411075]"
Guido Gezellestraat,"[51.08540140839621, 4.905887111727513]"
Guldensporenlaan,"[51.10167684542571, 4.917307906346542]"
Haart,"[51.116271339796086, 4.847083408805573]"
Hamerstraat,"[51.113105764794554, 4.865318321112606]"
Hamsterstraat,"[51.13678362006815, 4.883916370268347]"
Hannekenshoek,"[""FOUT, straat in foute gemeente gevonden""]"
Haverstraat,"[51.082409899999995, 4.8440733499999995]"
Hazendreef,"[51.11502633654429, 4.908096844775977]"
Heidebloemstraat,"[51.0912078672429, 4.849109383802525]"
Heidestraat,"[51.125214941482504, 4.91622059860186]"
Heieinde,"[51.13623660076003, 4.925040743125995]"
Heivelden,"[51.08106655, 4.875437649999999]"
Heiweg,"[51.07681054631368, 4.833189795270451]"
Heksenbrug,"[51.10136796496121, 4.903255495384821]"
Heldenstraat,"[51.128322651822494, 4.862538369850239]"
Henricusstraat,"[51.10117035745375, 4.900147679268145]"
Herdersstraat,"[""FOUT, geen straat gevonden""]"
Het Locht,"[51.07543139491515, 4.836708982344278]"
Heultjedorp,"[51.09199044294936, 4.838608653119999]"
Hoevestraat,"[51.104801134193806, 4.862643726865076]"
Hofstraat,"[51.138393224053004, 4.900379718580436]"
Hoge Akkers,"[51.07747791892853, 4.8357956483613975]"
Hoge Blokken,"[51.10917963436067, 4.859895310668016]"
Hogeheide,"[51.08588423814532, 4.829832891025167]"
Hogekant,"[51.117305198790525, 4.87265120771388]"
Hollandse dreef,"[51.0931925633412, 4.905100689387525]"
Holleweg,"[51.07714643348392, 4.837878370664108]"
Hommelstraat,"[51.130016511337516, 4.896043135838048]"
Hondseinde,"[51.10797885552297, 4.932752654558664]"
Hoog Heultje,"[51.068548114405964, 4.8351171314282695]"
Hoogton,"[51.12143450823231, 4.8456172591398206]"
Hoogveld,"[51.12895102538678, 4.860986902534298]"
Hotelstraat,"[51.13175904726748, 4.940663488716235]"
Houtstraat,"[51.13441270532777, 4.925423250248414]"
Hovenierstraat,"[51.08514139133581, 4.913628052844557]"
Hubertusstraat,"[51.10174417119668, 4.900303341593128]"
Hulsdonk,"[51.08441714431415, 4.865888376708383]"
Hulshoutsesteenweg,"[51.072860921938386, 4.835119351089142]"
Ilse Velden,"[51.129256251998505, 4.884320452750381]"
Ilsestraat,"[51.13521828577684, 4.88672108942394]"
Industriepark,"[""FOUT, geen straat gevonden""]"
Industrieweg,"[51.09107898998958, 4.839729879924537]"
Jaak Lemmenslaan,"[51.088065683168175, 4.874224528898681]"
Jagersweg,"[51.087450896844366, 4.891752461455943]"
Joris van Geelstraat,"[51.1360449333242, 4.9054542395063025]"
Jos Geunsplein,"[51.10584262969554, 4.917075344657311]"
Kaaibeeksedijk,"[51.0898606, 4.926318950000001]"
Kabouterpad,"[51.134363264693356, 4.9071553954015465]"
Kallist Fimmerslaan,"[51.12791714062064, 4.905725595802093]"
Kapellegoed,"[51.08886001982045, 4.875121198919496]"
Kapellerij,"[51.118020604948825, 4.911043139382285]"
Kapelplein,"[51.11604381534785, 4.860892062812004]"
Kapelstraat,"[51.10894784075331, 4.921137778353227]"
Kardinaal Cardijnstraat,"[51.09438952439095, 4.907467937583391]"
Karel Lodewijkdreef,"[51.08110587861694, 4.893883570817899]"
Karel Wernerdreef,"[51.08134411894017, 4.893583886918824]"
Kastanjestraat,"[51.110233641647326, 4.860382051393439]"
Kasteeldreef,"[51.09193594376233, 4.893805746597647]"
Kasteelpark,"[51.089821311751244, 4.910345703057018]"
Kathovestraat,"[51.08987217533958, 4.845487649282771]"
Kemmaart,"[51.11066150627552, 4.92304640437335]"
Kemphaanstraat,"[51.113131320900564, 4.908861236502478]"
Kempische Ardennen,"[51.081794348673995, 4.819735731494338]"
Kerkezil,"[51.13493533480408, 4.902661964925584]"
Kerkhofstraat,"[51.12885813402253, 4.87416814787626]"
Kerkplein,"[51.10582060256522, 4.915607107885825]"
Kerkstraat,"[51.087263499323754, 4.872747966024902]"
Ketelstraat,"[51.124788164590505, 4.8526485733639415]"
Kievitstraat,"[51.112275140428025, 4.909925033717225]"
Klaverheide,"[51.09644162586629, 4.907121279551337]"
Klaverstraat,"[51.103538060953014, 4.872493140042253]"
Kleuterstraat,"[51.11453362287425, 4.858849520979041]"
Kloosterstraat,"[51.11476419179293, 4.854574658041653]"
Koekoekstraat,"[51.086809640891786, 4.852540628704207]"
Kolveniersstraat,"[51.08369852270743, 4.870847470780787]"
Koning Boudewijnstraat,"[51.12982980285818, 4.864363281929852]"
Koning Leopoldlaan,"[51.08486873319965, 4.904925105272302]"
Koningin Fabiolastraat,"[""FOUT, geen straat gevonden""]"
Koningsblok,"[51.10488774806682, 4.913861865914733]"
Korenhoeve,"[51.10297631523034, 4.877253502666436]"
Korenstraat,"[51.082206780326764, 4.845280523280029]"
Korhoenstraat,"[51.11285967035185, 4.910426191371802]"
Kortestraat,"[51.11656635, 4.86678575]"
Kouden Eerd,"[51.10932215359517, 4.915342410141307]"
Kromstraat,"[51.11218314589847, 4.854443897194986]"
Kroonstraat,"[51.1409661756711, 4.897254620393988]"
Kruisstraat,"[51.08577314643145, 4.881933144526269]"
Kwachtstraat,"[51.07567562408317, 4.847851369146926]"
Kwarekkendreef,"[51.0828548, 4.91268245]"
Laathof,"[51.09593972610209, 4.916867480763478]"
Lammendries,"[51.140782584416186, 4.898979828571168]"
Landbouwstraat,"[51.1069268241798, 4.8424526459123465]"
Langblok,"[51.10882115, 4.923048400000001]"
Lange Nieuwstraat,"[51.1084247190712, 4.916450041520531]"
Langedreef,"[51.095736825117086, 4.9017430671950875]"
Langstraat,"[51.113398871794764, 4.9124603482158005]"
Leemstraat,"[51.11780836352326, 4.874612344225214]"
Leeuwerikenplein,"[51.0853147078243, 4.874714529854712]"
Leeuwerikenveld,"[51.08391395, 4.8752850500000005]"
Leistraat,"[51.113652308439, 4.916016164521079]"
Lelielaan,"[51.13527238839066, 4.912739373344928]"
Leonelweg,"[""FOUT, geen straat gevonden""]"
Leyse Hoevestraat,"[51.114623472894, 4.909500431496636]"
Libellestraat,"[51.07790888398478, 4.840623700086799]"
Liesdonk,"[51.1290924207887, 4.946544736792596]"
Lievekensstraat,"[51.0924221780489, 4.8338933347565005]"
Lijsterbesstraat,"[51.09477955, 4.904604600000001]"
Lindenstraat,"[51.140928448164985, 4.903348279858951]"
Loofven,"[51.13997940262017, 4.90484561637611]"
Lossing,"[51.09084564854489, 4.821674991110682]"
Maaldonk,"[51.068787033777504, 4.833597226523228]"
Mechelsestraat,"[51.13846544522237, 4.888024479722081]"
Meidoornstraat,"[51.11101781219666, 4.8602803983689675]"
Meierij,"[51.10150711340373, 4.873888960429186]"
Melkerijstraat,"[51.11543526118176, 4.92594313818971]"
Merelbos,"[51.086104943099016, 4.8772334296283235]"
Meulemanslaan,"[51.102865280458204, 4.9099010894248725]"
Meuleveld,"[51.106894843819326, 4.9197078838253105]"
Moestoemaat,"[51.12569533758938, 4.936033880200998]"
Moestoemaatheide,"[51.12303740785489, 4.938999778489165]"
Molenbergstraat,"[51.13441855637795, 4.942000675522015]"
Moleneinde,"[51.14640484471354, 4.900530386853071]"
Molenerf,"[51.10784176680099, 4.91987863288977]"
Molenstraat,"[51.08722125, 4.84998825]"
Molenwijk,"[51.105157687145294, 4.924237950067699]"
Mollemansstraat,"[51.124193167470004, 4.857460487802712]"
Monnikendijk,"[51.11681289981371, 4.908114154382563]"
Morkhovense Weg,"[51.11296571805174, 4.83968045254285]"
Mostdonk,"[51.11331418945595, 4.921932341345196]"
Mussenstraat,"[51.09488529505639, 4.832614219629379]"
Nachtegaalstraat,"[51.13717346868756, 4.90724684818712]"
Neerstraat,"[51.09455893171525, 4.845614449830316]"
Nekbos,"[51.110934100169175, 4.855731598684319]"
Netelstraat,"[51.117530521101465, 4.869900628380372]"
Neurusstraat,"[51.12043672174293, 4.871577550182113]"
Nieuwe Hoevestraat,"[51.1407945376962, 4.889363431672657]"
Nieuwebaan,"[51.11643680586575, 4.865328917474978]"
Nieuwland,"[51.13559972823992, 4.90576293885758]"
Nieuwstraat,"[51.08619774063408, 4.914162610547977]"
Nijverheidsstraat,"[51.1403067, 4.9118814]"
Nimfenstraat,"[51.1344428, 4.90760115]"
O.-L.-Vrouwstraat,"[51.13955245124869, 4.914558975207635]"
Oeveldorp,"[51.13961523118578, 4.903587918232761]"
Oevelse dreef,"[51.1177651, 4.90557825]"
Oirschotstraat,"[51.0934960105363, 4.909236326720677]"
Olense Heide,"[51.13720975280532, 4.872451703512343]"
Olenseweg,"[51.09584097334978, 4.870245395580699]"
Oosterwijk,"[51.1286488, 4.8675338]"
Ottersweier,"[51.11062020278655, 4.915217102601382]"
Oud-Strijdersstraat,"[51.106427418455574, 4.918557543391947]"
Oude Westmeerbeekseweg,"[51.0836674365783, 4.83008155409173]"
Oude Zoerlebaan,"[51.0916592294211, 4.870037789802866]"
Overwijs,"[51.09848305, 4.9089063500000005]"
P. E. Peetersstraat,"[51.08770893274185, 4.917417559976595]"
Pachterserf,"[51.10194255486054, 4.8842355621238385]"
Paddekens,"[51.08669525, 4.9134553]"
Papedreef,"[51.091901897435775, 4.906807109033185]"
Pappotstraat,"[51.1016844997681, 4.89579038461175]"
Parwijsstraat,"[51.08514951606645, 4.871341687074697]"
Pasbrug,"[51.10464699729344, 4.85608594024355]"
Pastoor Binckstraat,"[51.087274, 4.839995]"
Pastorijstraat,"[51.087349070706935, 4.832188717605475]"
Patersbos,"[51.0910141652348, 4.8760430684477996]"
Peerdenstraat,"[51.10825465933046, 4.833335149127063]"
Peuzze-Jaanstraat,"[51.08416890374902, 4.872452205655155]"
Plassendonk,"[51.12770243188952, 4.924239971536906]"
