Straat,Coordinaten
't Veldeke,"[50.84533233404258, 4.486226766354565]"
Ahornbomenlaan,"[50.84331710488337, 4.475042273935294]"
Albertlaan,"[50.8282814781031, 4.504026334013924]"
Alfons Lenaertsstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Astridlaan,"[50.83159985941973, 4.502587705293879]"
Ban Eiklaan,"[50.84587514790443, 4.505153732563051]"
Bauwenberg,"[50.85570894634697, 4.486956197484019]"
Beekstraat,"[50.8469273, 4.49266485]"
Bergenblokstraat,"[50.85324053834413, 4.487474440891792]"
Bergstraat,"[50.85226949608788, 4.4871819066182255]"
Berkenhof,"[50.84802574993836, 4.490610769298248]"
Bevergaarde,"[50.83395735, 4.4952612]"
Bloemenlaan,"[""FOUT, straat in foute gemeente gevonden""]"
Bloemenveld,"[50.844190631216335, 4.5045404756155545]"
Boekweitveld,"[50.84779135, 4.5046529]"
Bos van Houthulstlaan,"[50.84647190131571, 4.49545822461061]"
Bosweg,"[50.84026358155886, 4.48890364029283]"
Boterbloemenlaan,"[50.83987605591857, 4.481147517168744]"
Bremlaan,"[50.830128344318034, 4.4986916612209615]"
Brueghellaan,"[50.84340443060233, 4.501234376034469]"
Bundergaarde,"[50.83822211257518, 4.489010169862131]"
Cafmeyerstraat,"[50.84168900109576, 4.491554700775167]"
Cederslaan,"[50.84260931544833, 4.495427116501676]"
Crocuslaan,"[""FOUT, geen straat gevonden""]"
Diepstraat,"[50.830543411884626, 4.495026721032618]"
Dieweg,"[50.83936064181817, 4.506733063789924]"
Dolle Kervellaan,"[50.84426676480263, 4.505687710012496]"
Domein Fuji,"[50.83135270814044, 4.488937023228218]"
Doornenlaan,"[50.84729397791479, 4.504703454363597]"
Dravershoekje,"[50.8541965, 4.499220681083532]"
Driebunderweg,"[50.83987121192816, 4.49085613686521]"
Driepatrijzenstraat,"[50.837435047422424, 4.491933028042431]"
Drieshof,"[50.84323961513098, 4.492976405685686]"
Duizendguldenkruidstraat,"[50.845417499999996, 4.50760675]"
Eekhoornlaan,"[50.83612095, 4.495013]"
Elisabethlaan,"[50.83374400397885, 4.51014955425555]"
Europalaan,"[50.84405325, 4.4863434]"
Ferdinand Kinnenstraat,"[""FOUT, geen straat gevonden""]"
Frans Landrainstraat,"[50.84687118960094, 4.4772917992436625]"
Galgenveld,"[50.830524744844595, 4.4955229479695875]"
Geburenstraat,"[50.851664308373614, 4.481203225483947]"
Gergelstraat,"[50.846438899999995, 4.481279750000001]"
Grensstraat,"[50.831019357643946, 4.515726657536509]"
Groebbe,"[50.83410829130153, 4.496415294421366]"
Groenhof,"[50.8451225, 4.5079662]"
Grote Oppemweg,"[50.83197528792972, 4.50489149300316]"
Hamstergaarde,"[50.83313595, 4.4954806000000005]"
Hardstraat,"[50.83771652069096, 4.485658090774759]"
Hazenlaan,"[50.8393948181856, 4.479922096816701]"
Heldenlaan,"[50.84150410713348, 4.495697926643731]"
Hendrik Neefsstraat,"[50.83714940659158, 4.49410453961071]"
Hendrik Smetsstraat,"[50.85086543657002, 4.4808180573561724]"
Henriette Lauwerslaan,"[50.85105808152388, 4.484483973087927]"
Hermelijnlaan,"[50.83176602368988, 4.498855114028279]"
Hertogenlaan,"[50.838524748895296, 4.475610309998799]"
Hertogweg,"[50.82760984216254, 4.5004718381407205]"
Hoefijzerstraat,"[50.84705768362358, 4.486402625490983]"
Honingklaverstraat,"[50.84840725840627, 4.5050949025868166]"
Hortensiaslaan,"[50.84795601779415, 4.5018136364980315]"
Houtsniplaan,"[50.85830203964104, 4.4841739745846665]"
Hubert Verbomenstraat,"[50.8390588, 4.505111350000001]"
Ijsvogellaan,"[50.86042552245851, 4.487294824229812]"
In de Poort,"[50.8507610612223, 4.489203553180199]"
Irissenoord,"[50.84731123437369, 4.501285417043298]"
Jan Baptist De Keyzerstraat,"[50.85215700877063, 4.484675971942633]"
Jan Baptist Overloopstraat,"[50.84370643485953, 4.490640911065634]"
Jozef Bausstraat,"[50.838859653567134, 4.494105382952224]"
Jozef De Keyzerstraat,"[50.84362164280761, 4.487211734747126]"
Kalestraat,"[50.84392698874325, 4.493519338901497]"
Kapelletjesoord,"[50.850556900260905, 4.482878957060117]"
Karel Van Lorreinenlaan,"[""FOUT, straat in foute gemeente gevonden""]"
Kerkbergstraat,"[50.85354012435036, 4.483345719840503]"
Kerkhofstraat,"[50.855312476593674, 4.489240355845097]"
Kievitlaan,"[50.857166495827364, 4.491557093297064]"
Kleine Bergstraat,"[50.852482174572636, 4.488081550920291]"
Kloosterlaan,"[50.84337772426419, 4.497794239353431]"
Kollebloemenlaan,"[50.843904430674826, 4.481814631953129]"
Koninginneoord,"[50.839025472109505, 4.485729891867331]"
Koningstraatje,"[50.8394076, 4.491008600000001]"
Krommestraat,"[50.84698764374235, 4.497766617077399]"
Lange Delle,"[50.83282581057283, 4.496534794947698]"
Lange Eikhoekje,"[50.85359313592037, 4.4931603549287695]"
Lange Eikstraat,"[50.85326328758081, 4.50120347383001]"
Leeuwerikenveld,"[50.845545818636644, 4.50664449744061]"
Leopold III Laan,"[50.84649726987767, 4.500117388964382]"
Leuvensesteenweg,"[50.82997275107739, 4.514797849607606]"
Lilaslaan,"[50.84870350653895, 4.502444452462756]"
Lindenhoekje,"[50.83841689968371, 4.479442083233121]"
Louis Marcelisstraat,"[50.8500277, 4.482384]"
Maaldersgaarde,"[50.84477266320796, 4.489147623220525]"
