Straat,Coordinaten
4-Septemberlaan,"[51.05423261632996, 4.3487216780037485]"
Aaklaan,"[51.039036789277965, 4.356228435373256]"
Acacialei,"[51.064641794564245, 4.351188554725831]"
Adrien Dezaegerplein,"[51.05122099933216, 4.349630049091492]"
Akkerlaan,"[51.04641212834688, 4.350457051810066]"
Alfred De Taeyestraat,"[51.050400107987436, 4.382905188918145]"
Alida Peetersplein,"[51.05962227772306, 4.36754048220137]"
Antwerpsesteenweg,"[51.08110397003746, 4.361397707216925]"
Appeldonkstraat,"[51.06897837580994, 4.35685605096596]"
Appeldonkweg,"[51.071020304856205, 4.353794176684814]"
August Van Landeghemplein,"[51.06045984460185, 4.360362328334692]"
August Van Landeghemstraat,"[51.063178859700976, 4.36182573707359]"
Baeckelmansstraat,"[51.03433426958056, 4.3570178894028455]"
Baklaan,"[51.0373914, 4.35553205]"
Bedieningsweg,"[51.047013750000005, 4.3956598]"
Bedrijvenpark De Veert,"[51.06718647444227, 4.352348676923343]"
Beekstraat,"[51.0308448141696, 4.351604163400174]"
Beenhouwerstraat,"[51.062402347040326, 4.405645045468066]"
Begoniastraat,"[51.051130099999995, 4.348423870949884]"
Berkenlei,"[51.0638565, 4.3534549]"
Bessemstraat,"[51.0286805, 4.3241975]"
Beukenlaan,"[51.0517173, 4.3476426]"
Beurtschiplaan,"[51.0388433, 4.3573715]"
Bezelaerstraat,"[51.0490568, 4.3805061]"
Bezelaervelden,"[51.0546979, 4.375891]"
Blaasveldstraat,"[51.0387842, 4.3703303]"
Blasiusstraat,"[51.0491664, 4.3840305]"
Bleeklaan,"[51.0584809, 4.3755126]"
Blijk,"[""FOUT, geen straat gevonden""]"
Boekweitstraat,"[51.0458056, 4.3560281]"
Boomsesteenweg,"[51.0667809, 4.3599203]"
Bormstraat,"[51.0194466, 4.3607191]"
Bosbeeklaan,"[51.0371779, 4.3434735]"
Bosstraat,"[""51.05253786027442"", ""4.350703333978093""]"
Bosveld,"[51.0685774, 4.4073529]"
Brandstraat,"[51.056388, 4.3506633]"
Brandweerplein,"[51.0624191, 4.3549484]"
Breendonkstraat,"[51.0531569, 4.3499632]"
Brielen,"[51.0342633, 4.35878]"
Brigandstraat,"[51.0583327, 4.3681868]"
Broekstraat,"[51.0576201, 4.37943]"
Broekweg,"[""FOUT, geen straat gevonden""]"
Brouwerijstraat,"[51.0556101, 4.3653387]"
Brownfieldlaan,"[51.0671905, 4.347873]"
Bruelenhof,"[51.0305726, 4.3617772]"
Callaertstraat,"[""FOUT, geen straat gevonden""]"
Camille Huysmansstraat,"[51.0613477, 4.3542731]"
Captain Trippstraat,"[51.0570226, 4.3575086]"
Cederlaan,"[51.0497699, 4.3441954]"
Ceresstraat,"[51.0482264, 4.3795488]"
Constant Broeckmeyerstraat,"[51.055457, 4.3538308]"
Dahliastraat,"[51.0495927, 4.349798]"
Denderlaan,"[51.0602513, 4.3497086]"
Dendermondsesteenweg,"[51.0594647, 4.3496076]"
Dennenstraat,"[51.0583105, 4.3557411]"
Dijlelaan,"[51.0605905, 4.3454469]"
Dokter Persoonslaan,"[51.0598982, 4.362006]"
Doornstraat,"[51.058613, 4.354909]"
Dorpsplein,"[51.0665925, 4.4067078]"
Dorpsstraat,"[51.0560108, 4.3766793]"
Drafstraat,"[51.0525043, 4.3694353]"
Dreef,"[51.0319258, 4.3311413]"
Driebunderweg,"[51.0543864, 4.373914]"
Driesblokstraat,"[51.0541094, 4.3696262]"
Durmelaan,"[51.0612622, 4.3489037]"
Dwarsdijk,"[51.0806899, 4.3625944]"
Dwarsstraat,"[51.0523406, 4.3783327]"
Désiré Meeslaan,"[51.0549502, 4.3486713]"
Edmond Verheydenstraat,"[51.0714122, 4.4011167]"
Edmond de Grimbergheplein,"[51.058244349999995, 4.364659052499416]"
Eduard Anseelestraat,"[51.0647723, 4.3543785]"
Eendrachtstraat,"[51.0587579, 4.3595055]"
Eggestraat,"[51.0466765, 4.3563555]"
Egmont en Hoornestraat,"[51.0625196, 4.3573295]"
Eikstraat,"[51.059357, 4.3569911]"
Elleboogstraat,"[51.0470756, 4.3821495]"
Emiel Vanderveldestraat,"[51.063803, 4.3442993]"
Emmanuel Rollierstraat,"[51.0575831, 4.3651956]"
Europalaan,"[51.0516411, 4.3453406]"
Fabrieksstraat,"[51.0617205, 4.3643353]"
Floridastraat,"[51.0586356, 4.3615]"
Fonteinstraat,"[51.058517, 4.3825624]"
Fortlaan,"[51.0567131, 4.347618]"
Gansdijk,"[51.0733146, 4.3607884]"
Gaston Fromontstraat,"[51.0638177, 4.3557925]"
Geerhoek,"[51.0474471, 4.3774402]"
Gerststraat,"[51.0538711, 4.3644882]"
Geuzenstraat,"[51.0616327, 4.3577964]"
Gezondheidsstraat,"[51.0559014, 4.360444]"
Gieterijstraat,"[51.0603724, 4.3677249]"
Glooistraat,"[51.0636952, 4.3439712]"
Gorrebroek,"[51.0693932, 4.3577923]"
Graanstraat,"[51.0548665, 4.3661647]"
Groene Laan,"[51.0674037, 4.3643576]"
Grote Bergen,"[51.0684048, 4.3960141]"
Guido Gezellestraat,"[51.0644951, 4.3585977]"
Gulden Vliesstraat,"[51.0623377, 4.3560814]"
Haakstraat,"[51.0535227, 4.3794227]"
Hamerdijk,"[51.0729742, 4.4013618]"
Hazewinkelstraat,"[51.0672665, 4.403092]"
Heidestraat,"[""FOUT, geen straat gevonden""]"
Heihoek,"[51.0440332, 4.3910379]"
Heindonksesteenweg,"[51.0600563, 4.4080367]"
Heindonkstraat,"[51.0798017, 4.3685059]"
Heirstraat,"[51.0464779, 4.3949312]"
Hekelstraat,"[51.0341716, 4.3475008]"
Herman De Cuyperstraat,"[51.0481728, 4.3824523]"
Herman Vosstraat,"[51.063214, 4.3553331]"
Hertveldstraat,"[51.032996, 4.3566216]"
Het Broek,"[51.0560803, 4.3865261]"
Hinxelaar,"[51.052606, 4.3742418]"
Hoeikensstraat,"[51.0774436, 4.3537199]"
Hoevestraat,"[51.0478472, 4.3538765]"
Hoge Heide,"[51.0644608, 4.3530893]"
Hoge Weg,"[51.067392, 4.4053815]"
Hoofd,"[51.0814481, 4.3661489]"
Hoogstraat,"[51.0293885, 4.3811589]"
Hooiveld,"[51.0469677, 4.3549335]"
Hopstraat,"[51.0534979, 4.3689537]"
Houtberg,"[51.0587906, 4.3723459]"
Ijzerenwegstraat,"[51.0662265, 4.3580409]"
Industriestraat,"[51.0606057, 4.3659366]"
Isabella Van den Bogaertstraat,"[51.057416, 4.3748637]"
Jan Hammeneckerlaan,"[51.0339009, 4.3618427]"
Jan Helmanstraat,"[51.0625501, 4.3583458]"
Jan Neutjensstraat,"[51.0568603, 4.3754026]"
Jan Willemstraat,"[51.0496449, 4.3838317]"
Jozef De Blockstraat,"[51.0386357, 4.3546093]"
Jozef Wautersstraat,"[51.064139, 4.353999]"
Jupiterstraat,"[""FOUT, geen straat gevonden""]"
Kalanderlaan,"[51.0581692, 4.3772606]"
Kalkberg,"[51.0582981, 4.3737963]"
Kanunnik Arthur Boonstraat,"[51.0574645, 4.3721741]"
Kapellenboslaan,"[51.0565621, 4.3551672]"
Kapelstraat,"[51.0528414, 4.356113]"
Kardinaal Cardijnlaan,"[51.0333714, 4.3543002]"
Karreveld,"[""51.04863415"", ""4.3536319500000005""]"
Kasteel,"[51.0531199, 4.3895733]"
Kasteeldreef,"[51.0483374, 4.3946619]"
Kasteellaan,"[51.0502313, 4.3431217]"
Kasteelstraat,"[51.0550393, 4.3791194]"
Kattestraat,"[51.0520537, 4.3716533]"
Kebbinglei,"[51.0572306, 4.3732072]"
Keefstraat,"[51.0538558, 4.3728601]"
Keizerstraat,"[51.0551399, 4.3737353]"
Kerkhoflaan,"[51.0323162, 4.3627838]"
Kerkplein,"[51.0341644, 4.3586475]"
Kerkstraat,"[51.0644937, 4.36148]"
Kerkweg,"[51.0688808, 4.3973767]"
Kersdonk,"[51.0253569, 4.3558527]"
Kerselaarlaan,"[51.0681352, 4.4046673]"
Kievitstraat,"[51.0612753, 4.4149812]"
Klaterstraat,"[51.0448304, 4.3843869]"
Klaverweide,"[51.0479297, 4.3564267]"
Kleine Bergen,"[51.0730423, 4.4181409]"
Kleine Heide,"[51.0488176, 4.396423]"
Kloddemansveldweg,"[""FOUT, geen straat gevonden""]"
Kloosterstraat,"[51.062361, 4.3613835]"
Koning Boudewijnlaan,"[51.0414108, 4.3739451]"
Koning Leopoldlaan,"[""FOUT, geen straat gevonden""]"
Koningin Astridlaan,"[""FOUT, geen straat gevonden""]"
Korenstraat,"[51.0541866, 4.3664048]"
Korte Straat,"[51.0325507, 4.3625378]"
Kotterlaan,"[51.0353193, 4.3565293]"
Kraag,"[51.0679683, 4.3611055]"
Kraagweg,"[51.0679683, 4.3611055]"
Krekelenberg,"[51.0465533, 4.379953]"
Kreweg,"[51.0659651, 4.3429181]"
Krommestraat,"[51.0540127, 4.3770518]"
Leeuwerikstraat,"[51.0565505, 4.3533397]"
Leliestraat,"[51.0541393, 4.3540848]"
Lijsterstraat,"[51.0569464, 4.3510684]"
Lindenstraat,"[51.0572233, 4.3553342]"
Linnenstraat,"[""FOUT, geen straat gevonden""]"
Louis De Naeyerkaai,"[51.0816235, 4.3673439]"
Louis De Naeyerplein,"[51.0610522, 4.3612665]"
Louis Mommaertsstraat,"[51.057759, 4.3643275]"
Maaiveld,"[51.046176, 4.3543878]"
Maalderijstraat,"[51.0541866, 4.3664048]"
Majoor Dunloplaan,"[51.0559658, 4.3472894]"
Marcel De Molstraat,"[51.0315841, 4.3608101]"
Marsstraat,"[51.0508555, 4.3765602]"
Mattenstraatje,"[""FOUT, geen straat gevonden""]"
Mechelsesteenweg,"[51.0469995, 4.3955838]"
Meerhoflaan,"[51.0531405, 4.3482022]"
Mercuriusstraat,"[51.0505073, 4.3743076]"
Merelstraat,"[51.0579378, 4.3498227]"
Merkezeel,"[51.0492532, 4.3555793]"
Merkezeelstraat,"[""FOUT, geen straat gevonden""]"
Michael Van Breedamstraat,"[51.0476735, 4.3848598]"
Mispelweg,"[51.0502147, 4.3556649]"
Moerstraat,"[51.0293885, 4.3811589]"
Molendreef,"[51.0509662, 4.3865822]"
Molenhof,"[""FOUT, geen straat gevonden""]"
Molenstraat,"[51.0568976, 4.366651]"
Molenweg,"[51.0482861, 4.3647228]"
Moutstraat,"[51.052393, 4.3693085]"
Mutualiteitsstraat,"[51.0648907, 4.3511125]"
Nachtegaalstraat,"[51.0569917, 4.351202]"
Neptunusstraat,"[51.051111, 4.3737953]"
Nieuw-Sloten,"[51.0503784, 4.3783882]"
Nieuwstraat,"[51.0608101, 4.3614732]"
Nonnenvijverstraat,"[51.0611597, 4.3613242]"
Nuffelstraat,"[""FOUT, geen straat gevonden""]"
Oostdijk,"[51.0584458, 4.363919]"
Oostvaartdijk,"[51.0816362, 4.3676424]"
Oostzavelland,"[51.0532302, 4.3658033]"
Opdam,"[51.0458142, 4.3580214]"
Otto Intzeplein,"[51.0609581, 4.3650239]"
Oud-Sasplein,"[51.0605527, 4.3633084]"
Oud-Stationsplein,"[51.067315, 4.3571154]"
