Straat,Coordinaten
't Hof van Wingene,"[51.05906276162678, 3.269697824172128]"
A. Rodenbachstraat,"[51.04199585, 3.3997291499999998]"
Aalterstraat,"[51.04728363165328, 3.4068059938665973]"
Aaltervoetweg,"[51.06141895475167, 3.4146870067836588]"
Abeelstraat,"[51.05002131739386, 3.3804754136578996]"
Akkerstraat,"[51.04374157513086, 3.2395962555040847]"
Akkerweg,"[51.04303797907868, 3.393018257383111]"
Ambachtstraat,"[51.048335802281485, 3.238523453314616]"
Aspergemstraat,"[51.026583099999996, 3.1846851999999997]"
Axpoelmolenstraat,"[51.05648312223982, 3.4069628191982693]"
Balgerhoekstraat,"[51.06262965311251, 3.315906392264736]"
Bambruggestraat,"[51.05459458470298, 3.415456130447387]"
Barbierstraat,"[51.046502261760786, 3.2296084869358905]"
Baron de Boesinghestraat,"[51.03450075, 3.2059994]"
Baron van der Bruggenlaan,"[51.08087494075219, 3.304490855789841]"
Bedelfstraat,"[51.071017771174546, 3.293167466969579]"
Beelaertstraat,"[51.07283785, 3.25710835]"
Beernemsteenweg,"[51.10047290014799, 3.311967165919616]"
Beernemstraat,"[51.06355462875585, 3.2789103886557687]"
Beerweg,"[51.05752877365949, 3.305925126836093]"
Behaegelstraat,"[51.03997403564896, 3.190950407656258]"
Belgiëlaan,"[51.05143411906255, 3.2277609444628435]"
Berkenlaan,"[51.036814364780945, 3.2178247721108604]"
Berkenstraat,"[51.04052515, 3.3893482]"
Bertstraat,"[51.05091988231956, 3.2575655441514257]"
Beukendreef,"[51.08141029012766, 3.329320247368546]"
Beukenlaan,"[51.03603791170936, 3.2175824795216976]"
Blauwe-Reigerlaan,"[51.0541191, 3.2701076000000002]"
Blauwhuisstraat,"[51.0905329, 3.3094273000000003]"
Blekreke,"[51.05985962858435, 3.283109363669248]"
Blindestraat,"[51.04135932487739, 3.1983717946332924]"
Boekhoutstraat,"[""FOUT, geen straat gevonden""]"
Boekweitlaan,"[51.05485759958551, 3.2686230535118503]"
Bosbessendreef,"[51.09720109966299, 3.291360675773301]"
Bosdreef,"[51.098271823438594, 3.330489658872667]"
Boskapeldreef,"[51.089797149999995, 3.30911415]"
Bosveldstraat,"[51.0658477, 3.2148020500000003]"
Boterstraat,"[51.0497128968538, 3.2267012738260856]"
Brandstraat,"[51.07637844646671, 3.3535733085897403]"
Bredenbarm,"[51.0535431697665, 3.189337034329418]"
Bremdreef,"[51.0964584, 3.2989039]"
Breughellaan,"[51.0562517084592, 3.266938219144219]"
Brokkelingstraat,"[51.03950656211622, 3.2253575978450337]"
Brouwerijstraat,"[51.05686211767959, 3.274862422471705]"
Bruggesteenweg,"[51.088429399999995, 3.34092505]"
Bruggestraat,"[51.03952694533092, 3.2151783365029036]"
Brugsesteenweg,"[51.057746599999994, 3.22662755]"
Bruwaanstraat,"[51.06976471146418, 3.3858671769261304]"
Bruwaenestraat,"[51.04102097378003, 3.27589436064475]"
Buisstraat,"[51.04623421834274, 3.4066935386728043]"
Bundingstraat,"[51.02957755004378, 3.4103720396403987]"
Cauwenteynestraat,"[51.0390502019305, 3.185865009407595]"
Cyriel Verhaegheplein,"[51.04349155, 3.40757085]"
De Ast,"[51.05556591461298, 3.2800010123477756]"
De Gruyterdreef,"[51.079553149999995, 3.31685445]"
De Schakel,"[51.06350255, 3.2876674140081805]"
Den Tap,"[51.0426695, 3.3990709]"
Diksmuidse-Boterweg,"[51.0563675028175, 3.362598908747994]"
Doornstraat,"[51.070776145161304, 3.2572167868068354]"
Driekavenstraat,"[51.04450365698622, 3.205971475674712]"
Eekhoutstraat,"[51.03749155, 3.3993229]"
Egemsestraat,"[51.05791749912644, 3.2734941069208476]"
Eikendreef,"[51.07722671951736, 3.320756607079075]"
Eikenhof,"[51.03599575, 3.2166550406280927]"
Eikenstraat,"[51.0573352924525, 3.285264817110755]"
Europalaan,"[51.05424861652958, 3.2816281381835215]"
Eyerstraat,"[51.04168848667833, 3.394699371586621]"
Fazantendreef,"[51.09790621878824, 3.30799625922487]"
Flandria,"[51.036714, 3.2264872115268446]"
Fonteinlaan,"[51.055051150000004, 3.26967675]"
Futselstraat,"[51.060163360946326, 3.277185670557083]"
G. Gezellelaan,"[51.04091114105215, 3.3968055995866324]"
Galgenstraat,"[51.05758833246851, 3.2747419706445027]"
Gallatasstraat,"[51.06357275761766, 3.3805540285374955]"
Gemeenteplein,"[51.057714399999995, 3.2772344]"
Gemenestraat,"[51.03141420099421, 3.184696461140322]"
Gentse Veldstraat,"[51.07829095097588, 3.3575451146659705]"
Gevaertstraat,"[51.04436323685831, 3.2579805153107873]"
Gravestraat,"[51.07915709362793, 3.2849313756089953]"
Grensstraat,"[51.05347914700547, 3.4336911550927485]"
Grietjensgalgestraat,"[51.04477507544862, 3.353746815486584]"
Groene-Sprietstraat,"[51.049734247142865, 3.3702905688810625]"
Groenestraat,"[51.03466762133998, 3.394677009698048]"
Groeneweg,"[51.036004952372075, 3.39053291017312]"
Guido Gezelleplein,"[51.05796199518323, 3.2788455493810913]"
Guido Gezellestraat,"[51.058093205770966, 3.2797582802948138]"
Guldensporenstraat,"[51.04883001487928, 3.2228054039200327]"
HOOGGOED,"[51.084955050000005, 3.36885905]"
Haantjesstraat,"[51.06435883377103, 3.3693289954325225]"
Hamerstraat,"[51.065120598074465, 3.349170761513366]"
Hazelnotedreef,"[""FOUT, geen straat gevonden""]"
Hazeweg,"[51.07287855, 3.3123012999999997]"
Hazewindstraat,"[51.0382997849641, 3.175274450073164]"
Heilig Sacramentstraat,"[51.0562255, 3.284218]"
Hekkestraat,"[51.054959531005316, 3.3359986169992712]"
Helakkerstraat,"[51.05198201270234, 3.269535297409404]"
Hellestraat,"[51.03443248621853, 3.1996306033024067]"
Heremeersstraat,"[51.06712238247967, 3.2513276345609863]"
Hereveldstraat,"[51.07005140220128, 3.247611622479203]"
Herreweg,"[51.03263941608167, 3.1827883135812494]"
Hertsbergeveldstraat,"[51.0816253, 3.26643015]"
Heulstraat,"[51.04757443704553, 3.2221859410727087]"
Hille,"[51.048258, 3.2276607]"
Hille-Noord,"[51.04924112745771, 3.232084568116295]"
Hille-Zuid,"[51.04667602877582, 3.2325630382121906]"
Hillesteenweg,"[51.05353565530461, 3.2504378829717697]"
Hof Landuyt,"[51.063974621963695, 3.276571218460309]"
Hofakkerlaan,"[51.0558773706484, 3.271013119825439]"
Hommelstraat,"[51.04033422556157, 3.2196038305092314]"
Hondsweg,"[51.05485414926457, 3.2467114295411625]"
Hoogstraat,"[51.04963003026811, 3.1820751826481257]"
Hoogweg,"[51.06573942770685, 3.2889750226030086]"
Hovenierstraat,"[51.0468538, 3.2302878]"
Huisakkerstraat,"[51.04898623788527, 3.3068352292253973]"
Industriestraat,"[51.04699656303675, 3.4084675671382887]"
Industrieweg,"[51.043819682621866, 3.2335853767284686]"
Jan Breydellaan,"[51.04646607015467, 3.2238340451887626]"
Jasmijnstraat,"[51.04108990412041, 3.407351742052265]"
Joostraat,"[51.032065960330364, 3.2120052456721746]"
Kanegemstraat,"[51.03370501133428, 3.3942803844983107]"
Kapelledreef,"[51.06469952206151, 3.2171082296162887]"
Kapellestraat,"[51.05648554312311, 3.279011394469208]"
