Straat,Coordinaten
Abdijstraat,"[50.82370200618202, 3.562585056584332]"
Anzegemseweg,"[50.85186427940407, 3.5106035488457534]"
Bavegemstraat,"[50.858761728388636, 3.5621942306821355]"
Beekstraat,"[50.8215925286223, 3.5214757656604108]"
Beerstraat,"[50.8359581, 3.5694067499999997]"
Bergstraat,"[50.843544793284686, 3.5398717234231456]"
Biesbosstraat,"[50.835707213791935, 3.535259737502435]"
Biesvijverstraat,"[50.8331517101198, 3.553023885644842]"
Bijengoed,"[50.85280350813578, 3.5169659094610766]"
Blaarhoek,"[50.83024088459854, 3.512651409175394]"
Boeregemstraat,"[50.865373504651934, 3.5059319756390135]"
Boomzagerijstraat,"[50.855286164581194, 3.504593812579773]"
Boskant,"[50.83320182886324, 3.5153771216954106]"
Bosstraat,"[50.83861795714569, 3.5037101009972154]"
Bouvelostraat,"[50.850268781786696, 3.493427275961688]"
Broekstraat,"[50.8250215068326, 3.5065339346503874]"
Cauborrestraat,"[50.85010403845996, 3.532192391678731]"
Cijnskouter,"[50.85255281110774, 3.514777890081601]"
Clemmenstraat,"[""FOUT, geen straat gevonden""]"
Deinzestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Dennenstraat,"[50.87416193038176, 3.4578586208016198]"
Diepestraat,"[50.85456301409315, 3.511339205098292]"
Dombos,"[50.87130633954956, 3.5450990248337595]"
Doornstraat,"[50.84475828806222, 3.5619823048684447]"
Driesstraat,"[50.83438567626026, 3.5420286832271737]"
Eekhoutstraat,"[50.839551900000004, 3.5621418]"
Eeuwhoek,"[50.807702649999996, 3.52065515]"
Egaalstraat,"[50.855626733009835, 3.4740023918422254]"
Elsegemplein,"[50.82392702115516, 3.5365392269046807]"
Fabriekstraat,"[50.85188156553754, 3.556424793116606]"
GIJZELBRECHTEGEMSTRAAT,"[50.82742055324569, 3.5002730581809973]"
Galgestraat,"[50.81470338516379, 3.512196056310898]"
Gaverstraat,"[50.874705502941225, 3.481144124039446]"
Gotstraat,"[50.85146127301793, 3.504425195149855]"
Groenstraat,"[50.84451325, 3.5117272]"
Hector Plancquaertstraat,"[""FOUT, geen straat gevonden""]"
Heerbaan,"[50.84611472925794, 3.5344385629318213]"
Heie,"[50.84238675918384, 3.52025895565845]"
Heuzelstraat,"[50.86875528568931, 3.547558656638463]"
Hulstehoekstraat,"[50.86725854069586, 3.5429646376824877]"
Kalverstraat,"[50.87351990357267, 3.553898212291469]"
