Straat,Coordinaten
Acaciadreef,"[51.19309, 4.6917701]"
Achterstraat,"[51.1976183, 4.639276]"
Amelbergastraat,"[51.2161251, 4.66231]"
Antwerpsebaan,"[51.2027021, 4.6465369]"
Appellaan,"[51.2093803, 4.6525136]"
Arthur Verhoevenlaan,"[51.2186058, 4.6693191]"
Azalealaan,"[51.1876707, 4.64389]"
Bakkerijstraat,"[51.227582, 4.6939254]"
Beemdstraat,"[51.1863448, 4.6497857]"
Beemdweg,"[51.2162862, 4.6992696]"
Beggard,"[51.2196034, 4.6585967]"
Begijnenbos,"[51.2050282, 4.6413797]"
Berkemei,"[51.2046532, 4.7176993]"
Berkendreef,"[51.1902318, 4.6816214]"
Berkenlaan,"[51.2348831, 4.6916368]"
Bessenlaan,"[51.2354658, 4.7047779]"
Beukendreef,"[51.19726218696698, 4.686394128809676]"
Binnengeleg,"[51.220190074090084, 4.698911843177325]"
Binnenweg,"[51.20247754243024, 4.69455289742594]"
Bisschoppenbos,"[51.20457840263395, 4.6506085572041]"
Blauwhoef,"[51.20929212529503, 4.68683708357257]"
Bogaereweg,"[51.20695325, 4.65194505]"
Bollaar,"[51.20571852559342, 4.716232948888331]"
Boomgaardstraat,"[51.2080950441841, 4.647828172832221]"
Bosdreef,"[51.19537873729618, 4.687687104150654]"
Boshovensebaan,"[51.204816199999996, 4.71955875]"
Boshuisweg,"[51.240370600000006, 4.6786819]"
Boskant,"[51.23589295, 4.7299983999999995]"
Boudewijnlaan,"[51.20220181380494, 4.715302677242987]"
Boutersemdreef,"[51.208886725864524, 4.661021587404352]"
Bruggestraat,"[51.213589188126086, 4.6612860492530706]"
Cauwenberglei,"[51.20044994608304, 4.685586627710313]"
De Bergen,"[51.21250597690359, 4.6579947321279915]"
De Linden,"[51.214458546034194, 4.661927460131306]"
De Stevens,"[51.21852187536775, 4.654733694162975]"
Dennendreef,"[51.194296050000005, 4.68362575]"
Dennenlaan,"[51.19513873476852, 4.70412839687848]"
Dijkstraat,"[51.192656866873605, 4.663627384845466]"
Disselbraak,"[51.20970903190372, 4.660838122860128]"
Dokter August Sniedersstraat,"[51.21529905, 4.6590717999999995]"
Donck,"[""51.206972300000004"", ""4.666999176738734""]"
Dorp,"[51.21906316365202, 4.692406680012888]"
Dorpsstraat,"[51.20636460013424, 4.713307919299499]"
Douglaslaan,"[51.232192159360096, 4.688885805319222]"
Draaiboom,"[51.21079983183146, 4.68670265877439]"
Driehoekstraat,"[51.21890515784238, 4.672817715421319]"
Eikenlaan,"[51.21976566009231, 4.693302432789608]"
Eikenstraat,"[51.19793776321266, 4.640680421686593]"
Elzendreef,"[51.191818010084454, 4.6843826377840605]"
Elzenstraat,"[51.21765949100115, 4.701408836472705]"
Fatimalaan,"[51.200686439343734, 4.703520728915633]"
Fazantenlaan,"[51.218430750177134, 4.699324555277461]"
Fonteinstraat,"[51.2004053024732, 4.710269466708914]"
Fruithoflaan,"[51.208138899999994, 4.649480049999999]"
Galgeweg,"[51.2076326, 4.65305155]"
Gebroken Loop,"[51.20291596488722, 4.64698974167519]"
Germelaerstraat,"[51.20486493673925, 4.7045569036346375]"
Goormansstraat,"[51.225276646584675, 4.675766523321712]"
Goudvinklaan,"[51.20917968441913, 4.718514580352093]"
Grasbaan,"[51.23445165040696, 4.697006510062966]"
Grensstraat,"[51.19694281568162, 4.714663806536442]"
Groeneweg,"[51.18810920616726, 4.64936012702833]"
Groenstraat,"[51.223298077839864, 4.697652324989756]"
Grote Beekstraat,"[51.18701303209029, 4.655157035077878]"
