Straat,Coordinaten
's-Gravenveld,"[50.85875089349389, 4.519530059616509]"
A201,"[50.895176622780646, 4.477110127110238]"
Abelenlaan,"[50.867084808952285, 4.47683961652819]"
Acacialaan,"[50.8616594, 4.447512449749583]"
Acht Bundersstraat,"[50.861861318520695, 4.523398236100282]"
Akker,"[50.8812068, 4.5138426]"
Akkermuntstraat,"[50.8755143, 4.4679839]"
Akkerwindeweg,"[50.85685995, 4.50202165]"
Albert De Beusscherplein,"[50.861903300894724, 4.514322626505699]"
Alex Feldheimstraat,"[50.888755365543254, 4.46692824826047]"
Armendijlaan,"[50.859702783468876, 4.500980493366441]"
Astridlaan,"[50.88982909389304, 4.464747925270851]"
Availles-Limousinelaan,"[50.86583047877388, 4.433124003743173]"
Azalealaan,"[50.884725608984006, 4.465844151054209]"
Baesstraat,"[50.87371512364529, 4.523148263405514]"
Bareelstraat,"[50.86328265, 4.4413894]"
Baron Brugmann de Walzinplein,"[50.84436515, 4.5116868]"
Baron de Boisschotlaan,"[""FOUT, geen straat gevonden""]"
Batticelaan,"[50.86652256379094, 4.43431548107299]"
Beekstraat,"[50.857575787610294, 4.512964708593807]"
Belgicastraat,"[50.88057133076853, 4.456772246123731]"
Berkenhof,"[50.866493060549054, 4.475135968480263]"
Berreveldlaan,"[50.861656853979405, 4.443856158303274]"
Bevrijdingslaan,"[50.863958444347425, 4.438458538732959]"
Biesdreef,"[50.85740465895124, 4.501983355961928]"
Bisschop Van Gamerenlaan,"[50.87413423706365, 4.483656902461754]"
Blankenheimlaan,"[50.86613893407054, 4.431804519607625]"
Bloemenlaan,"[50.857706050000004, 4.4991091]"
Bloemenveld,"[50.87409464747933, 4.469609503273021]"
Boesbergstraat,"[50.86280629485843, 4.503864489333462]"
Boomgaard,"[50.88009022312836, 4.5127128321085594]"
Borrestraat,"[50.87070598196562, 4.4533895336318725]"
Borreveldlaan,"[50.890046117885575, 4.4737044960909875]"
Bosdellestraat,"[50.86312627185986, 4.516697747888393]"
Bosrankstraat,"[50.87467868931542, 4.466996100268695]"
Bosstraat,"[""50.892947535785844"", ""4.470642574912336""]"
Boterbloemlaan,"[50.85821994125616, 4.503181005920446]"
Bourgetlaan,"[""FOUT, geen straat gevonden""]"
Bremberg,"[50.8831665, 4.500893691398993]"
Brixtonlaan,"[50.87109558665492, 4.5003052611851455]"
Broekstraat,"[50.870264886238616, 4.45229229915405]"
Brugstraat,"[50.8875478610064, 4.46334058197077]"
Burchtstraat,"[50.863935863747194, 4.512616138741561]"
Burg. W. Servranckxplein,"[""FOUT, geen straat gevonden""]"
Burggrachtstraat,"[50.878863325089874, 4.504586174981939]"
Cammaertsstraat,"[50.8621638468473, 4.516664479952562]"
Chrysantenlaan,"[50.88539590239981, 4.480986636951415]"
Countrylaan,"[50.86243343650422, 4.433153933369762]"
Da Vincilaan,"[""50.89371456411292"", ""4.463658659153082""]"
Dageraaddreef,"[50.867372, 4.49796675]"
Dagwandstraat,"[50.86272697978427, 4.521727036550808]"
Dallaan,"[50.85908747974256, 4.5025719212920805]"
De Wantlaan,"[50.862338299504124, 4.4842905006670435]"
Dennenlaan,"[50.86628912913647, 4.472505735097166]"
Desmedtstraat,"[50.88972397334295, 4.4672121936546585]"
Dewandelaerstraat,"[""FOUT, geen straat gevonden""]"
Diegemstraat,"[50.88654191953969, 4.468915789128617]"
Doggeweg,"[50.884978143075486, 4.467141437135598]"
Doorneveld,"[50.8621993, 4.50022125]"
Dorp,"[50.86129273998379, 4.513637733274608]"
Dorsershof,"[50.87148995, 4.4509276476601745]"
Driesplein,"[50.88068095, 4.5029533994877795]"
Drossaard Van Ophemlaan,"[""FOUT, geen straat gevonden""]"
E. de Muncklaan,"[50.876173505995524, 4.48369023443122]"
Eenenboomlaan,"[50.86718122833975, 4.434981253974472]"
Eikenhof,"[50.8666537, 4.4761147]"
Eksterberg,"[50.87673336286946, 4.454114904105737]"
Elie Aubinaustraat,"[50.86899150732686, 4.4467017912667055]"
Elzenveld,"[50.876726831958045, 4.4664652065759896]"
Emiel Hullebroecklaan,"[50.878943899999996, 4.47775545]"
Erpsestraat,"[50.88423049889495, 4.50664156243295]"
Esstraat,"[50.86591551834955, 4.444673474259973]"
Eugène Pootstraat,"[50.8769096, 4.5061339]"
Europalaan,"[50.86462850599919, 4.43219338252301]"
Eversestraat,"[50.86932625812686, 4.4333676240494295]"
Excelsiorlaan,"[50.88410511811459, 4.454811545997565]"
Fabrieksstraat,"[50.88517067770795, 4.464153786539388]"
Fazantenlaan,"[50.87771865389036, 4.474829452258389]"
Felix Goossensstraat,"[50.881965576176725, 4.503207589596847]"
Felix Timmermanslaan,"[50.86414596450656, 4.494886834792859]"
Fl. Vanderscheldelaan,"[""FOUT, geen straat gevonden""]"
Fokkersdreef,"[50.847393045255586, 4.513522319707158]"
Frans Peetersstraat,"[50.858572393939276, 4.514525179640704]"
Frans Smoldersstraat,"[50.874151482519494, 4.458381197211884]"
Gebr. Paters Abelooslaan,"[50.86608369421268, 4.498536668841133]"
Graaf A. Ryckmansstraat,"[""FOUT, geen straat gevonden""]"
Groeningelaan,"[50.8593389634536, 4.505431406152643]"
Groenstraat,"[50.8873284976001, 4.4696771274843785]"
Groenveld,"[50.8896663324074, 4.468603340254029]"
Grote Daalstraat,"[50.87232670453087, 4.470485428465937]"
Grote Geeststraat,"[50.85196574967111, 4.506559071160019]"
Grote Kloosterstraat,"[50.87338185751944, 4.461014352314177]"
Guido Gezellelaan,"[50.864170532065856, 4.499107253891053]"
Guldendelle,"[50.88233565133442, 4.512040700308435]"
Handelsstraat,"[50.88707514510597, 4.4740234538541]"
Harenheidelaan,"[50.86426482767085, 4.4333537022560146]"
Harenweg,"[50.87590039999261, 4.439121763088544]"
Haverveld,"[50.873014252578685, 4.451124449386826]"
Hazenlaan,"[50.87496691875797, 4.477575870216687]"
Hebronlaan,"[50.85420093640556, 4.4573710310098855]"
Hector Henneaulaan,"[50.88156176388859, 4.479602524043964]"
Heidestraat,"[50.89075314716858, 4.473094793422803]"
Heldenplein,"[50.88512030855023, 4.470577353620529]"
Hendrik Thumasplein,"[""FOUT, geen straat gevonden""]"
Hermelijnlaan,"[50.85044911750247, 4.5116767551227035]"
Hermeslaan,"[""FOUT, geen straat gevonden""]"
Hermesstraat,"[50.875022317064165, 4.499114013509467]"
Hippodroomlaan,"[50.84806666515017, 4.5070959646998245]"
